hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hostal La Cazihita,https://www.booking.com/hotel/co/hostal-la-cazihita.es.html?aid=2410095,"Hostal La Cazihita está en Sogamoso, a 27 km de Lago Tota, y dispone de alojamiento con jardín, parking privado gratis y salón de uso común. Este alojamiento, que tiene mostrador de información turística, también ofrece terraza solárium. Hay wifi gratis y cocina compartida.

En el albergue, las habitaciones están equipadas con armario. En Hostal La Cazihita, las habitaciones tienen ropa de cama y toallas.

Parque temático Manoa está a 40 km del alojamiento. El aeropuerto (Aeropuerto de El Yopal) está a 145 km.","Servicio de entrega de comestibles, Juegos de mesa / puzles, Sombrillas, Senderismo, Inglés, Jardín, Extintores, Armario, Perchero, Información turística, Toda la unidad accesible en silla de ruedas, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, Ropa de cama, WiFi gratis, Ducha, Cocina compartida, Enchufe cerca de la cama, Zona de pícnic, Barbacoa, Mobiliario exterior, Alquiler de bicicletas, Zona de estar, Llave de acceso, Servicio de despertador, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Toallas, Español, Toda la unidad en la planta baja, Papel higiénico, Zona de fumadores, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/85541322.jpg?k=cf50984471adb7e96300dbc51f6cbc9fcdd6f8a5d19a56db4b098f71c78563e2&o=&hp=1,Sogamoso,Colombia
Hotel H53,https://www.booking.com/hotel/co/h53.es.html?aid=2410095,"El establecimiento se encuentra a solo 1,7 km del Museo Arqueológico de Suamox, a 6 km de la parroquia Nuestra Señora De La O de Morcá, a 29 km de la laguna de Tota, a 12 km del parque recreativo de Guatika, a 28 km de las aguas termales de Paipa, a 34 km del páramo de Ocetá y a 40 km del páramo de Siscunsi.

El H53 Hotel, situado en el centro de Sogamoso, ofrece un ambiente moderno y elegante y 32 habitaciones amplias y muy cómodas. Todas las habitaciones tienen escritorio, TV de pantalla plana, Conexión inalámbrica a internet, teléfono de línea directa, caja fuerte y baño privado.Alberga un restaurante y el salón Papyrus sirve cocina local e internacional, así como platos ligeros en un ambiente clásico. A su vez, tiene una azotea (Calatrava) en la sexta planta con un toque disco, sus luces y ambiente y su variedad de cócteles, hacen de Calatrava la mejor opción para terminar el día.

El Hotel H53 cuenta con centro de negocios, sala de conferencias y eventos. El Hotel H53 también ofrece servicio de conserjería. Conexión Wi-Fi en todo el hotel, servicio de habitaciones, servicio de lavandería, seguridad 24 horas y servicio de transporte.

Hotel H53 es el lugar ideal para familias, grupos, ejecutivos y huéspedes que buscan más espacio, así como para aquellos que tienen que permanecer en Sogamoso durante largos períodos de tiempo. Hay descuentos especiales para grupos y estancias largas.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Caja fuerte, Baños públicos, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Suelo de madera o parquet, Recepción 24 horas, Baño privado, Centro de negocios, Extintores, TV, Armario, Vino / champán, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Muy buen desayuno, Ropa de cama, Menús para dietas especiales (bajo petición), Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Proporciona factura, Plancha para ropa, Zona de fumadores, Parking privado, Mobiliario exterior, Productos de limpieza, Canales por cable, Tarjeta de acceso, Desayuno en la habitación, Utensilios de planchado, Servicio de planchado, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Terraza / solárium, Bar, Restaurante, TV de pantalla plana, Canales vía satélite, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/545615810.jpg?k=c8bdeb55fca38a95d22b0bc075f06f073e6ed8f9d3794b48144ccddcceadc17c&o=&hp=1,Sogamoso,Colombia
Finca San Pedro,https://www.booking.com/hotel/co/finca-san-pedro.es.html?aid=2410095,"La Finca San Pedro se encuentra a solo 2 km del centro de Sogamoso y ofrece habitaciones con conexión Wi-Fi gratuita y vistas al jardín y al campo de los alrededores. El establecimiento ofrece desayuno y alberga una sauna. El templo del Sol está a 2 km.

Las habitaciones del San Pedro son luminosas y cuentan con suelos de baldosa y amplias ventanas con vistas al jardín. Algunas cuentan con baño privado.

Todos los días se ofrece un desayuno americano.El establecimiento cuenta con una cocina de uso común.

Se ofrecen sesiones de masaje y clases de yoga por un suplemento. El establecimiento alberga un jardín, una sauna y una sala de juegos.

Hay aparcamiento gratuito disponible. La Finca San Pedro se encuentra a 2 km de la estación de autobuses.","Juegos de mesa / puzles, Capilla, Prohibido fumar en todo el alojamiento, Caja fuerte, Habitaciones sin humo, Servicios de belleza, Senderismo, Vistas, Servicio de limpieza diario, Inglés, Manicura, Jardín, Desayuno fantástico, Extintores, Ciclismo, Masajes, Tour o clase sobre cultura local, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Zona TV / salón de uso compartido, Tours en bici, Ropa de cama, Servicio de traslado, Fruta, Entrada privada, Boles para mascotas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Masaje de pies, Proporciona factura, Música / espectáculos en directo, Zona de fumadores, Zona de pícnic, Barbacoa, Zona de juegos interior, Mobiliario exterior, Pesca, Taquillas, Vistas a un patio interior, Vistas a la montaña, Masaje de cabeza, Vistas al jardín, Chimenea exterior, Equitación, Gimnasio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Masaje corporal completo, Terraza / solárium, Clases de yoga, Masaje de cuello, Pedicura, Habitaciones familiares, Español, Masaje de espalda, Clases de fitness, Sombrillas, Fax / fotocopiadora, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564335465.jpg?k=f18e25a5187d9dd20a564b5b6f12d9675d17e1a8f8de788850c4ebade671f9cb&o=&hp=1,Sogamoso,Colombia
Hotel Prestigio JC,https://www.booking.com/hotel/co/prestigio-jc.es.html?aid=2410095,"Hotel Prestigio JC se encuentra en Sogamoso y dispone de salón de uso común, terraza, restaurante y wifi gratis en todo el alojamiento. El hotel está a unos 27 km de Lago Tota y a 40 km de Parque temático Manoa. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, cada habitación dispone de armario. Algunas habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas a la ciudad. En Hotel Prestigio JC, cada habitación incluye escritorio y TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 146 km del alojamiento.","Terraza, Supermercado pequeño en el alojamiento, Alarma de seguridad, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Baño privado, Centro de negocios, Extintores, TV, Parking, Armario, Información turística, Vídeo, Zona TV / salón de uso compartido, Parking en un garaje, Acceso a pisos superiores en ascensor, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Proporciona factura, Mobiliario exterior, Canales por cable, Bañera, Llave de acceso, Servicio de planchado, Escritorio, Servicio de lavandería, Salas de reuniones / banquetes, WC, Máquina expendedora (bebidas), Terraza / solárium, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/328997050.jpg?k=bcbbb6e5819cda1970111802101f4e9f20c80b31fb77d8a396f615aa352c2ed6&o=&hp=1,Sogamoso,Colombia
hotel S & C,https://www.booking.com/hotel/co/s-y-c.es.html?aid=2410095,"Hotel S & C se encuentra en Sogamoso, en la región de Boyacá, a 39 km de Parque temático Manoa. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo está a 27 km de Lago Tota.

En el hotel, cada habitación cuenta con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades disponen de armario.

El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 33 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Recepción 24 horas, Baño privado, Extintores, TV, Parking, Armario, Información turística, Registro de entrada / salida privado, Ropa de cama, WiFi gratis, Ducha, Servicio de habitaciones, Escritorio, Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/561721193.jpg?k=968e848d77dae583ddcd80a0500f61c3b97336d700b5487a91b111e03be1ae00&o=&hp=1,Sogamoso,Colombia
Hotel Abadia,https://www.booking.com/hotel/co/abadia.es.html?aid=2410095,"Hotel Abadia se encuentra en Sogamoso, a 28 km de Lago Tota y a 40 km de Parque temático Manoa. Este alojamiento ofrece salón de uso común y recepción 24 horas, además de wifi gratis en todo el alojamiento. Todas las habitaciones tienen TV de pantalla plana con canales vía satélite.

Todas las unidades disponen de baño privado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 147 km.","Bañera o ducha, Habitaciones sin humo, Recepción 24 horas, Baño privado, TV, Perchero, Registro de entrada / salida privado, Zona TV / salón de uso compartido, WiFi gratis, Ducha, Canales por cable, Aseo adicional, WC, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/79186202.jpg?k=7728c66325560639d6f924dc60a3091d8d5934053d27a403e25e93ec0272798e&o=&hp=1,Sogamoso,Colombia
Apartamento Nuevo Central Piso 7 Terraza privada,https://www.booking.com/hotel/co/brand-new-apartment-on-the-8th-floor.es.html?aid=2410095,"Apartamento Nuevo Central Piso 7 Terraza privada se encuentra en Sogamoso y ofrece alojamiento con balcón y wifi gratis. Este apartamento se encuentra en un edificio de 2023 y está a 27 km de Lago Tota y a 39 km de Parque temático Manoa.

El apartamento de 2 dormitorios cuenta con sala de estar con TV de pantalla plana, cocina totalmente equipada con nevera y fogones, y 2 baños con secador de pelo. Hay toallas y ropa de cama en el apartamento.

Hay terraza en el propio alojamiento, y se puede practicar ciclismo cerca.

El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 33 km del alojamiento.","Secador de pelo, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Senderismo, Vistas, Inglés, Baño privado, Extintores, Cocina, Ciclismo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Fogones, Registro de entrada / salida privado, Ropa de cama, Seguridad 24 horas, WiFi gratis, Detectores de humo, Plancha para ropa, Proporciona factura, Barbacoa, Mobiliario exterior, Escritorio, Trona, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Balcón, Toallas, Español, Ascensor, Nevera, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/581635577.jpg?k=cbdb666663c549e20cd050f21f31fdbb241248fa8d7f18079b216fd47c083c98&o=&hp=1,Sogamoso,Colombia
Hospedaje Dulce Despertar,https://www.booking.com/hotel/co/hospedaje-dulce-despertar.es.html?aid=2410095,"Hospedaje Dulce Despertar está en Sogamoso, a 26 km de Lago Tota, y dispone de alojamiento con jardín, parking privado y salón de uso común. Todas las habitaciones tienen cocina, TV con canales por cable y baño privado. El alojamiento ofrece cocina compartida, recepción 24 horas y servicio de organización de tours.

En el hostal o pensión, las habitaciones disponen de un patio con vistas al jardín. Las unidades cuentan con nevera.

Parque temático Manoa está a 41 km del alojamiento. El aeropuerto (Aeropuerto de El Yopal) está a 146 km.","Juegos de mesa / puzles, Parking adaptado para personas de movilidad reducida, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Jardín, Extintores, Cocina, TV, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Zona TV / salón de uso compartido, Parking en un garaje, Patio, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Cocina compartida, Enchufe cerca de la cama, Zona de cocina, Parking privado, Peluquería / salón de belleza, Zona de juegos interior, Canales por cable, Vistas a un patio interior, Desayuno en la habitación, Vistas al jardín, Servicio de lavandería, Microondas, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Toallas, Plancha para pantalones, Español, Nevera, Utensilios de cocina, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/277922576.jpg?k=9410a91d1d92cbbf4641e1b28953bb3f619522a97e5349ef910ac6f07a69b104&o=&hp=1,Sogamoso,Colombia
Hotel Litavira Vintage,https://www.booking.com/hotel/co/litavira-vintage.es.html?aid=2410095,"Hotel Litavira Vintage está en Sogamoso, a 27 km de Lago Tota, y dispone de alojamiento con salón de uso común, parking privado gratis y restaurante. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 40 km de Parque temático Manoa.

En el hotel, todas las habitaciones incluyen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades disponen de armario.

En Hotel Litavira Vintage se puede disfrutar de un desayuno americano.

El aeropuerto más cercano (Aeropuerto Juan José Rondón) está a 34 km.","Secador de pelo, Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Caja fuerte, Teléfono, Habitaciones sin humo, Canales de pago, Adaptado para sillas de ruedas, Recepción 24 horas, Baño privado, WC con barras de apoyo, Extintores, TV, Armario, Perchero, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Toda la unidad accesible en silla de ruedas, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Máquina expendedora (aperitivos), Proporciona factura, Mobiliario exterior, Canales por cable, Desayuno en la habitación, Llave de acceso, Servicio de planchado, Servicio de despertador, Escritorio, Servicio de lavandería, WC, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/484839229.jpg?k=54177ea734c7b67df5c2a5d9430ec3fe725b95589d020fe8fd4f6e20513f94b6&o=&hp=1,Sogamoso,Colombia
Hotel Sogamoso Real,https://www.booking.com/hotel/co/sogamoso-real.es.html?aid=2410095,"Hotel Sogamoso Real está en Sogamoso, a 27 km de Lago Tota, y dispone de alojamiento con jardín, parking privado gratis, restaurante y bar. Este alojamiento ofrece servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Este alojamiento libre de humo se encuentra a 40 km de Parque temático Manoa.

En el hotel, las habitaciones tienen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones cuentan con minibar.

En Hotel Sogamoso Real se puede disfrutar de un desayuno americano.

El aeropuerto (Aeropuerto de El Yopal) está a 146 km.","Almuerzos para llevar, Prohibido fumar en todo el alojamiento, Caja fuerte, Recepción 24 horas, Baño privado, Jardín, TV, Armario, Información turística, Ropa de cama, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Radio, Canales por cable, Desayuno en la habitación, Guardaequipaje, Servicio de lavandería, WC, Bar, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Minibar, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/292244090.jpg?k=52c62bd3c60f4d1475138a5fe6b2053b3a7f83175cb60f9841a6d84bad4b9f1e&o=&hp=1,Sogamoso,Colombia
