hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Ovolo South Yarra,US$129,"8,8",Fabuloso,1.263,https://cf.bstatic.com/xdata/images/hotel/max1024x768/303395421.webp?k=dc53ced7fe869e50c0bb6696f079295a2cecdf523d867e701b8aa1f366f0ecc6&o=,https://www.booking.com/hotel/au/ovolo-south-yarra.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Servicio de despertador, Alquiler de coches, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Apoyo visual: carteles táctiles, Servicio de conserjería, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Perchero, Minigolf, Bar, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Enchufe cerca de la cama, Ducha, Calefacción, Servicio de lavandería, Reloj despertador, Soporte para iPod, Apoyo visual: braille, Aire acondicionado, Juegos de mesa / puzles, Ascensor, Restaurante, TV de pantalla plana, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Radio, Zapatillas, Muy buen desayuno, Servicio de limpieza en seco, Tarjeta de acceso, Habitaciones sin humo, Vino / champán, Salas de reuniones / banquetes, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, WC con barras de apoyo, Parking adaptado para personas de movilidad reducida, Tours a pie, Información turística, Happy hour, Detectores de humo, Insonorización, Acceso a pisos superiores en ascensor, Papel higiénico, Armario, WC, Hervidor eléctrico, Extintores, TV, Guiado auditivo, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Caja fuerte, Teléfono, Servicio de planchado, Gimnasio, Proporciona factura, Parking, Recepción 24 horas, Parking en un garaje",South Yarra,Australia,"Ovolo South Yarra, que tiene restaurante, bar y vistas a la ciudad, está en Melbourne, a 2,3 km de Jardín botánico de Melbourne. Este hotel de 4 estrellas ofrece centro de fitness y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

Las habitaciones de este alojamiento están equipadas con hervidor y soporte para iPod. Las unidades del alojamiento están equipadas con TV de pantalla plana y artículos de aseo gratuitos.

En el hotel se puede disfrutar de un desayuno continental.

Ovolo South Yarra ofrece servicio de lavandería, así como fax y fotocopiadora.

Santuario de la Memoria está a 2,5 km del alojamiento, y Campo de críquet de Melbourne (MCG) está a 3 km. El aeropuerto más cercano (Aeropuerto de Essendon Fields) está a 16 km."
Melbourne South Yarra Central Apartment Hotel,US$125,"7,9",Bien,530,https://cf.bstatic.com/xdata/images/hotel/max1024x768/339530516.webp?k=619e9d4c712a2c0eaeba6b7118c33b2f0d4833bbf5f9e07618a3941c9d723247&o=,https://www.booking.com/hotel/au/quest-on-chapel-serviced-apartments.es.html?aid=2410095,"Snack-bar, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Servicio de entrega de comestibles, Fax / fotocopiadora, Artículos de aseo gratis, Cocina, Vistas, Calefacción, Ducha, Servicio de lavandería, Reloj despertador, Aire acondicionado, Proporciona factura, Reproductor de CD, Ascensor, TV de pantalla plana, Terraza, Microondas, Adaptado personas de movilidad reducida, Zona de comedor, Radio, Utensilios de cocina, Servicio de limpieza en seco, Habitaciones sin humo, Canales vía satélite, Inglés, Noches de cine, WiFi gratis, Utensilios de planchado, Balcón, Parking privado, Tarjetas de transporte público, Lavadora, Escritorio, Insonorización, Hervidor eléctrico, WC, Nevera, TV, Secador de pelo, Sofá, Cámaras de seguridad en las zonas comunitarias, Teléfono, Habitaciones familiares, Bañera, Lavavajillas, Suelo de moqueta, Zona de estar",South Yarra,Australia,"Melbourne South Yarra Central Apartment Hotel offers modern apartments on the cosmopolitan Chapel Street in South Yarra, Melbourne. All feature full size kitchens and LCD TVs with cable channels.

All of Melbourne South Yarra Central Apartment Hotel’s apartments comprise a kitchen, a living and dining area and laundry. Guests have free access to a fitness centre, located opposite the property.

Local attractions include Royal Botanical Gardens, Melbourne Cricket Ground, Prahran Markets & Melbourne Tennis Centre."
The Olsen Melbourne Art Series,US$177,"7,8",Bien,1.190,https://cf.bstatic.com/xdata/images/hotel/max1024x768/17501893.webp?k=ac50926ce28b0f21d743fb04ca0202ee88f2ade2b9ddda1ab9de7cc4cc1eebd1&o=,https://www.booking.com/hotel/au/art-series-the-olsen.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Habitaciones insonorizadas, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Menú para niños, Servicio de conserjería, Desayuno en la habitación, Fax / fotocopiadora, Servicio de entrega de comestibles, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de habitaciones, Servicio de lavandería, Alarma de seguridad, Aire acondicionado, Estación de carga de vehículos eléctricos, Abierta todo el año, Toallas de playa/piscina, Piscina climatizada, Ascensor, Servicio de aparcacoches, Restaurante, Terraza, Alquiler de bicicletas, Adaptado personas de movilidad reducida, Terraza / solárium, Centro de negocios, Servicio de limpieza en seco, Tarjeta de acceso, Valla alrededor de la piscina, Habitaciones sin humo, Parking en la calle, Vino / champán, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Zona poco profunda, Parking privado, Registro de entrada y salida exprés, Detectores de humo, Extintores, Buen desayuno, Piscina al aire libre, Caja fuerte, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Gimnasio, Proporciona factura, Mobiliario exterior, Recepción 24 horas, Parking adaptado para personas de movilidad reducida",South Yarra,Australia,"El Art Series The Olsen es un hotel boutique y se encuentra en el centro de South Yarra, a pocos minutos a pie de los locales de ocio y las tiendas de la zona de Chapel Street. Los alojamientos presentan una decoración moderna y contemporánea.

Las habitaciones del The Olsen presentan una decoración moderna que maximiza la luz natural, disponen de zona de cocina y gozan de vistas a la zona cosmopolita de South Yarra y Toorak. Las suites también cuentan con un cuadro del pintor John Olsen.

El The Olsen tiene una piscina grande con fondo de cristal, un spa de día y un bar restaurante contemporáneo.

El hotel está ubicado junto a las mejores tiendas, cafeterías y restaurantes de Melbourne."
Davis Avenue Apartments,US$141,"8,3",Muy bien,396,https://cf.bstatic.com/xdata/images/hotel/max1024x768/292825520.webp?k=ef6bd152f7c89839a6ab1c1eab8f531b49ecd82234ebd9a0951b66e05edb9120&o=,https://www.booking.com/hotel/au/punt-hill-south-yarra-davis-avenue.es.html?aid=2410095,"Guardaequipaje, Toallas, Servicio de despertador, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Bañera o ducha, Artículos de aseo gratis, Perchero, iPad, Vistas, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Servicio de despertador / alarma, Libros, DVD o música para niños, Reproductor de DVD, Zona de fumadores, Reloj despertador, Calefacción, Cámaras de seguridad fuera del alojamiento, Portugués, Productos de limpieza, Tostadora, Llave de acceso, Suelo de madera o parquet, Aire acondicionado, Turco, TV de pantalla plana, Terraza, Microondas, Zona de comedor, Japonés, Radio, Trona, Servicio de streaming (como Netflix), Tendedero, Utensilios de cocina, Tarjeta de acceso, Fogones, Habitaciones sin humo, Parking en la calle, Apartamento privado en edificio, Cafetera, Francés, Inglés, WiFi gratis, Utensilios de planchado, Parking privado, Tarjetas de transporte público, Escritorio, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Jardín, Filipino, Alarma de seguridad, Horno, Proporciona factura, Zona de estar",South Yarra,Australia,"El Davis Avenue Apartments ofrece estudios y apartamentos bien equipados en la periferia de Melbourne City.

El Davis Avenue Apartments se encuentra en una calle arbolada tranquila en el recinto exclusivo de South Yarra, a pocos pasos de numerosos restaurantes, cafeterías, tiendas y bares.

El precioso jardín botánico y parque Faulkner está muy cerca. El tren y el tranvía están en la puerta y permiten acceder fácilmente a todos los lugares de interés turístico de Melbourne.

El Davis Avenue Apartments está situado en South Yarra, a unos 7 minutos en tren de la ciudad de Melbourne."
Quest Prahran,US$151,"8,2",Muy bien,498,https://cf.bstatic.com/xdata/images/hotel/max1024x768/252222264.webp?k=fdaf4df498bd36ab2318ba77153d57143489e7b031fe8415697267991133929c&o=,https://www.booking.com/hotel/au/quest-prahran.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Zona de fumadores, Servicio de lavandería, Masaje de manos, Masaje corporal completo, Traslado aeropuerto, Zona de comedor, Servicio de limpieza en seco, Fogones, Habitaciones sin humo, Utensilios de planchado, Masaje de pies, Papel higiénico, Hervidor eléctrico, WC, TV, Secador de pelo, Sofá, Alarma de seguridad, Clases de cocina, Suelo de moqueta, Servicio de entrega de comestibles, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Tostadora, Aire acondicionado, Microondas, Taquillas en el gimnasio / spa, Parking privado, Nevera, Extintores, Campo de golf (a menos de 3 km), Horno, Guardaequipaje, Secadora de ropa, Masaje de espalda, Galerías de arte temporales, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Calefacción, Ropa de cama, Clases de fitness, TV de pantalla plana, Panyabí, Utensilios de cocina, Masajes, WiFi gratis, Barandillas de seguridad para bebés, Suelo de baldosa / mármol, Tarjetas de transporte público, Lavadora, Detectores de humo, Armario, Tetera / cafetera, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Bañera, Servicio de traslado, Masaje en pareja, Lavavajillas, Parking adaptado para personas de movilidad reducida, Entrenador personal, Plancha para ropa, Cocina, Enchufe cerca de la cama, Ducha, Productos de limpieza, Llave de acceso, Registro de entrada / salida privado, Barandillas protectoras para bebés, Música / espectáculos en directo, Tendedero, Inglés, Masaje de cabeza, Canguro / servicios para niños, Gimnasio, Proporciona factura, Zona de estar",South Yarra,Australia,"El Quest Prahran ofrece apartamentos independientes a 2 minutos a pie de Chapel Street y el mercado de Prahran. Todos tienen cocina totalmente equipada, lavadora y zona de salón comedor independiente.

Todos los apartamentos del Quest Serviced Apartments Prahran disponen de aire acondicionado y Smart TV con conexión a internet de banda ancha. La mayoría de los apartamentos tiene balcón privado.

Los apartamentos de 2 y 3 dormitorios tienen un 2o baño. Hay aparcamiento vigilado.

Se ofrece servicio de limpieza en seco y de compra de alimentos. Los huéspedes pueden cargar a su apartamento las comidas de algunos restaurantes de la zona.

St Kilda Road y el Real Jardín Botánico están a 15 minutos a pie del complejo. Asimismo, está a 10 minutos a pie del hospital Alfred. El centro de Melbourne está a solo 10 minutos en coche. El hospital Cabrini se encuentra a 10 minutos en coche y el hospital The Avenue está a solo 5 minutos en coche."
MAC South Yarra by Melbourne Apartment Collection,US$155,"8,3",Muy bien,532,https://cf.bstatic.com/xdata/images/hotel/max1024x768/511636511.webp?k=b9961ca4a4598eddbcd18c18034d77889faef735dc6e3afe0a5a18d7288e8a31&o=,https://www.booking.com/hotel/au/apartments-of-south-yarra.es.html?aid=2410095,"Toallas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Toda la unidad en la planta baja, Artículos de aseo gratis, Cocina, Calefacción, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Productos de limpieza, Tostadora, Llave de acceso, Aire acondicionado, Proporciona factura, TV de pantalla plana, Microondas, Zona de comedor, Utensilios de cocina, Parking gratis, Fogones, Habitaciones sin humo, Apartamento privado en edificio, Inglés, WiFi gratis, Utensilios de planchado, Registro de entrada y salida exprés, Escritorio, Acceso a pisos superiores solo mediante escaleras, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Sofá, Cámaras de seguridad en las zonas comunitarias, Horno, Suelo de moqueta, Zona de estar",South Yarra,Australia,"El MAC South Yarra by Melbourne Apartment Collection goza de una ubicación céntrica, a solo 1 minuto a pie de los locales de restauración de Chapel Street. Ofrece apartamentos independientes elegantes con conexión WiFi gratuita.

El establecimiento se encuentra a solo 5 minutos a pie de la parada de tranvía de Chapel Street y a 10 minutos a pie de las orillas del río Yarra. Se encuentra a 12 minutos en coche de la ciudad de Melbourne y a 30 minutos en coche del aeropuerto internacional de Melbourne.

El apartamento es amplio y cuenta con muebles blancos modernos, cocina totalmente equipada y servicio de limpieza semanal. El baño es privado e incluye ducha y secador de pelo. La zona de salón cuenta con TV de pantalla plana.

Hay aparcamiento gratuito al aire libre.

No hay recepción.  El registro de entrada a distancia se realizará de forma automática.  Por favor, lea la letra pequeña y revise sus mensajes / correos electrónicos para obtener instrucciones."
Oaks Melbourne South Yarra Suites,US$196,"8,6",Fabuloso,999,https://cf.bstatic.com/xdata/images/hotel/max1024x768/68706981.webp?k=542872144bdefab636986634c5f5a3061dec26911e704b7c59dc889aa5f85fd5&o=,https://www.booking.com/hotel/au/oaks-pinnacle.es.html?aid=2410095,"Guardaequipaje, Secadora de ropa, Toallas, Canales por cable, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Artículos de aseo gratis, Cocina, Calefacción, Mesa de comedor, Ropa de cama, Ducha, Servicio de lavandería, Reloj despertador, Soporte para iPod, Tostadora, Llave de acceso, Aire acondicionado, Ascensor, TV de pantalla plana, Terraza, Microondas, Zona de comedor, Terraza / solárium, Barbacoa, Utensilios de cocina, Servicio de limpieza en seco, Fogones, Habitaciones sin humo, Inglés, WiFi gratis, Utensilios de planchado, Balcón, Servicio de limpieza diario, Lavadora, Escritorio, Zona de pícnic, Registro de entrada y salida exprés, Detectores de humo, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, Extintores, Secador de pelo, Tetera / cafetera, Sofá, Mobiliario exterior, Teléfono, Cámaras de seguridad en las zonas comunitarias, Caja fuerte, Alarma de seguridad, Gimnasio, Horno, Lavavajillas, Proporciona factura, Parking, Zona de estar",South Yarra,Australia,"Boasting a rooftop terrace, Oaks Melbourne South Yarra Suites offers self-contained accommodation in South Yarra. All apartments have a private balcony with city views.

The air-conditioned apartments have a fully equipped kitchen with a dishwasher and a microwave. Each apartment also has laundry facilities and a living room with a flat-screen TV.

Oaks Melbourne South Yarra Suites is 2 minutes’ walk from South Yarra Train Station and 10 minutes’ walk from Chapel Street. Melbourne Cricket Ground (MCG) is a 4-minute drive, and Melbourne Airport is a 25-minute drive away."
The Como Melbourne,US$207,"8,6",Fabuloso,1.077,https://cf.bstatic.com/xdata/images/hotel/max1024x768/504663295.webp?k=e6428fa9a24a21a5871eb8af767b7ee9431d61b7dbb11793f29e31d9616bd30b&o=,https://www.booking.com/hotel/au/como-melbourne.es.html?aid=2410095,"Snack-bar, Seguridad 24 horas, Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Albornoz, Zona de fumadores, Servicio de lavandería, Chino, Toallas de playa/piscina, Abierta todo el año, Traslado aeropuerto, Ascensor, Restaurante, Camas extralargas (más de 2 metros), Japonés, Centro de negocios, Servicio de limpieza en seco, Caja fuerte para ordenador portátil, Habitaciones sin humo, Cafetera, Menús para dietas especiales (bajo petición), Francés, Noches de cine, Italiano, Servicio de limpieza diario, Peluquería / salón de belleza, Utensilios de planchado, Información turística, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Buen desayuno, Secador de pelo, Alarma de seguridad, Zona de pícnic, Parking en un garaje, Canales de pago, Servicio de despertador, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Menú para niños, Servicio de entrega de comestibles, Vistas, Cámaras de seguridad fuera del alojamiento, Servicio de despertador / alarma, Piscina interior, Hindi, Tostadora, Aire acondicionado, Indonesio, Terraza, Horario de apertura, Taquillas en el gimnasio / spa, Escritorio, Insonorización, Plancha para pantalones, Nevera, Extintores, Teléfono, Caja fuerte, Mobiliario exterior, Parking, Recepción 24 horas, Guardaequipaje, Supermercado pequeño en el alojamiento, Tumbonas/sillas de playa, Servicio de conserjería, Cajero automático en el hotel, Sauna, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Calefacción, Ropa de cama, Portugués, Cafetería en el alojamiento, TV de pantalla plana, 2 restaurantes, Zapatillas, Terraza / solárium, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Coreano, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Bañera, Servicio de traslado, Habitaciones insonorizadas, Fruta, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Alquiler de coches, Plancha para ropa, Ducha, Piscina en la azotea, Llave de acceso, Baño de vapor, Adaptado personas de movilidad reducida, Inglés, Para todas las edades, Registro de entrada y salida exprés, Canguro / servicios para niños, Filipino, Jardín, Gimnasio, Proporciona factura, Zona de estar",South Yarra,Australia,"El The Como Melbourne está situado en la popular Chapel Street de South Yarra y ofrece suites elegantes y amplias, así como una piscina cubierta/al aire libre y un centro de fitness bien equipado.

Las habitaciones del The Como Melbourne disponen de camas y baño privado de lujo. Algunas suites también cuentan con cocina. Además, este hotel alberga una brasserie donde se sirve el desayuno y un bar que propone una gran variedad de cócteles.

El The Como goza de una ubicación ideal, ya que está cerca de los restaurantes, las boutiques y los lugares de interés de las zonas de South Yarra, Prahran y Toorak.

Hay varias galerías de arte a poca distancia a pie, así como una parada de tranvía con destino al centro urbano de Melbourne, el MCG, el Melbourne Park Tennis Centre, Federation Square y el The Arts Centre."
Toorak Manor Hotel,US$131,"8,3",Muy bien,1.000,https://cf.bstatic.com/xdata/images/hotel/max1024x768/33464956.webp?k=95f6433ab45233b1ebdd3160a54c61ee74d8289f62852437c9ab678a81b0d5c6&o=,https://www.booking.com/hotel/au/toorak-manor.es.html?aid=2410095,"Tetera/cafetera en todas las habitaciones, Prohibido fumar en todo el alojamiento, Baño privado, Bañera o ducha, Artículos de aseo gratis, Calefacción, Ducha, Aire acondicionado, TV de pantalla plana, Mandarín, Muy buen desayuno, Parking gratis, Habitaciones sin humo, Inglés, WiFi gratis, Papel higiénico, Hervidor eléctrico, WC, TV, Secador de pelo, Tetera / cafetera, Habitaciones familiares",South Yarra,Australia,"This elegant hotel has recently been upgraded and under new management.
Guests have access to a shared lounge area and a front garden with outdoor seating. Breakfast is served in the dinning room.

Toorak Manor is only a 15-minute walk or 4-minute drive from the shops, restaurants and attractions of Chapel Street. Melbourne city centre is just 10 minutes’ away by train.

Each room includes an en suite bathroom and tea/coffee making facilities. There is also a TV, hairdryer, heating and air conditioning in all rooms.

Guests have access to a shared lounge area with a TV,  and a front garden with outdoor seating.

Toorak Manor Melbourne is located only 2 train stops from the MCG (Melbourne Cricket Ground) and Melbourne Park Tennis Centre. Hawksburn Railway Station is a 2-minute walk. Malvern rd tram is a 2-minute walk."
District South Yarra,US$311,"8,4",Muy bien,630,https://cf.bstatic.com/xdata/images/hotel/max1024x768/92692961.webp?k=ef8da580e78f9668760fe0048c517495ab3ead8f804fab128ca1e1981d7285aa&o=,https://www.booking.com/hotel/au/district-south-yarra.es.html?aid=2410095,"Secadora de ropa, Toallas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Artículos de aseo gratis, Cocina, Calefacción, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Zona de estar, Muebles de exterior, Reloj despertador, Productos de limpieza, Tostadora, Suelo de madera o parquet, Aire acondicionado, Proporciona factura, Ascensor, TV de pantalla plana, Microondas, Zona de comedor, Utensilios de cocina, Tarjeta de acceso, Fogones, Habitaciones sin humo, Apartamento privado en edificio, Cafetera, Inglés, WiFi gratis, Utensilios de planchado, Balcón, Parking privado, Lavadora, Escritorio, Detectores de humo, Insonorización, Acceso a pisos superiores en ascensor, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Entrada privada, Extintores, Secador de pelo, Tetera / cafetera, Sofá, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Horno, Lavavajillas, Suelo de moqueta, Parking en un garaje",South Yarra,Australia,"El District Apartments está situado en South Yarra y dispone de aire acondicionado. Melbourne queda a 3,4 km.

Todos los alojamientos cuentan con zona de estar, cocina con lavavajillas, horno, microondas y cafetera y baño privado con artículos de aseo gratuitos y toallas.

El District South Yarra se encuentra a 33 km de Olinda. El aeropuerto internacional Tullamarine, el más cercano, queda a 23 km del District South Yarra."
SoYa Apartment Hotel,US$338,"8,5",Muy bien,208,https://cf.bstatic.com/xdata/images/hotel/max1024x768/205983873.webp?k=5756cacaa12b3aa78921621f5d38147e897130107768c8fd48bf17f596be33bd&o=,https://www.booking.com/hotel/au/darling-apartments.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Baño privado, Fax / fotocopiadora, iPad, Zona de fumadores, Servicio de lavandería, Habitaciones hipoalergénicas, Camas extralargas (más de 2 metros), Zona de comedor, Japonés, Servicio de limpieza en seco, Fogones, Habitaciones sin humo, Cafetera, Utensilios de planchado, Servicio de limpieza diario, Información turística, Máquina expendedora (bebidas), Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Hervidor eléctrico, WC, TV, Secador de pelo, Sofá, Alarma de seguridad, Zona de pícnic, Parking en un garaje, Prohibido fumar en todo el alojamiento, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Soporte para iPod, Tostadora, Suelo de madera o parquet, Aire acondicionado, Microondas, Apartamento privado en edificio, Parking privado, Escritorio, Insonorización, Nevera, Extintores, Caja fuerte, Horno, Mobiliario exterior, Guardaequipaje, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, Reproductor de DVD, Portugués, TV de pantalla plana, Trona, Barbacoa, Utensilios de cocina, Tarjeta de acceso, Español, WiFi gratis, Tarjetas de transporte público, Lavadora, Detectores de humo, Armario, Hipoalergénico, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Bañera, Lavavajillas, Habitaciones insonorizadas, Parking adaptado para personas de movilidad reducida, Cesta para mascotas, Plancha para ropa, Cocina, Enchufe cerca de la cama, Ducha, Reloj despertador, Productos de limpieza, Radio, Servicio de streaming (como Netflix), Tendedero, Boles para mascotas, Inglés, Minibar, Registro de entrada y salida exprés, Jardín, Proporciona factura, Zona de estar",South Yarra,Australia,"El soya Apartment Hotel se encuentra a solo 10 minutos en coche del distrito financiero de Melbourne y goza de una ubicación ideal para explorar la ciudad y sus alrededores. Los apartamentos disponen de cocina totalmente equipada con horno, fogones, nevera grande y lavavajillas.

El Soya Apartment Hotel está a 100 metros de la estación de tren de South Yarra y a 5 minutos a pie del río Yarra. El Real Jardín Botánico de Melbourne está a 15 minutos a pie.

Todos los apartamentos disponen de aire acondicionado, zona de comedor, zona de salón, ventanas insonorizadas de doble acristalamiento, tableta Android 10-inch, Google mini, Spotify y 2 TV de pantalla plana con Netflix. Disponen de escritorio y baño con bañera y ducha. Algunas habitaciones admiten mascotas.

- Los huéspedes pueden compartir una comida en la zona de barbacoa y hay aparcamiento limitado en el establecimiento por un suplemento diario. El registro de entrada antes de lo habitual y el registro de salida después de lo habitual están disponibles bajo petición."
Studio 7 - Saint George Accommodation,US$66,"7,6",Bien,30,https://cf.bstatic.com/xdata/images/hotel/max1024x768/197560423.webp?k=8b790f72f9f0bdbd6e4c210e70b96694c65cb94c0eade40b2820e9488224dfef&o=,https://www.booking.com/hotel/au/studio-7-saint-george-accommodation.es.html?aid=2410095,"Secadora de ropa, Prohibido fumar en todo el alojamiento, Plancha para ropa, Vistas, Calefacción, Zona de cocina, Enchufe cerca de la cama, Aire acondicionado, TV de pantalla plana, Habitaciones sin humo, Inglés, WiFi gratis, Utensilios de planchado, Parking privado, Lavadora, Escritorio, Entrada privada, Suelo de moqueta, Zona de estar",South Yarra,Australia,"Studio 7 - Saint George Accommodation está en Melbourne y dispone de alojamiento con wifi gratis a 3,5 km de Santuario de la Memoria, a 3,7 km de Campo de críquet de Melbourne (MCG) y a 4,1 km de Galería Nacional de Victoria. El apartamento dispone de parking privado y está a 3,3 km de Jardín botánico de Melbourne.

Este apartamento de 1 dormitorio tiene aire acondicionado y cuenta con zona de cocina, zona de estar yTV de pantalla plana.

Estadio Rod Laver está a 4,3 km del alojamiento, y Arts Centre Melbourne está a 4,4 km. El aeropuerto (Aeropuerto de Essendon Fields) está a 17 km."
