hotel,hotel_url,description,popular_facilities,highres_url,city,country
CASA BLANCA HORTENCIA,https://www.booking.com/hotel/ec/casa-blanca-hortencia.es.html?aid=2410095,"CASA BLANCA HORTENCIA dispone de piscina al aire libre, jardín, salón de uso común y terraza en Sucúa. Este alojamiento, que cuenta con servicio de habitaciones, también ofrece zona de juegos infantil. El alojamiento ofrece karaoke y cocina compartida.

En el hotel, cada habitación tiene escritorio y TV de pantalla plana. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de wifi gratis. Algunas habitaciones también están equipadas con vistas a la piscina. Las habitaciones cuentan con nevera.

Puedes jugar al ping-pong en CASA BLANCA HORTENCIA.

En la recepción se hablan varios idiomas, como inglés y español.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 194 km del alojamiento.","Sala de juegos, Parking en un garaje, Vistas al jardín, Parking gratis, Sombrillas, Perchero, Terraza, Bañera o ducha, Servicio de entrega de comestibles, Mobiliario exterior, Detectores de humo, WiFi gratis, Para todas las edades, Karaoke, Nevera, Baños públicos, Lavamanos más bajo, Proporciona factura, Canales de pago, Zona de fumadores, Registro de entrada / salida privado, Jardín, Horno, Español, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Ping pong, Adaptado personas de movilidad reducida, Habitaciones familiares, Fruta, Chimenea exterior, Suelo de moqueta, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Microondas, Fax / fotocopiadora, Fogones, Habitaciones sin humo, Guardaequipaje, Ventilador, Minibar, Servicio de planchado, Zona de comedor, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Cocina compartida, Servicio de lavandería, TV, Menú para niños, Juegos de mesa / puzles, Sofá, Abierta todo el año, Desayuno fantástico, Baño privado, Patio, Aire acondicionado, Zona poco profunda, Piscina al aire libre, Escritorio, Adaptado para sillas de ruedas, Ducha, Capilla, Zona de juegos interior, Llave de acceso, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Toallas, Información turística, Zona de juegos para niños, Zona de pícnic, Recepción 24 horas, Suelo de baldosa / mármol, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/282937084.jpg?k=76610bda8a6d312c988bd3fc7b809081b9d56bc3f4593d620140503b0c17ed39&o=&hp=1,Sucúa,Ecuador
La Casa de la Abuela,https://www.booking.com/hotel/ec/la-casa-de-la-abuela.es.html?aid=2410095,"La casa de la abuela se encuentra en Sucúa, y cuenta con jardín, piscina al aire libre abierta durante todo el año y barbacoa. También dispone de sauna y WiFi gratuita en todas las instalaciones.

Los alojamientos incluyen zona de estar. Algunos ofrecen zona de comedor y/o patio. Todos tienen cocina equipada con microondas y nevera, así como zona de barbacoa. Esta villa facilita aparcamiento privado gratuito, toallas y ropa de cama.

La casa de la abuela también goza de bañera de hidromasaje y sauna. El establecimiento alberga un restaurante y prepara almuerzos para llevar.","Sala de juegos, Parking en un garaje, Zona de comedor exterior, Zona de cocina, Parking gratis, Sombrillas, Bañera o ducha, Toda la unidad en la planta baja, Servicio de entrega de comestibles, Mobiliario exterior, WiFi gratis, Para todas las edades, Karaoke, Nevera, Baños públicos, Canales por cable, Proporciona factura, Cenas temáticas, Zona de fumadores, Registro de entrada / salida privado, Jardín, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Máquina expendedora (bebidas), Enchufe cerca de la cama, Zona TV / salón de uso compartido, Extintores, TV de pantalla plana, Ropa de cama, Horario de apertura, Habitaciones familiares, Cafetera, Fruta, Mesa de comedor, Desayuno, Baño al aire libre, Traslado aeropuerto, Vistas a un patio interior, Armario, Suelo de moqueta, Hervidor eléctrico, Mosquitera, Alarma de seguridad, WC, Vino / champán, Artículos de aseo gratis, Microondas, Piscina infantil, Bañera de hidromasaje / jacuzzi, Fogones, Habitaciones sin humo, Música / espectáculos en directo, Vistas, Cocina, Entrada privada, Parking adaptado para personas de movilidad reducida, Barbacoa, Zona de comedor, Accesible para personas sordas, Servicio de limpieza diario, Salas de reuniones / banquetes, Zona de estar, Papel higiénico, Alquiler de bicicletas, TV, Lavavajillas, Cámaras de seguridad fuera del alojamiento, Menú para niños, Juegos de mesa / puzles, Independiente, Sofá, Productos de limpieza, Tours a pie, Abierta todo el año, Baño privado, Patio, Aire acondicionado, Bingo, Zona poco profunda, Piscina al aire libre, Servicio de streaming (como Netflix), Tetera / cafetera, Ducha, Calefacción, Zona de juegos interior, Menús para dietas especiales (bajo petición), Llave de acceso, Seguridad 24 horas, Utensilios de cocina, Inglés, Toallas / sábanas (por un suplemento), Servicio de traslado, Baño de vapor, Servicio de habitaciones, Tumbonas/sillas de playa, Cámaras de seguridad en las zonas comunitarias, Toallas, Toallas de playa/piscina, Información turística, Juguetes para la piscina, Sauna, Zona de juegos para niños, Zona de pícnic, Recepción 24 horas, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/127694204.jpg?k=6e84eb818e2ba797868568adc3ab3b84bd5e1a0e7daf7e1cbec71ee3201b7403&o=&hp=1,Sucúa,Ecuador
La Perla House,https://www.booking.com/hotel/ec/la-perla-house.es.html?aid=2410095,"La Perla House se encuentra en Sucúa. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un balcón.

La villa dispone de terraza, 1 dormitorio, sala de estar y cocina bien equipada. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 204 km del alojamiento.","Vistas al jardín, Cocina, WiFi gratis, Barbacoa, Inglés, TV de pantalla plana, Parking gratis, Lavadora, Español, Terraza, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/529616236.jpg?k=7b1805c32962c782dfd2921d0e34b448317675f1b7ff1ff445f17068b704a7ac&o=&hp=1,Sucúa,Ecuador
Casa Noe - Noe House,https://www.booking.com/hotel/ec/casa-independiente-en-el-campo.es.html?aid=2410095,"Casa Noe - Noe House está en Macas y dispone de alojamiento con jardín, wifi gratis, servicio de conserjería y mostrador de información turística. La casa o chalet, que tiene parking privado gratis, está en una zona en la que se pueden practicar actividades como senderismo, ciclismo y ping pong.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios, una cocina con zona de comedor y 1 baño con ducha. Hay TV de pantalla plana con canales por cable.

En la casa o chalet, la clientela puede usar la barbacoa.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 210 km.","Sala de juegos, Parking en un garaje, Cafetera, Suelo de madera o parquet, Mesa de comedor, Utensilios de planchado, Barbacoa, Vistas al jardín, Zona de cocina, Zona de juegos interior, Plancha para ropa, Prohibido fumar en todo el alojamiento, Zona de comedor, Parking gratis, Baño al aire libre, Sombrillas, Tours en bici, Perchero, Zona de estar, Tour o clase sobre cultura local, Armario, Papel higiénico, Toda la unidad en la planta baja, Servicio de lavandería, Utensilios de cocina, Mobiliario exterior, Servicio de conserjería, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Nevera, Barandillas de seguridad para bebés, Alquiler de coches, Mosquitera, Canales por cable, Servicio de traslado, Dardos, Proporciona factura, Libros, DVD o música para niños, Wifi rápida gratis (176 Mbps), Zona de fumadores, Toallas, Información turística, Jardín, Detector de monóxido de carbono, Juegos de mesa / puzles, Independiente, Fax / fotocopiadora, Tours a pie, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Vistas, Extintores, Sofá cama, Cocina, Tendedero, Suelo de baldosa / mármol, Zona de pícnic, TV de pantalla plana, Lavadora, Ducha, Ventilador, Secadora de ropa, Senderismo, Parking adaptado para personas de movilidad reducida, Ping pong, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/550840118.jpg?k=c7d3e519acb3c08fd2ff05a3bbd6584c679758506ca412e82edd7294a43d5c6a&o=&hp=1,Sucúa,Ecuador
Cabañas San Diego,https://www.booking.com/hotel/ec/cabanas-san-diego-macas.es.html?aid=2410095,"Cabañas San Diego, que tiene jardín, está en Macas. Hostal o pensión dispone de parking privado gratis y wifi gratis.

El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 206 km.","Jardín, WiFi gratis, Desayuno, Parking gratis, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527064721.jpg?k=3a155c69e1cd6a65cffdf74ccceecc51eec4df0a4c0c6da782456afca92343b0&o=&hp=1,Sucúa,Ecuador
Centro Macas,https://www.booking.com/hotel/ec/quedate-aqui.es.html?aid=2410095,"Centro Macas se encuentra en Macas y ofrece alojamiento con wifi gratis y parking privado gratis.

Cada unidad cuenta con terraza, TV de pantalla plana con canales por cable, cocina bien equipada y baño privado con bidet.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 216 km del alojamiento.","Wifi rápida gratis (82 Mbps), Mesa de comedor, Prohibido fumar en todo el alojamiento, Zona de cocina, Plancha para pantalones, Parking gratis, Tours en bici, Servicio de limpieza diario, Perchero, Terraza, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Cocina compartida, Servicio de lavandería, Utensilios de cocina, Alquiler de bicicletas, Apartamento privado en edificio, TV, Servicio de conserjería, Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Canales de pago, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Toallas, Registro de entrada / salida privado, Información turística, Independiente, Tours a pie, Bañera, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Recepción 24 horas, Cocina, Tendedero, Suelo de baldosa / mármol, TV de pantalla plana, Entrada privada, Ducha, Habitaciones familiares, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/506429198.jpg?k=5591b275662a31e544b1dcd47dfa5644ae207363e41fae5dc6566374e5374b67&o=&hp=1,Sucúa,Ecuador
"MY HOUSE IN MACAS, SUITE AMOBLADA",https://www.booking.com/hotel/ec/my-house-in-macas-suite-amoblada.es.html?aid=2410095,"MY HOUSE IN MACAS, SUITE AMOBLADA está en Macas y ofrece terraza. Este apartamento tiene jardín y parking privado gratis.

El apartamento dispone de 1 dormitorio, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales por cable, zona de comedor, cocina totalmente equipada y balcón con vistas a la montaña.

El personal de recepción puede dar consejos sobre la zona.

El apartamento ofrece servicio de alquiler de coches.

El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 216 km.","Registro de entrada y salida exprés, Mesa de comedor, Prohibido fumar en todo el alojamiento, Zona de cocina, Zona de comedor, Parking gratis, Perchero, Terraza, Vistas a un patio interior, Papel higiénico, Servicio de lavandería, Utensilios de cocina, Apartamento privado en edificio, TV, Lavavajillas, Nevera, Alquiler de coches, Mosquitera, Canales por cable, Vistas al río, Proporciona factura, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Jardín, Artículos de aseo gratis, Independiente, Vistas a la montaña, Productos de limpieza, Español, Baño privado, Patio, Aire acondicionado, Balcón, Habitaciones sin humo, Recepción 24 horas, Cocina, Tendedero, TV de pantalla plana, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/438697229.jpg?k=d5787f39fba9296a9fc02eb3ef66435797a6257445391f33b22f754d7d9f90cb&o=&hp=1,Sucúa,Ecuador
Markinkia - Estancia Amazónica,https://www.booking.com/hotel/ec/markinkia-estancia-amazonica-macas.es.html?aid=2410095,"Markinkia - Estancia Amazónica es un alojamiento con wifi gratis y vistas a la ciudad que está en Macas. Esta casa o chalet tiene jardín y parking privado gratis.

Esta casa o chalet dispone de 2 dormitorios, cocina con nevera y microondas, TV de pantalla plana, zona de estar y 1 baño con ducha.

La casa o chalet ofrece bañera de hidromasaje.

El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 216 km.","Utensilios de planchado, Mesa de comedor, Zona de comedor exterior, Barbacoa, Vistas al jardín, Zona de cocina, Plancha para ropa, Zona de comedor, Parking gratis, Perchero, Bañera o ducha, Zona de estar, Armario, Utensilios de cocina, WiFi gratis, TV, Inglés, Nevera, Bañera de hidromasaje, Jardín, Microondas, Juegos de mesa / puzles, Independiente, Sofá, Vistas a la montaña, Muebles de exterior, Bañera de hidromasaje / jacuzzi, Español, Patio, Vistas a la ciudad, Habitaciones sin humo, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Cocina, Suelo de baldosa / mármol, Escritorio, TV de pantalla plana, Entrada privada, Lavadora, Tetera / cafetera, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520368046.jpg?k=3b417fb0cb21ae076400597c7cc798c8514d00ef578d47eb575c6dcb38df866f&o=&hp=1,Sucúa,Ecuador
TU CASA EN MACAS,https://www.booking.com/hotel/ec/tu-casa-en-macas.es.html?aid=2410095,"TU CASA EN MACAS está en Macas. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a un patio.

El apartamento cuenta con balcón y vistas a la ciudad, y tiene 3 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 2 baños con ducha.

El aeropuerto (Aeropuerto internacional Mariscal Lamar) está a 216 km.","Mesa de comedor, Zona de cocina, Zona de comedor, Parking gratis, Perchero, Armario, Papel higiénico, Utensilios de cocina, WiFi gratis, TV, Inglés, Nevera, WC, Toallas, Microondas, Independiente, Horno, Español, Baño privado, Patio, Vistas a la ciudad, Balcón, Vistas, Sofá cama, Cocina, TV de pantalla plana, Lavadora, Tetera / cafetera, Ducha, Ventilador, Secadora de ropa, Calefacción",https://cf.bstatic.com/xdata/images/hotel/max1024x768/426193603.jpg?k=8c11adea37707143bd0d37eff7298a5f63ede7754a74e50799b07f0e0e6ddc77&o=&hp=1,Sucúa,Ecuador
Suite vista hermosa apartament,https://www.booking.com/hotel/ec/suite-vista-hermosa-apartament.es.html?aid=2410095,"Suite vista hermosa apartament se encuentra en Macas y ofrece terraza. Este apartamento tiene jardín, zona de barbacoa, wifi gratis y parking privado gratis.

El apartamento dispone de 2 dormitorios, TV de pantalla plana con canales vía satélite, una cocina equipada con lavavajillas y minibar, lavadora y 2 baños con ducha.

El personal de recepción puede dar consejos sobre qué hacer o cómo moverse por la zona.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Lamar) está a 218 km del alojamiento.","Cafetera, Suelo de madera o parquet, Minibar, Mesa de comedor, Canales vía satélite, Zona de comedor exterior, Barbacoa, Zona de cocina, Vistas al jardín, Plancha para ropa, Registro de entrada y salida exprés, Zona de comedor, Parking gratis, Llave de acceso, Barandillas protectoras para bebés, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Zona de estar, Vistas a un patio interior, Habitaciones hipoalergénicas, Papel higiénico, Seguridad 24 horas, Utensilios de cocina, Mobiliario exterior, Apartamento privado en edificio, WiFi gratis, Lavavajillas, TV, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Barandillas de seguridad para bebés, Vistas a un lugar de interés, Alarma de seguridad, WC, Canales por cable, Vistas al río, Servicio de traslado, Proporciona factura, Acceso a pisos superiores solo mediante escaleras, Terraza / solárium, Registro de entrada / salida privado, Información turística, Jardín, Artículos de aseo gratis, Secador de pelo, Centro de negocios, Zona de fumadores, Independiente, Sofá, Vistas a la montaña, Español, Baño privado, Patio, Cochecitos de bebé, Balcón, Habitaciones sin humo, Vistas, Extintores, Recepción 24 horas, Cocina, Suelo de baldosa / mármol, Guardaequipaje, TV de pantalla plana, Entrada privada, Lavadora, Tetera / cafetera, Ducha, Secadora de ropa, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583544573.jpg?k=226f97b7cbf9297eb6a6352265bf68f5a20e1c063713da5b179f38f6b3e46904&o=&hp=1,Sucúa,Ecuador
