hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
H Luxury Residence Apartments - Holiday Paradise,US$352,"7,9",Bien,2.450,https://cf.bstatic.com/xdata/images/hotel/max1024x768/318561381.webp?k=54dd96edd1da5a1f699da7be09519adf211694043000bf86a65f7c3e06f4232e&o=,https://www.booking.com/hotel/au/five-star-apartment-in-heart-of-surfers-paradise.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Baño privado, Fax / fotocopiadora, Zona de fumadores, Discoteca / DJ, Masaje de manos, Spa y centro de bienestar, Chino, Masaje corporal completo, Bar en la piscina, Abierta todo el año, Sombrillas, Proporciona factura, Piscina climatizada, Ascensor, Restaurante, Camas extralargas (más de 2 metros), Zona de comedor, Centro de negocios, Fogones, Habitaciones sin humo, Cafetera, Buffet para niños, Utensilios de planchado, Servicio de limpieza diario, Peluquería / salón de belleza, Acceso a pisos superiores en ascensor, Masaje de pies, Papel higiénico, Hervidor eléctrico, 4 piscinas, WC, TV, Zona de comedor exterior, Secador de pelo, Sofá, Alarma de seguridad, Zona de pícnic, Parking en un garaje, Prohibido fumar en todo el alojamiento, Bañera de hidromasaje, Vistas, Cámaras de seguridad fuera del alojamiento, Bar, Mesa de comedor, Situado frente a la playa, Parque acuático, Tostadora, Aseo compartido, Piscina con vistas, Aire acondicionado, Terraza, Horario de apertura, Microondas, Playa, Apartamento privado en edificio, Sofá cama, Balcón, Escritorio, Nevera, Extintores, Campo de golf (a menos de 3 km), Horno, Mobiliario exterior, Secadora de ropa, Masaje de espalda, Tumbonas/sillas de playa, Bañera de hidromasaje / jacuzzi, Sauna, Bañera o ducha, Toallas / sábanas (por un suplemento), Artículos de aseo gratis, Perchero, Solo para adultos, Calefacción, Ropa de cama, Cafetería en el alojamiento, TV de pantalla plana, Trona, Terraza / solárium, Utensilios de cocina, Barbacoa, Tarjeta de acceso, Masajes, Salas de reuniones / banquetes, WiFi gratis, Lavadora, Detectores de humo, Instalaciones de spa, Armario, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Zona de spa / relajación, Habitaciones familiares, Bañera, Masaje en pareja, Lavavajillas, Parking adaptado para personas de movilidad reducida, Tobogán de agua, Plancha para ropa, Cocina, Enchufe cerca de la cama, Ducha, Patio, Baño de vapor, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Servicio de streaming (como Netflix), Adecuada para niños, Parking gratis, Inglés, Entretenimiento nocturno, Zona poco profunda, Para todas las edades, Cama plegable, Piscina infantil, Registro de entrada y salida exprés, Masaje de cabeza, Jardín, Gimnasio, Suelo de moqueta, Zona de estar",Surfers Paradise,Australia,"El Luxury Residence Surfers Paradise Five Star Apartment está bien situado en el centro de Gold Coast, a 3 km del centro de convenciones y exposiciones de Gold Coast, y ofrece alojamiento con conexión WiFi gratuita, bañera de hidromasaje, sauna y centro de fitness.

Todos los apartamentos, de propiedad y gestión privada, cuentan con balcón, TV de pantalla plana con canales por cable, cocina bien equipada y baño privado con artículos de aseo gratuitos. Algunos alojamientos tienen zona de estar y/o de comedor.

Todas las mañanas se sirve un desayuno continental en el edificio de apartamentos. El restaurante está especializado en cocina europea.

El complejo de edificios cuenta con piscina cubierta, barbacoa, jardín y solárium.

El Star Gold Coast se encuentra a 3,4 km del apartamento, mientras que el centro comercial Marina Mirage está a 3,7 km. El aeropuerto de Gold Coast está a 20 km del Luxury Residence Surfers Paradise Five Star Apartment."
Bunk Surfers Paradise International Backpacker Hostel,US$42,"8,1",Muy bien,1.003,https://cf.bstatic.com/xdata/images/hotel/max1024x768/530186982.webp?k=95c0c68155f2611d7aa726c9899baa0c27950c5b6063c658be217bac24ef24b5&o=,https://www.booking.com/hotel/au/bunk-surfers-paradise.es.html?aid=2410095,"Guardaequipaje, Seguridad 24 horas, Tumbonas/sillas de playa, Bañera de hidromasaje / jacuzzi, Cajero automático en el hotel, Baño privado, Vistas, Taquillas, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Enchufe cerca de la cama, Ducha, Zona de fumadores, Servicio de lavandería, Sala de juegos, Aire acondicionado, Ascensor, Terraza, Japonés, Terraza / solárium, Español, Alemán, Valla alrededor de la piscina, Playa, Inglés, WiFi gratis, Balcón, Información turística, Zona TV / salón de uso compartido, Detectores de humo, Acceso a pisos superiores en ascensor, WC, Extintores, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Jardín, Zona de spa / relajación, Caja fuerte, Suelo de moqueta, Mobiliario exterior",Surfers Paradise,Australia,"El Bunk Surfers Paradise International Backpacker Hostel se encuentra a solo 4 minutos a pie de la playa de arena dorada de Surfers Paradise y cuenta con piscina al aire libre y bañera de hidromasaje. Hay WiFi gratuita en las zonas comunes y recepción las 24 horas.

El establecimiento alberga piscina con tumbonas y patio trasero. Las instalaciones compartidas incluyen cocina, zona de salón y sala de lavandería.

Las habitaciones tienen armario, aire acondicionado y baño privado con ducha. Algunas habitaciones tienen vistas al mar, a la piscina o la ciudad. Las habitaciones están reservadas para mochileros internacionales.

El Bunk Surfers Paradise International Backpacker Hostel se encuentra a solo 2 minutos a pie de la avenida Cavill, que alberga un supermercado y una gran variedad de tiendas, bares y cafeterías. Los parques temáticos Warner Bros Movie World y Wet 'n' Wild se encuentran a 30 minutos en coche. El aeropuerto más cercano es el de Gold Coast, ubicado a 20 km del Bunk Surfers Paradise International Backpacker Hostel."
Tequila Sunrise Hostel Surfers Paradise,US$76,"8,4",Muy bien,2.032,https://cf.bstatic.com/xdata/images/hotel/max1024x768/516423122.webp?k=9182b463d7786e57ede604bbe89c7755f77b2023b1895b6543e408f1a349a317&o=,https://www.booking.com/hotel/au/tequila-sunrise-hostel-surfers-paradise.es.html?aid=2410095,"Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Vistas a la ciudad, Plancha para ropa, Toallas / sábanas (por un suplemento), Vistas, Cocina, Cocina compartida, Mesa de comedor, Ropa de cama, Calefacción, Ducha, Ventilador, Servicio de lavandería, Tostadora, Aire acondicionado, Juegos de mesa / puzles, Terraza, Microondas, Zona de comedor, Terraza / solárium, Muy buen desayuno, Cenas temáticas, Fogones, Inglés, WiFi gratis, Balcón, Servicio de limpieza diario, Zona TV / salón de uso compartido, Lavadora, Detectores de humo, Ordenador, Papel higiénico, Baño compartido, WC, Hervidor eléctrico, Nevera, Extintores, Zona de comedor exterior, Tetera / cafetera, Sofá, Cámaras de seguridad en las zonas comunitarias, Lavavajillas, Mobiliario exterior",Surfers Paradise,Australia,"Tequila Sunrise Hostel Surfers Paradise es un alojamiento muy bien situado en Gold Coast que ofrece salón de uso común, wifi gratis y habitaciones con aire acondicionado. Este alojamiento, que cuenta con cocina compartida, también ofrece terraza solárium. Mirador SkyPoint está a menos de 1 km del albergue y Centro comercial Marina Mirage, a 4 km.

En el albergue, todas las habitaciones están equipadas con un balcón con vistas a la ciudad. En Tequila Sunrise Hostel Surfers Paradise, cada habitación tiene baño compartido y ropa de cama.

En el alojamiento se puede disfrutar de un desayuno buffet.

Cerca del alojamiento hay puntos de interés como Surfers Paradise Beach, Budds Beach y Playa de Narrowneck. El aeropuerto más cercano (Aeropuerto de Gold Coast) está a 21 km del alojamiento."
Surf Inn Boutique Backpackers - FREE BREAKFAST,US$66,"8,8",Fabuloso,1.303,https://cf.bstatic.com/xdata/images/hotel/max1024x768/514688768.webp?k=ef495e8e7519949bd5ac136591f0acb73ba31246bdd80c836e92cc47c2c4916b&o=,https://www.booking.com/hotel/au/surf-inn-hostel.es.html?aid=2410095,"Guardaequipaje, Tumbonas/sillas de playa, Fax / fotocopiadora, Solo para adultos, Taquillas, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Ducha, Servicio de lavandería, Desayuno fantástico, Aire acondicionado, Cafetería en el alojamiento, Máquina expendedora (aperitivos), Registro de entrada / salida privado, Instalaciones para deportes acuáticos en el alojamiento, Habitaciones sin humo, Playa, Inglés, WiFi gratis, Servicio de limpieza diario, Información turística, Máquina expendedora (bebidas), Detectores de humo, Papel higiénico, WC, Extintores, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Jardín, Alarma de seguridad, Mobiliario exterior",Surfers Paradise,Australia,"Surf Inn Boutique Backpackers - FREE BREAKFAST in Gold Coast provides adults-only accommodation with an outdoor swimming pool with sun beds and music. Surf Inn does not have a shared guest kitchen however we do have a commercial kitchen with an amazing pizza oven. We offer tasty cheap eats for Breakfast, Lunch and Dinner. Free WiFi is available and limited free parking can be arranged. A 2.5% card surcharge is applied to all pre-charged bookings.

Popular points of interest near the accommodation include Budds Beach, SkyPoint Observation Deck and Infinity Maze. The nearest airport is Gold Coast Airport, 20 km from Surf Inn Boutique Backpackers - FREE BREAKFAST."
Maxmee Backpackers Resort,US$46,"7,0",Bien,1.000,https://cf.bstatic.com/xdata/images/hotel/max1024x768/139472177.webp?k=dc1cff6ffceca4b7aca8b38dbc73396e7f948079a7236335df61dc80103c6f96&o=,https://www.booking.com/hotel/au/surfers-paradise-backpackers-resort.es.html?aid=2410095,"Billar, Guardaequipaje, Seguridad 24 horas, Desayuno, Tumbonas/sillas de playa, Plancha para ropa, Perchero, Pista de tenis, Fax / fotocopiadora, Taquillas, Bar, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Solo para adultos, Ducha, Zona de fumadores, Calefacción, Servicio de lavandería, Ventilador, Chino, Aire acondicionado, Abierta todo el año, Toallas de playa/piscina, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Terraza, Alquiler de bicicletas, Registro de entrada / salida privado, Equipamiento de tenis, Terraza / solárium, Eventos deportivos en directo (emisión), Barbacoa, Español, Alemán, Habitaciones sin humo, Playa, Vino / champán, Francés, Inglés, Noches de cine, Entretenimiento nocturno, WiFi gratis, Utensilios de planchado, Información turística, Ping pong, Máquina expendedora (bebidas), Happy hour, Zona TV / salón de uso compartido, Detectores de humo, WC, Ruta de bares, Extintores, Piscina al aire libre, Campo de golf (a menos de 3 km), Jardín, Dardos, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Caja fuerte, Zona de pícnic, Mobiliario exterior",Surfers Paradise,Australia,"La famosa playa de Surfers Paradise está a solo 5 minutos a pie cuando se hospeda en Maxmee Resort. Este albergue cuenta con WiFi gratuita, pista de tenis y piscina al aire libre.

El albergue también ofrece servicio de lavandería, pista de baloncesto, mesa de ping pong, pista de voleibol y tablas de bodyboard, todo ello de uso y acceso gratuito. El personal del mostrador de información turística proporciona consejos sobre lugares para visitar y ofrece un servicio de organización de excursiones.

El Maxmee Backpackers Resort ganó el premio TripAdvisor Award for Excellence tanto en 2014 como en 2015. Hay habitaciones compartidas y apartamentos independientes de 2 dormitorios.

Este albergue se encuentra a solo 20 minutos a pie (8 minutos en tranvía) de la avenida Cavill, que alberga varios sitios para comer, tiendas y locales de ocio nocturno. El aeropuerto de Gold Coast queda a 30 minutos en coche."
Backpackers In Paradise 18-35 Hostel,US$36,"5,9",Puntuación,2.055,https://cf.bstatic.com/xdata/images/hotel/max1024x768/144475261.webp?k=669106a19fb7344a6be3f98b04c706b5a8d9c11ead34a90454dbe83b636ff6a6&o=,https://www.booking.com/hotel/au/backpackers-in-paradise.es.html?aid=2410095,"Billar, Seguridad 24 horas, Desayuno, Tumbonas/sillas de playa, Fax / fotocopiadora, Taquillas, Bar, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Ducha, Sala de juegos, Aire acondicionado, Abierta todo el año, Sombrillas, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Terraza / solárium, Karaoke, Eventos deportivos en directo (emisión), Tarjeta de acceso, Habitaciones sin humo, Playa, Inglés, Noches de cine, Servicio de limpieza diario, Información turística, Ping pong, Máquina expendedora (bebidas), Happy hour, Zona TV / salón de uso compartido, Detectores de humo, Papel higiénico, WC, Extintores, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Jardín, Dardos, WiFi en todo el alojamiento, Caja fuerte, Zona de pícnic, Mobiliario exterior",Surfers Paradise,Australia,"Backpackers In Paradise is an 18 to 35 hostel situated in the heart of Surfers Paradise, just a minute’s walk from the transit centre, beach, clubs, restaurants and tourist attractions.

Guests enjoy access to a swimming pool, hammocks, and table tennis, billiard tables, a large sundeck, luggage storage facilities & limited on-site parking. A large communal kitchen is available for guests to use and there is a large central courtyard to enjoy. There are 2 laundry areas, surf board hire, and occasional weekend entertainment provided.

All rooms have an en suite bathroom and lockers.

The on-site Paradise Café has been closed for a period of time, we hope to open soon."
"voco Gold Coast, an IHG Hotel",US$209,"8,2",Muy bien,4.707,https://cf.bstatic.com/xdata/images/hotel/max1024x768/322542628.webp?k=88437340a996aef22a3180e2090f463b259339ab0fcefaa36e6c46a404788572&o=,https://www.booking.com/hotel/au/watermark-spa.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Apoyo visual: carteles táctiles, Snorkel, Baño privado, Servicio de habitaciones, Piragüismo, Fax / fotocopiadora, Lavamanos más bajo, Zona de fumadores, Servicio de lavandería, Chino, Toallas de playa/piscina, Abierta todo el año, Piscina climatizada, Ascensor, Restaurante, Japonés, 3 restaurantes, Eventos deportivos en directo (emisión), Servicio de limpieza en seco, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Buffet para niños, Servicio de limpieza diario, Información turística, Happy hour, Papel higiénico, Hervidor eléctrico, WC, TV, Secador de pelo, Submarinismo, Sofá, Valla alrededor de la piscina, Parking en un garaje, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Vistas, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Piscina con vistas, Aire acondicionado, Terraza, Pesca, Muy buen desayuno, Parking privado, Escritorio, Árabe, Plancha para pantalones, Extintores, Nevera, Campo de golf (a menos de 3 km), Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Cajero automático en el hotel, Servicio de conserjería, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, Cafetería en el alojamiento, TV de pantalla plana, Terraza / solárium, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Coreano, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Tarjetas de transporte público, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Servicio de planchado, Habitaciones insonorizadas, Zona de juegos interior, Parking adaptado para personas de movilidad reducida, Fruta, WC elevado, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Apoyo visual: braille, Adaptado personas de movilidad reducida, Inglés, Zona poco profunda, Para todas las edades, Cambio de moneda, Piscina al aire libre, Canguro / servicios para niños, Filipino, Jardín, Gimnasio, Suelo de moqueta",Surfers Paradise,Australia,"Located in the centre of Surfers Paradise,  voco Gold Coast features accommodation with ocean or hinterland views. It is located just a 4-minute walk from the beach and is surrounded by a variety of restaurants.

There are 2 outdoor swimming pools, 2 spa tubs and a fitness centre and games room.

The modern, designer rooms enjoy ocean or river views and include a flat-screen TV, refrigerator or minibar and are fully air-conditioned. The en suite bathrooms are supplied with essential amenities and a hairdryer. Access to shared laundry facilities is available.

You can also pay a visit to Clifford's Grill & Lounge, boasting a centerpiece ten-burner grill that our culinary talent sets alight daily to fire up fresh meats, seafood and other staple favourites grilled to mouth-watering perfection. Wind down at the Social House, which has gaming, a cafe and a bar with tempting cocktails.

There is a 24 hour business centre and meeting rooms available. The hotel offers tours and ticket assistance."
Vibe Hotel Gold Coast,US$219,"7,4",Bien,5.059,https://cf.bstatic.com/xdata/images/hotel/max1024x768/398467163.webp?k=dee29004ac53ebe26ba9828f25774ded8a9ec64ad3ca5bc3ceab62b15cb5c205&o=,https://www.booking.com/hotel/au/vibe-gold-coast.es.html?aid=2410095,"Snack-bar, Seguridad 24 horas, Desayuno, Toallas, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Zona de fumadores, Servicio de lavandería, Toallas de playa/piscina, Abierta todo el año, Ascensor, Restaurante, Camas extralargas (más de 2 metros), Servicio de limpieza en seco, Caja fuerte para ordenador portátil, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Utensilios de planchado, Información turística, Máquina expendedora (bebidas), Happy hour, Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Zona de comedor exterior, Secador de pelo, Alarma de seguridad, Zona de pícnic, Parking en un garaje, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Aire acondicionado, Máquina expendedora (aperitivos), Terraza, Horario de apertura, Balcón, Parking privado, Escritorio, Nevera, Extintores, Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Tumbonas/sillas de playa, Vestidor, Bañera de hidromasaje / jacuzzi, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, Cafetería en el alojamiento, TV de pantalla plana, Terraza / solárium, Tarjeta de acceso, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Patio, Adaptado personas de movilidad reducida, Inglés, Zona poco profunda, Para todas las edades, Piscina al aire libre, Jardín, Gimnasio, Suelo de moqueta, Zona de estar",Surfers Paradise,Australia,"El Vibe Hotel Gold Coast, de estilo moderno y contemporáneo, está situado a 5 minutos a pie de la playa de Surfers Paradise y ofrece vistas al río Nerang, piscina y aparcamiento.

Este hotel se halla a menos de 10 minutos en coche del parque temático Sea World. Los parques temáticos Dreamworld, Movie World and Wet 'n' Wild quedan a unos 25 minutos en coche.

Las habitaciones del Hotel Vibe Gold Coast son modernas y luminosas. Algunas tienen balcón con vistas excelentes al río o al mar. Las habitaciones también disponen de sofá y zona de cocina.

El restaurante Driftwood Social Club ofrece vistas con encanto al río y a la piscina. Está abierto todos los días y sirve desayunos, almuerzos, cenas y cócteles.

El Vibe Hotel Gold Coast está muy bien ubicado en pleno centro del animado distrito de Surfers Paradise. Está bien comunicado con las playas de arena dorada, las zonas de surf y los animados locales de ocio nocturno. El clima es perfecto."
Budds In Surfers Backpackers,US$42,"8,2",Muy bien,579,https://cf.bstatic.com/xdata/images/hotel/max1024x768/251505363.webp?k=f40ee11f5c5651173e751cf74be56411dc2e73e67bedf4e33afbfaf2dcfe3e41&o=,https://www.booking.com/hotel/au/budds-backpackers.es.html?aid=2410095,"Billar, Guardaequipaje, Snack-bar, Toallas, Tumbonas/sillas de playa, Alquiler de coches, Fax / fotocopiadora, Solo para adultos, Cocina, Taquillas, Bar, Cocina compartida, Ropa de cama, Enchufe cerca de la cama, Ducha, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Servicio de lavandería, Calefacción, Portugués, Patio, Clases de yoga, Llave de acceso, Aire acondicionado, Abierta todo el año, Sombrillas, Juegos de mesa / puzles, Alquiler de bicicletas, Español, Cenas temáticas, Habitaciones sin humo, Playa, Bingo, Personal de animación, Inglés, Entretenimiento nocturno, WiFi gratis, Servicio de limpieza diario, Ping pong, Happy hour, Zona TV / salón de uso compartido, Detectores de humo, Papel higiénico, Baño compartido, WC, Ruta de bares, Extintores, Piscina al aire libre, Secador de pelo, Cámaras de seguridad en las zonas comunitarias, Servicio de planchado, Mobiliario exterior, Zona de pícnic, Proporciona factura, Desayuno fabuloso",Surfers Paradise,Australia,"El Budds In Surfers Backpackers se encuentra a solo 100 metros de la playa de Budds y de la puesta de sol y a 5 minutos a pie de la playa de Surfers Paradise. Ofrece piscina de agua salada al aire libre y conexión WiFi gratuita. Hay un bar que ofrece entretenimiento nocturno.

El Budds In Surfers Hostel se encuentra a 10 minutos a pie de las tiendas y restaurantes de Cavill Avenue. Warner Bros. Movie World y Wet'n'Wild Water World se encuentran a 20 minutos en coche.

El establecimiento ofrece habitaciones privadas y compartidas. Todas cuentan con aire acondicionado y baño privado o compartido. Todas las habitaciones se limpian a diario. Las habitaciones compartidas cuentan con taquillas individuales.

El establecimiento cuenta con mesas de billar, tablas de surf gratuitas y servicio de alquiler de bicicletas. Los huéspedes tienen acceso a las zonas de salón y cocina compartidas. Se pueden alquilar bicicletas y tablas de surf por un suplemento y actividades diarias.

Los huéspedes pueden disfrutar de descuentos en clases de surf GetWet y en excursiones de surf de remo."
Novotel Surfers Paradise,US$268,"7,5",Bien,4.630,https://cf.bstatic.com/xdata/images/hotel/max1024x768/211312795.webp?k=a75e9ee737e9b46841da1dafbfec6d61d6b8fcd8c0efc903d38aacc58f67a914&o=,https://www.booking.com/hotel/au/novotel-surfers-paradise.es.html?aid=2410095,"Snack-bar, Seguridad 24 horas, Toallas, Lavamanos más bajo, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Pista de tenis, Zona de fumadores, Servicio de lavandería, Chino, Toallas de playa/piscina, Proporciona factura, Abierta todo el año, Bar en la piscina, Piscina climatizada, Ascensor, Restaurante, Japonés, Eventos deportivos en directo (emisión), Servicio de limpieza en seco, Habitaciones sin humo, Parking en la calle, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Utensilios de planchado, Tailandés, Máquina expendedora (bebidas), Acceso a pisos superiores en ascensor, Papel higiénico, Hervidor eléctrico, WC, TV, Buen desayuno, Secador de pelo, Zona de pícnic, Valla alrededor de la piscina, Servicio de despertador, Prohibido fumar en todo el alojamiento, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Situado frente a la playa, Servicio de despertador / alarma, Piscina con vistas, Aire acondicionado, Máquina expendedora (aperitivos), Terraza, Equipamiento de tenis, Playa, Balcón, Extintores, Teléfono, Caja fuerte, Mobiliario exterior, Parking, Recepción 24 horas, Guardaequipaje, Tumbonas/sillas de playa, Bañera de hidromasaje / jacuzzi, Servicio de conserjería, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Calefacción, Ropa de cama, Portugués, Cafetería en el alojamiento, TV de pantalla plana, Terraza / solárium, Barbacoa, Tarjeta de acceso, Español, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Tarjetas de transporte público, Detectores de humo, Armario, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Tetera/cafetera en todas las habitaciones, Alquiler de coches, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Adaptado personas de movilidad reducida, Radio, Inglés, Zona poco profunda, Cambio de moneda, Registro de entrada y salida exprés, Piscina al aire libre, Canguro / servicios para niños, Filipino, Jardín, Gimnasio, Habitaciones insonorizadas",Surfers Paradise,Australia,"El Novotel Surfers Paradise está ubicado en Gold Coast en el centro de la zona de Surfers Paradise, entre playas magníficas, animados locales de ocio nocturno y parques temáticos divertidos. Las habitaciones tienen balcón privado con vistas con encanto al mar o a la ciudad.

El Novotel Surfers Paradise cuenta con pista de tenis de dimensiones oficiales, centro de fitness y piscina al aire libre. También tiene bañera de hidromasaje. Se presta un servicio de masajes bajo petición.

El Novotel Surfers Paradise se encuentra a solo 5 minutos a pie de las tiendas, restaurantes y bares de la avenida Cavill. El aeropuerto de Gold Coast queda a 30 minutos en coche.

Las habitaciones disponen de ventanales, TV vía satélite y set de té/café. Algunas tienen bañera de hidromasaje. El alojamiento y el desayuno son gratuitos para 2 niños menores de 16 años que compartan habitación con sus progenitores.

El BLVD Café & Bar sirve el desayuno, además de comida deliciosa y una amplia variedad de bebidas durante todo el día. También se proporciona comida y bebida para llevar."
