hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Belvedere Playa Samara Costa Rica,https://www.booking.com/hotel/cr/belvedere-playa-samara-costa-rica.es.html?aid=2410095,"El Hotel Belvedere Playa Samara Costa Rica está situado en la bahía de Samara, a pocos pasos de una parada de autobuses. La playa se encuentra a solo 500 metros del establecimiento, que dispone de 2 piscinas al aire libre y bañera de hidromasaje.

Las habitaciones tienen aire acondicionado, WiFi gratuita, TV por cable, escritorio, nevera y caja fuerte. Hay una terraza con vistas a la piscina. El baño privado cuenta con ducha y artículos de aseo gratuitos.

El Hotel Belvedere Playa Samara Costa Rica está a solo 10 minutos a pie del centro de la localidad de Samara, donde hay restaurantes y supermercados.

En el hotel se pueden organizar salidas para practicar actividades como buceo, pesca, senderismo y equitación.

El aeropuerto internacional de Liberia se encuentra a 1 hora y 30 minutos en coche y el parque nacional Diriá, a 45 minutos en coche. El establecimiento organiza un servicio de traslado por un suplemento.","Caja fuerte, Inglés, Baño privado, Aire acondicionado, 2 piscinas, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Juegos de mesa / puzles, Detectores de humo, Sombrillas, Secador de pelo, TV de pantalla plana, Playa, Snorkel, Tours en bici, Servicio de traslado, Masajes, Entrada privada, Guardaequipaje, Senderismo, Zona de fumadores, Servicio de lavandería, Terraza, Artículos de aseo gratis, Ducha, Servicio de planchado, Parking adaptado para personas de movilidad reducida, Abierta todo el año, Jardín, Cambio de moneda, Mobiliario exterior, Zona TV / salón de uso compartido, Equitación, Máquina expendedora (bebidas), Toallas de playa/piscina, Parking en la calle, Clases de cocina, Servicio de limpieza diario, Alemán, Información turística, Extintores, Desayuno fabuloso, Instalaciones para deportes acuáticos en el alojamiento, Registro de entrada y salida exprés, Alquiler de coches, Servicio de habitaciones, Para todas las edades, WiFi gratis, Bañera de hidromasaje / jacuzzi, Submarinismo, Ciclismo, Taquillas, Juguetes para la piscina, Ventilador, Perchero, Terraza / solárium, Zona de estar, Tumbonas/sillas de playa, Armario, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/14895687.jpg?k=4c8757b268e58e81069014b15084900ae67f6c4260bc27456cfcefc01bf5f950&o=&hp=1,Sámara,Costa Rica
Nammbú Beach Front Bungalows,https://www.booking.com/hotel/cr/nammbu-beach-front-bungalows.es.html?aid=2410095,"Nammbú Beach Front Bungalows ofrece alojamiento de 4 estrellas en Sámara, frente a la playa, y tiene piscina al aire libre, centro de fitness y jardín. Este alojamiento, que tiene servicio de habitaciones, también ofrece terraza. El restaurante sirve platos de cocina americana y de cocina local, y el bar es ideal para tomar algo.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana, balcón y baño privado con ducha. En Nammbú Beach Front Bungalows, las habitaciones incluyen ropa de cama y toallas.

Playa Carrillo está a 3 min a pie del alojamiento. El aeropuerto (Aeropuerto de Nosara) está a 34 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Vino / champán, Salas de reuniones / banquetes, Detectores de humo, Playa, Masajes, Bar, Zona de fumadores, Nevera, Escritorio, Mobiliario exterior, Tarjeta de acceso, Piscina al aire libre, Muy buen desayuno, Servicio de habitaciones, WiFi gratis, Terraza / solárium, Masaje de pies, Papel higiénico, Ropa de cama, Habitaciones sin humo, Teléfono, WC, Bañera, Sofá, Ducha, Parking adaptado para personas de movilidad reducida, Reloj despertador, Situado frente a la playa, Toallas de playa/piscina, Zona poco profunda, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Menú para niños, Balcón, WC con barras de apoyo, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Adaptado para sillas de ruedas, Piscina con vistas, Sombrillas, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Guardaequipaje, Centro de negocios, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Extintores, Alquiler de coches, Masaje de cabeza, Taquillas, Zona de estar, Habitaciones familiares, Español, Masaje de cuello, Caja fuerte, Inglés, Juegos de mesa / puzles, TV de pantalla plana, Menús para dietas especiales (bajo petición), Toallas, Masaje de manos, Bañera o ducha, Snorkel, Masaje de espalda, Restaurante, Abierta todo el año, Servicio de planchado, Cambio de moneda, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Happy hour, Equitación, Clases de yoga, Adaptado personas de movilidad reducida, Taquillas en el gimnasio / spa, Instalaciones de spa, Armario, Bar en la piscina, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/224337981.jpg?k=9afc8488659c540fecfd927264d5c825fc9604d0a68a5a7b3ce57062ed61f1d5&o=&hp=1,Sámara,Costa Rica
Hostel Matilori,https://www.booking.com/hotel/cr/hostel-matilori.es.html?aid=2410095,"El Hostel Matilori, situado en el centro de Sámara, cuenta con 2 cocinas compartidas. Ofrece conexión WiFi gratuita y un patio al aire libre rodeado de árboles de mango, donde se puede tomar un café a la sombra.

El alojamiento dispone de ventilador y caja fuerte. Los baños son compartidos.

El Hostel Matilori tiene zona de barbacoa, hamacas, un salón compartido, una sala de juegos y aparcamiento gratuito.

El albergue está a 5 minutos a pie de muchos sitios para comer. Se encuentra a 3 minutos a pie de la playa de Sámara y a 200 metros de la estación de autobuses de Sámara.","Caja fuerte, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Cámaras de seguridad en las zonas comunitarias, Baño compartido, Snorkel, Cocina compartida, Servicio de traslado, Barbacoa, Guardaequipaje, Zona de fumadores, Terraza, Alquiler de bicicletas, Jardín, Mobiliario exterior, Zona TV / salón de uso compartido, Equitación, Parking en la calle, Alemán, Piragüismo, Información turística, Extintores, WiFi gratis, Submarinismo, Taquillas, Ventilador, Perchero, Traslado aeropuerto (gratis), Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/44475281.jpg?k=9dc899a65cd93370cf033b907b1697ac2818a89bb0e61aea667eed489e9507fe&o=&hp=1,Sámara,Costa Rica
Oasis,https://www.booking.com/hotel/cr/oasis-samara.es.html?aid=2410095,"El Oasis está situado en Sámara, a 46 km de Santa Teresa y a 18 km de Nosara. Ofrece aparcamiento privado gratuito y WiFi gratuita en todas las instalaciones.

Los alojamientos cuentan con terraza o balcón. Todos ellos disponen de baño privado con bañera o ducha.

El aeropuerto internacional Daniel Oduber Quirós se encuentra a 79 km.","Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Vistas al jardín, Baño privado, Inglés, Aseo adicional, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Lavavajillas, Toda la unidad en la planta baja, Zona de cocina, Francés, Toallas, Bañera o ducha, WC, Entrada privada, Senderismo, Nevera, Zona de fumadores, Enchufe cerca de la cama, Terraza, Ducha, Artículos de aseo gratis, Utensilios de cocina, Zona de comedor, Jardín, Vestidor, Mobiliario exterior, Cafetera, Escritorio, Mosquitera, Tostadora, Mesa de comedor, Equitación, Servicio de limpieza diario, Microondas, Extintores, WiFi gratis, Cocina, Tendedero, Ciclismo, Ventilador, Perchero, Toallas / sábanas (por un suplemento), Terraza / solárium, Productos de limpieza, Zona de estar, Tetera / cafetera, Armario, Habitaciones familiares, Pesca, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/98180212.jpg?k=7aac91873f71944a94c3cb2c612778cb4f21c3f9fab2bdf035c76f740acd1623&o=&hp=1,Sámara,Costa Rica
Blue Iguana,https://www.booking.com/hotel/cr/playa-samara.es.html?aid=2410095,"El Blue Iguana se encuentra en Samara, a solo 1 minuto a pie de la playa, y alberga una piscina y un restaurante asiático galardonado, el Asian Sushi.

Dispone de 40 habitaciones privadas y compartidas, ventiladores fuertes, aire acondicionado, TV y conexión WiFi gratuita en todas las instalaciones. Las habitaciones disponen de baño privado.

El establecimiento alberga una cocina compartida. El aparcamiento se encuentra fuera del establecimiento, en torno al parque, frente al hotel. Todas las reservas incluyen el desayuno.

Nosara se encuentra a 35 km del Blue Iguana, mientras que Carrillo está a 7 km.","Holandés, Servicios de belleza, Manicura, Registro de entrada / salida privado, Detectores de humo, Playa, Snack-bar, Masajes, Bar, Ping pong, Ruta de bares, Servicio de limpieza en seco, Mobiliario exterior, Alemán, Tour o clase sobre cultura local, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Música / espectáculos en directo, Terraza / solárium, Proporciona factura, Masaje de pies, Exfoliación corporal, Eventos deportivos en directo (emisión), Habitaciones sin humo, WC, Cocina compartida, Tours en bici, Servicio de traslado, Tratamientos corporales, Senderismo, Servicio de conserjería, Ducha, Zona de pícnic, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Paquetes de spa / bienestar, Aeróbic, Perchero, Billar, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Traslado aeropuerto, Noches de cine, Sombrillas, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Supermercado pequeño en el alojamiento, Dardos, Guardaequipaje, Baños públicos, Servicio de lavandería, Alquiler de bicicletas, Jardín, Masaje en pareja, Extintores, Alquiler de coches, Masaje de cabeza, Discoteca / DJ, Karaoke, Habitaciones familiares, Desayuno, Español, Masaje de cuello, Inglés, Tratamientos faciales, Juegos de mesa / puzles, Campo de golf (a menos de 3 km), Francés, Masaje de manos, Bañera o ducha, Equipamiento de bádminton, Snorkel, Barbacoa, Masaje de espalda, Restaurante, Abierta todo el año, Tours a pie, Cambio de moneda, Prohibido fumar en todo el alojamiento, Happy hour, Equitación, Máquina expendedora (bebidas), Clases de yoga, Tratamientos capilares, Para todas las edades, Instalaciones para deportes acuáticos en el alojamiento, Adaptado personas de movilidad reducida, Instalaciones de spa, Pedicura, Envoltura corporal, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/282855724.jpg?k=471946cf0480b447e8725459c81c7789d07329f2718f2f40c367089a1a32c014&o=&hp=1,Sámara,Costa Rica
Samara Palm Lodge,https://www.booking.com/hotel/cr/samara-palm-lodge-playa-samara.es.html?aid=2410095,"El Samara Palm Lodge está situado en el límite de la pequeña localidad de Playa Sámara. La playa y el centro de Sámara están a 5 minutos.

El Samara Palm Lodge alberga una piscina con jardín paisajista y un bar de autoservicio.

Todas las habitaciones disponen de cama extragrande, ventilador o aire acondicionado, cajón con cerradura y baño privado con agua caliente. Hay WiFi en todas las instalaciones. El hotel organiza actividades como buceo, pesca, senderismo y paseos a caballo.

El aeropuerto internacional de Liberia está a 120 minutos en coche del hotel y el parque nacional de Diria, a 60 minutos en coche. El establecimiento puede ayudarle a organizar el transporte.","Servicio de despertador / alarma, Papel higiénico, Ropa de cama, Caja fuerte, Servicio de despertador, Baño privado, Inglés, Vino / champán, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Detectores de humo, Sombrillas, Secador de pelo, Playa, Toallas, Cafetería en el alojamiento, Supermercado pequeño en el alojamiento, Bañera o ducha, Snorkel, WC, Masajes, Guardaequipaje, Senderismo, Nevera, Equipamiento de juegos para exterior, Zona de fumadores, Plancha para pantalones, Enchufe cerca de la cama, Pesca, Terraza, Ducha, Artículos de aseo gratis, Tours a pie, Almuerzos para llevar, Abierta todo el año, Jardín, Llave de acceso, Mobiliario exterior, Mosquitera, Equitación, Máquina expendedora (bebidas), Toallas de playa/piscina, Parking en la calle, Clases de cocina, Servicio de limpieza diario, Alemán, Información turística, Fruta, Piscina al aire libre, Instalaciones para deportes acuáticos en el alojamiento, Registro de entrada y salida exprés, Extintores, Servicio de habitaciones, Para todas las edades, WiFi gratis, Servicio de aparcacoches, Submarinismo, Ciclismo, Ventilador, Perchero, Tumbonas/sillas de playa, Armario, Habitaciones familiares, Desayuno excepcional, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/553790038.jpg?k=c69555b113359e947e374c55cdb38d57f0f8c9ca9a0a6a8b2c5358b7a2b9e9e0&o=&hp=1,Sámara,Costa Rica
LA DOLCE VITA - on the Beach - Samara,https://www.booking.com/hotel/cr/la-dolce-vita-playa-samara.es.html?aid=2410095,"LA DOLCE VITA - on the Beach - Samara está a 2 min a pie de Playa Sámara y ofrece alojamiento con restaurante, jardín, terraza y bar. Hay wifi gratis en todo el alojamiento.

Hay un baño compartido con ducha en algunas unidades, además de artículos de aseo gratuitos, secador de pelo y albornoces.

En el bed and breakfast, la clientela puede jugar al billar en el propio alojamiento o practicar windsurf o ciclismo en los alrededores.

Playa Buena Vista está a 2,9 km del alojamiento, y Parque Nacional Barra Honda está a 50 km. El aeropuerto (Aeropuerto de Nosara) está a 26 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Club infantil, Servicios de depilación, Windsurf, Servicios de belleza, Manicura, Vino / champán, Registro de entrada / salida privado, Tarjetas de transporte público, Playa, Snack-bar, Masajes, Bar, Hipoalergénico, Ping pong, Zona de fumadores, Ruta de bares, Mobiliario exterior, Peluquería / salón de belleza, Alemán, Servicio de habitaciones, Galerías de arte temporales, Música / espectáculos en directo, Servicios de maquillaje, Peinado, Cajero automático en el hotel, Masaje de pies, Exfoliación corporal, Papel higiénico, Servicio de despertador, Portugués, Habitaciones sin humo, Cenas temáticas, Albornoz, Desayuno en la habitación, Secador de pelo, Libros, DVD o música para niños, Tratamientos corporales, Tours en bici, Servicio de traslado, Zona de spa / relajación, Senderismo, Servicio de conserjería, Canguro / servicios para niños, Almuerzos para llevar, Ducha, Corte de pelo, Parking adaptado para personas de movilidad reducida, Situado frente a la playa, Zona de pícnic, Servicio de limpieza diario, Clases de fitness, Información turística, Fruta, Desayuno fabuloso, Masaje corporal completo, Paquetes de spa / bienestar, Aeróbic, Billar, Tumbonas/sillas de playa, Menú para niños, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Sala de juegos, Sombrillas, Seguridad 24 horas, Entrenador personal, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Supermercado pequeño en el alojamiento, Entretenimiento nocturno, Guardaequipaje, Recepción 24 horas, Wifi rápida gratis (151 Mbps), Servicio de lavandería, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Jardín, Masaje en pareja, Zona privada de playa, Boles para mascotas, Extintores, Alquiler de coches, Registro de entrada y salida exprés, Masaje de cabeza, Karaoke, Habitaciones familiares, Español, Masaje de cuello, Caja fuerte, Tinte, Inglés, Tratamientos faciales, Vistas a un patio interior, Juegos de mesa / puzles, Zona de juegos interior, Menús para dietas especiales (bajo petición), Francés, Toallas, Plancha para ropa, Masaje de manos, Snorkel, Barbacoa, Masaje de espalda, Restaurante, Equipamiento de juegos para exterior, Tours a pie, Italiano, Servicio de planchado, Cambio de moneda, Llave de acceso, Prohibido fumar en todo el alojamiento, Happy hour, Equitación, Parking en la calle, Clases de yoga, Tratamientos capilares, Piragüismo, Instalaciones para deportes acuáticos en el alojamiento, Instalaciones de spa, Ciclismo, Pedicura, Ventilador, Envoltura corporal, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/240063681.jpg?k=3e7c3b5ae00fb5bcff838fc60070cecc9321a45aef51f523043c3c02c7ce7517&o=&hp=1,Sámara,Costa Rica
Hostel Mariposas,https://www.booking.com/hotel/cr/las-mariposas-samara.es.html?aid=2410095,"Hostel Mariposas se encuentra en Sámara, a 5 min a pie de Playa Sámara, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento, que cuenta con servicio de conserjería, también ofrece barbacoa. El alojamiento dispone de ocio nocturno y cocina compartida.

La clientela puede practicar actividades en Sámara y alrededores, como senderismo, snorkel y ciclismo.

Playa Buena Vista está a 2,7 km del alojamiento, y Parque Nacional Barra Honda está a 50 km. El aeropuerto (Aeropuerto de Nosara) está a 26 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Alarma de seguridad, Inglés, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Tarjetas de transporte público, Noches de cine, Playa, Chimenea exterior, Cámaras de seguridad en las zonas comunitarias, Snorkel, Cocina compartida, Servicio de traslado, Barbacoa, Masajes, Entretenimiento nocturno, Guardaequipaje, Senderismo, Zona de fumadores, Servicio de conserjería, Ruta de bares, Servicio de lavandería, Terraza, Tours a pie, Ducha, Alquiler de bicicletas, Jardín, Mobiliario exterior, Happy hour, Zona TV / salón de uso compartido, Equitación, Zona de pícnic, Clases de yoga, Piragüismo, Extintores, Boles para mascotas, Clases de fitness, Discoteca / DJ, WiFi gratis, Música / espectáculos en directo, Submarinismo, Ciclismo, Taquillas, Pesca, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/112769943.jpg?k=8f16fedcf00c1e4afaeee1a22210b4759dd35e0a368046e2707dc23befc3e94a&o=&hp=1,Sámara,Costa Rica
Woodstock Hostel,https://www.booking.com/hotel/cr/woodstock-hostel.es.html?aid=2410095,"Woodstock Hostel se encuentra en Sámara, a 8 min a pie de Playa Sámara, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. Este alojamiento ofrece cocina compartida y servicio de conserjería, además de wifi gratis en todo el alojamiento. Algunas unidades del alojamiento incluyen un balcón con vistas al jardín.

El albergue ofrece barbacoa.

Playa Buena Vista está a 19 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto de Nosara) está a 25 km.","Cámaras de seguridad fuera del alojamiento, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Juegos de mesa / puzles, Sala de juegos, Francés, Cámaras de seguridad en las zonas comunitarias, Supermercado pequeño en el alojamiento, Cocina compartida, Barbacoa, Guardaequipaje, Zona de fumadores, Servicio de conserjería, Terraza, Alquiler de bicicletas, Parking adaptado para personas de movilidad reducida, Jardín, Mobiliario exterior, Zona TV / salón de uso compartido, Zona de pícnic, Servicio de limpieza diario, Información turística, Extintores, Registro de entrada y salida exprés, Solo para adultos, WiFi gratis, Taquillas, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/406454914.jpg?k=e86e83265e897094f7128fa78e0d6cf233dc96083369b26e384efd7165be0e0e&o=&hp=1,Sámara,Costa Rica
Casa Terra Hostel,https://www.booking.com/hotel/cr/casa-terra.es.html?aid=2410095,"Casa Terra Hostel se encuentra en Sámara y dispone de jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. Este alojamiento, que cuenta con cocina compartida, también ofrece barbacoa. El alojamiento dispone de traslado para ir o volver del aeropuerto y también hay servicio de alquiler de bicicletas.

El albergue ofrece algunas habitaciones con vistas incluyen, y todas tienen baño compartido con ducha.

Playa Sámara está a 8 min a pie del alojamiento, y Playa Buena Vista está a 1,6 km. El aeropuerto más cercano (Aeropuerto de Nosara) está a 25 km del alojamiento.","Masaje de pies, Masaje de cuello, Papel higiénico, Inglés, Gimnasio, Parking gratis, Habitaciones sin humo, Cenas temáticas, Traslado aeropuerto, Vistas a un patio interior, Juegos de mesa / puzles, Seguridad 24 horas, Playa, Chimenea exterior, Francés, Toallas, Cafetería en el alojamiento, Baño compartido, Snorkel, Masaje de manos, WC, Cocina compartida, Servicio de traslado, Barbacoa, Masajes, Guardaequipaje, Masaje de espalda, Senderismo, Zona de fumadores, Bañera, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Tours a pie, Alquiler de bicicletas, Jardín, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Masaje en pareja, Zona TV / salón de uso compartido, Equitación, Zona de pícnic, Clases de cocina, Servicio de limpieza diario, Piragüismo, Tour o clase sobre cultura local, Información turística, Extintores, Boles para mascotas, Clases de fitness, Masaje corporal completo, Masaje de cabeza, WiFi gratis, Galerías de arte temporales, Submarinismo, Taquillas, Ventilador, Toallas / sábanas (por un suplemento), Pesca, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/415471951.jpg?k=5398f2be6e7930683f3d3e04a28f95177cf9f4bac7e3b1779b3babed20f33644&o=&hp=1,Sámara,Costa Rica
