hotel,hotel_url,description,popular_facilities,highres_url,city,country
Pousada Santa Lolla,https://www.booking.com/hotel/br/pousada-santa-lolla.es.html?aid=2410095,"Pousada Santa Lolla está en São Carlos y tiene jardín, salón de uso común, bar y wifi gratis. Este alojamiento, que tiene habitaciones familiares, también ofrece barbacoa.

En la posada u hostería, las habitaciones están equipadas con armario y baño compartido.","Bar, Servicio de lavandería, Zona de fumadores, WiFi gratis, Ventilador, Barbacoa, Habitaciones sin humo, Español, Suelo de moqueta, Armario, Toallas, Servicio de limpieza diario, Jardín, Parking gratis, Parking en un garaje, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Baño compartido, Habitaciones familiares, Portugués, Tendedero, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/287561721.jpg?k=65f59240ea7c3afe4469889b236376a23d88b18b74c3ff72df0cad304dbd750d&o=&hp=1,São Carlos,Brasil
Hotel Nacional Inn São Carlos & Convenções,https://www.booking.com/hotel/br/nacional-inn-sao-carlos.es.html?aid=2410095,"El Hotel Nacional Inn São Carlos & Convenções ofrece WiFi gratuita y alojamiento a 5 km del centro de la ciudad. El establecimiento alberga una zona de ocio con piscina climatizada, centro de fitness y restaurante.

Todas las habitaciones disponen de aire acondicionado, TV de pantalla plana y minibar.

El establecimiento cuenta con recepción 24 horas y sauna compartida.

El Hotel Nacional Inn São Carlos & Convenções se encuentra a 42 km de Rodovia Washington Luiz Araraquara y a 25 km de Itirapina.

Las reservas de más de 3 apartamentos se consideran reservas de grupo. Los pagos deben realizarse en un plazo de 24 horas tras la confirmación de la reserva.","Tarjeta de acceso, Abierta todo el año, Extintores, Adaptado personas de movilidad reducida, Teléfono, Alarma de seguridad, TV, Caja fuerte, Buffet para niños, Sauna, Salas de reuniones / banquetes, Para todas las edades, Sala de juegos, Almuerzos para llevar, Música / espectáculos en directo, Zona de juegos interior, Recepción 24 horas, Zona de pícnic, Club infantil, Portugués, Tumbonas/sillas de playa, Restaurante, Escritorio, Piscina interior, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Artículos de aseo gratis, Billar, Clases de fitness, TV de pantalla plana, Ropa de cama, Zona de fumadores, Zona de juegos para niños, Enchufe cerca de la cama, Menú para niños, Armario, Toallas, Gimnasio, Canales por cable, Servicio de habitaciones, Capilla, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, Toallas de playa/piscina, WC, Personal de animación, Cámaras de seguridad fuera del alojamiento, Suelo de baldosa / mármol, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Bar, Servicio de lavandería, Entretenimiento nocturno, Llave de acceso, Sombrillas, Menús para dietas especiales (bajo petición), Zona poco profunda, WiFi gratis, Juguetes para la piscina, Parking privado, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, Servicio de limpieza diario, Cubierta para piscina, Desayuno en la habitación, Vino / champán, Equipamiento de juegos para exterior, Aire acondicionado, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/493272540.jpg?k=a37500cd52d73ccf34c0b7c6757059720c69624183e63faa68c0b7f427dbd86c&o=&hp=1,São Carlos,Brasil
The Hill Hotéis Executive,https://www.booking.com/hotel/br/slaviero-executive-sapso-carlos.es.html?aid=2410095,"El The Hill Hotéis Executive se encuentra a 5 km de la Universidad USP de São Carlos y a 2 km de la Universidad UFSCAR y cuenta con piscina al aire libre. Hay conexión Wi-Fi gratuita y servicio de habitaciones.

Las habitaciones presentan una decoración contemporánea con suelo de madera y disponen de aire acondicionado, TV, minibar y caja fuerte. El baño incluye artículos de aseo gratuitos.

Todos los días se sirve un desayuno bufé que incluye una variedad de embutidos, panes y zumos.

El Hill Hotéis Executive se encuentra a 7 km del centro comercial Iguatemi y a 3,5 km de la estación de autobuses de São Carlos. El Araraquara’s. El aeropuerto Bartolomeu de Gusmão está a 45 km y hay aparcamiento privado gratuito.","Pista de tenis, Tarjeta de acceso, Abierta todo el año, Extintores, Reloj despertador, Adaptado personas de movilidad reducida, Piscina al aire libre, Teléfono, Alarma de seguridad, TV, Caja fuerte, Salas de reuniones / banquetes, Para todas las edades, Sala de juegos, Piscina infantil, Minigolf, Recepción 24 horas, Guiado auditivo, Portugués, Tumbonas/sillas de playa, Equipamiento de tenis, Escritorio, Toda la unidad accesible en silla de ruedas, Happy hour, Servicio de streaming (como Netflix), Barbacoa, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Servicio de despertador / alarma, Bidet, Billar, Horario de apertura, Habitaciones comunicadas disponibles, TV de pantalla plana, Enchufe cerca de la cama, Español, Vistas a la ciudad, Armario, Gimnasio, WC con barras de apoyo, Servicio de habitaciones, Parking gratis, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, WC, Taquillas, Cámaras de seguridad fuera del alojamiento, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Servicio de lavandería, Llave de acceso, Desayuno fabuloso, Insonorización, Sombrillas, Menús para dietas especiales (bajo petición), WiFi gratis, Registro de entrada y salida exprés, Parking adaptado para personas de movilidad reducida, Bañera o ducha, Guardaequipaje, Servicio de limpieza diario, Proporciona factura, Desayuno en la habitación, Vino / champán, Secador de pelo, Toda la unidad en la planta baja, Aire acondicionado, Lavamanos más bajo, Zona de spa / relajación, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/157316623.jpg?k=56dc2b6e49b2df664a8aacf8dfd06a0b1c6463117e8e1f3365d56de8a4fac42f&o=&hp=1,São Carlos,Brasil
Bravo Suites São Carlos,https://www.booking.com/hotel/br/bravo-the-hill.es.html?aid=2410095,"Bravo Suites São Carlos ofrece alojamiento en São Carlos. El hotel también dispone de wifi gratis y parking privado gratis.

En la recepción 24 horas se habla inglés y portugués, y el personal está siempre dispuesto a echar una mano.","Parking gratis, Inglés, Portugués, Buen desayuno, Recepción 24 horas, Aire acondicionado, WiFi gratis, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/411595817.jpg?k=47e1a5f5e4c7b43318db74a5d6b6b0d9d400a0d225092ac206d4b1dbffda8f1f&o=&hp=1,São Carlos,Brasil
Láparos Hotel,https://www.booking.com/hotel/br/laparos.es.html?aid=2410095,"Láparos Hotel ofrece alojamiento en São Carlos. Este hotel de 3 estrellas tiene habitaciones con aire acondicionado, baño privado y wifi gratis. El hotel dispone de habitaciones familiares.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, todas las habitaciones incluyen ropa de cama y toallas.

En Láparos Hotel se puede disfrutar de un desayuno buffet.

En recepción se habla catalán, inglés, español y francés, y el personal siempre está dispuesto a echar una mano.","Acceso a pisos superiores en ascensor, Inglés, TV de pantalla plana, Extintores, Insonorización, Ropa de cama, Perchero, WiFi gratis, Enchufe cerca de la cama, Teléfono, Servicio de despertador, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Español, Francés, Guardaequipaje, Salas de reuniones / banquetes, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Proporciona factura, Canales por cable, Catalán, Parking gratis, Baño privado, Italiano, Portugués, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Taquillas, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/262200190.jpg?k=e8687d3636a28c0c530d8c318ba90f7bae6503dc84bd65b793e78b5dccb0aa4b&o=&hp=1,São Carlos,Brasil
Indaiá Hotel Residence,https://www.booking.com/hotel/br/indaia-residence.es.html?aid=2410095,"El Indaiá Hotel Residence está situado en São Carlos, a 450 metros de USP y a 2 km de UFSCar, y ofrece conexión WiFi y aparcamiento privado, ambos gratuitos.

Las habitaciones disponen de TV de pantalla plana con canales por cable.

Además, hay una recepción abierta las 24 horas.

El Indaiá Hotel Residence se encuentra a 50 metros de la estación de autobuses más cercana, a 38 km de Araraquara y a 29 km de Itirapina.","Inglés, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Ropa de cama, Escritorio, Sofá, WiFi gratis, Hipoalergénico, Teléfono, Fax / fotocopiadora, Servicio de despertador, Suelo de madera o parquet, TV, Habitaciones hipoalergénicas, Minibar, Centro de negocios, Caja fuerte, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Servicio de aparcacoches, Servicio de limpieza diario, Canales por cable, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Caja fuerte para ordenador portátil, Secador de pelo, Recepción 24 horas, Ascensor, Aire acondicionado, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/76505602.jpg?k=153db0ab6465d4ebdc533145d57ce3b3f628eede577175949040bed00e97d7be&o=&hp=1,São Carlos,Brasil
Bravo City Hotel Sao Carlos,https://www.booking.com/hotel/br/bravo-city-sao-carlos.es.html?aid=2410095,"Bravo City Hotel Sao Carlos ofrece alojamiento en São Carlos. El hotel también dispone de wifi gratis y parking privado gratis.

El personal de la recepción 24 horas puede ayudar a la clientela con cualquier consulta que tenga.","Parking gratis, Portugués, Buen desayuno, Recepción 24 horas, Aire acondicionado, Habitaciones familiares, WiFi gratis, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/437199908.jpg?k=33c6fd91b119037fcaa60bd5d81d9e1603a26a82d8c1ab679db81083cfd2e9de&o=&hp=1,São Carlos,Brasil
Hotel Dan Inn São Carlos,https://www.booking.com/hotel/br/arco-sao-carlos.es.html?aid=2410095,"El Hotel Dan Inn São Carlos ofrece alojamiento práctico en São Carlos, a 3 km del centro de la ciudad. Hay conexión WiFi gratuita en todas las instalaciones.

Las habitaciones disponen de TV, aire acondicionado y minibar. El baño privado incluye ducha y artículos de aseo gratuitos. Se proporciona ropa de cama. También hay servicio de lavandería.

Todas las mañanas se sirve un desayuno buffet en la sala de desayunos. Incluye fruta fresca variada, pan, embutidos y una selección de bebidas frías y calientes.

El Hotel Dan Inn São Carlos se encuentra a 300 metros de Milton Olaio Filho de São Carlos y a 3 km de la estación de autobuses de Sao Carlos.","Acceso a pisos superiores en ascensor, Inglés, Bar, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Escritorio, WiFi gratis, Estación de carga de vehículos eléctricos, Parking privado, Teléfono, Fruta, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Artículos de aseo gratis, Suelo de baldosa / mármol, Canales por cable, Parking en un garaje, Baño privado, Vino / champán, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/496975011.jpg?k=8d91e656f0af9e01da1f1d295fdf5480e4bebcd53c52c7f4c57903c9bbf0b680&o=&hp=1,São Carlos,Brasil
Pousada & Hostel São Carlos,https://www.booking.com/hotel/br/pousada-sao-carlos-sao-carlos.es.html?aid=2410095,Pousada & Hostel São Carlos se encuentra en São Carlos y cuenta con jardín. Posada u hostería ofrece parking privado gratis y wifi gratis.,"Parking gratis, Jardín, Portugués, Piscina al aire libre, Aire acondicionado, Habitaciones familiares, Cocina compartida, WiFi gratis, Habitaciones sin humo, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/447946919.jpg?k=ca62b9ac5024b5b2c7b545787d42767411966f38c13a0f4209eb3c426c7eccdc&o=&hp=1,São Carlos,Brasil
Central Park Hotel Residence,https://www.booking.com/hotel/br/central-park-residence.es.html?aid=2410095,"El Central Park está situado a solo 50 metros de la Universidad USP. Ofrece desayuno a la carta, conexión Wi-Fi gratuita, recepción 24 horas y aparcamiento privado gratuito.

Las habitaciones cuentan con zona de estar con sofá, TV y minibar, así como escritorio y fregadero con tabla de lavar.

El Central Park Hotel Residence está a 1,3 km de la estación de autobuses de São Carlos y a 2 km del centro de la ciudad.","Extintores, Zona de fumadores, Escritorio, Perchero, WiFi gratis, Zona de estar, Ventilador, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Prohibido fumar en todo el alojamiento, Ducha, Servicio de limpieza diario, Buen desayuno, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/493928596.jpg?k=5fa52db349adf2e953e4e0d9943b76ea8e4bc81e626ad7d5f1ec83ec4bf05e61&o=&hp=1,São Carlos,Brasil
