hotel,hotel_url,description,popular_facilities,highres_url,city,country
Midland Hotel & Resort All Inclusive,https://www.booking.com/hotel/uy/midland-amp-resort.es.html?aid=2410095,"Midland Hotel & Resort All Inclusive tiene bicicletas gratis, salón de uso común, terraza y restaurante en Paso de los Toros. Este hotel de 5 estrellas ofrece club infantil, servicio de habitaciones y wifi gratis. El alojamiento dispone de personal de animación y recepción 24 horas.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con bidet. En Midland Hotel & Resort All Inclusive, las habitaciones tienen ropa de cama y toallas.

El alojamiento ofrece desayuno continental o sin gluten.

La clientela puede relajarse en el centro de spa y bienestar, que cuenta con piscina cubierta, centro de fitness y sauna, o en el jardín, equipado con zona de juegos infantil. La clientela puede practicar actividades en Paso de los Toros y alrededores, como ciclismo.","Terraza / solárium, Alquiler de bicicletas, Servicio de entrega de comestibles, Masaje de cuello, Chimenea exterior, Fax / fotocopiadora, Accesible para personas sordas, Paquetes de spa / bienestar, Perchero, Terraza, Tarjeta de acceso, Jardín, Masaje de espalda, Gimnasio, Secador de pelo, Club infantil, Parque acuático, WC elevado, Servicio de limpieza diario, Piscina infantil, Ping pong, Servicio de limpieza en seco, Caja fuerte, TV de pantalla plana, Recepción 24 horas, Papel higiénico, Adaptado personas de movilidad reducida, Calefacción, Piscina pequeña, Extintores, Proporciona factura, Teléfono, Horario de apertura, Ropa de cama, Dardos, Servicio de habitaciones, Canguro / servicios para niños, Música / espectáculos en directo, Sauna, Habitaciones sin humo, Bar, Bidet, Comedia en vivo, Equipamiento de juegos para exterior, Barbacoa, Ascensor, Zona de fumadores, Tiro con arco, Cámaras de seguridad en las zonas comunitarias, Billar, Eventos deportivos en directo (emisión), Ciclismo, Barandillas protectoras para bebés, Información turística, Salas de reuniones / banquetes, Almuerzos para llevar, Desayuno, Personal de animación, Sala de juegos, Escritorio, Piscina infinita, Canales vía satélite, Servicio de streaming (como Netflix), Noches de cine, Cuerda de emergencia en el baño, Zona TV / salón de uso compartido, Camas extralargas (más de 2 metros), Toallas de playa/piscina, Toda la unidad accesible en silla de ruedas, Abierta todo el año, Ducha, Spa y centro de bienestar, Equipamiento de tenis, Centro de negocios, Artículos de aseo gratis, Seguridad 24 horas, Piscina climatizada, Minibar, Lavamanos más bajo, Parking gratis, Bañera o ducha, Guardaequipaje, WC, Vistas, WiFi gratis, Bingo, Entretenimiento nocturno, Registro de entrada y salida exprés, Zona de juegos para niños, Restaurante, Buffet para niños, Cenas temáticas, Minigolf, Baño privado, Servicio de planchado, Masaje de cabeza, Registro de entrada / salida privado, Zona de spa / relajación, Toallas / sábanas (por un suplemento), Instalaciones de spa, Habitaciones familiares, Tours a pie, Vistas a un lugar de interés, Plancha para pantalones, Masaje corporal completo, Tumbonas/sillas de playa, Adaptado para sillas de ruedas, Baños públicos, Mobiliario exterior, Masaje de manos, Desayuno en la habitación, Masaje de pies, Juegos de mesa / puzles, Aire acondicionado, Masajes, Servicio de lavandería, Servicio de traslado, Para todas las edades, Aeróbic, Toallas, Juguetes para la piscina, Enchufe cerca de la cama, Cámaras de seguridad fuera del alojamiento, TV, Canales por cable, Vino / champán, Tour o clase sobre cultura local, Cafetería en el alojamiento, Servicio de despertador / alarma, WC con barras de apoyo, Inglés, Fruta, Portugués, Tours en bici, Piscina interior, Menú para niños, Detectores de humo, Tendedero, Menús para dietas especiales (bajo petición), Piscina con vistas, Zona poco profunda, Pista de tenis, Servicio de despertador, Pesca, Armario, Zona de pícnic, Acceso a pisos superiores en ascensor, Snack-bar, Zona de juegos interior, Español, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/482290150.jpg?k=170fa51c71db571be1efdbc7c672e83090f9f8e488d40f0c22af974710ee6d96&o=&hp=1,Tacuarembó,Uruguay
Apartamento de dos dormitorios,https://www.booking.com/hotel/uy/apartamento-de-dos-dormitorios-paso-de-los-toros.es.html?aid=2410095,"Apartamento de dos dormitorios está en Paso de los Toros. Este apartamento ofrece alojamiento con wifi gratis.

Este apartamento tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana y cocina.","Escritorio, WiFi gratis, Inglés, Cocina, TV de pantalla plana, Lavadora, Aire acondicionado, Español, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/540017440.jpg?k=49097f8ffa20317bee7cdcf820e04c0c762547ac05cf0c8f22bb8f828976b9e2&o=&hp=1,Tacuarembó,Uruguay
Chacra El Timbó,https://www.booking.com/hotel/uy/chacra-el-timbo.es.html?aid=2410095,"Chacra El Timbó está en Tacuarembó y ofrece terraza. Esta casa o chalet tiene jardín y parking privado gratis.

Esta casa o chalet tiene aire acondicionado y cuenta con 1 dormitorio, TV de pantalla plana por cable, zona de comedor, cocina con nevera y sala de estar. Hay toallas y ropa de cama en la casa o chalet.","Tetera / cafetera, Toallas, Parking gratis, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Bañera o ducha, Cocina, Lavadora, TV, Barbacoa, Canales por cable, Vistas, Perchero, Terraza, Utensilios de cocina, Independiente, Jardín, Patio, Zona de comedor exterior, Suelo de baldosa / mármol, Ventilador, Productos de limpieza, Zona de comedor, Sofá cama, Cafetera, Habitaciones familiares, Vistas a un lugar de interés, Zona de estar, Vistas al jardín, TV de pantalla plana, Zona de cocina, Nevera, Armario, Papel higiénico, Calefacción, Aire acondicionado, Español, Toda la unidad en la planta baja, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/531396304.jpg?k=3de91d2937971dd185008e3db24549edd9e85ea399ffb74fc5308a7bf158a6be&o=&hp=1,Tacuarembó,Uruguay
Finca Paraiso Escondido,https://www.booking.com/hotel/uy/cabana-en-el-campo.es.html?aid=2410095,"Finca Paraiso Escondido, que está en Tacuarembó, tiene aire acondicionado y ofrece alojamiento con patio. Este apartamento dispone de parking privado gratis, recepción 24 horas y wifi gratis.

El apartamento dispone de 1 dormitorio, 1 baño, ropa de cama, toallas, TV de pantalla plana, zona de comedor, cocina totalmente equipada y terraza con vistas a la montaña. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.","Tetera / cafetera, Toallas, Parking gratis, Enchufe cerca de la cama, Wifi básica gratis (11 Mbps), Habitaciones sin humo, Aseo adicional, Cocina, Mesa de comedor, Bañera o ducha, TV, Chimenea exterior, Barbacoa, WC, Vistas, Accesible para personas sordas, Zona de fumadores, Vino / champán, Terraza, Utensilios de cocina, Independiente, Jardín, Español, Patio, Zona de comedor exterior, Registro de entrada y salida exprés, Suelo de baldosa / mármol, Información turística, Hervidor eléctrico, Fogones, Productos de limpieza, Baño privado, Registro de entrada / salida privado, Servicio de streaming (como Netflix), Llave de acceso, Zona de comedor, Toallas / sábanas (por un suplemento), Cafetera, Tendedero, Menús para dietas especiales (bajo petición), Habitaciones familiares, Tours a pie, Mosquitera, Vistas a un lugar de interés, Vistas al jardín, Zona de cocina, TV de pantalla plana, Nevera, Microondas, Zona de pícnic, Mobiliario exterior, Senderismo, Recepción 24 horas, Papel higiénico, Calefacción, Vistas a la montaña, Ducha, Entrada privada, Cama plegable, Aire acondicionado, Artículos de aseo gratis, Seguridad 24 horas, Toda la unidad en la planta baja, Servicio de traslado, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512838622.jpg?k=de6d782f87fce90e0e458d8ac2ca4cf0a59d75afd50c2ee7814beeb730e91932&o=&hp=1,Tacuarembó,Uruguay
Posada Don Manuel,https://www.booking.com/hotel/uy/posada-don-manuel-paso-de-los-toros.es.html?aid=2410095,"Posada Don Manuel está en Paso de los Toros y cuenta con jardín. Hay terraza solárium, wifi gratis y parking privado gratis.

Todas las habitaciones están equipadas con aire acondicionado, TV de pantalla plana con canales por cable, nevera, hervidor, ducha, artículos de aseo gratuitos y armario. La posada u hostería dispone de algunas habitaciones con vistas al jardín, y todas cuentan con patio. En Posada Don Manuel, las habitaciones cuentan con baño privado y ropa de cama.

La zona es ideal para practicar ciclismo, y en el alojamiento hay alquiler de coches.","Terraza / solárium, Minibar, Toallas, Parking gratis, Enchufe cerca de la cama, Habitaciones sin humo, Bañera o ducha, Cámaras de seguridad fuera del alojamiento, TV, Parking en la calle, Piscina al aire libre, WC, Canales por cable, Zona de fumadores, Perchero, Tour o clase sobre cultura local, Cámaras de seguridad en las zonas comunitarias, Utensilios de cocina, WiFi gratis, Ciclismo, Jardín, Español, Patio, Información turística, Hervidor eléctrico, Desayuno, Tours en bici, Baño privado, Registro de entrada / salida privado, Llave de acceso, Servicio de limpieza diario, Toallas / sábanas (por un suplemento), Menús para dietas especiales (bajo petición), Habitaciones familiares, Tours a pie, Alquiler de coches, TV de pantalla plana, Nevera, Microondas, Pesca, Armario, Zona de pícnic, Mobiliario exterior, Senderismo, Papel higiénico, Calefacción, Extintores, Proporciona factura, Ducha, Entrada privada, Seguridad 24 horas, Aire acondicionado, Artículos de aseo gratis, Toda la unidad en la planta baja, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/173463061.jpg?k=98a120c3c88b91cfca09a253317994fecba2759cd8d2be20e33efa8577f56565&o=&hp=1,Tacuarembó,Uruguay
Posada El Mariscal,https://www.booking.com/hotel/uy/posada-el-mariscal.es.html?aid=2410095,Posada El Mariscal está en Paso de los Toros y ofrece alojamiento con terraza.,"Inglés, Habitaciones sin humo, Balcón, Habitaciones familiares, Portugués, Vistas, Aire acondicionado, Español, Terraza, Baño privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/469377996.jpg?k=b35fc377c30e7ecb692bf4d5b7dbac2a03562a2c094575009d4ef2be66b7036f&o=&hp=1,Tacuarembó,Uruguay
Hotel FK Paso de los Toros - Hotel Boutique,https://www.booking.com/hotel/uy/fk-paso-de-los-toros.es.html?aid=2410095,"Hotel FK Paso de los Toros - Hotel Boutique tiene piscina al aire libre, jardín, terraza y bar en Paso de los Toros. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El hotel dispone de habitaciones familiares.

El hotel ofrece habitaciones con aire acondicionado, escritorio, hervidor, minibar, tostadora, caja fuerte, TV de pantalla plana, patio y baño privado con bidet. En Hotel FK Paso de los Toros - Hotel Boutique, todas las habitaciones incluyen ropa de cama y toallas.

El alojamiento ofrece barbacoa.","Servicio de habitaciones, Terraza / solárium, Minibar, Toallas, Parking gratis, Enchufe cerca de la cama, Habitaciones sin humo, Bar, Bañera o ducha, Desayuno fabuloso, Bidet, Cámaras de seguridad fuera del alojamiento, Barbacoa, TV, Piscina al aire libre, WC, Canales por cable, Parking en un garaje, Perchero, Terraza, Cámaras de seguridad en las zonas comunitarias, WiFi gratis, Jardín, Patio, Inglés, Suelo de baldosa / mármol, Secador de pelo, Hervidor eléctrico, Portugués, Tostadora, Baño privado, Escritorio, Servicio de streaming (como Netflix), Servicio de limpieza diario, Toallas / sábanas (por un suplemento), Para todas las edades, Habitaciones familiares, Plancha para pantalones, Mosquitera, Sombrillas, Caja fuerte, Plancha para ropa, Abierta todo el año, TV de pantalla plana, Tumbonas/sillas de playa, Secadora de ropa, Armario, Mobiliario exterior, Zapatillas, Recepción 24 horas, Papel higiénico, Calefacción, Aire acondicionado, Español, Artículos de aseo gratis, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/224938146.jpg?k=d0b9030b16adb3a45ff9ae97f92912fe03c6f598867f8dbf21afe8657fafd708&o=&hp=1,Tacuarembó,Uruguay
Bali,https://www.booking.com/hotel/uy/bali-san-gregorio-de-polanco.es.html?aid=2410095,"El Bali ofrece piscina al aire libre y alojamiento en San Gregorio de Polanco. Ofrece conexión WiFi gratuita y un desayuno continental diario.

Todas las habitaciones del Bali presentan una decoración indonesia. Tienen vistas preciosas al jardín y a la piscina, baño completo y TV de pantalla plana. Incluyen minibar y aire acondicionado. Algunas incluyen bañera de hidromasaje y suelo de baldosa.

El hotel cuenta con bañera de hidromasaje, zona de barbacoa y bar. El establecimiento ofrece bicicletas de uso gratuito y consigna de equipaje. Se ofrece servicio de traslado por un suplemento.

Se encuentra a 500 metros del río Negro. Hay aparcamiento gratuito disponible bajo petición.","Servicio de habitaciones, Terraza / solárium, Toallas, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Bar, Cámaras de seguridad fuera del alojamiento, Guardaequipaje, Piscina al aire libre, Vistas, Canales por cable, Zona de fumadores, Perchero, Vino / champán, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, WiFi gratis, Jardín, Español, Inglés, Fruta, Información turística, Buen desayuno, Secador de pelo, Productos de limpieza, Baño privado, Llave de acceso, Servicio de limpieza diario, Toallas / sábanas (por un suplemento), Solo para adultos, Solárium, Abierta todo el año, TV de pantalla plana, Mobiliario exterior, Papel higiénico, Servicio de conserjería, Calefacción, Extintores, Ducha, Galerías de arte temporales, Aire acondicionado, Piscina climatizada, Artículos de aseo gratis, Servicio de lavandería, Ropa de cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/38859427.jpg?k=8953d49354a1cad3955824fb6b56714f2e8a56df12f0f4f15c52d3c792f7214c&o=&hp=1,Tacuarembó,Uruguay
Hotel Las Calas,https://www.booking.com/hotel/uy/las-calas-homestay.es.html?aid=2410095,"Hotel Las Calas está en Paso de los Toros y ofrece alojamiento con wifi gratis, jardín con terraza y vistas a la piscina.

Cada unidad está equipada con aire acondicionado, baño privado y cocina con nevera, horno, microondas y fogones. Para mayor comodidad, el alojamiento puede ofrecer toallas y ropa de cama por un suplemento.

En el bed and breakfast se puede usar la barbacoa.","Terraza / solárium, Masaje de cuello, Fax / fotocopiadora, Perchero, Terraza, Suelo de madera o parquet, Protector de enchufes para niños, Masaje de espalda, Jardín, Tratamientos faciales, Habitaciones hipoalergénicas, Servicios de maquillaje, Secador de pelo, Servicios de depilación, Zona de comedor, Cafetera, Caja fuerte, Nevera, Recepción 24 horas, Papel higiénico, Calefacción, Extintores, Proporciona factura, Ropa de cama, Servicio de habitaciones, Hipoalergénico, Habitaciones sin humo, Aseo adicional, Clases de yoga, Barbacoa, Zona de fumadores, Cámaras de seguridad en las zonas comunitarias, Utensilios de cocina, Zona de comedor exterior, Información turística, Salas de reuniones / banquetes, Manicura, Tostadora, Sala de juegos, Escritorio, Llave de acceso, Horno, Toallas de playa/piscina, Toda la unidad accesible en silla de ruedas, Servicios de belleza, Ducha, Centro de negocios, Piscina climatizada, Artículos de aseo gratis, Seguridad 24 horas, Prohibido fumar en todo el alojamiento, Bañera o ducha, Cocina, Piscina al aire libre, WC, Vistas, Libros, DVD o música para niños, WiFi gratis, Buen desayuno, Fogones, Baño privado, Servicio de planchado, De temporada, Masaje de cabeza, Toallas / sábanas (por un suplemento), Masaje corporal completo, Zona de cocina, Tumbonas/sillas de playa, Mobiliario exterior, Silla de masajes, Pedicura, Masaje de manos, Desayuno en la habitación, Masaje de pies, Juegos de mesa / puzles, Aire acondicionado, Masajes, Toallas, Enchufe cerca de la cama, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Fruta, Tratamientos corporales, Albornoz, Menús para dietas especiales (bajo petición), Zona poco profunda, Microondas, Armario, Zona de juegos interior, Alarma de seguridad, Español, Toda la unidad en la planta baja, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/113212312.jpg?k=9b3dc62c2643f73530a26057e48af1f5b11fa49be2f4bd60e5216e595e76ec0b&o=&hp=1,Tacuarembó,Uruguay
PLC Hotel Centenario,https://www.booking.com/hotel/uy/plc-centenario.es.html?aid=2410095,"PLC Hotel Centenario dispone de jardín, terraza, restaurante y bar en Paso de los Toros. El alojamiento ofrece servicio de habitaciones y servicio de limpieza en seco.

En el hotel, cada habitación tiene armario y TV de pantalla plana. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también ofrecen vistas al jardín. Las habitaciones de este alojamiento incluyen aire acondicionado y escritorio.","Servicio de habitaciones, Terraza / solárium, Prohibido fumar en todo el alojamiento, Enchufe cerca de la cama, Habitaciones sin humo, Bar, Bañera o ducha, Cámaras de seguridad fuera del alojamiento, Vistas, Perchero, Terraza, WiFi gratis, Jardín, Patio, Bañera, Supermercado pequeño en el alojamiento, Fruta, Almuerzos para llevar, Buen desayuno, Restaurante, Hervidor eléctrico, Baño privado, Escritorio, Registro de entrada / salida privado, Servicio de limpieza diario, Balcón, Tendedero, Menús para dietas especiales (bajo petición), Habitaciones familiares, Servicio de limpieza en seco, Zona de estar, Vistas al jardín, TV de pantalla plana, Armario, Habitaciones comunicadas disponibles, Papel higiénico, Calefacción, Proporciona factura, Ducha, Entrada privada, Aire acondicionado, Español, Artículos de aseo gratis, Toda la unidad en la planta baja, Sombrillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/300442647.jpg?k=21bb4f205bea11f6b23200f45ea3ddba8db2720de3e05b9bdb266c86b7ee7ef2&o=&hp=1,Tacuarembó,Uruguay
