hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Hoskins Talara- Todas las habitaciones con Aire ACONDICIONADO,https://www.booking.com/hotel/pe/casa-hospedaje-hoskins-talara.es.html?aid=2410095,"Hotel Hoskins Talara- Todas las habitaciones con Aire ACONDICIONADO dispone de alojamiento en Talara. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, cada habitación está equipada con escritorio. Las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones cuentan con balcón. En Hotel Hoskins Talara- Todas las habitaciones con Aire ACONDICIONADO, las habitaciones disponen de ropa de cama y toallas.

El personal habla inglés y español, y estará encantado de dar consejos sobre la zona en la recepción 24 horas.

El aeropuerto más cercano (Aeropuerto de Talara) está a 2 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Registro de entrada y salida exprés, Mesa de comedor, Zona de cocina, Zona de comedor, Parking gratis, Cambio de moneda, Traslado aeropuerto, Perchero, Terraza, Caja fuerte, Armario, Papel higiénico, WiFi gratis, Inglés, Toallas / sábanas (por un suplemento), Alquiler de coches, Tarjetas de transporte público, WC, Proporciona factura, Toallas, Registro de entrada / salida privado, Información turística, Artículos de aseo gratis, Productos de limpieza, Bañera, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Recepción 24 horas, Peluquería / salón de belleza, Escritorio, Ropa de cama, TV de pantalla plana, Lavadora, Ducha, Desayuno en la habitación, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/551468194.jpg?k=b26cb45009776c9d51dd130f81f1e455b367e695e04c1369d0f9929b30c9d691&o=&hp=1,Talara,Perú
D'eluxe Hotel Talara ubicado a 5 minutos del aeropuerto y a 8 minutos del Centro Civico,https://www.booking.com/hotel/pe/casa-deluxe-talara.es.html?aid=2410095,"D'eluxe Hotel Talara ubicado a 5 minutos del aeropuerto y a 8 minutos del Centro Civico dispone de salón de uso común y terraza en Talara. Este hotel de 3 estrellas ofrece jardín y tiene habitaciones con aire acondicionado, wifi gratis y baño privado. Hay parking privado gratis y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.

En el hotel, las habitaciones tienen armario. En D'eluxe Hotel Talara ubicado a 5 minutos del aeropuerto y a 8 minutos del Centro Civico, las habitaciones cuentan con escritorio y TV de pantalla plana, y algunas también ofrecen balcón. En el alojamiento, todas las habitaciones disponen de ropa de cama y toallas.

D'eluxe Hotel Talara ubicado a 5 minutos del aeropuerto y a 8 minutos del Centro Civico ofrece desayuno continental o americano.

En recepción se habla inglés y español, y el personal estará encantado de ayudar en cualquier momento.

El aeropuerto más cercano (Aeropuerto de Talara) está a pocos pasos.","Parking en un garaje, Minibar, Registro de entrada y salida exprés, Zona de comedor exterior, Servicio de planchado, Plancha para pantalones, Desayuno, Plancha para ropa, Parking gratis, Aseo adicional, Cambio de moneda, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Zona de estar, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Acceso al salón executive, Mobiliario exterior, Servicio de conserjería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Toallas / sábanas (por un suplemento), Alquiler de coches, Vistas a un lugar de interés, Alarma de seguridad, Canales por cable, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Registro de entrada / salida privado, Jardín, Artículos de aseo gratis, Secador de pelo, Información turística, Productos de limpieza, Fax / fotocopiadora, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Vistas, Enchufe cerca de la cama, Zona TV / salón de uso compartido, Servicio de streaming (como Netflix), Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, Hipoalergénico, Escritorio, Ropa de cama, TV de pantalla plana, Entrada privada, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521949864.jpg?k=29e8b277877442f9388c3fb41d3cc3770a088ba6f7bccb63d5af2d04c22401f0&o=&hp=1,Talara,Perú
Hotel Gran Palma Talara,https://www.booking.com/hotel/pe/gran-palma-talara.es.html?aid=2410095,"Hotel Gran Palma Talara dispone de piscina al aire libre, terraza, restaurante y bar en Talara. Este hotel de 3 estrellas tiene wifi gratis y servicio de habitaciones. Algunas unidades del alojamiento disponen de un patio con vistas a la ciudad.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. Todas las unidades cuentan con minibar.

En Hotel Gran Palma Talara se sirve todas las mañanas un desayuno buffet.

Hay parking privado gratis y centro de negocios, así como recepción 24 horas.

El aeropuerto más cercano (Aeropuerto de Talara) está a 2 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Parking en un garaje, Minibar, Utensilios de planchado, Servicio de planchado, Plancha para pantalones, Masajes, Parking gratis, Cambio de moneda, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Salas de reuniones / banquetes, Happy hour, Terraza, Servicio de despertador, Bañera o ducha, Caja fuerte, Tour o clase sobre cultura local, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Habitaciones insonorizadas, Masaje de cabeza, Bar, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Suelo de moqueta, Para todas las edades, Masaje de pies, Toallas / sábanas (por un suplemento), Menú para niños, Masaje corporal completo, Alarma de seguridad, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Vino / champán, Masaje de espalda, Centro de negocios, Productos de limpieza, Fax / fotocopiadora, Abierta todo el año, Horario de apertura, Baño privado, Aire acondicionado, Español, Chimenea, Piscina al aire libre, Habitaciones sin humo, Restaurante, Vestidor, Extintores, Insonorización, Servicio de streaming (como Netflix), Recepción 24 horas, Servicio de despertador / alarma, Escritorio, TV de pantalla plana, Masaje de cuello, Ducha, Desayuno en la habitación, Desayuno fabuloso, Teléfono, Habitaciones familiares, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/170701469.jpg?k=ecea8e2409296b84186580fa3619db46e47fdcef63fdf2da4fcda517008c2ce1&o=&hp=1,Talara,Perú
Rua Hoteles Talara,https://www.booking.com/hotel/pe/rua-express.es.html?aid=2410095,"Rua Hoteles Talara se encuentra en Talara. Este hotel de 3 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y guardaequipaje.

En el hotel, todas las habitaciones incluyen escritorio y TV de pantalla plana. En Rua Hoteles Talara, cada habitación está equipada con ropa de cama y toallas.

En el alojamiento se sirve todos los días un desayuno americano.

El aeropuerto más cercano (Aeropuerto de Talara) está a 3 km del alojamiento.","Prohibido fumar en todo el alojamiento, Servicio de planchado, Servicio de limpieza diario, Perchero, Happy hour, Servicio de despertador, Bañera o ducha, Caja fuerte, Armario, Papel higiénico, Servicio de lavandería, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Alarma de seguridad, WC, Proporciona factura, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Artículos de aseo gratis, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Restaurante, Extintores, Servicio de despertador / alarma, Recepción 24 horas, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Ducha, Desayuno en la habitación, Desayuno fabuloso, Habitaciones familiares, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523468521.jpg?k=4a97b360e44508330fff01d0ea5977dee85c718bedf58b9be4386ebddaeeaa1a&o=&hp=1,Talara,Perú
Wasi Orosh,https://www.booking.com/hotel/pe/wasi-orosh.es.html?aid=2410095,"Wasi Orosh está en Talara y tiene jardín, terraza y wifi gratis en todo el alojamiento.

El baño privado está equipado con ducha, artículos de aseo gratuitos y albornoces. En el hostal o pensión, las habitaciones incluyen aire acondicionado y TV de pantalla plana.

El aeropuerto (Aeropuerto de Talara) está a 3 km.","Jardín, Papel higiénico, Artículos de aseo gratis, Portugués, Prohibido fumar en todo el alojamiento, WiFi gratis, TV de pantalla plana, Albornoz, Aire acondicionado, WC, Ducha, Español, Baño privado, Terraza, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/580350154.jpg?k=c691dae8bf3fb081ba48b58e4c772ed52c7969c9758f02ce7237383a0464e9c6&o=&hp=1,Talara,Perú
Hostal Oro Negro,https://www.booking.com/hotel/pe/hostal-oro-negro.es.html?aid=2410095,"El Hostal Oro Negro se encuentra en Talara y tiene bar, restaurante y conexión Wi-Fi gratuita en todas sus instalaciones. El establecimiento está a 15 minutos en coche de la zona para practicar surf de Lobitos.

Las habitaciones del Hostal Oro Negro disponen de TV de pantalla plana con canales por cable, aire acondicionado, escritorio y ropa de cama. También incluyen baño privado con ducha y artículos de aseo gratuitos.

El Hostal Oro Negro cuenta con recepción abierta las 24 horas, servicio de conserjería y cafetería. Además, tiene servicio de reparto de productos de alimentación, salón de uso común y consigna de equipaje. Hay servicio de lavandería y servicio de enlace con el aeropuerto disponibles por un suplemento.

La plaza mayor de Talara queda a 400 metros del Hostal Oro Negro y el aeropuerto de Piura está a 1 hora en coche.","Playa, Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Servicio de planchado, Plancha para pantalones, Muy buen desayuno, Parking gratis, Servicio de limpieza diario, Terraza, Seguridad 24 horas, Servicio de lavandería, Bar, Detectores de humo, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Alemán, Pesca, Menú para niños, Alarma de seguridad, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Vino / champán, Snack-bar, Jardín, Cafetería en el alojamiento, Fax / fotocopiadora, Almuerzos para llevar, Snorkel, Aire acondicionado, Español, Habitaciones sin humo, Windsurf, Restaurante, Extintores, Zona TV / salón de uso compartido, Recepción 24 horas, Senderismo, Ciclismo, Habitaciones familiares, Servicio de limpieza en seco, Submarinismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/29850759.jpg?k=14a7e418569b7b03beeee9c9521323ebff44e2b83d3831c1ae8b3dfc3491f711&o=&hp=1,Talara,Perú
Casa Andina Standard Talara,https://www.booking.com/hotel/pe/rio-verde-express-talara.es.html?aid=2410095,"La Casa Andina Standard Talara ofrece WiFi gratuita en todas las instalaciones y está situada en Talara, a 48 km de Los Órganos.

Las habitaciones cuentan con TV y baño privado con artículos de aseo gratuitos y secador de pelo.

La recepción está abierta las 24 horas.","Prohibido fumar en todo el alojamiento, Servicio de planchado, Cambio de moneda, Salas de reuniones / banquetes, Boles para mascotas, Servicio de despertador, Caja fuerte, Armario, Papel higiénico, Servicio de lavandería, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Inglés, Alarma de seguridad, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Información turística, Toallas, Artículos de aseo gratis, Secador de pelo, Centro de negocios, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Extintores, Insonorización, Recepción 24 horas, Guardaequipaje, Escritorio, Buen desayuno, Ducha, Teléfono, Tarjeta de acceso",https://cf.bstatic.com/xdata/images/hotel/max1024x768/415654743.jpg?k=a3b6a3c9d501db392e9c1e3681ad44f92f7027cfcb517f4a99a7a02dc00c68ef&o=&hp=1,Talara,Perú
Condominio Confortable,https://www.booking.com/hotel/pe/condominio-confortable-talara.es.html?aid=2410095,"Condominio Confortable está en Talara. El alojamiento dispone de recepción 24 horas y wifi gratis en todo el alojamiento.

Las unidades de este alojamiento están equipadas con zona de estar, TV de pantalla plana con canales por cable y baño privado con artículos de aseo gratuitos y ducha. Todas las habitaciones disponen de escritorio.

El aeropuerto más cercano (Aeropuerto de Talara) está a 2 km.","Prohibido fumar en todo el alojamiento, Zona de comedor exterior, Llave de acceso, Bañera o ducha, Zona de estar, Armario, Papel higiénico, TV, WC, Canales por cable, Wifi rápida gratis (176 Mbps), Toallas, Artículos de aseo gratis, Español, Baño privado, Habitaciones sin humo, Vistas, Recepción 24 horas, Escritorio, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/526808761.jpg?k=0dce627f37a28a9d44ae074537e58cd1a715f9ce072b12bb950ed5812a69ec14&o=&hp=1,Talara,Perú
GOLDEN SKY,https://www.booking.com/hotel/pe/golden-sky.es.html?aid=2410095,"GOLDEN SKY está en Talara y cuenta con bar. Este hotel de 3 estrellas ofrece salón de uso común y tiene habitaciones con aire acondicionado y wifi gratis. Hay un restaurante de cocina americana y parking privado gratis.

El hotel ofrece bañera de hidromasaje. La zona es ideal para practicar ciclismo, y en GOLDEN SKY hay alquiler de coches.

Hay un centro de negocios y máquinas expendedoras de snacks y bebidas en el propio alojamiento en el alojamiento. En la recepción 24 horas se habla inglés y español, y el personal estará encantado de ayudar en cualquier momento.

El aeropuerto más cercano (Aeropuerto de Talara) está a 3 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Fruta, Registro de entrada y salida exprés, Zona de juegos interior, Barbacoa, Servicio de planchado, Plancha para pantalones, Prohibido fumar en todo el alojamiento, Parking gratis, Llave de acceso, Traslado aeropuerto, Servicio de limpieza diario, Barandillas protectoras para bebés, Salas de reuniones / banquetes, Pediluvio, Seguridad 24 horas, Máquina expendedora (aperitivos), Habitaciones hipoalergénicas, Servicio de lavandería, Habitaciones insonorizadas, Zona de spa / relajación, Servicio de aparcacoches, Bar, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Inglés, Menú para niños, Alquiler de coches, Alarma de seguridad, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Cenas temáticas, Servicio de habitaciones, Zona de fumadores, Snack-bar, Vino / champán, Registro de entrada / salida privado, Cafetería en el alojamiento, Información turística, Centro de negocios, Juegos de mesa / puzles, Fax / fotocopiadora, Almuerzos para llevar, Tours a pie, Bañera de hidromasaje / jacuzzi, Español, Aire acondicionado, Parking en la calle, Máquina expendedora (bebidas), Habitaciones sin humo, Extintores, Restaurante, Supermercado pequeño en el alojamiento, Zona TV / salón de uso compartido, Recepción 24 horas, Guardaequipaje, Desayuno en la habitación, Desayuno fabuloso, Ciclismo, Habitaciones familiares, Servicio de limpieza en seco",https://cf.bstatic.com/xdata/images/hotel/max1024x768/364488387.jpg?k=8d62cfbdc64aca4f8e983b477b122f583d814f5b328eca8e8a7479b754b7e125&o=&hp=1,Talara,Perú
Hospedaje Petro Talara,https://www.booking.com/hotel/pe/hospedaje-petro-talara-talara-47-piura.es.html?aid=2410095,"Hospedaje Petro Talara dispone de alojamiento en Talara. El hostal o pensión libre de humo dispone de wifi gratis en todo el alojamiento.

Cada habitación dispone de baño privado, algunas ofrecen balcón y otras también incluyen vistas a la ciudad.

El aeropuerto (Aeropuerto de Talara) está a 3 km.","Habitaciones sin humo, Extintores, Información turística, Prohibido fumar en todo el alojamiento, Mobiliario exterior, Detectores de humo, WiFi gratis, Español, Alarma de seguridad, Servicio de limpieza diario, Proporciona factura, Baño privado, Habitaciones familiares, Registro de entrada / salida privado, Seguridad 24 horas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/322519158.jpg?k=6c11507cf9e64039d301d668489231b9931c875d30f5f1e5a01a8cf958f4df55&o=&hp=1,Talara,Perú
