hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Arco Iris,https://www.booking.com/hotel/cr/arco-iris.es.html?aid=2410095,"El Hotel Arco Iris está situado a solo 500 metros de la playa de Tamarindo y ofrece una piscina al aire libre, exuberantes jardines tropicales y encantadores alojamientos con aire acondicionado. El restaurante gourmet Seasons sirve una cocina mediterránea creativa en una zona de comedor situada junto a la piscina.

Este hotel boutique ofrece habitaciones y bungalows luminosos y decorados en un estilo actual. Todos ellos cuentan con conexión Wi-Fi gratuita, TV por cable, caja fuerte y minibar. El baño, moderno y elegante, incluye artículos de aseo gratuitos.

El Arco Iris está situado a 5 minutos a pie de varios restaurantes internacionales y tiendas y de la animada vida nocturna de Tamarindo. La localidad de Tamarindo se encuentra en la costa pacífica de Costa Rica, en el parque nacional marino de Las Baulas de Guanacaste.

El personal de recepción está disponible las 24 horas y organiza actividades como buceo, snorkel y excursiones en barco por el parque nacional. Los huéspedes también podrán visitar el volcán Arenal o realizar una excursión en la selva a través de las copas de los árboles (canopy).","Caja fuerte, Fax / fotocopiadora, Inglés, Baño privado, Vino / champán, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Traslado aeropuerto, Detectores de humo, Patio, Sombrillas, Secador de pelo, Canales por cable, Vistas, Snorkel, WC, Servicio de traslado, Masajes, Bar, Entrada privada, Guardaequipaje, Zona de fumadores, Nevera, Servicio de conserjería, Servicio de lavandería, Pesca, Terraza, Ducha, Artículos de aseo gratis, Abierta todo el año, Jardín, Escritorio, Mobiliario exterior, Cambio de moneda, Prohibido fumar en todo el alojamiento, Hebreo, Equitación, Parking en la calle, Servicio de limpieza diario, Piragüismo, Información turística, Extintores, Piscina al aire libre, Registro de entrada y salida exprés, Alquiler de coches, Para todas las edades, WiFi gratis, Submarinismo, Ciclismo, Tumbonas/sillas de playa, TV, Habitaciones familiares, Desayuno excepcional, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/411901577.jpg?k=df4fe84335983b83d8417637f978358c65a8847d73695b7e473ae7cc507be77d&o=&hp=1,Tamarindo,Costa Rica
Best Western Tamarindo Vista Villas,https://www.booking.com/hotel/cr/best-western-tamarindo-vista-villas.es.html?aid=2410095,"Este establecimiento familiar se encuentra a 5 minutos a pie de la playa y tiene vistas a la bahía de Tamarindo. Cuenta con piscina al aire libre, restaurante y habitaciones de estilo cabaña con balcón.

Las habitaciones del Best Western Tamarindo Vista Villas disponen de aire acondicionado, wifi gratuita, TV con canales por cable y caja fuerte El baño privado cuenta con secador de pelo.

Este establecimiento alberga el bar Crazy Monkey, que ofrece bebidas tropicales frías y espectáculos en directo. Además, todos los viernes por la noche actúan en directo una banda de salsa y un DJ en el bar Crazy Monkey. En la piscina situada frente a la playa hay un bar dentro del agua.

El Tamarindo Best Western Vista Villas organiza paseos a caballo y por las copas de los árboles. También hay servicio de lavandería,

Este establecimiento está a 1,6 km del Turtle Tour, que ofrece excursiones a lugares donde anidan tortugas de mar, Se pueden realizar excursiones por el estuario de la reserva natural a un trayecto de solo 10 minutos en coche.","Masaje de pies, Masaje de cuello, Papel higiénico, Tetera/cafetera en todas las habitaciones, Ropa de cama, Servicio de despertador, Baño privado, Caja fuerte, Aire acondicionado, Gimnasio, Parking gratis, Habitaciones sin humo, Detectores de humo, Piscina con vistas, Teléfono, Secador de pelo, TV de pantalla plana, Canales por cable, Playa, Seguridad 24 horas, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Toallas, Masaje de manos, Snorkel, WC, Servicio de traslado, Masajes, Bar, Guardaequipaje, Masaje de espalda, Plancha para pantalones, Buen desayuno, Recepción 24 horas, Servicio de lavandería, Terraza, Ducha, Artículos de aseo gratis, Abierta todo el año, Reloj despertador, Jardín, Cambio de moneda, Cafetera, Llave de acceso, Masaje en pareja, Toallas de playa/piscina, Tarjeta de acceso, Servicio de limpieza diario, Piragüismo, Información turística, Fruta, Piscina al aire libre, Extintores, Discoteca / DJ, Para todas las edades, Masaje corporal completo, Masaje de cabeza, WiFi gratis, Música / espectáculos en directo, Submarinismo, Ventilador, Terraza / solárium, Tumbonas/sillas de playa, Tetera / cafetera, TV, Bar en la piscina, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/107504578.jpg?k=1fb7b2ccbaff83667730aeef58bdff697160978932c6eea6732aec943300bfc4&o=&hp=1,Tamarindo,Costa Rica
Selina Tamarindo,https://www.booking.com/hotel/cr/selina-tamarindo.es.html?aid=2410095,"El Selina Tamarindo, equipado con WiFi gratuita, admite mascotas y se encuentra en Tamarindo, a 12 km de Playa Conchal. Alberga un bar y restaurante.

En el Selina Tamarindo hay una oferta variada de actividades diarias, como yoga, clases de salsa y de surf. Las zonas comunes, como la piscina, la cocina y el parque infantil, cuentan con música en directo y sesiones de DJ los fines de semana.

En la zona se puede practicar surf, snorkel, pesca deportiva y pasear a caballo.

El aeropuerto internacional Daniel Oduber Quirós, el más cercano, se halla a 46 km.","Personal de animación, Vino / champán, Cámaras de seguridad fuera del alojamiento, Eventos deportivos en directo (emisión), Registro de entrada / salida privado, Habitaciones sin humo, Cenas temáticas, Aire acondicionado, Juegos de mesa / puzles, Noches de cine, Sombrillas, Seguridad 24 horas, Zona de juegos interior, Playa, Menús para dietas especiales (bajo petición), Cámaras de seguridad en las zonas comunitarias, Snorkel, Cocina compartida, Bar, Baños públicos, Guardaequipaje, Ping pong, Senderismo, Zona de fumadores, Restaurante, Enchufe cerca de la cama, Terraza, Tours a pie, Abierta todo el año, Jardín, Llave de acceso, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Happy hour, Equitación, Zona de pícnic, Clases de yoga, Servicio de limpieza diario, Piragüismo, Información turística, Fruta, Piscina al aire libre, Alquiler de coches, Extintores, Clases de fitness, WiFi gratis, Karaoke, Submarinismo, Ciclismo, Taquillas, Billar, Tumbonas/sillas de playa, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/280098090.jpg?k=a0c6b7adfcea2beca14ccda9be7729c048382f107a80ef7c8966df2cab638cd3&o=&hp=1,Tamarindo,Costa Rica
Hostel La Botella de Leche - Tamarindo,https://www.booking.com/hotel/cr/hostel-la-botella-de-leche.es.html?aid=2410095,"El Hostel La Botella de Leche, situado a 300 metros de la playa de Tamarindo, ofrece un extenso jardín con zona de estar al aire libre, una sala de estar compartida con TV y piscina.

Las habitaciones presentan una decoración básica y cuentan con aire acondicionado, terraza con hamacas y zona de estar. Los baños son privados e incluyen ducha. También hay conexión WiFi gratuita en todas las instalaciones. Asimismo, el establecimiento alberga una zona de fumadores y una biblioteca.

Los huéspedes pueden preparar sus platos en la zona de cocina. Además, a 600 metros del establecimiento, se encuentran diferentes restaurantes.

El Hostel La Botella de Leche se halla a 5 minutos a pie del centro de Tamarindo y a 1 hora en coche del aeropuerto internacional Daniel Oduber.","Masaje de pies, Masaje de cuello, Papel higiénico, Vistas al jardín, Servicio de despertador, Portugués, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Patio, Masaje de espalda, Seguridad 24 horas, Toda la unidad en la planta baja, Playa, Francés, Cámaras de seguridad en las zonas comunitarias, Toallas, Masaje de manos, Bañera o ducha, Cocina compartida, Tours en bici, Servicio de traslado, Masajes, Baños públicos, Guardaequipaje, Centro de negocios, Senderismo, Zona de fumadores, Servicio de conserjería, Vistas a la piscina, Ruta de bares, Recepción 24 horas, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Abierta todo el año, Alquiler de bicicletas, Italiano, Jardín, Mobiliario exterior, Zona TV / salón de uso compartido, Mosquitera, Máquina expendedora (bebidas), Parking en la calle, Clases de yoga, Servicio de limpieza diario, Clases de fitness, Información turística, Extintores, Piscina al aire libre, Estación de carga de vehículos eléctricos, Alquiler de coches, Masaje corporal completo, Masaje de cabeza, WiFi gratis, Terraza / solárium, Habitaciones familiares, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/120422627.jpg?k=e8b6a8f0f1fefb1d7ea1fe4912610c1ad05a0642fbd6c6ce0b3c32669c23d105&o=&hp=1,Tamarindo,Costa Rica
Wyndham Tamarindo,https://www.booking.com/hotel/cr/esplendor-tamarindo.es.html?aid=2410095,"El Wyndham Tamarindo tiene piscina al aire libre y solárium, y se encuentra en Tamarindo, en la región de Guanacaste, a 20 km de la playa Conchal. Los huéspedes podrán disfrutar del bar del establecimiento y del bar de la piscina.

Todas las habitaciones de este hotel tienen aire acondicionado, TV de pantalla plana y baño privado. Cuentan con artículos de aseo gratuitos y secador de pelo. Hay WiFi gratuita en todo el Wyndham Tamarindo. 

El establecimiento cuenta con recepción 24 horas y spa que propone una gran variedad de tratamientos. El restaurante Nauta ofrece cocina costarricense.

El Wyndham Tamarindo se halla a 50 km de playa Hermosa y a 17 km de playa Grande. El aeropuerto internacional Daniel Oduber Quirós es el más cercano, ubicado a 45 km.","Fax / fotocopiadora, Servicios de belleza, Baño privado, Manicura, Vino / champán, Salas de reuniones / banquetes, Detectores de humo, Canales por cable, Playa, Snack-bar, Ascensor, Masajes, Bar, Escritorio, Mobiliario exterior, Tarjeta de acceso, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Servicios de maquillaje, Terraza / solárium, Piscina infinita, TV, Masaje de pies, Papel higiénico, Servicio de despertador, Solárium, Habitaciones sin humo, Desayuno en la habitación, Teléfono, Secador de pelo, WC, Tratamientos corporales, Servicio de traslado, Acceso a pisos superiores en ascensor, Servicio de conserjería, Buen desayuno, Enchufe cerca de la cama, Almuerzos para llevar, Ducha, Parking adaptado para personas de movilidad reducida, Toallas de playa/piscina, Masaje corporal completo, Información turística, Tumbonas/sillas de playa, Tetera / cafetera, Menú para niños, Tetera/cafetera en todas las habitaciones, Aire acondicionado, Parking gratis, Traslado aeropuerto, Piscina con vistas, Sombrillas, Cámaras de seguridad en las zonas comunitarias, Baños públicos, Guardaequipaje, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Baño al aire libre, Zona privada de playa, Servicio de entrega de comestibles, Extintores, Alquiler de coches, Español, Masaje de cuello, Caja fuerte, Tratamientos faciales, Juegos de mesa / puzles, Toallas, Masaje de manos, Masaje de espalda, Restaurante, Abierta todo el año, Servicio de planchado, Vistas al mar, Spa y centro de bienestar, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Para todas las edades, Estación de carga de vehículos eléctricos, Adaptado personas de movilidad reducida, Instalaciones de spa, Pedicura, Ventilador, Bar en la piscina, Inglés",https://cf.bstatic.com/xdata/images/hotel/max1024x768/427134646.jpg?k=1350f94d6cf12f97d6a7a383a9d1486638da2bbe867d091c7c488d1fea5d079b&o=&hp=1,Tamarindo,Costa Rica
Casa Aura: Beachfront Premium Hostel,https://www.booking.com/hotel/cr/casa-aura.es.html?aid=2410095,"La Casa Aura se encuentra en la playa de Tamarindo y ofrece WiFi gratuita en todas las instalaciones.

Las habitaciones tienen una decoración de madera y un baño privado de piedra con ducha. También hay TV de pantalla plana con canales por cable y un patio.

Este alojamiento tiene salón común.

En el establecimiento se puede jugar al ping pong, y la zona es ideal para practicar golf. La Casa Aura se encuentra a 11 km de Playa Conchal y a 35 km de Playa Hermosa.","Papel higiénico, Ropa de cama, Caja fuerte, Inglés, Baño privado, Vino / champán, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Campo de golf (a menos de 3 km), Seguridad 24 horas, TV de pantalla plana, Playa, Toallas, Snorkel, WC, Cocina compartida, Servicio de traslado, Barbacoa, Dardos, Guardaequipaje, Ping pong, Servicio de conserjería, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Alquiler de bicicletas, Situado frente a la playa, Jardín, Mobiliario exterior, Llave de acceso, Prohibido fumar en todo el alojamiento, Zona TV / salón de uso compartido, Equitación, Parking en la calle, Servicio de limpieza diario, Información turística, Extintores, Desayuno fabuloso, WiFi gratis, Submarinismo, Ciclismo, Billar, Terraza / solárium, Habitaciones familiares, Pesca, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/87228748.jpg?k=eb0ca01a4a94ee7ff357b169d6be492b79e2e27705048a2a357c8bc9827391ec&o=&hp=1,Tamarindo,Costa Rica
Pura Vida Hostel,https://www.booking.com/hotel/cr/pura-vida-hostel-tamarindo.es.html?aid=2410095,"El Pura Vida Hostel se encuentra en Tamarindo, a 1,3 km de la playa Grande y a 5 minutos a pie del centro de la ciudad.

 El Pura Vida Hostel ofrece habitaciones con aire acondicionado y un jardín. El establecimiento cuenta con terraza y se encuentra a 1,5 km de la playa de Langosta. Hay cocina compartida y WiFi gratuita en todas las instalaciones.

Todas las habitaciones del albergue incluyen baño privado y ropa de cama.

El aeropuerto más cercano es el de Tamarindo, ubicado a 3 km del Pura Vida Hostel.","WC con barras de apoyo, Papel higiénico, Ropa de cama, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Adaptado para sillas de ruedas, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Lavamanos más bajo, Toallas, WC, Cocina compartida, Sueco, Enchufe cerca de la cama, Terraza, Ducha, Jardín, Mobiliario exterior, Zona de pícnic, Extintores, Adaptado personas de movilidad reducida, WiFi gratis, WC elevado, Inglés, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/346963225.jpg?k=5d31a5e1adf3e0e9cf1b16fcfbe5d45bc7ca7d7400e4741c4895c2376c01f66c&o=&hp=1,Tamarindo,Costa Rica
Pupa House,https://www.booking.com/hotel/cr/pupa-house.es.html?aid=2410095,"Pupa House se encuentra en Tamarindo, a 13 min a pie de Playa Tamarindo, y ofrece jardín, habitaciones libres de humo, wifi gratis en todo el alojamiento y restaurante. El albergue dispone de vistas al jardín y terraza solárium.

En el albergue, todas las habitaciones cuentan con aire acondicionado y baño privado.

El desayuno diario ofrece opciones vegetarianas, veganas o sin gluten.

Playa Langosta está a 2,4 km del alojamiento. El aeropuerto más cercano (Aeropuerto de Tamarindo) está a 4 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Ropa de cama, Vistas al jardín, Caja fuerte, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Seguridad 24 horas, Playa, Vistas, Francés, Cafetería en el alojamiento, WC, Servicio de traslado, Entretenimiento nocturno, Guardaequipaje, Centro de negocios, Proporciona factura, Zona de fumadores, Restaurante, Enchufe cerca de la cama, Servicio de lavandería, Ducha, Jardín, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Happy hour, Parking en la calle, Tarjeta de acceso, Servicio de limpieza diario, Clases de fitness, Extintores, Solo para adultos, WiFi gratis, Taquillas, Toallas / sábanas (por un suplemento), Terraza / solárium, Tumbonas/sillas de playa, Inglés, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/545687694.jpg?k=5fc13e5df7b16fec37ed11d23de1bc3a2fe9487d342435b36f824cd88b02dbe2&o=&hp=1,Tamarindo,Costa Rica
In the Shade Hotel - Coworking - 300Mbit - Adults Only,https://www.booking.com/hotel/cr/hotel-in-the-shade.es.html?aid=2410095,"El Hotel In the Shade está a 5 minutos a pie de la playa de Tamarindo y a 12 km de Playa Conchal.

Las habitaciones presentan una decoración sencilla de estilo europeo moderno y tienen un balcón privado amplio con mesa, sillas y una palmera. Además, incluyen aire acondicionado, WiFi gratuita, nevera, ventilador y caja fuerte. Todas las camas están equipadas con excelentes colchones ergonómicos.

También se proporciona servicio de habitaciones. Junto al hotel se encuentran el restaurante La Baula, que sirve cocina italiana, y el Dragonfly, que ofrece platos mediterráneos. A 3 minutos a pie hay un supermercado.

El Hotel In the Shade está a 2,8 km de Playa Grande y a 41 km de Nosara.","Baño privado, Vino / champán, Registro de entrada / salida privado, Salas de reuniones / banquetes, Playa, Snack-bar, Masajes, Bar, Hipoalergénico, Zona de fumadores, Nevera, Vistas a la piscina, Ruta de bares, Mobiliario exterior, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Submarinismo, TV, Proporciona factura, Papel higiénico, Ropa de cama, Vistas al jardín, Habitaciones sin humo, Suelo de baldosa / mármol, Desayuno en la habitación, Secador de pelo, Vistas, WC, Servicio de traslado, Servicio de conserjería, Enchufe cerca de la cama, Almuerzos para llevar, Ducha, Zona de pícnic, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Desayuno fabuloso, Perchero, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Cafetería en el alojamiento, Guardaequipaje, Servicio de lavandería, Terraza, Artículos de aseo gratis, Zona de comedor, Jardín, Mesa de comedor, Alquiler de coches, Registro de entrada y salida exprés, Zona de estar, Español, 2 restaurantes, Caja fuerte, Inglés, Zona de comedor exterior, Vistas a un patio interior, TV de pantalla plana, Menús para dietas especiales (bajo petición), Equipamiento de tenis, Francés, Toallas, Bañera o ducha, Snorkel, Entrada privada, Restaurante, Pesca, Abierta todo el año, Italiano, Llave de acceso, Pista de tenis, Prohibido fumar en todo el alojamiento, Equitación, Parking en la calle, Clases de yoga, Piragüismo, Estación de carga de vehículos eléctricos, Solo para adultos, Ciclismo, Ventilador, Armario, Servicio de streaming (como Netflix)",https://cf.bstatic.com/xdata/images/hotel/max1024x768/329680765.jpg?k=d9cfbbe0322157334163eb6b265e150f707193a5b7b949ec8a098e545a4405d1&o=&hp=1,Tamarindo,Costa Rica
TamaHostel & Glamping,https://www.booking.com/hotel/cr/tamarindo-eco-camping-hostel.es.html?aid=2410095,"El Tamarindo Hostel & Surf Camp goza de una ubicación tranquila y respetuosa con el medio ambiente, a pocos pasos de la playa y del centro de Tamarindo, y ofrece la posibilidad de alojarse en la zona de acampada, en las hamacas o en el cómodo albergue, en un entorno tropical.

Nuestra propiedad Hostel Glamping tiene piscina de sal, un rancho con hamacas para relajarse.

Estamos rodeados de hermosos almendros y a veces mapaches e iguanas, -esperamos que seas un amante de la naturaleza-.

Las habitaciones compartidas están equipadas con aire acondicionado, colchones ortopédicos, sábanas de algodón, taquilla privada, escritorio y centro de carga móvil. Las personas que se alojen en tiendas de campaña tienen acceso a todas las instalaciones comunes, incluidos los baños compartidos.

La propiedad tiene zona de bar, cocina doble para los huéspedes, rancho de relax con hamacas, baños independientes y comunes con aseos, duchas y estantes, y zona de barbacoa. El Tamarindo Hostel & Surf Camp cuenta con mostrador de información turística y escuela de surf. El establecimiento admite mascotas.

El Tamarindo Hostel & Surf Camp se encuentra a 3,1 km de Playa Grande y a 41 km de Nosara.","Papel higiénico, Vino / champán, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Noches de cine, Seguridad 24 horas, Playa, Cámaras de seguridad en las zonas comunitarias, WC, Cocina compartida, Servicio de traslado, Barbacoa, Bar, Guardaequipaje, Senderismo, Zona de fumadores, Ruta de bares, Servicio de lavandería, Almuerzos para llevar, Abierta todo el año, Ducha, Italiano, Jardín, Mobiliario exterior, Piscina de agua salada, Zona TV / salón de uso compartido, Zona de pícnic, Clases de yoga, Servicio de limpieza diario, Información turística, Extintores, Piscina al aire libre, Alquiler de coches, Para todas las edades, Adaptado personas de movilidad reducida, WiFi gratis, Taquillas, Tumbonas/sillas de playa, Inglés, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/343671233.jpg?k=1a8c1173a0d86ad96fd646aed17443e597f98412f47306228a5d5372a686c08a&o=&hp=1,Tamarindo,Costa Rica
