hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Bless,https://www.booking.com/hotel/hn/bless-tela.es.html?aid=2410095,"Hotel Bless está en Tela, a 6 min a pie de Playa municipal de Tela, y dispone de alojamiento con jardín, parking privado gratis y terraza. Este hotel de 5 estrellas tiene habitaciones con aire acondicionado, baño privado y wifi gratis. Las habitaciones están equipadas con balcón.

En el hotel, las habitaciones tienen escritorio y TV de pantalla plana. En Hotel Bless, cada habitación dispone de zona de estar.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 87 km.","Papel higiénico, Tetera/cafetera en todas las habitaciones, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, TV de pantalla plana, WC, Terraza, Ducha, Jardín, Escritorio, Prohibido fumar en todo el alojamiento, Microondas, Servicio de habitaciones, WiFi gratis, Tendedero, Perchero, Zona de estar, Tetera / cafetera, TV, Habitaciones familiares, Inglés, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/575495036.jpg?k=4698dfabada3216b1773edc90672874b5dcf2ca949d642a1d253703457958ee0&o=&hp=1,Tela,Honduras
Hotel BAHÍA,https://www.booking.com/hotel/hn/bahia.es.html?aid=2410095,"Hotel BAHÍA se encuentra en Tela, a pocos pasos de Playa municipal de Tela, y ofrece alojamiento con jardín, parking privado gratis, terraza y restaurante. Este hotel de 3 estrellas ofrece bar y habitaciones con aire acondicionado, wifi gratis y baño privado. Algunas unidades del alojamiento disponen de un balcón con vistas al mar.

En el hotel, las habitaciones cuentan con un patio con vistas a la ciudad. En Hotel BAHÍA, todas las habitaciones disponen de ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno a la carta, continental o americano.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 88 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Papel higiénico, Ropa de cama, Vistas al jardín, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Traslado aeropuerto, Vistas a un patio interior, Patio, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Menús para dietas especiales (bajo petición), Vistas, Toallas, Cafetería en el alojamiento, WC, Servicio de traslado, Bar, Vistas a la ciudad, Entrada privada, Proporciona factura, Zona de fumadores, Restaurante, Enchufe cerca de la cama, Almuerzos para llevar, Terraza, Ducha, Artículos de aseo gratis, Servicio de lavandería, Parking adaptado para personas de movilidad reducida, Jardín, Llave de acceso, Mobiliario exterior, Servicio de entrega de comestibles, Servicio de limpieza diario, Tour o clase sobre cultura local, Información turística, Extintores, Parking en un garaje, WiFi gratis, Perchero, Toallas / sábanas (por un suplemento), Terraza / solárium, Productos de limpieza, TV, Habitaciones familiares, Inglés, Menú para niños, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/504050756.jpg?k=92cc4144edb8701dd50969d30bc561063c42bb4c3dd2e95581c7238ffb78ea33&o=&hp=1,Tela,Honduras
La Ensenada Beach Resort,https://www.booking.com/hotel/hn/la-ensenada-beach-resort.es.html?aid=2410095,"La Ensenada Beach Resort tiene piscina al aire libre, jardín, bar y instalaciones para deportes acuáticos en Tela. Este alojamiento, que tiene club infantil, también ofrece zona de juegos infantil. En el restaurante que hay en el alojamiento se sirve cocina americana, cocina argentina, cocina brasileña y cocina cajún criolla.

En el resort, cada habitación dispone de aire acondicionado, escritorio, TV de pantalla plana, baño privado, ropa de cama, toallas y terraza con vistas a la montaña. La Ensenada Beach Resort dispone de algunas habitaciones con vistas a la piscina, y todas cuentan con balcón. Todas las habitaciones cuentan con nevera.

El desayuno está disponible cada mañana e incluye opciones buffet, continentales o americanas.

Puedes jugar al billar, al ping-pong y al mini golf en el alojamiento.

En la recepción 24 horas se habla inglés y español, y el personal está siempre dispuesto a echar una mano.

Playa municipal de Tela está a 16 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 85 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Club infantil, Fax / fotocopiadora, Servicios de belleza, Baño privado, Salas de reuniones / banquetes, Protector de enchufes para niños, Detectores de humo, Zona de juegos para niños, 3 piscinas, Canales por cable, Playa, Snack-bar, Masajes, Bar, Ping pong, Zona de fumadores, Nevera, Escritorio, Mobiliario exterior, Tarjeta de acceso, WiFi gratis, Música / espectáculos en directo, Toda la unidad accesible en silla de ruedas, Submarinismo, Juguetes para la piscina, Toallas / sábanas (por un suplemento), TV, Proporciona factura, Masaje de pies, Exfoliación corporal, Ropa de cama, Vistas al jardín, Habitaciones sin humo, Cenas temáticas, Suelo de baldosa / mármol, Teléfono, Secador de pelo, Vistas, WC, Servicio de traslado, Buen desayuno, Sofá, Utensilios de cocina, Ducha, Suelo de madera o parquet, Reloj despertador, Situado frente a la playa, Toallas de playa/piscina, Zona de pícnic, Zona poco profunda, Servicio de limpieza diario, Masaje corporal completo, Información turística, Camas extralargas (más de 2 metros), Paquetes de spa / bienestar, Habitaciones comunicadas disponibles, Aeróbic, Canales vía satélite, Billar, Tumbonas/sillas de playa, Buffet para niños, Menú para niños, Balcón, Piscina infantil, Vistas a la montaña, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Suelo de moqueta, Traslado aeropuerto, Sala de juegos, Patio, Piscina con vistas, Sombrillas, Seguridad 24 horas, Zona de cocina, Horario de apertura, Cámaras de seguridad en las zonas comunitarias, Supermercado pequeño en el alojamiento, Entretenimiento nocturno, Baños públicos, Plancha para pantalones, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Jardín, Baño al aire libre, Masaje en pareja, Zona privada de playa, Acceso a pisos superiores solo mediante escaleras, Piscina pequeña, Caja fuerte para ordenador portátil, Tobogán de agua, Extintores, Registro de entrada y salida exprés, Masaje de cabeza, Discoteca / DJ, Karaoke, Productos de limpieza, Zona de estar, Habitaciones familiares, Español, Masaje de cuello, Personal de animación, Caja fuerte, Alarma de seguridad, Utensilios de planchado, Zona de comedor exterior, Tratamientos faciales, Juegos de mesa / puzles, TV de pantalla plana, Toda la unidad en la planta baja, Menús para dietas especiales (bajo petición), Toallas, Plancha para ropa, Masaje de manos, Hervidor eléctrico, Snorkel, Masaje de espalda, Restaurante, Equipamiento de juegos para exterior, Abierta todo el año, Servicio de planchado, Cambio de moneda, Spa y centro de bienestar, Vistas a un lugar de interés, Llave de acceso, Prohibido fumar en todo el alojamiento, Acceso al salón executive, Minigolf, Calefacción, Para todas las edades, Solo para adultos, Instalaciones para deportes acuáticos en el alojamiento, Instalaciones de spa, Envoltura corporal, Armario, Bar en la piscina, Inglés",https://cf.bstatic.com/xdata/images/hotel/max1024x768/284804933.jpg?k=34088776f55c07be39c3e5c9ce2a50e05ff5fcc3b8a0b24aa449b7e3a2d8f723&o=&hp=1,Tela,Honduras
Indura Beach & Golf Resort Curio Collection By Hilton,https://www.booking.com/hotel/hn/indura-resort.es.html?aid=2410095,"El Indura Resort ofrece 3 piscinas al aire libre y un centro de spa y bienestar en Tela, entre la laguna de Los Maicos y el mar Caribe en Honduras. Este alojamiento sostenible organiza clases de yoga y tai chi.

Las habitaciones del complejo incluyen TV de pantalla plana, aire acondicionado, soporte para iPod, cafetera y baño privado con ducha, secador de pelo y albornoz. Algunas habitaciones gozan de vistas al mar y a la montaña. También disponen de zona de estar y TV por cable.

El Indura Resort alberga 5 restaurantes diferentes, algunos con un bar en la zona del vestíbulo o junto a la piscina. Se ofrecen platos gourmet, aperitivos y carnes.

El establecimiento dispone de un centro de fitnesss, instalaciones para reuniones, un club infantil y un campo de golf de 18 hoyos diseñado por Gary Player. El establecimiento proporciona aparcamiento gratuito.","Club infantil, Salas de reuniones / banquetes, Detectores de humo, Canales por cable, Playa, Snack-bar, Ascensor, Masajes, Bar, Ping pong, Nevera, Servicio de limpieza en seco, Escritorio, Tarjeta de acceso, Muy buen desayuno, Servicio de habitaciones, Terraza / solárium, TV, WC elevado, Cajero automático en el hotel, Servicio de despertador, Habitaciones sin humo, Albornoz, Teléfono, Secador de pelo, WC, Servicio de traslado, Bañera, Canguro / servicios para niños, Parking adaptado para personas de movilidad reducida, Reloj despertador, Toallas de playa/piscina, Servicio de limpieza diario, Masaje corporal completo, Información turística, Fruta, Paquetes de spa / bienestar, Aeróbic, Tumbonas/sillas de playa, Tetera / cafetera, Menú para niños, Balcón, Radio, WC con barras de apoyo, Piscina infantil, Tetera/cafetera en todas las habitaciones, Adecuada para niños, Aire acondicionado, Gimnasio, Parking gratis, Traslado aeropuerto, Adaptado para sillas de ruedas, Seguridad 24 horas, Recepción 24 horas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Jardín, Masaje en pareja, Caja fuerte para ordenador portátil, Extintores, Registro de entrada y salida exprés, Zona de estar, Habitaciones familiares, Español, Caja fuerte, Inglés, 2 piscinas, Utensilios de planchado, Vídeo, Campo de golf (a menos de 3 km), TV de pantalla plana, Restaurante, Abierta todo el año, Tours a pie, Servicio de planchado, Llave de acceso, Spa y centro de bienestar, Pista de tenis, Clases de yoga, Calefacción, Instalaciones para deportes acuáticos en el alojamiento, Adaptado personas de movilidad reducida, WiFi en todo el alojamiento, Taquillas en el gimnasio / spa, Instalaciones de spa, Ciclismo, Ventilador, Pesca",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490839574.jpg?k=5edd232f700f9be409762eedd96ca825cdad3b0bbb85c6c7da2ea0d99a550a41&o=&hp=1,Tela,Honduras
Hotel Maya Vista,https://www.booking.com/hotel/hn/maya-vista.es.html?aid=2410095,"El Hotel Maya Vista cuenta con recepción 24 horas y está situado a solo 200 metros de la costa de Tela. Es un hotel luminoso y ofrece un desayuno diario gratuito, piscina al aire libre y conexión Wi-Fi gratuita.

Las habitaciones tienen una decoración de estilo tropical y están equipadas con TV por cable, aire acondicionado y terraza privada. También cuentan con baño privado, armario y escritorio.

En el restaurante del establecimiento se sirven platos de cocina nacional e internacional. Hay una pizzería a 500 metros y se pueden encontrar otros sitios para comer a 5 minutos en coche.

El parque nacional Jeanette Kawas está a solo 12 km y el jardín botánico de Lancetilla se encuentra a menos de 5 km del Hotel Maya Vista. El aeropuerto de Tela está a 10 minutos en coche.","Piscina infantil, Caja fuerte, Inglés, Baño privado, Adecuada para niños, Vino / champán, 2 piscinas, Aire acondicionado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, TV de pantalla plana, Canales por cable, Menús para dietas especiales (bajo petición), Vistas, Francés, WC, Servicio de traslado, Masajes, Bar, Restaurante, Buen desayuno, Recepción 24 horas, Almuerzos para llevar, Terraza, Ducha, Cambio de moneda, Escritorio, Menú para niños, Masaje corporal completo, Servicio de habitaciones, WiFi gratis, Armario, Habitaciones familiares, TV, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/107169168.jpg?k=fa256ad7fb0d0dd05864cb2efd09ed791207c50c5ada3dc9e1db819f7866f056&o=&hp=1,Tela,Honduras
Blue Casita en Tela,https://www.booking.com/hotel/hn/blue-casita-en-tela.es.html?aid=2410095,"Blue Casita en Tela está en Tela. Hay wifi gratis y parking privado en el propio alojamiento.

Esta casa o chalet tiene aire acondicionado y cuenta con 2 dormitorios, TV de pantalla plana y cocina.

El aeropuerto (Aeropuerto Internacional Ramón Villeda Morales) está a 80 km.","Cocina, Vistas al jardín, Aire acondicionado, Parking gratis, Inglés, TV de pantalla plana, Español, WiFi gratis, Lavadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/572102189.jpg?k=c4364386f806352ef2e212296c265bef99cf2d0c3d6e70b7cf7148ec0a4099cb&o=&hp=1,Tela,Honduras
"La Casa Blanca De Mis Sueños, Tela",https://www.booking.com/hotel/hn/la-casa-blanca-de-mis-suenos-tela-atlantida.es.html?aid=2410095,"La Casa Blanca De Mis Sueños, Tela se encuentra en Tela, a 13 min a pie de Playa municipal de Tela. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, las habitaciones incluyen balcón. En La Casa Blanca De Mis Sueños, Tela, cada habitación tiene aire acondicionado y baño privado.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 87 km del alojamiento.","Toallas, Utensilios de cocina, Prohibido fumar en todo el alojamiento, Papel higiénico, Baño privado, Balcón, Aire acondicionado, Parking gratis, Nevera, Tetera / cafetera, Armario, Terraza, Ducha, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/542813289.jpg?k=8b007ddafd2f101565ab0930d2b2421139a001a1c7984cf1aba614ab397baa2d&o=&hp=1,Tela,Honduras
Honduras Shores Plantations,https://www.booking.com/hotel/hn/shores-palantation.es.html?aid=2410095,"Honduras Shores Plantations ofrece alojamiento de 4 estrellas en Tela, frente a la playa, y dispone de piscina al aire libre, jardín y restaurante. Ofrece bar y zona de playa privada. Hotel ofrece parking privado gratis y wifi gratis.

En el hotel, las habitaciones disponen de terraza. En Honduras Shores Plantations, cada habitación tiene aire acondicionado y algunas también ofrecen balcón.

El desayuno está disponible todos los días e incluye opciones buffet, a la carta o continentales.

La recepción ofrece información sobre cómo y por dónde moverse en la zona.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 88 km del alojamiento.","Caja fuerte, Aire acondicionado, Parking gratis, Habitaciones sin humo, Piscina con vistas, Playa, Bar, Restaurante, Recepción 24 horas, Abierta todo el año, Terraza, Situado frente a la playa, Jardín, Prohibido fumar en todo el alojamiento, Zona privada de playa, Para todas las edades, Piscina al aire libre, WiFi gratis, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/533243017.jpg?k=ed221dafbf66576f4c794b35eaf0eef64d7d6ffb333a33aafa3655117c709c0a&o=&hp=1,Tela,Honduras
Casa del Campo,https://www.booking.com/hotel/hn/casa-del-campo-tela.es.html?aid=2410095,"Casa del Campo se encuentra en Tela, a 2,8 km de Playa municipal de Tela, y ofrece alojamiento con wifi gratis, aire acondicionado y acceso a un jardín con terraza.

El aeropuerto más cercano (Aeropuerto Internacional Ramón Villeda Morales) está a 83 km.","Jardín, Prohibido fumar en todo el alojamiento, Papel higiénico, Aire acondicionado, Parking gratis, Inglés, Terraza, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/426117617.jpg?k=840614b65e2de43018bec52fc8bdc971925ccca978411aeb65f5fb6f8b5fe0bb&o=&hp=1,Tela,Honduras
Cabañas Laguna,https://www.booking.com/hotel/hn/cabanas-laguna.es.html?aid=2410095,"Cabañas Laguna se encuentra en Tela y dispone de alojamiento con piscina privada. Esta casa o chalet ofrece wifi gratis y jardín, además de terraza.

Esta casa o chalet con aire acondicionado consta de 2 dormitorios independientes, una sala de estar, una cocina totalmente equipada y 1 baño. Se ofrece TV de pantalla plana.","Cocina, Jardín, TV de pantalla plana, Baño privado, Español, Aire acondicionado, Vistas, Parking gratis, Calefacción, Inglés, Terraza, Balcón, Piscina, Piscina privada, Playa, WiFi gratis, Zona de cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/586621613.jpg?k=5f470782a7454484be80ca742cd4ba81472850c8bf6219b984a5c0a5f4cb33ef&o=&hp=1,Tela,Honduras
