hotel,hotel_url,description,popular_facilities,highres_url,city,country
Rede Andrade Luxor,https://www.booking.com/hotel/br/luxor-piaui-teresina.es.html?aid=2410095,"Situated in the centre of Teresina, the Luxor Hotel Piauí offers modern accommodations 4 km from Teresina Airport.  Services include free Wi-Fi and on-site parking. All rooms are equipped with cable TV and a minibar.

The property also offers car parking at a charge, subject to availability.","Tarjeta de acceso, Extintores, Llave de acceso, Adaptado personas de movilidad reducida, WiFi gratis, Parking privado, Registro de entrada / salida privado, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Desayuno fantástico, Prohibido fumar en todo el alojamiento, Centro de negocios, Caja fuerte, Guardaequipaje, Salas de reuniones / banquetes, Servicio de limpieza diario, Gimnasio, Seguridad 24 horas, Recepción 24 horas, Detectores de humo, Ascensor, Aire acondicionado, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/267564953.jpg?k=f5c4df5fcd43bd8718fbb96ba154c0df0fb7a25862ab5a9a75f4b278dba60980&o=&hp=1,Teresina,Brasil
"OYO Real Palace Hotel, Teresina",https://www.booking.com/hotel/br/real-palace-teresina.es.html?aid=2410095,"El OYO Real Palace Hotel ofrece un alojamiento funcional en el centro de Teresina, a solo 3,5 km del aeropuerto, y cuenta con una piscina al aire libre y conexión Wi-Fi y aparcamiento gratuitos.

Las bonitas habitaciones del OYO Real Palace Hotel cuentan con los servicios básicos, como aire acondicionado, TV por cable, teléfono y minibar.

El Real Palace alberga 2 restaurantes que sirven especialidades brasileñas y mariscos frescos. Los huéspedes también podrán disfrutar de un desayuno bufé que incluye fruta fresca, zumos y repostería.","Terraza, Bar, TV de pantalla plana, Servicio de lavandería, Extintores, Restaurante, Ropa de cama, Escritorio, Zona de fumadores, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Teléfono, TV, Minibar, Bañera o ducha, Canales vía satélite, Ducha, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Suelo de baldosa / mármol, Canales por cable, Servicio de habitaciones, Parking gratis, Baño privado, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/282239747.jpg?k=54483a30a49104a089247ed8586c3576c6387ab92e548d88f75d9e34ae477396&o=&hp=1,Teresina,Brasil
Uchôa Teresina Hotel,https://www.booking.com/hotel/br/uchoa.es.html?aid=2410095,"El Uchôa Teresina Hotel, situado en Teresina, a 3,6 km del palacio de Karnak, ofrece alojamiento, conexión WiFi gratuita y restaurante. El establecimiento alberga un restaurante. Hay aparcamiento privado gratuito.

Hay TV de pantalla plana.

La recepción está abierta las 24 horas.

El estadio Governador Alberto Tavares Silva está a 3,6 km del Uchôa Teresina Hotel y el mercado de artesanía, a 3,7 km. El aeropuerto más cercano es el de Teresina, ubicado a 6 km.","Peluquería / salón de belleza, Acceso a pisos superiores en ascensor, Bar, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Escritorio, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Fruta, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, WC elevado, TV, Prohibido fumar en todo el alojamiento, Minibar, Caja fuerte, Guardaequipaje, Vistas a la ciudad, Canales vía satélite, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de limpieza diario, Tours a pie, Canales por cable, Tour o clase sobre cultura local, WC con barras de apoyo, Servicio de habitaciones, Cafetería en el alojamiento, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Caja fuerte para ordenador portátil, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/90868195.jpg?k=88ec1b5614b58564ddc52b59180f07b3f823899c86276b5d177fe40e4610e918&o=&hp=1,Teresina,Brasil
Ibis Teresina,https://www.booking.com/hotel/br/ibis-teresina.es.html?aid=2410095,"Ibis Teresina está en Teresina, a 15 min a pie de Palacio Karnak, y dispone de alojamiento con restaurante, parking privado gratis y bar. Este hotel de 3 estrellas ofrece recepción 24 horas, guardaequipaje y wifi gratis. Este alojamiento libre de humo se encuentra a 5 km de Estadio Governador Alberto Tavare Silva.

En el hotel, las habitaciones están equipadas con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades de este alojamiento disponen de aire acondicionado y armario.

En Ibis Teresina se puede disfrutar de un desayuno buffet.

Iglesia de São Benedito está a 13 min a pie del alojamiento, y Piaui Federal University está a 3,8 km. El aeropuerto más cercano (Aeropuerto Senador Petrônio Portella) está a 3 km.","Acceso a pisos superiores en ascensor, Bar, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Escritorio, Zona de fumadores, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, WC elevado, TV, Prohibido fumar en todo el alojamiento, Minibar, Guardaequipaje, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Eventos deportivos en directo (emisión), Almuerzos para llevar, Canales por cable, WC con barras de apoyo, Parking gratis, Baño privado, Parking en un garaje, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Lavamanos más bajo, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/316881164.jpg?k=9988cd10229332978bc0e46432cb694f8131442f660faac5bdf74dc8161f4583&o=&hp=1,Teresina,Brasil
Hostel Teresina,https://www.booking.com/hotel/br/hostel-das-meninas-teresina1.es.html?aid=2410095,"Hostel Teresina está a 8 min a pie de Palacio Karnak y ofrece alojamiento con restaurante, jardín, salón de uso común y terraza. Se ofrece wifi gratis en todo el alojamiento.

Algunos alojamientos incluyen balcón, TV por cable y zona de estar.

En la habitación en casa particular se sirve todas las mañanas un desayuno americano.

Estadio Governador Alberto Tavare Silva está a 5,2 km del alojamiento, y Iglesia de São Benedito está a 7 min a pie. El aeropuerto más cercano (Aeropuerto Senador Petrônio Portella) está a 3 km.","Terraza, Servicio de lavandería, Restaurante, Ropa de cama, Zona de fumadores, Zona de comedor, Menús para dietas especiales (bajo petición), Cocina compartida, Desayuno, Juegos de mesa / puzles, Wifi buena gratis (34 Mbps), Barbacoa, Alarma de seguridad, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Terraza / solárium, Utensilios de cocina, Servicio de planchado, Ducha, Mesa de comedor, Toallas, Servicio de limpieza diario, Jardín, Proporciona factura, Servicio de limpieza en seco, Seguridad 24 horas, Servicio de habitaciones, Nevera, Zona TV / salón de uso compartido, WC, Baño compartido, Habitaciones familiares, Portugués, Servicio de traslado, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/551759681.jpg?k=6c56f33e6d49c0655b74ad419c55e2d1887b42e03a440f64e6a3fd879f4a1e12&o=&hp=1,Teresina,Brasil
Hotel Pio,https://www.booking.com/hotel/br/pio.es.html?aid=2410095,"El Hotel Pio se encuentra a 200 metros del aeropuerto. Ofrece aparcamiento gratuito y alojamiento con TV LCD y conexión Wi-Fi gratuita.

Las habitaciones cuentan con un mobiliario básico, aire acondicionado, minibar y baño privado con ducha.

El restaurante del Pio Hotel sirve todos los días un desayuno bufé abundante que incluye productos de la zona, como frutas tropicales y panqueques de tapioca.

Este hotel se encuentra a 10 minutos en coche del Teresina Shopping, a 7 km del centro de la ciudad y a 12 km de la terminal de autobús.","Terraza, TV de pantalla plana, Ropa de cama, Zona de comedor, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Teléfono, Servicio de despertador, TV, Armario, Toallas, Buen desayuno, Servicio de habitaciones, Baño privado, Tostadora, Secador de pelo, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, Habitaciones familiares, Portugués, Balcón, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/135607644.jpg?k=05fdfa031bc36330875954d94e3491a134adb323401fe699c1731961eab8fd27&o=&hp=1,Teresina,Brasil
Piaui Apart Hotel,https://www.booking.com/hotel/br/piaui-apart.es.html?aid=2410095,"Piaui Apart Hotel, que está a 19 min a pie de Palacio Karnak y a 6,7 km de Estadio Governador Alberto Tavare Silva, ofrece habitaciones en Teresina. Este hotel de 2 estrellas ofrece wifi gratis. Iglesia de São Benedito está a 19 min a pie del hotel y Piaui Federal University, a 3,4 km.

El aeropuerto más cercano (Aeropuerto Senador Petrônio Portella) está a 2 km.","Portugués, Registro de entrada / salida privado, Extintores, Llave de acceso, Servicio de limpieza diario, Zona de fumadores, Aire acondicionado, Habitaciones familiares, WiFi gratis, Habitaciones sin humo, Taquillas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/190514873.jpg?k=3400c06b34a8e8558a3bbe1829cd8c8cdacab32fb79d265894c9f1feda0e67b3&o=&hp=1,Teresina,Brasil
Casa Piauí Hostel,https://www.booking.com/hotel/br/casa-seletos-the.es.html?aid=2410095,"Casa Piauí Hostel se encuentra en Teresina, en la región de Piauí, a 5,2 km de Iglesia de São Benedito. El alojamiento está a 5,3 km de Palacio Karnak, a 10 km de Estadio Governador Alberto Tavare Silva y a 4,5 km de Piaui Federal University. El alojamiento dispone de cocina compartida y wifi gratis.

Todas las habitaciones cuentan con horno.

En el albergue se puede disfrutar de un desayuno a la carta o continental.

El aeropuerto (Aeropuerto Senador Petrônio Portella) está a 1 km.","Inglés, Tetera/cafetera en todas las habitaciones, Tetera / cafetera, Extintores, Llave de acceso, Zona de fumadores, Información turística, Alquiler de coches, Cocina compartida, Desayuno, WiFi gratis, Enchufe cerca de la cama, Fogones, Alarma de seguridad, Horno, Prohibido fumar en todo el alojamiento, Español, Ducha, Mesa de comedor, Toallas, Cafetería en el alojamiento, Portugués, Toallas / sábanas (por un suplemento), WC, Aire acondicionado, Habitaciones familiares, Zona de comedor exterior, Taquillas, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582076290.jpg?k=bf897cf9d394941fb1512bb6c7ec6dfbda6e5cc922288d76482ce208457920f4&o=&hp=1,Teresina,Brasil
Blue Tree Towers Rio Poty,https://www.booking.com/hotel/br/blue-tree-rio-poty.es.html?aid=2410095,"Este hotel se encuentra a 2 km del centro de Teresina y cuenta con un jardín diseñado por Burle Marx y piscinas al aire libre. Ofrece habitaciones con aire acondicionado, servicio de aparcacoches gratuito y conexión Wi-Fi gratuita.

Las habitaciones del Blue Tree Rio Poty son amplias, tienen una decoración clásica y disponen de minibar, TV por cable y baño privado. Algunas incluyen TV LCD, bañera y zona de estar adicional. También hay habitaciones adaptadas para personas de movilidad reducida.

El hotel Blue Tree Rio Poty sirve un desayuno bufé todos los días en la zona de comedor lujosa. Además, se puede disfrutar de bebidas refrescantes junto a la piscina y saborear platos internacionales y regionales en el restaurante. Hay servicio de habitaciones las 24 horas y se puede desayunar en la habitación.

Este hotel está situado a 5 km del ayuntamiento municipal de Teresina y de la estación de autobuses. El aeropuerto Senador Petronio Portella está a 5 km. El personal de recepción puede organizar servicios de enlace con el aeropuerto.","Tumbonas/sillas de playa, Bar, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Insonorización, Restaurante, Ropa de cama, Vistas al jardín, Escritorio, Sombrillas, Adaptado personas de movilidad reducida, Zona poco profunda, WiFi gratis, Vistas a la piscina, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Servicio de conserjería, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, Minibar, Vistas al río, Caja fuerte, Sauna, Guardaequipaje, Vistas a la ciudad, Ducha, Salas de reuniones / banquetes, Bar en la piscina, Armario, Vistas, Toallas, Gimnasio, Artículos de aseo gratis, Billar, Servicio de limpieza diario, Para todas las edades, Jardín, Canales por cable, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, Horario de apertura, Recepción 24 horas, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/211605912.jpg?k=d953ac49f63903f71eaeba38398d49e0843c369a47a844c51782c201f0689390&o=&hp=1,Teresina,Brasil
HOTEL CORTESE,https://www.booking.com/hotel/br/cortese-teresina.es.html?aid=2410095,"HOTEL CORTESE se encuentra en Teresina, a 3,8 km de Palacio Karnak, y ofrece alojamiento con salón de uso común, parking privado gratis, terraza y restaurante. El alojamiento está a 3,8 km de Estadio Governador Alberto Tavare Silva, a 3,5 km de Iglesia de São Benedito y a 5,3 km de Piaui Federal University. El alojamiento dispone de recepción 24 horas y wifi gratis.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Todas las unidades disponen de baño privado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto Senador Petrônio Portella) está a 6 km.","Acceso a pisos superiores en ascensor, Terraza, TV de pantalla plana, Extintores, Desayuno fabuloso, Restaurante, Perchero, WiFi gratis, Enchufe cerca de la cama, Teléfono, TV, Minibar, Ducha, Toallas, Artículos de aseo gratis, Parking gratis, Baño privado, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/396670445.jpg?k=3efffed5fd10aec45d3b77a4db80539019dc34ccb6aba00d2cb89121e4239933&o=&hp=1,Teresina,Brasil
