hotel,hotel_url,description,popular_facilities,highres_url,city,country
Shushupe Hotel,https://www.booking.com/hotel/pe/shushupe.es.html?aid=2410095,"Shushupe Hotel dispone de piscina al aire libre, terraza, restaurante y bar en Tingo María. Este hotel de 3 estrellas ofrece cocina compartida, recepción 24 horas y wifi gratis. Hay parking privado gratis y hotel también ofrece alquiler de bicicletas para descubrir los alrededores.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana.

El aeropuerto más cercano (Tingo Maria ) está a 2 km del alojamiento.","Entretenimiento nocturno, Parking en un garaje, Fruta, Prohibido fumar en todo el alojamiento, Piscina con vistas, Parking gratis, Servicio de limpieza diario, Terraza, Caja fuerte, Cocina compartida, Servicio de lavandería, Bar, Mobiliario exterior, WiFi gratis, Alquiler de bicicletas, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Piscina pequeña, Para todas las edades, Inglés, Karaoke, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Tumbonas/sillas de playa, Terraza / solárium, Información turística, Toallas de playa/piscina, Juegos de mesa / puzles, Fax / fotocopiadora, Abierta todo el año, Desayuno fantástico, Bañera, Español, Aire acondicionado, Zona poco profunda, Piscina al aire libre, Habitaciones sin humo, Restaurante, Extintores, Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Piscina en la azotea",https://cf.bstatic.com/xdata/images/hotel/max1024x768/119666802.jpg?k=158c6fe831e2a836a6a64a50a54bc100cbd86be0acd14600d0cd0f3207e5aa2a&o=&hp=1,Tingo María,Perú
Casa Hospedaje Tingomaria,https://www.booking.com/hotel/pe/casa-hospedaje-tingomaria.es.html?aid=2410095,"La Casa Hospedaje Tingomaria se encuentra en Tingo María y ofrece un jardín. Este establecimiento ofrece alojamiento con terraza.

Habitación familiar con vistas al jardín y baño con ducha.

Todas las mañanas se sirve un desayuno a la carta.

El personal de la recepción, abierta las 24 horas, habla español y francés.","Parking en un garaje, Suelo de madera o parquet, Servicio de planchado, Plancha para pantalones, Desayuno, Menús para dietas especiales (bajo petición), Parking gratis, Italiano, Traslado aeropuerto, Terraza, Servicio de lavandería, Servicio de entrega de comestibles, WiFi gratis, Mosquitera, Cenas temáticas, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Información turística, Vino / champán, Jardín, Clases de cocina, Español, Enchufe cerca de la cama, Vistas, Extintores, Recepción 24 horas, Francés, Baño compartido, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/191405568.jpg?k=dbf399153cbdb12e9087519e0d6263f51a398046e967c0fd9d4e67edeb1f4478&o=&hp=1,Tingo María,Perú
HOSPEDAJE EL CANTARO II,https://www.booking.com/hotel/pe/hospedaje-el-cantaro-ii.es.html?aid=2410095,"HOSPEDAJE EL CANTARO II está en Tingo María y dispone de terraza y wifi gratis en todo el alojamiento. El hotel tiene habitaciones familiares.

El aeropuerto (Tingo Maria ) está a 2 km.","Extintores, WiFi gratis, Español, Terraza, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/559772845.jpg?k=255170cc9b6c66e8d28735186cd04488a7afed713f41f64d6f4b25a9b5cbf470&o=&hp=1,Tingo María,Perú
Caruzo Hotel and suites,https://www.booking.com/hotel/pe/caruzo-and-suites.es.html?aid=2410095,"Caruzo Hotel and suites dispone de piscina al aire libre, salón de uso común, terraza y bar en Tingo María. El alojamiento ofrece recepción 24 horas, servicio de traslado, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, cada habitación está equipada con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

En Caruzo Hotel and suites se puede disfrutar de un desayuno americano.

El aeropuerto más cercano (Tingo Maria ) está a pocos pasos del alojamiento.","Prohibido fumar en todo el alojamiento, Eventos deportivos en directo (emisión), Zona de cocina, Plancha para ropa, Parking gratis, Perchero, Happy hour, Terraza, Bañera o ducha, Toda la unidad en la planta baja, Mobiliario exterior, Detectores de humo, WiFi gratis, Para todas las edades, Baños públicos, Pesca, Canales por cable, Proporciona factura, Español, Máquina expendedora (bebidas), Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Ropa de cama, Piscina en la azotea, Habitaciones familiares, Fruta, Desayuno, Buffet para niños, Tour o clase sobre cultura local, Armario, Alarma de seguridad, WC, Piscina privada, Vino / champán, Artículos de aseo gratis, Bañera de hidromasaje / jacuzzi, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Vistas, Guardaequipaje, Entrada privada, Valla alrededor de la piscina, Máquina expendedora (aperitivos), Zona de comedor, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, TV, Cámaras de seguridad fuera del alojamiento, Habitaciones comunicadas disponibles, Menú para niños, Snack-bar, Secador de pelo, Abierta todo el año, Baño privado, Aire acondicionado, Piscina al aire libre, Piscina con vistas, Menús para dietas especiales (bajo petición), Llave de acceso, Seguridad 24 horas, Bar, Inglés, Toallas / sábanas (por un suplemento), Albornoz, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Acceso a pisos superiores solo mediante escaleras, Acceso a pisos superiores en ascensor, Toallas, Toallas de playa/piscina, Bar en la piscina, Ascensor, Recepción 24 horas, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573489406.jpg?k=b82ebf003efb02f9b8a4392ab87acf31b78948b58b9e8dcc1f4f621d506b8ef8&o=&hp=1,Tingo María,Perú
LEMBRANÇAS HOTEL LODGE,https://www.booking.com/hotel/pe/lembrancas-lodge-tingo-maria.es.html?aid=2410095,"LEMBRANÇAS HOTEL LODGE se encuentra en Tingo María y ofrece wifi gratis, piscina al aire libre, jardín y terraza.

El lodge cuenta con un restaurante que sirve cocina peruana.

El aeropuerto más cercano (Tingo Maria ) está a 10 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Prohibido fumar en todo el alojamiento, Desayuno, Parking gratis, Sombrillas, Traslado aeropuerto, Salas de reuniones / banquetes, Terraza, Seguridad 24 horas, Piscina infinita, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Para todas las edades, Servicio de traslado, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Tumbonas/sillas de playa, Información turística, Jardín, Abierta todo el año, Español, Aire acondicionado, Piscina al aire libre, Habitaciones sin humo, Restaurante, Recepción 24 horas, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490996971.jpg?k=3ba237d5173574bf71aea53ffe4db6bd78aab341b1d915aac1a33393f435d777&o=&hp=1,Tingo María,Perú
Los Kristales,https://www.booking.com/hotel/pe/los-kristales-tingo-maria.es.html?aid=2410095,"Los Kristales, que tiene salón de uso común, está en Tingo María. Hay terraza, wifi gratis y parking privado gratis.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Algunas habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas a la ciudad. En el hostal o pensión, las habitaciones cuentan con ropa de cama y toallas.

En la recepción 24 horas se habla inglés y español, y el personal siempre está dispuesto a echar una mano.

El aeropuerto (Tingo Maria ) está a 3 km.","Prohibido fumar en todo el alojamiento, Plancha para pantalones, Parking gratis, Llave de acceso, Salas de reuniones / banquetes, Terraza, Caja fuerte, Seguridad 24 horas, Papel higiénico, Mobiliario exterior, Servicio de conserjería, WiFi gratis, Detectores de humo, Inglés, Alarma de seguridad, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Terraza / solárium, Vino / champán, Toallas, Información turística, Artículos de aseo gratis, Secador de pelo, Zona de fumadores, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Habitaciones sin humo, Zona TV / salón de uso compartido, Extintores, Zona de pícnic, Recepción 24 horas, Guardaequipaje, TV de pantalla plana, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/586099690.jpg?k=c44345263311d17f3de6c72ecbd48949ae91dd44fd972ff5a7620fe6ac1aba4d&o=&hp=1,Tingo María,Perú
Casa Gastón,https://www.booking.com/hotel/pe/casa-gaston.es.html?aid=2410095,"Casa Gastón está en Tingo María. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, cada habitación cuenta con baño privado y algunas también ofrecen balcón.

El aeropuerto más cercano (Tingo Maria ) está a 1 km.","WiFi gratis, Inglés, Parking gratis, Español, Baño privado, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573135462.jpg?k=40cef1f81a71f7f4a755f694cf85eefa09ad116de2e97fca7b37426e843b4d1c&o=&hp=1,Tingo María,Perú
Hospedaje Vista Paraíso,https://www.booking.com/hotel/pe/hospedaje-vista-paraiso.es.html?aid=2410095,"Hospedaje Vista Paraíso ofrece alojamiento en Tingo María. El hostal o pensión tiene habitaciones familiares.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones del alojamiento tienen wifi gratis y baño privado con ducha y artículos de aseo gratuitos. Algunas de las habitaciones también ofrecen balcón. En el hostal o pensión, las habitaciones están equipadas con ropa de cama y toallas.

El aeropuerto (Tingo Maria ) está a 4 km.","Habitaciones sin humo, Papel higiénico, Artículos de aseo gratis, Prohibido fumar en todo el alojamiento, WiFi gratis, Perchero, TV de pantalla plana, Ropa de cama, Ducha, Ventilador, Español, Baño privado, Habitaciones familiares, Bañera o ducha, Toallas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/508181450.jpg?k=06150e62155fc926a4e7402f222450fb10277949d9e280bf818fadb2a66c76af&o=&hp=1,Tingo María,Perú
Los pintores,https://www.booking.com/hotel/pe/los-pintores.es.html?aid=2410095,"Los pintores dispone de alojamiento en Tingo María. El hostal o pensión libre de humo dispone de wifi gratis en todo el alojamiento.

En el hostal o pensión, las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. En Los pintores, todas las habitaciones incluyen zona de estar.

En el alojamiento se sirve cada mañana un desayuno a la carta.

El aeropuerto (Tingo Maria ) está a 1 km.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Desayuno, Plancha para ropa, Zona de comedor, Bañera o ducha, Zona de estar, Armario, Papel higiénico, WiFi gratis, TV, Inglés, Mosquitera, WC, Acceso a pisos superiores solo mediante escaleras, Toallas, Artículos de aseo gratis, Español, Baño privado, Habitaciones sin humo, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Suelo de baldosa / mármol, Francés, TV de pantalla plana, Ropa de cama, Ducha",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577290064.jpg?k=aab830b4f3fd8c01c71ec1f834f609345ccdea4220c32e359c6835c6548d9695&o=&hp=1,Tingo María,Perú
Hotel Rupa Rupa,https://www.booking.com/hotel/pe/rupa-rupa-tingo-maria.es.html?aid=2410095,"Hotel Rupa Rupa está en Tingo María y ofrece jardín. Este hotel de 3 estrellas ofrece servicio de habitaciones, recepción 24 horas y wifi gratis. El hotel tiene habitaciones familiares.

El hotel ofrece habitaciones con aire acondicionado, escritorio, hervidor, caja fuerte, TV de pantalla plana, terraza y baño privado con ducha. Las unidades disponen de armario.

El aeropuerto más cercano (Tingo Maria ) está a 3 km.","Prohibido fumar en todo el alojamiento, Utensilios de planchado, Servicio de planchado, Desayuno, Plancha para ropa, Parking gratis, Servicio de limpieza diario, Perchero, Terraza, Caja fuerte, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Hervidor eléctrico, WC, Servicio de habitaciones, Terraza / solárium, Toallas, Jardín, Artículos de aseo gratis, Secador de pelo, Español, Baño privado, Aire acondicionado, Habitaciones sin humo, Enchufe cerca de la cama, Extintores, Recepción 24 horas, Guardaequipaje, Escritorio, TV de pantalla plana, Entrada privada, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/489535508.jpg?k=5c5af07544abae1f82157c04b9dff98d6f3f5946c7eb0ad61d04b7f9f19e0e19&o=&hp=1,Tingo María,Perú
