hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Areela Boutique Hotel,US$50,"8,5",Muy bien,1.445,https://cf.bstatic.com/xdata/images/hotel/max1024x768/83695322.webp?k=3b1a0b21fcdd8168d358af0d359d0e91004c89873b55e65ab4eb52625392fb0c&o=,https://www.booking.com/hotel/al/areela.es.html?aid=2410095,"Corte de pelo, Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Secadora de ropa, Servicios de belleza, Extintores, Artículos de aseo gratis, Canales de pago, Zona de comedor, Cafetería en el alojamiento, Habitaciones insonorizadas, Italiano, Francés, Detectores de humo, Habitaciones hipoalergénicas, Protector de enchufes para niños, Ducha, Parking en un garaje, Tour o clase sobre cultura local, Peluquería / salón de belleza, Alemán, Servicios de maquillaje, Escritorio, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, Galerías de arte temporales, Exfoliación corporal, WiFi gratis, Eventos deportivos en directo (emisión), Enchufe cerca de la cama, Aseo adicional, Almuerzos para llevar, Habitaciones familiares, Teléfono, Lavadora, Vistas, Armario, Suelo de moqueta, Supermercado pequeño en el alojamiento, Máquina expendedora (bebidas), WC, Cambio de moneda, Fax / fotocopiadora, Servicio de traslado, Productos de limpieza, TV de pantalla plana, Recepción 24 horas, Español, Zona TV / salón de uso compartido, Tinte, Fruta, Vistas a un lugar de interés, Zapatillas, Reloj despertador, Hipoalergénico, Servicio de planchado, Desayuno en la habitación, Patio, Servicio de despertador / alarma, Servicio de limpieza diario, Envoltura corporal, Llave de acceso, Baño privado, Terapia con luz, Toallas, Inglés, Traslado aeropuerto, Insonorización, Parking adaptado para personas de movilidad reducida, Peinado, Plancha para pantalones, Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Ropa de cama, Servicio de habitaciones, Servicio de limpieza en seco, Terraza, Jardín, Manicura, Ordenador portátil, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Cámaras de seguridad en las zonas comunitarias, Pedicura, Bañera o ducha, Alquiler de coches, Entrada privada, Suelo de madera o parquet, Servicio de aparcacoches, Caja fuerte, Tratamientos capilares, Tratamientos faciales, TV, Vistas a la ciudad, Aire acondicionado, Proporciona factura, Ordenador, Nevera, Mosquitera, Muy buen desayuno, Salas de reuniones / banquetes, Bar, Mesa de comedor, Suelo de baldosa / mármol, Taquillas, Canales por cable, Habitaciones sin humo, Happy hour, Parking gratis, Tours a pie, Minibar, Radio, Tratamientos corporales, Alarma de seguridad, Servicio de despertador",Tirana,Albania,"El Areela Boutique Hotel se encuentra en pleno centro de Tirana, en uno de los barrios más antiguos de la ciudad y a solo 350 metros de la plaza Skanderbeg. Este hotel, ubicado en una zona tranquila y apacible, ofrece habitaciones con aire acondicionado, WiFi gratuita y salón de té en el vestíbulo. Se facilita aparcamiento cubierto gratuito.

Las habitaciones presentan una decoración clásica y elegante, con ropa de cama hipoalergénica y colchones Serta Perfect Sleeper. También incluyen aire acondicionado, TV de pantalla plana, minibar y baño privado con ducha, secador de pelo y artículos de aseo gratuitos. Algunas habitaciones tienen balcón amueblado.

El establecimiento cuenta con recepción 24 horas y servicio de habitaciones. Los servicios de lavandería, de planchado y de limpieza en seco comportan suplementos. Por la mañana se sirve un desayuno continental en el comedor.

El establecimiento se halla a 7 minutos del centro de la ciudad, a pocos pasos del Museo Nacional y de la ópera. La estación de tren y la parada de autobuses quedan a solo 200 metros. El aeropuerto de Tirana está ubicado a 14 km del Areela Boutique Hotel."
Hotel Theatro- City Center,US$68,"8,6",Fabuloso,2.277,https://cf.bstatic.com/xdata/images/hotel/max1024x768/349455822.webp?k=17d9a535007978b2b2e1ddbcb78ae8976999a7fad9be9f2889ca18bd3b9f4331&o=,https://www.booking.com/hotel/al/theatro.es.html?aid=2410095,"Servicio de habitaciones, Ducha, Zona de estar, Fax / fotocopiadora, Terraza, Recepción 24 horas, TV de pantalla plana, Perchero, Acceso a pisos superiores solo mediante escaleras, Solo para adultos, Papel higiénico, Bidet, Guardaequipaje, Canales vía satélite, Alarma de seguridad, Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Servicio de lavandería, Prohibido fumar en todo el alojamiento, Extintores, TV, Vistas a la ciudad, Aire acondicionado, Calefacción, WiFi gratis, Servicio de planchado, Habitaciones insonorizadas, Italiano, Muy buen desayuno, Bar, Servicio de limpieza diario, Restaurante, Tarjeta de acceso, Detectores de humo, Baño privado, Toallas, Teléfono, Inglés, Ascensor, Traslado aeropuerto, Servicio de conserjería, Vistas, Parking adaptado para personas de movilidad reducida, Insonorización, Mobiliario exterior, Canales por cable, Habitaciones sin humo, Suelo de moqueta, Parking gratis, WC, Minibar, Acceso a pisos superiores en ascensor, Registro de entrada y salida exprés, Ropa de cama, Servicio de despertador",Tirana,Albania,"Hotel Theatro- City Center se encuentra en Tirana, a 8 min a pie de Plaza Skanderbeg, y ofrece alojamiento con terraza, parking privado gratis, restaurante y bar. Este hotel de 4 estrellas ofrece servicio de conserjería y guardaequipaje. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis.

En el hotel, las habitaciones cuentan con escritorio. Las habitaciones del alojamiento tienen baño privado con bidet y secador de pelo, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones están equipadas con balcón. En Hotel Theatro- City Center, cada habitación está equipada con ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como Former Residence of Enver Hoxha, House of Leaves y Rinia Park. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 15 km del alojamiento."
ART Hotel Tirana,US$60,"9,0",Fantástico,1.323,https://cf.bstatic.com/xdata/images/hotel/max1024x768/185275882.webp?k=5f8729de40eabd37a7900a36ac774f0307efb2ee5acd09032ee8635729f493f4&o=,https://www.booking.com/hotel/al/sarajevo-art.es.html?aid=2410095,"Menú para niños, Griego, Papel higiénico, Canales vía satélite, Croata, Secador de pelo, Servicio de lavandería, Extintores, Artículos de aseo gratis, Zona de comedor, Habitaciones insonorizadas, Servicio de streaming (como Netflix), Zona de fumadores, Italiano, Parking en la calle, Detectores de humo, Servicio de conserjería, Acceso a pisos superiores en ascensor, Ducha, Tour o clase sobre cultura local, Alemán, Escritorio, Prohibido fumar en todo el alojamiento, Barandillas protectoras para bebés, Calefacción, WiFi gratis, Eventos deportivos en directo (emisión), Enchufe cerca de la cama, Aseo adicional, Almuerzos para llevar, Habitaciones familiares, Teléfono, Snack-bar, Armario, Suelo de moqueta, WC, Cambio de moneda, Fax / fotocopiadora, Servicio de traslado, TV de pantalla plana, Recepción 24 horas, Español, Zona TV / salón de uso compartido, Fruta, Turco, Zapatillas, Servicio de planchado, Desayuno en la habitación, Servicio de despertador / alarma, Servicio de limpieza diario, Llave de acceso, Baño privado, Toallas, Inglés, Traslado aeropuerto, Insonorización, Parking adaptado para personas de movilidad reducida, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Servicio de habitaciones, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Desayuno fabuloso, Bañera o ducha, Alquiler de coches, Servicio de aparcacoches, Caja fuerte, TV, Aire acondicionado, Salas de reuniones / banquetes, Bar, Mesa de comedor, Restaurante, Tarjeta de acceso, Taquillas, Ascensor, Canales por cable, Habitaciones sin humo, Happy hour, Parking gratis, Centro de negocios, Minibar, Radio, Alarma de seguridad, Servicio de despertador",Tirana,Albania,"El ART Hotel Tirana ofrece alojamiento con aire acondicionado y WiFi gratuita en Tirana, a 0,75 km de la plaza Skanderbeg. El establecimiento cuenta con salón compartido y bar. Dajti Express está a 6 km. La Sky Tower está a 1,6 km del hotel.

Todas las habitaciones incluyen escritorio y TV de pantalla plana. Todas las habitaciones están equipadas con baño privado y algunas tienen terraza. Todas las habitaciones del ART Hotel Tirana incluyen zona de estar.

Todas las mañanas se sirve un desayuno buffet. El restaurante del hotel está especializado en cocina europea.

El personal de la recepción 24 horas habla griego, inglés y español.

El parque nacional de deportes está a 4,1 km. El aeropuerto internacional Madre Teresa de Tirana está a 17 km. El establecimiento ofrece servicio de enlace con el aeropuerto por un suplemento."
Black Diamond Hotel,US$93,"8,6",Fabuloso,1.774,https://cf.bstatic.com/xdata/images/hotel/max1024x768/414098118.webp?k=bcfca4e6d1932c742660cfd5e2a06afeded8c93d41b8fbfef35ff2087f08972d&o=,https://www.booking.com/hotel/al/black-diamond.es.html?aid=2410095,"Menú para niños, Papel higiénico, Guardaequipaje, Secador de pelo, Servicio de lavandería, Sombrillas, Secadora de ropa, Servicios de belleza, Extintores, Artículos de aseo gratis, Zona de spa / relajación, Cafetería en el alojamiento, Servicio de entrega de comestibles, Habitaciones insonorizadas, Italiano, Piscina interior, Detectores de humo, Bañera de hidromasaje / jacuzzi, Albornoz, Servicio de conserjería, Baños termales, Acceso a pisos superiores en ascensor, Buffet para niños, Ducha, Parking en un garaje, Tour o clase sobre cultura local, Cajero automático en el hotel, Abierta todo el año, Escritorio, Tetera / cafetera, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, WiFi gratis, Eventos deportivos en directo (emisión), Almuerzos para llevar, Hammam, Habitaciones familiares, Teléfono, Tarjetas de transporte público, Snack-bar, Armario, Baño de vapor, Hervidor eléctrico, Spa y centro de bienestar, WC, Cambio de moneda, Fax / fotocopiadora, Productos de limpieza, TV de pantalla plana, Recepción 24 horas, Español, Zona TV / salón de uso compartido, Fruta, Turco, Zapatillas, Servicio de planchado, Desayuno en la habitación, Servicio de despertador / alarma, Instalaciones de spa, Servicio de limpieza diario, Baño privado, Silla de masajes, Toallas, Inglés, Masajes, Traslado aeropuerto, Insonorización, Parking adaptado para personas de movilidad reducida, Albanés, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Servicio de habitaciones, Servicio de limpieza en seco, Terraza, Toallas / sábanas (por un suplemento), Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Alquiler de coches, Sauna, Suelo de madera o parquet, Servicio de aparcacoches, Caja fuerte, Cenas temáticas, TV, Vistas a la ciudad, Aire acondicionado, Gimnasio, Proporciona factura, Tetera/cafetera en todas las habitaciones, Información turística, Muy buen desayuno, Salas de reuniones / banquetes, Bar, Restaurante, Toda la unidad accesible en silla de ruedas, Taquillas, Ascensor, Terraza / solárium, Mobiliario exterior, Habitaciones sin humo, Happy hour, Parking gratis, Centro de negocios, Tumbonas/sillas de playa, Tours a pie, Minibar, Alarma de seguridad, Servicio de despertador",Tirana,Albania,"Black Diamond Hotel se encuentra en Tirana, a 9 min a pie de Plaza Skanderbeg, y ofrece alojamiento con salón de uso común, parking privado gratis, terraza y restaurante. Este hotel de 4 estrellas ofrece cajero automático y servicio de conserjería. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

El hotel ofrece habitaciones con aire acondicionado, escritorio, hervidor, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. Todas las unidades disponen de armario.

Black Diamond Hotel ofrece desayuno buffet o continental.

Cerca del alojamiento hay puntos de interés como Former Residence of Enver Hoxha, National Theatre of Opera and Ballet of Albania y National Museum of History Albania. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 14 km."
D1 Hostel,US$15,"7,8",Bien,936,https://cf.bstatic.com/xdata/images/hotel/max1024x768/277430064.webp?k=2d07efe23c7e2ec3834f9f24c78609ff663a262578dee438d6b72478c96f7959&o=,https://www.booking.com/hotel/al/d1-hostel.es.html?aid=2410095,"Ducha, Servicio de limpieza en seco, Tour o clase sobre cultura local, Terraza, Peluquería / salón de belleza, Zona TV / salón de uso compartido, Fruta, Cámaras de seguridad en las zonas comunitarias, Alemán, Papel higiénico, Guardaequipaje, Alquiler de coches, Juegos de mesa / puzles, Servicio de aparcacoches, Servicio de lavandería, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, Aire acondicionado, Proporciona factura, WiFi gratis, Barbacoa, Servicio de planchado, Habitaciones insonorizadas, Zona de fumadores, Italiano, Parking en la calle, Tarjeta de acceso, Llave de acceso, Baño privado, Enchufe cerca de la cama, Toallas, Taquillas, Inglés, Traslado aeropuerto, Terraza / solárium, Dardos, Habitaciones sin humo, Cocina compartida, Parking privado, Supermercado pequeño en el alojamiento, Máquina expendedora (bebidas), Cámaras de seguridad fuera del alojamiento, WC, Vino / champán, Tours a pie, Servicio de traslado, Ropa de cama",Tirana,Albania,"D1 Hostel está en Tirana, a 6 min a pie de Plaza Skanderbeg, y dispone de salón de uso común, habitaciones hipoalergénicas, wifi gratis en todo el alojamiento y terraza. Este alojamiento, que tiene cocina compartida, también ofrece barbacoa. Hay parking privado en el propio alojamiento.

Las habitaciones disponen de baño privado con ducha, algunas ofrecen balcón y otras también cuentan con vistas a la ciudad. En el albergue, cada habitación incluye ropa de cama y toallas.

Se puede jugar a los dardos en D1 Hostel, y también hay alquiler de coches.

Cerca del alojamiento hay puntos de interés como Former Residence of Enver Hoxha, Toptani Shopping Centre y National Theatre of Opera and Ballet of Albania. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 14 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
Boutique Hotel Whisky,US$67,"8,5",Muy bien,710,https://cf.bstatic.com/xdata/images/hotel/max1024x768/199211904.webp?k=7a7bbeccc39aea527b38ea096de0d7f36aa853b8c21f19d2b52d93f132ce1952&o=,https://www.booking.com/hotel/al/boutique-whisky.es.html?aid=2410095,"Servicio de habitaciones, Desayuno, Seguridad 24 horas, Fruta, Cámaras de seguridad en las zonas comunitarias, Guardaequipaje, Alquiler de coches, Prohibido fumar en todo el alojamiento, Extintores, Calefacción, Aire acondicionado, WiFi gratis, Cafetería en el alojamiento, Desayuno en la habitación, Habitaciones insonorizadas, Francés, Italiano, Bar, Servicio de limpieza diario, Restaurante, Tarjeta de acceso, Detectores de humo, Llave de acceso, Habitaciones familiares, Inglés, Ascensor, Tarjetas de transporte público, Snack-bar, Albanés, Habitaciones sin humo, Happy hour, Cámaras de seguridad fuera del alojamiento, Cambio de moneda, Servicio de traslado, Alarma de seguridad",Tirana,Albania,"Boutique Hotel Whisky se encuentra en Tirana, a 12 min a pie de Plaza Skanderbeg, y ofrece restaurante, habitaciones hipoalergénicas, wifi gratis en todo el alojamiento y bar. El alojamiento está cerca de varios lugares de interés destacados, a unos 4 min a pie de Former Residence of Enver Hoxha, a 300 metros de Postbllok - Checkpoint Monument y a 9 min a pie de Pyramid of Tirana. El alojamiento dispone de servicio de habitaciones, guardaequipaje y cambio de moneda.

En el hotel se sirve todas las mañanas un desayuno continental.

Cerca del alojamiento hay puntos de interés como Reja - The Cloud, National Gallery of Arts Tirana y Saint Paul Cathedral. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 16 km."
Senator Hotel,US$73,"8,6",Fabuloso,1.789,https://cf.bstatic.com/xdata/images/hotel/max1024x768/78793110.webp?k=fe59643cf444f990f7d68917d3a76ccc3a018748f500bbb7119a9839dc8ada39&o=,https://www.booking.com/hotel/al/senator.es.html?aid=2410095,"Griego, Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Extintores, Artículos de aseo gratis, Canales de pago, Cafetería en el alojamiento, Servicio de entrega de comestibles, Servicio de streaming (como Netflix), Zona de fumadores, Habitaciones insonorizadas, Italiano, Detectores de humo, Habitaciones hipoalergénicas, Caja fuerte para ordenador portátil, Protector de enchufes para niños, Acceso a pisos superiores en ascensor, Ducha, Peluquería / salón de belleza, Perchero, Cajero automático en el hotel, WC elevado, Escritorio, Barandillas de seguridad para bebés, Calefacción, WiFi gratis, Buen desayuno, Adaptado personas de movilidad reducida, Enchufe cerca de la cama, Almuerzos para llevar, Habitaciones familiares, Teléfono, Armario, Suelo de moqueta, Supermercado pequeño en el alojamiento, WC, Cambio de moneda, Fax / fotocopiadora, TV de pantalla plana, Recepción 24 horas, Español, Zona TV / salón de uso compartido, Fruta, Reloj despertador, Hipoalergénico, Servicio de planchado, Libros, DVD o música para niños, Servicio de despertador / alarma, Servicio de limpieza diario, Llave de acceso, Baño privado, Toallas, Inglés, Insonorización, Menús para dietas especiales (bajo petición), Cámaras de seguridad fuera del alojamiento, Vino / champán, Registro de entrada y salida exprés, Ropa de cama, Servicio de limpieza en seco, Jardín, Toallas / sábanas (por un suplemento), Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Bañera o ducha, Caja fuerte, TV, Aire acondicionado, Cuerda de emergencia en el baño, Nevera, Información turística, WC con barras de apoyo, Salas de reuniones / banquetes, Tarjeta de acceso, Suelo de baldosa / mármol, Taquillas, Ascensor, Camas extralargas (más de 2 metros), Canales por cable, Habitaciones sin humo, Tours a pie, Habitaciones comunicadas disponibles, Minibar, Radio, Alarma de seguridad, Servicio de despertador",Tirana,Albania,"El Senator Hotel se encuentra en Tirana, a 600 metros de la plaza Skenderberg, y ofrece WiFi gratuita en todas las instalaciones.

Todas las habitaciones disponen de aire acondicionado, TV de pantalla plana por cable, minibar y caja fuerte. El baño privado incluye ducha, secador de pelo y artículos de aseo gratuitos.

El establecimiento cuenta con peluquería. El hotel ofrece servicio de alquiler de coches.

El Senator Hotel se encuentra a 1,2 km de la Sky Tower y a 400 metros de la Galería Nacional de Arte. El aeropuerto más cercano es el de Tirana, ubicado a 13 km del Senator Hotel."
Albjona Guesthouse 1,US$27,"8,3",Muy bien,127,https://cf.bstatic.com/xdata/images/hotel/max1024x768/477325255.webp?k=ce16c6abe193e0643c0d3dde88c23015743149be6d51df9eadac31d5610230fd&o=,https://www.booking.com/hotel/al/albjona-guesthouse-1.es.html?aid=2410095,"Habitaciones sin humo, Baño compartido, Servicio de lavandería, Wifi buena gratis (43 Mbps), Terraza, Prohibido fumar en todo el alojamiento, Jardín, Español, Calefacción, Aire acondicionado, Habitaciones familiares, Inglés, Servicio de planchado, Italiano",Tirana,Albania,"Albjona Guesthouse 1 se encuentra en Tirana, a 13 min a pie de Plaza Skanderbeg, y ofrece jardín, habitaciones libres de humo, wifi gratis en todo el alojamiento y terraza. El alojamiento está cerca de Former Residence of Enver Hoxha, de National Museum of History Albania y de National Theatre of Opera and Ballet of Albania. Teleférico Dajti Ekspres está a 5,5 km del hostal o pensión y Peñón de Kavaje, a 42 km.

Cada habitación tiene baño compartido, algunas ofrecen balcón y otras también ofrecen vistas a la ciudad.

Cerca del alojamiento hay puntos de interés como House of Leaves, Clock Tower Tirana y Et'hem Bey Mosque. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 13 km del alojamiento."
CozyStayApartments,US$49,"9,3",Fantástico,176,https://cf.bstatic.com/xdata/images/hotel/max1024x768/445154618.webp?k=7eff3c84f6d6cb4f4fc94194b2431a80e365ffabac41a25b27305c62f91246d4&o=,https://www.booking.com/hotel/al/cozystayapartments.es.html?aid=2410095,"Zona de estar, Ducha, Productos de limpieza, TV de pantalla plana, Perchero, Bañera, Papel higiénico, Bidet, Bañera o ducha, Wifi rápida gratis (88 Mbps), Suelo de madera o parquet, Zapatillas, Escritorio, Secador de pelo, Plancha para ropa, TV, Aire acondicionado, Cocina, Nevera, Servicio de streaming (como Netflix), Italiano, Sofá cama, Fogones, Mesa de comedor, Baño privado, Enchufe cerca de la cama, Toda la unidad accesible en silla de ruedas, Habitaciones familiares, Toallas, Inglés, Lavadora, Ascensor, Utensilios de cocina, Parking adaptado para personas de movilidad reducida, Habitaciones sin humo, Sofá, Tendedero, Parking privado, Zona de cocina, WC, Acceso a pisos superiores en ascensor",Tirana,Albania,"CozyStayApartments se encuentra en Tirana y dispone de alojamiento a menos de 1 km de Plaza Skanderbeg, a 6,2 km de Teleférico Dajti Ekspres y a 16 min a pie de Former Residence of Enver Hoxha. Hay wifi gratis en todo el alojamiento y parking privado en el propio alojamiento.

El apartamento tiene aire acondicionado y también ofrece TV de pantalla plana, cocina totalmente equipada con nevera, zona de estar, lavadora y 1 baño con bidet, ducha y bañera.

Cerca del alojamiento hay puntos de interés como House of Leaves, Clock Tower Tirana y Et'hem Bey Mosque. El aeropuerto más cercano (Aeropuerto Internacional de Tirana-Madre Teresa) está a 15 km del alojamiento."
Hotel Villa Fernando Tirana,US$56,"9,2",Fantástico,296,https://cf.bstatic.com/xdata/images/hotel/max1024x768/22249925.webp?k=892b99cadb027eb066209f01c28aa473fbe4e5295c991faeba074de874056823&o=,https://www.booking.com/hotel/al/boutique-vila-fernando.es.html?aid=2410095,"Menú para niños, Papel higiénico, Guardaequipaje, Canales vía satélite, Secador de pelo, Servicio de lavandería, Artículos de aseo gratis, Utensilios de planchado, Cafetería en el alojamiento, Habitaciones insonorizadas, Italiano, Zona de fumadores, Detectores de humo, Servicio de conserjería, Parking privado, Ducha, Tour o clase sobre cultura local, Peluquería / salón de belleza, Perchero, Cajero automático en el hotel, Escritorio, Tetera / cafetera, Registro de entrada / salida privado, Prohibido fumar en todo el alojamiento, Calefacción, WiFi gratis, Enchufe cerca de la cama, Almuerzos para llevar, Habitaciones familiares, Teléfono, Tarjetas de transporte público, Snack-bar, Armario, Supermercado pequeño en el alojamiento, WC, Cambio de moneda, Fax / fotocopiadora, Servicio de traslado, Productos de limpieza, TV de pantalla plana, Zona TV / salón de uso compartido, Fruta, Zapatillas, Hipoalergénico, Servicio de planchado, Desayuno en la habitación, Servicio de despertador / alarma, Servicio de limpieza diario, Llave de acceso, Baño privado, Toallas, Inglés, Traslado aeropuerto, Insonorización, Parking adaptado para personas de movilidad reducida, Menús para dietas especiales (bajo petición), Vino / champán, Registro de entrada y salida exprés, Ropa de cama, Servicio de habitaciones, Servicio de limpieza en seco, Seguridad 24 horas, Acceso a pisos superiores solo mediante escaleras, Bañera o ducha, Alquiler de coches, Suelo de madera o parquet, Caja fuerte, Plancha para ropa, TV, Aire acondicionado, Proporciona factura, Tetera/cafetera en todas las habitaciones, Información turística, Muy buen desayuno, Salas de reuniones / banquetes, Bar, Tarjeta de acceso, Taquillas, Camas extralargas (más de 2 metros), Canales por cable, Habitaciones sin humo, Tours a pie, Minibar, Alarma de seguridad, Servicio de despertador",Tirana,Albania,"El Hotel Villa Fernando Tirana ofrece un restaurante de cocina tradicional italiana y albanesa, así como habitaciones amplias y cómodas con muebles de época. La plaza de Skenderberg está a 1,5 km.

Todas las habitaciones disponen de aire acondicionado, TV vía satélite de pantalla plana, caja fuerte y minibar. También incluyen un baño privado con ducha. Algunas tienen un balcón amueblado.

El Boutique Villa Fernando alberga una recepción 24 horas, un bar y una zona de salón con una gran TV. El hotel ofrece un desayuno buffet.

El centro histórico de Tirana, el teatro nacional de Ópera y Ballet y la Galería Nacional de Arte están a menos de 1,5 km.

Enfrente del hotel Villa Fernando para un autobús público y la estación principal de autobuses se encuentra a 1 km. Por un suplemento, se ofrece un servicio de enlace con el aeropuerto de Tirana, situado a 13 km."
