hotel,hotel_url,description,popular_facilities,highres_url,city,country
PUEBLITO MAGICO,https://www.booking.com/hotel/ec/pueblito-magico.es.html?aid=2410095,"PUEBLITO MAGICO dispone de jardín, terraza, restaurante y bar en Montalvo. Hay vistas al jardín.

En la posada u hostería, cada habitación tiene armario. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado con ducha y artículos de aseo gratuitos.

En la recepción 24 horas se hablan varios idiomas, como inglés, español y francés.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 172 km del alojamiento.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Piscina, Recepción 24 horas, Inglés, Baño privado, Jardín, Aire acondicionado, Armario, Perchero, WiFi gratis, Ducha, Sauna, Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Parque acuático, Vistas al jardín, WC, Francés, Bar, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/549080086.jpg?k=a69db7885a92b6424b98d03a818c60db9578f2ea70665738a0c84407de63e815&o=&hp=1,Tisaleo,Ecuador
Casa de Campo Quinta EL Paraíso,https://www.booking.com/hotel/ec/casa-de-campo-quinta-el-paraiso-ambato.es.html?aid=2410095,"Casa de Campo Quinta EL Paraíso está en Ambato y dispone de vistas a la ciudad, jardín, salón de uso común y bar. En el apartamento, tanto el wifi como el parking privado son gratis.

Cada unidad dispone de patio con vistas a la montaña, TV de pantalla plana, zona de comedor, cocina bien equipada y baño privado con ducha.

En Casa de Campo Quinta EL Paraíso se sirve cada mañana un desayuno americano.

El aeropuerto (Aeropuerto internacional Mariscal Sucre) está a 170 km.","Desayuno, Sombrillas, Almuerzos para llevar, Prohibido fumar en todo el alojamiento, Baños públicos, Alarma de seguridad, Habitaciones sin humo, Senderismo, Recepción 24 horas, Cenas temáticas, Calefacción, Baño privado, Jardín, Extintores, TV, Cocina, Tour o clase sobre cultura local, Información turística, Snack-bar, Registro de entrada y salida exprés, Parking gratis, Zona TV / salón de uso compartido, Registro de entrada / salida privado, Servicio de conserjería, Patio, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Mesa de comedor, Zona de cocina, Zona de pícnic, Barbacoa, Mobiliario exterior, Pesca, Tours a pie, Vistas a la montaña, Llave de acceso, Equitación, Vistas al jardín, Salas de reuniones / banquetes, Piscina infantil, Bar, Zona de comedor, TV de pantalla plana, Habitaciones familiares, Español, Vistas a la ciudad, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/570835362.jpg?k=2e8187416292fbb45e0265cf475cadd8f4c4d22305c085aa8dc0f25a235d3253&o=&hp=1,Tisaleo,Ecuador
Habitación en Casa de Campo,https://www.booking.com/hotel/ec/habitacion-en-casa-de-campo.es.html?aid=2410095,"Habitación en Casa de Campo se encuentra en Ambato y dispone de jardín. Hostal o pensión ofrece parking privado gratis y wifi gratis.

En el hostal o pensión, cada habitación tiene baño privado con ducha.

En Habitación en Casa de Campo se puede disfrutar de un desayuno americano.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 170 km del alojamiento.","Desayuno, Jardín, Prohibido fumar en todo el alojamiento, Parking gratis, Baño privado, Vistas a la montaña, Vistas, Español, Inglés, Calefacción, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582914254.jpg?k=7b4e5b13ea42767af13af50176115290231c166282a537a90d22bcf62a5f9704&o=&hp=1,Tisaleo,Ecuador
Instant Hotel - Departamento en Ambato,https://www.booking.com/hotel/ec/villa-palermo.es.html?aid=2410095,"Instant Hotel - Departamento en Ambato se encuentra en Ambato y dispone de vistas a la montaña, wifi gratis y parking privado gratis.

El apartamento ofrece patio, vistas a la ciudad, zona de estar, TV de pantalla plana, cocina totalmente equipada con nevera y microondas, y baño privado con ducha y artículos de aseo gratuitos. También se ofrece fogones y tostadora, además de cafetera.

Se puede disfrutar de un momento de relax en el jardín del alojamiento.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 160 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Albornoz, Secador de pelo, Vestidor, Independiente, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Suelo de madera o parquet, Vistas, Inglés, Baño privado, Hipoalergénico, Jardín, Apartamento privado en edificio, Cocina, TV, Extintores, Armario, Traslado aeropuerto, Perchero, Información turística, Tetera / cafetera, Parking gratis, Fogones, Pista de tenis, Patio, Entrada privada, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Servicio de traslado, Artículos de aseo gratis, WiFi gratis, Ducha, Detectores de humo, Mesa de comedor, Enchufe cerca de la cama, Vistas a un lugar de interés, Zona de cocina, Plancha para ropa, Proporciona factura, Squash, Productos de limpieza, Habitaciones insonorizadas, Tarjeta de acceso, Cafetera, Bañera, Sofá, Vistas a la montaña, Zona de estar, Llave de acceso, Utensilios de planchado, Vistas al jardín, Camas extralargas (más de 2 metros), Habitaciones hipoalergénicas, Guardaequipaje, Tostadora, Servicio de lavandería, WC, Microondas, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Insonorización, Francés, Zona de comedor, TV de pantalla plana, Habitaciones comunicadas disponibles, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Vistas a la ciudad, Nevera, Utensilios de cocina, Papel higiénico, Detector de monóxido de carbono, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/339911049.jpg?k=825088c94a76b333b62b67a43304cb52fe3484b752feeb715acdd0cda1703a5b&o=&hp=1,Tisaleo,Ecuador
Alojamiento En Ambato,https://www.booking.com/hotel/ec/alojamiento-en-ambato.es.html?aid=2410095,"Alojamiento En Ambato se encuentra en Ambato y ofrece jardín. Este apartamento ofrece parking privado gratis y cocina compartida.

El apartamento se compone de 1 dormitorio, una sala de estar, una cocina totalmente equipada y 1 baño.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 160 km del alojamiento.","Vestidor, Prohibido fumar en todo el alojamiento, Senderismo, Vistas, Inglés, Baño privado, Jardín, Cocina, Armario, Información turística, Parking gratis, Pista de tenis, Servicio de traslado, Seguridad 24 horas, Cocina compartida, Zona de cocina, Pesca, Cama plegable, Sofá cama, Habitaciones familiares, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/494267347.jpg?k=c764af4bb9882fb2a5920ba013dfe90d1855b63dcc7e0f7cba06bcaeec3381ce&o=&hp=1,Tisaleo,Ecuador
Hotel Versailles,https://www.booking.com/hotel/ec/versailles.es.html?aid=2410095,"El Hotel Versailles se encuentra a 5 km del centro de Ambato y ofrece una bañera de hidromasaje, un restaurante y habitaciones funcionales con vistas a las montañas. Cuenta con conexión Wi-Fi gratuita y aparcamiento gratuito.

Las habitaciones del Hotel Versailles presentan una decoración funcional. Disponen de escritorio, TV vía satélite y baño privado con ducha. La tarifa incluye un desayuno americano.

El Hotel Versailles tiene un bar, instalaciones para reuniones y recepción las 24 horas, donde se proporciona información turística. También hay un servicio de enlace con el aeropuerto, disponible por un suplemento.

El Hotel Versailles está situado a 50 km del aeropuerto internacional de Cotopaxi, a 1 hora en coche del volcán Cotopaxi y a 2 horas en coche de Quito.","Terraza, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Suelo de madera o parquet, Lavamanos más bajo, Baño privado, Jardín, Centro de negocios, Extintores, WC con barras de apoyo, Parking gratis, Parking en un garaje, Buen desayuno, Servicio de habitaciones, Proporciona factura, Restaurante, Servicio de entrega de comestibles, Cafetería en el alojamiento, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, WiFi gratis, Enchufe cerca de la cama, Cuerda de emergencia en el baño, Canales por cable, Tarjeta de acceso, Desayuno en la habitación, Escritorio, Salas de reuniones / banquetes, Servicio de streaming (como Netflix), Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Papel higiénico, Fax / fotocopiadora, Almuerzos para llevar, Caja fuerte, Adaptado para sillas de ruedas, TV, Armario, Servicio de traslado, Seguridad 24 horas, Detectores de humo, Karaoke, Zona de pícnic, Vistas a la montaña, Vistas al jardín, Servicio de planchado, Guardaequipaje, WC, Terraza / solárium, Francés, Bar, TV de pantalla plana, Toallas, Español, Zona de fumadores, Vistas, Recepción 24 horas, Inglés, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Snack-bar, Registro de entrada y salida exprés, Registro de entrada / salida privado, Servicio de conserjería, Fruta, Ducha, Servicio de despertador, Servicio de lavandería, Vistas a la ciudad, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/193480672.jpg?k=74888fab44d3e6407cc502655c57bb365b66ed205b87cef02751b2acf6902b49&o=&hp=1,Tisaleo,Ecuador
Departamento confortable cerca del Mall de los Andes,https://www.booking.com/hotel/ec/departamento-confortable-cerca-del-mall-de-los-andes.es.html?aid=2410095,"Departamento confortable cerca del Mall de los Andes se encuentra en Ambato. Hay wifi gratis y parking privado en el propio alojamiento.

El apartamento de 2 dormitorios tiene sala de estar con TV de pantalla plana, cocina totalmente equipada y 1 baño.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 160 km.","Zona de cocina, Prohibido fumar en todo el alojamiento, Parking gratis, Baño privado, TV de pantalla plana, Español, WiFi gratis, Cocina",https://cf.bstatic.com/xdata/images/hotel/max1024x768/503237537.jpg?k=5503696c8ef3a5b1f07cb52b4fd39bda0fa881e95071147f5039039579a3fdc3&o=&hp=1,Tisaleo,Ecuador
Jardines Ambato,https://www.booking.com/hotel/ec/apartahotel.es.html?aid=2410095,"Jardines Ambato dispone de jardín, salón de uso común, terraza y bar en Ambato. El alojamiento ofrece recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis.

Todas las habitaciones están equipadas con baño privado, algunas ofrecen balcón y otras también disponen de vistas a la ciudad.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 159 km del alojamiento.","Desayuno, Terraza, Juegos de mesa / puzles, Supermercado pequeño en el alojamiento, Alarma de seguridad, Caja fuerte, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Inglés, Calefacción, Baño privado, Jardín, Extintores, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Cocina compartida, Proporciona factura, Mobiliario exterior, Taquillas, Llave de acceso, Gimnasio, Guardaequipaje, Portugués, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Francés, Bar, Habitaciones familiares, Español, Parking privado, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/495180397.jpg?k=578da3c4ece5c10938d89d6a2dd466bde3d1fe1c5b5304eda995c5c0a5221dc4&o=&hp=1,Tisaleo,Ecuador
Gran Hotel Napoleón,https://www.booking.com/hotel/ec/gran-napoleon.es.html?aid=2410095,"El Gran Hotel está ubicado en el centro de Ambato, a 50 metros de la iglesia de la Medalla Milagrosa. Este hotel ofrece WiFi gratuito y un salón para eventos.

Las habitaciones presentan una decoración moderna y disponen de TV de pantalla plana y baño privado.

Cuenta con recepción 24 horas.

El Gran Hotel se encuentra a 29 km de Baños y a 40 km de San Andrés.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Teléfono, Suelo de madera o parquet, Recepción 24 horas, Inglés, Baño privado, Extintores, Armario, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Parking en un garaje, Servicio de traslado, WiFi gratis, Ducha, Buen desayuno, Detectores de humo, Canales por cable, Desayuno en la habitación, Servicio de planchado, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/437249395.jpg?k=2bfb6bc3e9af6c1e9ae61432c227221ae2c5a957f5fcd96493ca4cea09b4dbfa&o=&hp=1,Tisaleo,Ecuador
Colony Inn Hotel,https://www.booking.com/hotel/ec/colony-inn.es.html?aid=2410095,"Colony Inn Hotel se encuentra en Ambato. Este hotel de 3 estrellas ofrece salón de uso común y servicio de habitaciones. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, cada habitación cuenta con armario. En Colony Inn Hotel, todas las habitaciones cuentan con TV de pantalla plana y algunas también ofrecen vistas a la ciudad.

En la recepción 24 horas se habla inglés, español y italiano, y el personal está dispuesto a ayudar en cualquier momento.

El aeropuerto más cercano (Aeropuerto internacional Mariscal Sucre) está a 156 km.","Desayuno, Terraza, Parking adaptado para personas de movilidad reducida, Bañera o ducha, Habitaciones sin humo, Suelo de moqueta, Recepción 24 horas, Inglés, Extintores, TV, Armario, Italiano, Información turística, Parking gratis, Zona TV / salón de uso compartido, Parking en un garaje, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Proporciona factura, Productos de limpieza, Canales por cable, Utensilios de planchado, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Fax / fotocopiadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/418516773.jpg?k=9f53ede483f85335f4be12e1a587073f5765d9ad6638b95ab2f72ff3eb42986c&o=&hp=1,Tisaleo,Ecuador
