hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Seaside Lodge Townsville,US$24,"6,3",Puntuación,130,https://cf.bstatic.com/xdata/images/hotel/max1024x768/400241557.webp?k=c30fd38348f0ca1c18341e4f8ae45cd0dc3f0476d634dd2bfcdd8aa2b083a7ab&o=,https://www.booking.com/hotel/au/double-room-2-minutes-from-strand.es.html?aid=2410095,"Billar, Detectores de humo, Playa, Aire acondicionado, Prohibido fumar en todo el alojamiento, Inglés, WiFi gratis, Servicio de lavandería",Townsville,Australia,"Seaside Lodge Townsville se encuentra en Townsville, a 6 min a pie de The Strand y a 1,4 km de Acuario Reef HQ. El alojamiento está a unos 2,8 km de Circuito Urbano de Townsville, a 2,6 km de Townsville Entertainment and Convention Centre y a 3 km de Townsville Train Station. El albergue libre de humo cuenta con wifi gratis en todo el alojamiento.

Algunas de las habitaciones también tienen cocina con nevera, horno y microondas.

Puedes jugar al billar en el albergue.

Cerca del alojamiento hay puntos de interés como Queensland Parliament Office, Townsville Supreme Court y Ayuntamiento de Townsville. El aeropuerto más cercano (Aeropuerto internacional de Townsville) está a 5 km del alojamiento."
Civic Guesthouse,US$45,"7,8",Bien,1.392,https://cf.bstatic.com/xdata/images/hotel/max1024x768/116856539.webp?k=ec2b5ec54476597c4b98f03ffff218abef04e443a763f5c6f03d4d4dcd2c2626&o=,https://www.booking.com/hotel/au/civic-guesthouse.es.html?aid=2410095,"Billar, Guardaequipaje, Seguridad 24 horas, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Fax / fotocopiadora, Taquillas, Cocina compartida, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Zona de fumadores, Ducha, Servicio de lavandería, Piscina en la azotea, Sala de juegos, Llave de acceso, Aire acondicionado, Abierta todo el año, Toallas de playa/piscina, Sombrillas, Traslado aeropuerto, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Terraza, Terraza / solárium, Barbacoa, Valla alrededor de la piscina, Habitaciones sin humo, Parking en la calle, Inglés, Noches de cine, Entretenimiento nocturno, WiFi gratis, Para todas las edades, Parking, Ping pong, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Detectores de humo, Servicio de traslado, Papel higiénico, WC, Nevera, Extintores, Piscina al aire libre, Cámaras de seguridad en las zonas comunitarias, Jardín, Dardos, Alarma de seguridad, Caja fuerte, Zona de pícnic, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Townsville,Australia,"El Civic Guesthouse está cerca de varias tiendas y a unos minutos a pie de la playa, y dispone de WiFi gratis. Este apacible alojamiento ofrece servicio de traslado gratuito 4 veces al día desde la terminal de autobuses Greyhound/Premier y la terminal de ferris de Magnetic Island.

El Civic Guesthouse se halla a 20 minutos a pie del acuario Reef HQ, a 5 minutos a pie de Cowboys League Club y a 9 minutos en coche del aeropuerto de Townsville.

Hay baño, servicio de lavandería, cocina compartida totalmente equipada, sala de juegos y alquiler de bicicletas."
Hotel Allen,US$69,"6,5",Puntuación,1.541,https://cf.bstatic.com/xdata/images/hotel/max1024x768/267928878.webp?k=3ef0f67706fbb14a176f019a557316a195585e8803a9bb6d89fad4df97abd64f&o=,https://www.booking.com/hotel/au/allen.es.html?aid=2410095,"Billar, Guardaequipaje, Supermercado pequeño en el alojamiento, Tetera/cafetera en todas las habitaciones, Toallas, Menú para niños, Cajero automático en el hotel, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Ducha, Servicio de lavandería, Alarma de seguridad, Aire acondicionado, Abierta todo el año, Restaurante, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Eventos deportivos en directo (emisión), Parking gratis, Instalaciones para deportes acuáticos en el alojamiento, Habitaciones sin humo, Inglés, Adaptado para sillas de ruedas, Servicio de limpieza diario, Para todas las edades, Zona TV / salón de uso compartido, Detectores de humo, Papel higiénico, Hervidor eléctrico, WC, Nevera, TV, Extintores, Piscina al aire libre, Tetera / cafetera, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Townsville,Australia,"El Hotel Allen ofrece alojamiento cómodo y aparcamiento gratuito. El bar cuenta con TV de pantalla plana.

El Hotel Allen Townsville cuenta con piscina y mesa de billar. El bistró del establecimiento sirve almuerzos y cenas de lunes a sábado en la planta baja.

Todas las habitaciones del Hotel Allen disponen de baño privado, aire acondicionado, minibar, set de té y café y TV vía satélite.

El Hotel Allen se encuentra a 2,3 km de la línea Townsville 400 Racetrack Start / Finish y a 1,2 km del acuario ReefHQ. El aeropuerto más cercano es el de Townsville, ubicado a 5 km del Hotel Allen."
The Robert Towns,US$111,"7,6",Bien,1.031,https://cf.bstatic.com/xdata/images/hotel/max1024x768/412422945.webp?k=7502cbd0e538aba1e73040fc2a1648ab69489ffe8949de039865beaf9e6e5dbf&o=,https://www.booking.com/hotel/au/comfort-inn-robert-towns.es.html?aid=2410095,"Guardaequipaje, Tetera/cafetera en todas las habitaciones, Toallas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Zona de fumadores, Calefacción, Ropa de cama, Enchufe cerca de la cama, Ducha, Servicio de lavandería, Tostadora, Aire acondicionado, Abierta todo el año, TV de pantalla plana, Microondas, Barbacoa, Parking gratis, Tarjeta de acceso, Valla alrededor de la piscina, Habitaciones sin humo, Parking en la calle, Salas de reuniones / banquetes, Inglés, WiFi gratis, Utensilios de planchado, Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, Extintores, Entrada privada, Piscina al aire libre, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Zona de pícnic, Suelo de moqueta, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Townsville,Australia,"Featuring an outdoor swimming pool, The Robert Towns offers comfortable rooms with free car parking and Wi-Fi.

Each air-conditioned room at Townsville The Robert Towns features a minibar, tea/coffee making facilities and ironing facilities. There is also a work desk and lounge area in every room.

Guests have access to a children’s wading pool, and an outdoor covered dining and barbecue area.

Located in a quiet street on the edge of Townsville city centre, The Robert Towns is just a 5-minute drive from the waterfront area along The Strand and the Magnetic Island Ferry Terminal."
Aquarius On The Beach,US$144,"8,0",Muy bien,5.225,https://cf.bstatic.com/xdata/images/hotel/max1024x768/21829181.webp?k=e873479e14b22e2528bfc0f29839c944bf4114a6fe821de2bc5de74eb997b02b&o=,https://www.booking.com/hotel/au/aquarius-on-the-beach.es.html?aid=2410095,"Guardaequipaje, Vistas a la piscina, Toallas, Tumbonas/sillas de playa, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Fax / fotocopiadora, Artículos de aseo gratis, Vistas, Zona de cocina, Zona de fumadores, Situado frente a la playa, Ropa de cama, Enchufe cerca de la cama, Ducha, Zona de estar, Cámaras de seguridad fuera del alojamiento, Servicio de lavandería, Patio, Tostadora, Piscina con vistas, Toallas de playa/piscina, Abierta todo el año, Aire acondicionado, Ascensor, Máquina expendedora (aperitivos), TV de pantalla plana, Horario de apertura, Microondas, Terraza / solárium, Utensilios de cocina, Parking gratis, Servicio de limpieza en seco, Tarjeta de acceso, Valla alrededor de la piscina, Habitaciones sin humo, Playa, Apartamento privado en edificio, Inglés, WiFi gratis, Utensilios de planchado, Balcón, Zona poco profunda, Para todas las edades, Información turística, Máquina expendedora (bebidas), Zona TV / salón de uso compartido, Detectores de humo, Acceso a pisos superiores en ascensor, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Extintores, Piscina al aire libre, Secador de pelo, Vistas al mar, Cámaras de seguridad en las zonas comunitarias, Jardín, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Townsville,Australia,"Aquarius on the Beach Townsville is located on the Strand, Townsville’s world-class beachfront promenade and most desirable location.

Aquarius On The Beach is located on The Strand Promenade. Townsville Airport is a 10-minute drive away.

A kitchenette with a microwave and refrigerator is standard in all studios. Each air-conditioned studio has a seating area with flat-screen cable TV.

The tour desk can book ferry trips to Magnetic Island. Free parking is available on site, however, is limited and subject to availability."
Hotel Grand Chancellor Townsville,US$154,"7,8",Bien,1.656,https://cf.bstatic.com/xdata/images/hotel/max1024x768/101114579.webp?k=ee0f9b1741caafb79a93210fe452c750e18c2b6107796ae78c4b84149f092548&o=,https://www.booking.com/hotel/au/hotel-grand-chancellor-townsville.es.html?aid=2410095,"Guardaequipaje, Almuerzos para llevar, Seguridad 24 horas, Toallas, Vistas a la montaña, Vistas a la ciudad, Servicio de despertador, Alquiler de coches, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Servicio de habitaciones, Menú para niños, Servicio de conserjería, Baño privado, Desayuno en la habitación, Fax / fotocopiadora, Artículos de aseo gratis, Vistas, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Ropa de cama, Calefacción, Ducha, Servicio de despertador / alarma, Servicio de lavandería, Reloj despertador, Aire acondicionado, Ascensor, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Radio, Parking en un garaje, Barbacoa, Servicio de limpieza en seco, Centro de negocios, Tarjeta de acceso, Español, Habitaciones sin humo, Vino / champán, Menús para dietas especiales (bajo petición), Salas de reuniones / banquetes, Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Parking adaptado para personas de movilidad reducida, Parking privado, Happy hour, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Acceso a pisos superiores en ascensor, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, Vistas al río, Buen desayuno, Piscina al aire libre, TV, Secador de pelo, Vistas al mar, Extintores, Cámaras de seguridad en las zonas comunitarias, Teléfono, Caja fuerte, Plancha para ropa, Gimnasio, Proporciona factura, Mobiliario exterior, Recepción 24 horas, Fruta",Townsville,Australia,"The Hotel Grand Chancellor Townsville is located in the city's business and shopping district. Guests can relax on the rooftop and admire the panoramic city views, before enjoying a refreshing swim in the sparkling rooftop pool. There is also an on-site fitness centre.

The Sugar Shaker Restaurant offers a wide variety of dishes and is open for breakfast and dinner daily.

Within walking distance of the Hotel Grand Chancellor Townsville, you will find award-winning dining, nightlife, entertainment, major tourist attractions and the Townsville Convention and Exhibition Centre. Townsville Airport is less than 7 km away."
Mercure Townsville,US$169,"7,6",Bien,1.228,https://cf.bstatic.com/xdata/images/hotel/max1024x768/251757101.webp?k=7b76a93c1e3a3a3e073c3f747a4228534fb9a38058a7886bc5d1ed782fba0eae&o=,https://www.booking.com/hotel/au/inn-townsville.es.html?aid=2410095,"Toallas, Lavamanos más bajo, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Pista de tenis, Zona de fumadores, 2 piscinas, Servicio de lavandería, Toallas de playa/piscina, Abierta todo el año, Sombrillas, Restaurante, Eventos deportivos en directo (emisión), Centro de negocios, Servicio de limpieza en seco, Habitaciones sin humo, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Utensilios de planchado, Máquina expendedora (bebidas), Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Secador de pelo, Alarma de seguridad, Zona de pícnic, Valla alrededor de la piscina, Canales de pago, Servicio de despertador, Menú para niños, Cámaras de seguridad fuera del alojamiento, Bar, Servicio de despertador / alarma, Aseo adicional, Aire acondicionado, Juegos de mesa / puzles, Máquina expendedora (aperitivos), Equipamiento de tenis, Muy buen desayuno, Nevera, Extintores, Juguetes para la piscina, Teléfono, Caja fuerte, Mobiliario exterior, Recepción 24 horas, Guardaequipaje, Almuerzos para llevar, Canales por cable, Tumbonas/sillas de playa, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, Estación de carga de vehículos eléctricos, Cafetería en el alojamiento, TV de pantalla plana, Terraza / solárium, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Adaptado para sillas de ruedas, WiFi gratis, WC con barras de apoyo, Detectores de humo, Armario, Piscina de agua salada, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Servicio de planchado, Parking adaptado para personas de movilidad reducida, Fruta, Plancha para ropa, Enchufe cerca de la cama, Ducha, Reloj despertador, Adaptado personas de movilidad reducida, Radio, Adecuada para niños, Parking gratis, Inglés, Zona poco profunda, Registro de entrada y salida exprés, Piscina infantil, Jardín, Gimnasio, Proporciona factura",Townsville,Australia,"Situated on 11 acres of lush tropical gardens, The Mercure Townsville is a resort-style hotel on the shores of The Lakes. It offers the largest free-form swimming pool in Townsville, a spa pool, a children’s pool and tennis courts. The property is 4km from central Townsville and 2km from Townsville Airport.

The hotel's 162 Queenslander-style rooms are spacious, comfortable and offer a range of modern amenities. Each room features a TV and an en suite bathroom. Some rooms also offer a private balcony. All accommodation includes free onsite parking.

Mercure Townsville is ideally located for visits to the Great Barrier Reef and Magnetic Island, with the the tour desk offering day trip bookings."
Grand Hotel and Apartments Townsville,US$170,"8,4",Muy bien,1.624,https://cf.bstatic.com/xdata/images/hotel/max1024x768/215711069.webp?k=55421fc03af77cf24b5411c36b38a2a87f9a130282ca16bcd0b32626283aa5ef&o=,https://www.booking.com/hotel/au/grand-mercure-apartments-townsville.es.html?aid=2410095,"Guardaequipaje, Toallas, Tumbonas/sillas de playa, Galerías de arte temporales, Servicio de despertador, Prohibido fumar en todo el alojamiento, Plancha para ropa, Servicio de conserjería, Baño privado, Bañera o ducha, Artículos de aseo gratis, Perchero, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Enchufe cerca de la cama, Ducha, Zona de estar, Patio, Aire acondicionado, Abierta todo el año, Proporciona factura, Ascensor, TV de pantalla plana, Adaptado personas de movilidad reducida, Radio, Trona, Tendedero, Servicio de limpieza en seco, Tarjeta de acceso, Valla alrededor de la piscina, Habitaciones sin humo, Vino / champán, Inglés, WiFi gratis, Utensilios de planchado, Balcón, Zona poco profunda, Información turística, Parking privado, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Acceso a pisos superiores en ascensor, Armario, Hervidor eléctrico, Papel higiénico, WC, Nevera, TV, Extintores, Piscina al aire libre, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Teléfono, Caja fuerte, Habitaciones familiares, Servicio de planchado, Gimnasio, Suelo de moqueta, Mobiliario exterior, Recepción 24 horas, Parking adaptado para personas de movilidad reducida",Townsville,Australia,"Located in Townsville's trendy downtown Palmer Street, Grand Hotel Townsville offers self-contained accommodation with a private balcony. Guests enjoy an outdoor pool, a fitness center and a spa pool.

Grand Hotel Townsville is 5 minutes' walk from both The Strand beachfront precinct and Townsville Marina. The Magnetic Island Ferry Terminal is within a 10-minute walk. There is a bus stop directly across the road from the hotel.

All accommodation features a work-desk, a minibar and a flat-screen TV. Each has a private bathroom with a shower, hairdryer and free toiletries.

The tour desk can provide information on local leisure options and activities and take bookings of reef tours. For longer excursions you can rent a car.

There are local restaurants 1 minute walk away that can have your meal costs added to your accommodation bill. Grand Hotel and Apartments Townsville won the Gold Award for Standard Accommodation at the 2017 State Tourism Awards."
Vale Hotel,US$98,"7,7",Bien,920,https://cf.bstatic.com/xdata/images/hotel/max1024x768/38074809.webp?k=2adfe1d5894669718c21480c591acdd5637acd7cf893def57c554f8ebb4781ff&o=,https://www.booking.com/hotel/au/vale-aitkenvale.es.html?aid=2410095,"Billar, Toallas, Plancha para ropa, Baño privado, Calefacción, Zona de fumadores, Bar, Ropa de cama, Ducha, Club infantil, Aire acondicionado, TV de pantalla plana, Restaurante, 2 restaurantes, Parking gratis, Habitaciones sin humo, Zona de juegos para niños, Inglés, Entretenimiento nocturno, Armario, Hervidor eléctrico, WC, Nevera, Secador de pelo, Habitaciones familiares",Townsville,Australia,"El Vale Hotel Aitkenvale ofrece habitaciones con aire acondicionado y TV de pantalla plana y cuenta con un bistró, un bar y una zona cubierta de juegos infantiles. Se encuentra a 15 minutos en coche del centro de Townsville.

El bistró sirve pizzas, pastas y filetes New York. También hay un bar. Algunas noches se ofrece música en directo.

El Vale Hotel está a 15 minutos en coche del acuario Reef HQ, que alberga una gran variedad de peces. Además, se encuentra a 20 minutos en coche del aeropuerto de Townsville y el Museo Tropical de Queensland."
Shoredrive Motel,US$99,"7,7",Bien,751,https://cf.bstatic.com/xdata/images/hotel/max1024x768/298610722.webp?k=e14949686495e861effc052d2cf8d6f1409f748f3a5360ea0926a8fe7bc804ea&o=,https://www.booking.com/hotel/au/shoredrive-motel.es.html?aid=2410095,"Guardaequipaje, Desayuno, Toallas, Plancha para ropa, Baño privado, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Ventilador, Situado frente a la playa, Ropa de cama, Ducha, Servicio de lavandería, Tostadora, Llave de acceso, Aire acondicionado, Abierta todo el año, Toallas de playa/piscina, Restaurante, TV de pantalla plana, Barbacoa, Valla alrededor de la piscina, Habitaciones sin humo, Playa, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Información turística, Para todas las edades, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Habitaciones familiares, Proporciona factura, Mobiliario exterior, Zona de estar",Townsville,Australia,"Featuring an outdoor pool overlooking the ocean, Shoredrive Motel offers modern accommodation with free WiFi, TV and air conditioning. Located on The Strand, the motel provides direct access to the beach.

Each room at the Shoredrive Motel Townsville includes LCD TV, en suite bathroom and tea/coffee making facilities. Ironing facilities and fans are provided. Some rooms also offer a spa bath or ocean views.

Facilities include a coin-operated guest laundry and a BBQ area. Free on-site parking is provided, with space for large vehicles and trailers.

Situated directly opposite Townsville’s rock pool, the motel is a 10-minute drive from Townsville Entertainment Centre. There are restaurants and cafes within a short walking distance to the property. Townsville Airport is 10 minutes’ drive away."
