hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Comfort Inn Traralgon,US$82,"7,4",Bien,819,https://cf.bstatic.com/xdata/images/hotel/max1024x768/301571812.webp?k=2d46fd6949ac25f55a11cd019ea2b33bb680037ac2e7484e716bdb5a96f9e3fb&o=,https://www.booking.com/hotel/au/comfort-inn-traralgon.es.html?aid=2410095,"Toallas, Galerías de arte temporales, Toda la unidad en la planta baja, Servicio de habitaciones, Fax / fotocopiadora, Toallas / sábanas (por un suplemento), Pista de tenis, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Calefacción, Ropa de cama, Servicio de lavandería, Tostadora, Aire acondicionado, TV de pantalla plana, Microondas, Parking gratis, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Canales vía satélite, Inglés, WiFi gratis, Servicio de limpieza diario, Bolos, Tours a pie, Detectores de humo, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Hervidor eléctrico, Nevera, TV, Buen desayuno, Extintores, Campo de golf (a menos de 3 km), Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Parking adaptado para personas de movilidad reducida",Traralgon,Australia,"El Comfort Inn Traralgon está ubicado en el centro del distrito financiero y ofrece conexión Wi-Fi y aparcamiento gratuitos y un servicio mediante el que se puede solicitar comida de restaurantes de las inmediaciones y disfrutarla en las habitaciones.

Las habitaciones cuentan con aire acondicionado, mantas eléctricas, microondas, TV de pantalla plana vía satélite y baño con ducha y secador de pelo.

El establecimiento dispone de servicios de lavandería, fax y fotocopiadora. Todos los días se sirve un desayuno continental en el comedor.

El Traralgon Comfort Inn se encuentra a 1,2 km de Victory Park, a 2,6 km del club de golf de Traralgon, a 10 minutos a pie de los supermercados Woolworths y Coles, y a 40 minutos en coche del parque nacional de Tara Bulga."
Quality Inn & Suites Traralgon,US$92,"7,4",Bien,599,https://cf.bstatic.com/xdata/images/hotel/max1024x768/221830898.webp?k=00430230fc79f2f2cbfcce8b5efcb6c3b3d2ddfc1de24d384198a9aa399aa698&o=,https://www.booking.com/hotel/au/quality-inn-la-trobe-motel-and-convention-centre.es.html?aid=2410095,"Guardaequipaje, Snack-bar, Seguridad 24 horas, Desayuno, Habitaciones insonorizadas, Menú para niños, Baño privado, Servicio de habitaciones, Fax / fotocopiadora, Pista de tenis, Calefacción, Cámaras de seguridad fuera del alojamiento, Bar, Zona de fumadores, Servicio de lavandería, Chino, Aire acondicionado, Abierta todo el año, Restaurante, Terraza, Registro de entrada / salida privado, Adaptado personas de movilidad reducida, Equipamiento de tenis, Barbacoa, Parking gratis, Centro de negocios, Tarjeta de acceso, Vino / champán, Salas de reuniones / banquetes, Inglés, WiFi gratis, Servicio de limpieza diario, Para todas las edades, Ping pong, Registro de entrada y salida exprés, Detectores de humo, Extintores, Piscina al aire libre, Campo de golf (a menos de 3 km), Jardín, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Alarma de seguridad, Gimnasio, Zona de pícnic, Proporciona factura, Mobiliario exterior, Parking adaptado para personas de movilidad reducida",Traralgon,Australia,"El Quality Inn & Suites Traralgon es un hotel de 4 estrellas situado a 3 km del centro de la ciudad de Traralgon.

Todas las habitaciones del Quality Inn & Suites Traralgon disponen de comodidades modernas, como zona de trabajo independiente, calefacción y aire acondicionado de ciclo inverso regulable y TV de pantalla plana grande con canales de pago gratuitos. Hay conexión WiFi gratuita. Algunas habitaciones tienen baños reformados.

El Quality Inn & Suites Traralgon alberga un restaurante y un bar. El establecimiento está situado junto al club de golf de Traralgon.

Este alojamiento de Traralgon dispone de pista de tenis, piscina, centro de fitness y amplios jardines."
City Gardens Motel,US$76,"8,5",Muy bien,299,https://cf.bstatic.com/xdata/images/hotel/max1024x768/514019871.webp?k=bf4c5b37e45b6cd1196f0d227cb103f0fd8f1be96510c23487b1ec5342d741b7&o=,https://www.booking.com/hotel/au/city-gardens-motel.es.html?aid=2410095,"Guardaesquíes, Guardaequipaje, Almuerzos para llevar, Tetera/cafetera en todas las habitaciones, Toallas, Canales por cable, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Plancha para ropa, Baño privado, Toda la unidad en la planta baja, Bañera o ducha, Artículos de aseo gratis, Perchero, Cámaras de seguridad fuera del alojamiento, Zona de fumadores, Calefacción, Ropa de cama, Enchufe cerca de la cama, Ducha, Vídeo, Reproductor de DVD, Reloj despertador, Esquí, Tostadora, Aire acondicionado, Fax, TV de pantalla plana, Microondas, Radio, Barbacoa, Parking gratis, Ciclismo, Habitaciones sin humo, Canales vía satélite, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Escritorio, Detectores de humo, Insonorización, Acceso a pisos superiores solo mediante escaleras, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Secador de pelo, Tetera / cafetera, Campo de golf (a menos de 3 km), Jardín, Habitaciones familiares, Caja fuerte, Suelo de moqueta, Zona de estar",Traralgon,Australia,"El City Gardens Motel está situado en la carretera Princes, a 800 metros al este del centro de la ciudad de Traralgon, y ofrece habitaciones con conexión WiFi gratuita y TV por cable gratuita.

Todas las habitaciones disponen de aire acondicionado, calefacción y TV de pantalla plana de 32 pulgadas montada en la pared. Habitación con nevera pequeña, set de té y café, utensilios de planchado y baño con secador de pelo. Todos los huéspedes tienen acceso a una zona de estar común cubierta.

La estación de tren de Traralgon se encuentra a 2 minutos en coche."
The Black Bull Motel,US$96,"8,8",Fabuloso,803,https://cf.bstatic.com/xdata/images/hotel/max1024x768/429296767.webp?k=9ea1dcb630d10159fc3e852c6a5f6b83c4369fdb38aad5c57b6a199a47fc12fd&o=,https://www.booking.com/hotel/au/srtzelecki-motor-lodge.es.html?aid=2410095,"Guardaequipaje, Tetera/cafetera en todas las habitaciones, Toallas, Suelo de moqueta, Plancha para ropa, Baño privado, Bañera o ducha, Artículos de aseo gratis, Fax / fotocopiadora, Zona de fumadores, Calefacción, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Ventilador, Patio, Productos de limpieza, Tostadora, Llave de acceso, Aire acondicionado, Sombrillas, TV de pantalla plana, Terraza, Horario de apertura, Microondas, Zona de comedor, Parking gratis, Valla alrededor de la piscina, Habitaciones sin humo, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, De temporada, Parking adaptado para personas de movilidad reducida, Para todas las edades, Escritorio, Desayuno fabuloso, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Entrada privada, Secador de pelo, Tetera / cafetera, Piscina de agua salada, Jardín, Habitaciones familiares, Proporciona factura, Mobiliario exterior, Zona de estar",Traralgon,Australia,"El The Black Bull Motel se encuentra a solo 5 minutos a pie del centro de la ciudad de Traralgon y ofrece piscina al aire libre y conexión WiFi gratuita. Todas las habitaciones incluyen desayuno continental gratuito, TV LCD, calefacción y aire acondicionado.

Todas las habitaciones del The Black Bull Motel Traralgon incluyen tostadora, microondas, nevera y set de té/café. Todas las habitaciones incluyen baño privado con secador de pelo. Hay aparcamiento gratuito.

La estación de tren de Traralgon se encuentra a 10 minutos a pie. Se encuentra a 40 minutos en coche del parque nacional Tarra-Bulga y de las montañas de Strzelecki. La localidad histórica de Walhalla está a 1 hora en coche."
Best Western Governor Gipps Motor Inn,US$82,"8,0",Muy bien,342,https://cf.bstatic.com/xdata/images/hotel/max1024x768/113052883.webp?k=25abcc2395611f5e5faefa9a8b9411f68a4466dd8242af092cce51aa2bf86796&o=,https://www.booking.com/hotel/au/best-western-governor-gipps-motor-inn.es.html?aid=2410095,"Desayuno, Toallas, Plancha para ropa, Baño privado, Perchero, Artículos de aseo gratis, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Ropa de cama, Ducha, Tostadora, Aire acondicionado, TV de pantalla plana, Mandarín, Registro de entrada / salida privado, Microondas, Servicio de streaming (como Netflix), Parking gratis, Tarjeta de acceso, Habitaciones sin humo, Cafetera, Inglés, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, Registro de entrada y salida exprés, Escritorio, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Secador de pelo, Habitaciones familiares, Proporciona factura",Traralgon,Australia,"El Best Western Governor Gipps Motor Inn dispone de barbacoa y habitaciones con conexión Wi-Fi gratuita y TV de pantalla plana vía satélite. Además, los huéspedes pueden utilizar la estación de carga de EV de pago para coches eléctricos durante la estancia.

Todos los alojamientos incluyen hervidor eléctrico y nevera. Todas están equipadas con utensilios de planchado, escritorio y baño privado. Algunas incluyen bañera de hidromasaje.

El Governor Gipps Motor Inn se encuentra a 5 minutos a pie del centro comercial Stockland y a 10 minutos a pie de la estación de tren de Traralgon. El PowerWorks Energy Education Centre está a 15 minutos en coche. El parque nacional de Tarra-Bulga se encuentra a 40 minutos en coche."
Connells Motel & Serviced Apartments,US$82,"8,1",Muy bien,803,https://cf.bstatic.com/xdata/images/hotel/max1024x768/85380714.webp?k=ee729d5a0e8a3e79008a5232141ead8d8537eb37e4f914c5e908a80ceb115672&o=,https://www.booking.com/hotel/au/connells-motel.es.html?aid=2410095,"Guardaequipaje, Parking gratis, Detectores de humo, Habitaciones sin humo, Extintores, Aire acondicionado, Prohibido fumar en todo el alojamiento, Inglés, Jardín, WiFi gratis, Fax / fotocopiadora, Calefacción, Habitaciones familiares",Traralgon,Australia,"El Connell Motel es un motel boutique de 3,5 estrellas situado en el centro de Traralgon y ofrece conexión WiFi gratuita. La mayoría de las habitaciones del piso superior cuentan con balcón privado cobijado por árboles y las habitaciones de la planta baja dan a los jardines.

También se ofrece consigna de equipaje gratuita y aparcamiento gratuito. Los jardines son amplios y cuentan con una zona de estar al aire libre.

Todas las habitaciones del Connells Motel Traralgon incluyen una mini nevera, set de té/café, calefacción y aire acondicionado. Además se reformaron en 2011 y cuentan con puertas de vidrio que van hasta el techo.

El Connells Motel está situado en la autopista Princes y se encuentra a 7 minutos en coche del complejo deportivo de Traralgon. La antigua mina de oro de Walhalla está a 45 km.

El desayuno continental incluye pan tostado, varios productos para untar, cereales, té y café (se aplican suplementos para la mayoría de las habitaciones)."
Motel Traralgon,US$76,"7,3",Bien,520,https://cf.bstatic.com/xdata/images/hotel/max1024x768/103086796.webp?k=7e0217233959f96e52c5fe6ca9d9335cd8816bb59b17d610c0bdf8a360b77f91&o=,https://www.booking.com/hotel/au/motel-traralgon.es.html?aid=2410095,"Toallas, Desayuno en la habitación, Fax / fotocopiadora, Calefacción, Ropa de cama, Servicio de lavandería, Aire acondicionado, Barbacoa, Parking gratis, Habitaciones sin humo, Inglés, WiFi gratis, Servicio de limpieza diario, Registro de entrada y salida exprés, Detectores de humo, Extintores, Campo de golf (a menos de 3 km), Jardín, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Proporciona factura, Parking adaptado para personas de movilidad reducida",Traralgon,Australia,"Este motel, situado en un lugar tranquilo que da a la carretera Princes, dispone de conexión Wi-Fi gratuita, aparcamiento y zona de barbacoa de uso gratuito y habitaciones con aire acondicionado, microondas, frigorífico, reproductor de DVD y mantas eléctricas.

El Motel Traralgon se halla a solo 200 metros del club de golf Traralgon, a 4 minutos en coche de la estación de tren de la localidad y a 6 minutos en coche del hospital regional La Trobe.

Las habitaciones disponen de TV, baño privado y set de té y café. El establecimiento cuenta con aparcamiento disponible para remolques, caravanas, barcos y camiones."
Creek Cottage Bed and Breakfast Traralgon,US$115,"9,3",Fantástico,295,https://cf.bstatic.com/xdata/images/hotel/max1024x768/324657653.webp?k=499881bc0184995d66712f146b81243e8e30d021d87a2e9a46068cfe57522db0&o=,https://www.booking.com/hotel/au/creek-cottage-bed-and-breakfast-traralgon.es.html?aid=2410095,"Toallas, Mantas eléctricas, Senderismo, Baño privado, Servicio de habitaciones, Toda la unidad en la planta baja, Albornoz, Pista de tenis, Ventilador, Servicio de lavandería, Masaje de manos, Spa y centro de bienestar, Masaje corporal completo, Traslado aeropuerto, Zona de comedor, Eventos deportivos en directo (emisión), Habitaciones sin humo, Cafetera, Menús para dietas especiales (bajo petición), Servicio de limpieza diario, Utensilios de planchado, Masaje de pies, Papel higiénico, Hervidor eléctrico, WC, Entrada privada, TV, Secador de pelo, Sofá, Zona de pícnic, Prohibido fumar en todo el alojamiento, Suelo de moqueta, Vistas, Cámaras de seguridad fuera del alojamiento, Mesa de comedor, Parque acuático, Tostadora, Aire acondicionado, Terraza, Microondas, Pesca, Ciclismo, Nevera, Extintores, Campo de golf (a menos de 3 km), Mobiliario exterior, Secadora de ropa, Masaje de espalda, Aeróbic, Vestidor, Bañera de hidromasaje / jacuzzi, Desayuno en la habitación, Bañera o ducha, Artículos de aseo gratis, Perchero, Calefacción, Ropa de cama, TV de pantalla plana, Vistas al lago, Terraza / solárium, Barbacoa, Utensilios de cocina, Equitación, Masajes, Vino / champán, Bingo, WiFi gratis, Tarjetas de transporte público, Suelo de baldosa / mármol, Lavadora, Detectores de humo, Instalaciones de spa, Armario, Tetera / cafetera, Masaje de cuello, Habitaciones familiares, Servicio de traslado, Bañera, Fruta, Parking adaptado para personas de movilidad reducida, Tetera/cafetera en todas las habitaciones, Alquiler de coches, Plancha para ropa, Enchufe cerca de la cama, Ducha, Productos de limpieza, Registro de entrada / salida privado, Música / espectáculos en directo, Tendedero, Parking gratis, Inglés, Cama plegable, Vistas al jardín, Masaje de cabeza, Jardín, Proporciona factura, Desayuno fabuloso, Zona de estar",Traralgon,Australia,"Creek Cottage Bed and Breakfast Traralgon está en Traralgon, a 13 min a pie de Estación de tren Trarlgon y a 48 km de Estación de tren de Yarragon, y ofrece alojamiento con wifi gratis, jardín con terraza, vistas al lago y acceso a la bañera de hidromasaje y al centro de spa.

Cada unidad tiene baño privado, ducha, aire acondicionado, TV de pantalla plana y nevera. También hay microondas y tostadora, además de cafetera y hervidor.

El bed and breakfast ofrece barbacoa.

Se puede descubrir la zona practicando senderismo, pesca y ciclismo en los alrededores, y Creek Cottage Bed and Breakfast Traralgon ofrece servicio de alquiler de coches.

Morwell Recreation Reserve está a 17 km del alojamiento, y Esso BHP Billiton Wellington Entertainment Centre está a 49 km."
Bridges on Argyle,US$133,"8,8",Fabuloso,158,https://cf.bstatic.com/xdata/images/hotel/max1024x768/249892695.webp?k=8c16862fd07336b009b79b8a845796cba663db01191180d58ed9d7460b488e38&o=,https://www.booking.com/hotel/au/bridges-on-argyle.es.html?aid=2410095,"Guardaequipaje, Snack-bar, Seguridad 24 horas, Tetera/cafetera en todas las habitaciones, Toallas, Habitaciones insonorizadas, Tumbonas/sillas de playa, Suelo de moqueta, Plancha para ropa, Baño privado, Servicio de habitaciones, Bañera o ducha, Artículos de aseo gratis, Perchero, Desayuno en la habitación, Bar, Mesa de comedor, Ropa de cama, Enchufe cerca de la cama, Ducha, Fax / fotocopiadora, Cámaras de seguridad fuera del alojamiento, Servicio de lavandería, Zona de fumadores, Calefacción, Ventilador, Tostadora, Cubierta para piscina, Aire acondicionado, Toallas de playa/piscina, Ascensor, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Microondas, Servicio de streaming (como Netflix), Barbacoa, Parking gratis, Utensilios de cocina, Centro de negocios, Tarjeta de acceso, Valla alrededor de la piscina, Habitaciones sin humo, Vino / champán, Menús para dietas especiales (bajo petición), Inglés, Adaptado para sillas de ruedas, WiFi gratis, Servicio de limpieza diario, Utensilios de planchado, WC con barras de apoyo, Parking adaptado para personas de movilidad reducida, De temporada, Escritorio, Detectores de humo, Acceso a pisos superiores en ascensor, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Secador de pelo, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Teléfono, Alarma de seguridad, Caja fuerte, Proporciona factura, Mobiliario exterior, Zona de estar",Traralgon,Australia,"El Bridges on Argyle está situado a solo 900 metros del distrito central de negocios de Traralgon y ofrece alojamientos modernos con un bar con licencia para servir alcohol. Los huéspedes tienen acceso a una piscina de temporada climatizada con energía solar, conexión WiFi gratuita y pases gratuitos para el gimnasio skyfitness, situado a solo 700 metros. Hay aparcamiento gratuito.

Las habitaciones cuentan con interiores modernos y aire acondicionado. Todas disponen de microondas, set de té/café, tostadora y nevera. También incluyen utensilios de planchado y TV de pantalla plana con acceso a Netflix.

La sala de desayunos, equipada con TV de pantalla plana, sirve un desayuno buffet continental o un desayuno caliente de lunes a viernes.  Hay servicio de habitaciones todos los días.

El establecimiento dispone de zona de barbacoa cubierta con TV, utensilios de cocina, vajilla y calentador de techo.  En la zona de salón hay una chimenea de gas y se ofrece prensa gratuita. El Guest Laundry cuenta con lavadoras y secadoras de ropa, que incluyen detergente de forma gratuita.

El Bridges on Argyle se encuentra a 10 minutos a pie de la estación de tren, a 20 minutos a pie del hipódromo de Traralgon y a 10 minutos a pie de las pistas de tenis de Traralgon."
Lifestyle Villages Traralgon,US$92,"8,1",Muy bien,241,https://cf.bstatic.com/xdata/images/hotel/max1024x768/335664050.webp?k=beeb9943a37f19e3e38a0d27e13045ad862d4419e8cbee72b77f373f923f7710&o=,https://www.booking.com/hotel/au/lifestyle-villages-traralgon.es.html?aid=2410095,"Seguridad 24 horas, Toallas, Prohibido fumar en todo el alojamiento, Baño privado, Toda la unidad en la planta baja, Bañera o ducha, Vistas, Calefacción, Zona de cocina, Mesa de comedor, Ropa de cama, Ducha, Tostadora, Aire acondicionado, TV de pantalla plana, Microondas, Zona de comedor, Barbacoa, Parking gratis, Utensilios de cocina, Fogones, Habitaciones sin humo, Inglés, WiFi gratis, De temporada, Zona poco profunda, Detectores de humo, Papel higiénico, Armario, WC, Hervidor eléctrico, Nevera, TV, Extintores, Piscina al aire libre, Secador de pelo, Sofá, Jardín, Cámaras de seguridad en las zonas comunitarias, Habitaciones familiares, Proporciona factura, Valla alrededor de la piscina, Zona de estar",Traralgon,Australia,"Lifestyle Villages Traralgon ofrece alojamiento con piscina de temporada al aire libre, wifi gratis y parking privado gratis en Traralgon.

El alojamiento tiene aire acondicionado, zona de cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha y secador de pelo. También se ofrece nevera, microondas y fogones, además de hervidor.

También hay un jardín ideal para relajarse.

Estación de tren Trarlgon está a 6,5 km del alojamiento, y Estación de tren de Yarragon está a 41 km."
