hotel,hotel_url,description,popular_facilities,highres_url,city,country
Posadas Le Petit Inn,https://www.booking.com/hotel/ve/posadas-le-petit-inn.es.html?aid=2410095,"Posadas Le Petit Inn está en Caracas, a 18 km de Univesidad de Venezuela y a 18 km de Parque Los Caobos, y ofrece alojamiento con wifi gratis, aire acondicionado, jardín y terraza.

Jardín Botánico está a 18 km del alojamiento, y Complejo Cultural Teresa Carreño está a 19 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 46 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Galerías de arte temporales, Noches de cine, Servicio de planchado, Cenas temáticas, Campo de golf (a menos de 3 km), Servicio de entrega de comestibles, Prohibido fumar en todo el alojamiento, WiFi gratis, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Salas de reuniones / banquetes, Eventos deportivos en directo (emisión), Comedia en vivo, Zona de fumadores, Baño compartido, Servicio de traslado, Menú para niños, Proporciona factura, Extintores, Barbacoa, Snack-bar, Seguridad 24 horas, Baños públicos, Aire acondicionado, Tours a pie, Solárium, Registro de entrada / salida privado, Habitaciones familiares, Centro de negocios, Parking gratis, Terraza / solárium, Español, Buffet para niños, Caja fuerte, Plancha para pantalones, Registro de entrada y salida exprés, Servicio de lavandería, Inglés, Ruta de bares, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Música / espectáculos en directo, Bañera, Papel higiénico, TV de pantalla plana, Vino / champán, Servicio de limpieza diario, Jardín, Servicio de conserjería, Alarma de seguridad, Almuerzos para llevar, Tours en bici, Toallas, Ropa de cama, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/477947889.jpg?k=e2edd169171df907f39978e6e73b717e37df007980193c988abd48df7a5a9335&o=&hp=1,Trujillo,Venezuela
Mesod Jungle Boutique,https://www.booking.com/hotel/ve/mesod-jungle-boutique.es.html?aid=2410095,"Mesod Jungle Boutique se encuentra en Caracas, a 25 km de Univesidad de Venezuela, y ofrece alojamiento con centro de fitness, parking privado gratis, jardín y terraza. Este hotel de 3 estrellas ofrece restaurante y habitaciones con aire acondicionado y baño privado. El hotel dispone de sauna y servicio de habitaciones.

En el hotel, todas las habitaciones tienen TV de pantalla plana y algunas también ofrecen vistas a la montaña.

En Mesod Jungle Boutique se sirve todas las mañanas un desayuno continental.

En la recepción 24 horas se hablan varios idiomas, como alemán, inglés, español y francés.

Parque Los Caobos está a 25 km del alojamiento, y Jardín Botánico está a 26 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 54 km.","Restaurante, Baño privado, Desayuno, Francés, Piscina al aire libre, Sauna, Alemán, Abierta todo el año, Recepción 24 horas, Bar, Aire acondicionado, Parking gratis, Español, Gimnasio, Inglés, Habitaciones sin humo, Servicio de habitaciones, Jardín, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521685285.jpg?k=40b6a2e083e5b0ce5b3b25b3e73819da69076860c79a2b9bca4fbecc9fc63e4d&o=&hp=1,Trujillo,Venezuela
Eurobuilding Hotel & Suites Caracas,https://www.booking.com/hotel/ve/eurobuilding-suites-caracas.es.html?aid=2410095,"El Eurobuilding Hotel & Suites Caracas se encuentra a 15 minutos en coche del centro de la ciudad, en el distrito financiero. Dispone de habitaciones elegantes, piscina, gimnasio y sauna.

Las habitaciones del EuroBuilding Caracas presentan una decoración elegante, con suelo de moqueta. Están equipadas con conexión Wi-Fi y TV por cable. Algunas ofrecen bañera de hidromasaje privada y acceso a un salón de lujo.

El desayuno bufé está disponible por un suplemento. Los 4 restaurantes del establecimiento preparan platos internacionales y locales, mientras que el bar del vestíbulo sirve cócteles y bebidas calientes.

El hotel cuenta con pista de tenis, tumbonas junto a la piscina, servicios de spa y tiendas de regalos.

La recepción 24 horas puede organizar servicios de traslado al aeropuerto Simón Bolívar, que está a 45 minutos en coche.","Galerías de arte temporales, Baño privado, Servicio de planchado, Insonorización, Habitaciones comunicadas disponibles, Vistas a la ciudad, Masaje de cabeza, Menú para niños, Vistas a la montaña, Proporciona factura, Cajero automático en el hotel, Servicios de maquillaje, Servicio de despertador, Cafetera, Sauna, Pista de tenis, Alemán, Abierta todo el año, Canguro / servicios para niños, Hipoalergénico, Entrada privada, Plancha para ropa, Masaje de espalda, Suelo de moqueta, TV, Gimnasio, Detectores de humo, Inglés, Masaje de cuello, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Servicio de habitaciones, Vino / champán, Instalaciones de spa, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Restaurante, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Spa y centro de bienestar, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Supermercado pequeño en el alojamiento, Caja fuerte para ordenador portátil, Francés, Masaje de manos, Secador de pelo, Alquiler de coches, Aire acondicionado, Masajes, Ducha, Español, Adaptado personas de movilidad reducida, Buffet para niños, Plancha para pantalones, Servicio de lavandería, Utensilios de planchado, Servicio de limpieza diario, Jardín, Alarma de seguridad, Habitaciones insonorizadas, Piscina infantil, Ropa de cama, Manicura, TV de pantalla plana, Bidet, Servicio de streaming (como Netflix), WiFi gratis, Vistas, Calefacción, Parking en el alojamiento, Mobiliario exterior, Canales por cable, Productos de limpieza, Corte de pelo, Italiano, Masaje de pies, Escritorio, Servicio de limpieza en seco, Extintores, Parking en un garaje, Parking adaptado para personas de movilidad reducida, Enchufe cerca de la cama, Equipamiento de tenis, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Paquetes de spa / bienestar, Zona de spa / relajación, Baños públicos, Habitaciones familiares, Toallas de playa/piscina, Baño de vapor, 3 restaurantes, Caja fuerte, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Música / espectáculos en directo, Bañera de hidromasaje / jacuzzi, Reloj despertador, Servicio de conserjería, Tratamientos capilares, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, 2 piscinas, Acceso a pisos superiores solo mediante escaleras, Noches de cine, Silla de masajes, Apoyo visual: carteles táctiles, Cámaras de seguridad fuera del alojamiento, Adecuada para niños, Apoyo visual: braille, Artículos de aseo gratis, Snack-bar, Perchero, Ascensor, Centro de negocios, Pedicura, Servicio de despertador / alarma, Servicios de belleza, Armario, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/2212834.jpg?k=bb753713f7cd02c5c8eb219413a91241cdfb5a51496f26261e432c9d7bd948aa&o=&hp=1,Trujillo,Venezuela
CCCT ApartaHotel Ccct,https://www.booking.com/hotel/ve/apartamento-ccct.es.html?aid=2410095,"CCCT ApartaHotel Ccct está en Caracas, a solo 5,7 km de Univesidad de Venezuela, y dispone de alojamiento con piscina al aire libre, salón de uso común, terraza y wifi gratis. Este apartamento tiene piscina privada, jardín y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con microondas y cafetera, y 1 baño con bidet y ducha. Hay toallas y ropa de cama en el apartamento.

Jardín Botánico está a 6,1 km del alojamiento, y Parque Los Caobos está a 6,1 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 34 km.","Baño privado, Zona TV / salón de uso compartido, Toallas / sábanas (por un suplemento), Piscina privada, Cafetera, Pista de tenis, Abierta todo el año, Registro de entrada / salida privado, Plancha para ropa, TV, Gimnasio, Detectores de humo, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Almuerzos para llevar, Camas extralargas (más de 2 metros), Suelo de madera o parquet, Tarjeta de acceso, Acceso a pisos superiores en ascensor, Accesible para personas sordas, Restaurante, Prohibido fumar en todo el alojamiento, Fruta, Zona de estar, Secador de pelo, Aire acondicionado, Ducha, Menús para dietas especiales (bajo petición), Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Utensilios de planchado, Jardín, Alarma de seguridad, Ropa de cama, Terraza, TV de pantalla plana, Bidet, Portugués, Servicio de streaming (como Netflix), Independiente, Cocina, WiFi gratis, Calefacción, Mobiliario exterior, Utensilios de cocina, Canales por cable, Escritorio, Extintores, Enchufe cerca de la cama, Piscina al aire libre, Seguridad 24 horas, Baños públicos, Bar, Patio, Habitaciones familiares, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Caja fuerte, Apartamento privado en edificio, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Sombrillas, Papel higiénico, Zona de cocina, Llave de acceso, Toallas, Desayuno en la habitación, Tumbonas/sillas de playa, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Ascensor, Centro de negocios, Armario, Microondas, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/424438838.jpg?k=2bfa5698ebf71ec62e3743520ec5ae6ce6dd3df12a0afc560b194993694cc61d&o=&hp=1,Trujillo,Venezuela
Hotel Tamanaco Caracas,https://www.booking.com/hotel/ve/intercontinental-tamanaco-caracas.es.html?aid=2410095,"Hotel Tamanaco Caracas está en Caracas, a 5,6 km de Univesidad de Venezuela, y dispone de alojamiento con piscina al aire libre, parking privado, jardín y terraza. Este hotel de 5 estrellas ofrece servicio de habitaciones y recepción 24 horas. El restaurante sirve platos de cocina francesa y de cocina mediterránea, y el bar es ideal para tomar algo.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV y baño privado con bidet. En Hotel Tamanaco Caracas, cada habitación cuenta con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno a la carta.

La clientela puede practicar actividades en Caracas y alrededores, como senderismo.

Jardín Botánico está a 6 km del alojamiento, y Estadio Olímpico está a 6,7 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 34 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Galerías de arte temporales, Baño privado, Servicio de planchado, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Servicio de despertador, Pista de tenis, Abierta todo el año, Registro de entrada / salida privado, WC con barras de apoyo, Suelo de moqueta, TV, Detectores de humo, Registro de entrada y salida exprés, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Bañera, Vino / champán, Servicio de habitaciones, Tarjeta de acceso, Guardaequipaje, Acceso a pisos superiores en ascensor, Para todas las edades, Restaurante, Servicio de aparcacoches, Prohibido fumar en todo el alojamiento, Horario de apertura, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Secador de pelo, Lavamanos más bajo, Aire acondicionado, Terraza / solárium, Español, Adaptado personas de movilidad reducida, Buffet para niños, Servicio de lavandería, Senderismo, Traslado aeropuerto, Servicio de limpieza diario, Jardín, Alarma de seguridad, Ropa de cama, Terraza, Bidet, Vistas, Mobiliario exterior, Canales por cable, Escritorio, Servicio de limpieza en seco, WiFi en todo el alojamiento, Extintores, Parking adaptado para personas de movilidad reducida, Desayuno, Enchufe cerca de la cama, Piscina al aire libre, Teléfono, Seguridad 24 horas, Peluquería / salón de belleza, Bar, Recepción 24 horas, Baños públicos, Habitaciones familiares, Toallas de playa/piscina, Caja fuerte, Bañera o ducha, Sombrillas, Papel higiénico, Música / espectáculos en directo, Servicio de conserjería, Llave de acceso, Entretenimiento nocturno, Toallas, Información turística, Tumbonas/sillas de playa, Casino, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Bingo, Artículos de aseo gratis, Ascensor, Centro de negocios, WC elevado, Servicio de despertador / alarma, Armario, Parking privado, 2 restaurantes, Happy hour, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/501614571.jpg?k=e09f05cb5c5a28e9843531a41957f22945fbb327048ed06d69e728c7191f97fc&o=&hp=1,Trujillo,Venezuela
Apartamento tipo estudio,https://www.booking.com/hotel/ve/apartamento-tipo-estudio.es.html?aid=2410095,"Apartamento tipo estudio, que tiene vistas a la ciudad, dispone de alojamiento con jardín, salón de uso común y terraza a unos 9,1 km de Parque Los Caobos. Este alojamiento ofrece parking privado gratis y acceso a un balcón.

Este apartamento con aire acondicionado consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Univesidad de Venezuela está a 10 km del alojamiento, y Complejo Cultural Teresa Carreño está a 10 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 38 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Zona TV / salón de uso compartido, Servicio de entrega de comestibles, Noches de cine, Cocina, Independiente, Vistas, Vistas a la ciudad, Balcón, Utensilios de cocina, Canales por cable, Canales vía satélite, Zona de fumadores, Productos de limpieza, Fruta, Servicio de traslado, Vistas a un lugar de interés, Escritorio, Toallas / sábanas (por un suplemento), Zona de estar, Vistas a la montaña, Proporciona factura, Extintores, Parking en un garaje, Horno, Vistas al jardín, Enchufe cerca de la cama, Aseo adicional, Ventilador, Cafetera, Cambio de moneda, Artículos de aseo gratis, Perchero, Secador de pelo, Tetera / cafetera, Fogones, Seguridad 24 horas, Aire acondicionado, Habitaciones familiares, Ducha, Radio, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Plancha para pantalones, Apartamento privado en edificio, Ruta de bares, Traslado aeropuerto, Bañera o ducha, Hervidor eléctrico, Utensilios de planchado, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Papel higiénico, Cámaras de seguridad en las zonas comunitarias, Armario, Nevera, Toda la unidad en la planta baja, Zona de cocina, Jardín, Tostadora, Toallas, Información turística, Ropa de cama, Acceso a pisos superiores en ascensor, Zona de comedor, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/265879843.jpg?k=cb99a7cccf8d385dbdc2c47376a4eb4089957795b29839ceaadd0f0cd752ea1c&o=&hp=1,Trujillo,Venezuela
Apartamento de lujo 2 H 2 B vistas de todas las Caracas,https://www.booking.com/hotel/ve/apartamento-de-lujo-2-h-2-b-vistas-de-todas-las-caracas.es.html?aid=2410095,"Apartamento de lujo 2 H 2 B vistas de todas las Caracas es un alojamiento con jardín que está en Caracas, a 7,9 km de Parque Los Caobos, a 8,5 km de Complejo Cultural Teresa Carreño y a 8,8 km de Univesidad de Venezuela. Hay wifi gratis en todo el alojamiento y parking privado en el propio alojamiento.

Este apartamento con aire acondicionado ofrece acceso directo a una terraza con vistas al jardín y cuenta con 1 dormitorio y cocina totalmente equipada. Se ofrece TV de pantalla plana.

En el apartamento, la clientela puede disfrutar de bañera de hidromasaje.

Jardín Botánico está a 9,2 km del alojamiento, y Estadio Olímpico está a 10 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 36 km.","Bañera de hidromasaje, Cocina, WiFi gratis, Vistas, Italiano, Lavadora, Piscina privada, Vistas al jardín, Francés, Sauna, Aire acondicionado, Español, Piscina, Inglés, Bañera de hidromasaje / jacuzzi, Parking privado, Zona de cocina, Jardín, Ruso, Minibar, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574913207.jpg?k=f75df67a8880c6bb98d3dcef92b30e548f3975265ec655bf4238166e864469a3&o=&hp=1,Trujillo,Venezuela
apartosuite,https://www.booking.com/hotel/ve/apartosuite.es.html?aid=2410095,"Apartosuite está en Caracas, a 14 km de Parque Los Caobos, a 14 km de Jardín Botánico y a 15 km de Complejo Cultural Teresa Carreño, y dispone de balcón. El alojamiento, que se encuentra a 14 km de Univesidad de Venezuela, ofrece terraza y parking privado gratis.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 2 baños con ducha. Se ofrece TV de pantalla plana con canales por cable y reproductor de Blu-ray.

Estadio Olímpico está a 15 km del alojamiento, y Museo de los niños de Caracas está a 15 km. El aeropuerto más cercano (Aeropuerto internacional Simon Bolívar) está a 42 km.","Baño privado, Insonorización, Independiente, Cocina, Cama plegable, Balcón, Utensilios de cocina, Canales por cable, Escritorio, Lavadora, Baño adicional, Toallas / sábanas (por un suplemento), Zona de estar, Zona de comedor exterior, Horno, Enchufe cerca de la cama, Aseo adicional, Cafetera, Perchero, Tetera / cafetera, Fogones, Patio, Aire acondicionado, Muebles de exterior, Habitaciones familiares, Vestidor, Ducha, Sofá, Entrada privada, Parking gratis, Plancha para ropa, Terraza, Español, TV, Suelo de baldosa / mármol, Mesa de comedor, Plancha para pantalones, Secadora de ropa, Apartamento privado en edificio, Inglés, Sofá cama, Bañera o ducha, Toda la unidad accesible en silla de ruedas, Habitaciones sin humo, Papel higiénico, Armario, Zona de cocina, Microondas, Ropa de cama, Tostadora, Toallas, Nevera, Acceso a pisos superiores en ascensor, WC, Reproductor de Blu-ray, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/272432835.jpg?k=2e8c32113957b8ed12c470f6b2d900c794945a40429bfe3be1353be6a3c1ce19&o=&hp=1,Trujillo,Venezuela
Sorokaima,https://www.booking.com/hotel/ve/sorokaima.es.html?aid=2410095,"Sorokaima está en Caracas, a 13 km de Univesidad de Venezuela y a 13 km de Parque Los Caobos. Ofrece alojamiento con jardín y wifi gratis en todo el alojamiento, además de parking privado gratis. El alojamiento se encuentra a 13 km de Jardín Botánico, a 14 km de Complejo Cultural Teresa Carreño y a 14 km de Estadio Olímpico. Cada habitación está equipada con patio con vistas a la montaña.

En el hostal o pensión, cada habitación dispone de aire acondicionado, escritorio, terraza con vistas a la ciudad, baño privado, TV de pantalla plana, ropa de cama y toallas. Todas las habitaciones cuentan con cafetera, y algunas también ofrecen cocina con microondas. Todas las habitaciones cuentan con nevera.

En Sorokaima se sirve cada mañana un desayuno a la carta.

Museo de los niños de Caracas está a 14 km del alojamiento, y Galeria de Arte Nacional está a 14 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 41 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de streaming (como Netflix), Baño privado, Servicio de planchado, Servicio de entrega de comestibles, WiFi gratis, Vistas a la ciudad, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Servicio de traslado, Menú para niños, Vistas a la montaña, Escritorio, Toallas / sábanas (por un suplemento), Extintores, Zona de comedor exterior, Vistas al jardín, Desayuno, Enchufe cerca de la cama, Juegos de mesa / puzles, Cafetera, Servicio de despertador, Seguridad 24 horas, Patio, Aire acondicionado, Libros, DVD o música para niños, Habitaciones familiares, Ducha, Menús para dietas especiales (bajo petición), Entrada privada, Plancha para ropa, Parking gratis, Terraza / solárium, Español, TV, Suelo de baldosa / mármol, Servicio de despertador / alarma, Servicio de lavandería, Bañera o ducha, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Armario, Reloj despertador, Nevera, Jardín, Servicio de conserjería, Protector de enchufes para niños, Llave de acceso, Toallas, Guardaequipaje, Información turística, Ropa de cama, WC, Terraza, TV de pantalla plana, Acceso a pisos superiores solo mediante escaleras",https://cf.bstatic.com/xdata/images/hotel/max1024x768/425957477.jpg?k=b2a0849e415f9f1b6e2c38f439692007e53e625281bb51d9c19caad777ed4a3a&o=&hp=1,Trujillo,Venezuela
Habitación en LA Urbina,https://www.booking.com/hotel/ve/habitacion-en-la-urbina.es.html?aid=2410095,"Habitación en LA Urbina se encuentra en Caracas, a 12 km de Univesidad de Venezuela, a 13 km de Complejo Cultural Teresa Carreño y a 13 km de Jardín Botánico. Está a 12 km de Parque Los Caobos y dispone de wifi gratis, además de cocina compartida.

Estadio Olímpico está a 14 km del alojamiento, y Museo de los niños de Caracas está a 14 km. El aeropuerto (Aeropuerto internacional Simon Bolívar) está a 41 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Baño privado, Servicio de planchado, Prohibido fumar en todo el alojamiento, WiFi gratis, Mobiliario exterior, Baño compartido, Servicio de traslado, Servicio de limpieza en seco, Extintores, Seguridad 24 horas, Ascensor, Habitaciones familiares, Ducha, Plancha para ropa, Español, Mesa de comedor, Plancha para pantalones, Servicio de lavandería, Traslado aeropuerto, Habitaciones sin humo, Servicio de limpieza diario, Armario, Servicio de conserjería, Microondas, Ropa de cama, Suelo de madera o parquet, Nevera, Acceso a pisos superiores en ascensor, WC, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/434390879.jpg?k=f5d39a693b33473edd38daebb6f2e27f55580cfe75323a4aa6aa4807696f482d&o=&hp=1,Trujillo,Venezuela
