hotel,hotel_url,description,popular_facilities,highres_url,city,country
HAVANA ECONOMY,https://www.booking.com/hotel/br/havana-economy.es.html?aid=2410095,"HAVANA ECONOMY ofrece alojamiento en Uberaba. Este hotel de 2 estrellas ofrece salón de uso común, recepción 24 horas y wifi gratis.

En el hotel, las habitaciones están equipadas con armario. Las habitaciones de este alojamiento tienen baño privado con bidet y artículos de aseo gratuitos, y también tienen vistas a la ciudad. En HAVANA ECONOMY, todas las habitaciones tienen ropa de cama y toallas.

El alojamiento ofrece desayuno buffet o continental.

El aeropuerto (Aeropuerto de Uberaba) está a 3 km.","Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, WiFi gratis, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Prohibido fumar en todo el alojamiento, Español, Vistas a la ciudad, Ducha, Bidet, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/223581239.jpg?k=11cc180a5135c6a80398e3439de7a65355bee5ab3135139f980bb8a54b9c1023&o=&hp=1,Uberaba,Brasil
Havana Palace Hotel II,https://www.booking.com/hotel/br/havana-palace-ii.es.html?aid=2410095,"Se encuentra en el distrito de São Benedito, en Uberaba. El Havana Palace Hotel II - QUARTO DECORADO. ¡PARA O DIA DOS NAMORADOS! Ofrece conexión WiFi gratuita y centro de fitness. El centro comercial Uberaba está a 500 metros.

Las habitaciones del Havana Palace Hotel II - QUARTO. Decorado con gusto. ¡PARA O DIA DOS NAMORADOS! Habitación con TV por cable, minibar y aire acondicionado. El baño privado incluye ducha y artículos de aseo gratuitos.

El establecimiento sirve un desayuno abundante y variado todos los días y cuenta con recepción 24 horas. Además, el establecimiento cuenta con sauna, centro de fitness y sala de juegos.

La estación de autobuses de Uberaba está a 500 metros. El aeropuerto de Uberaba está a 3 km. Hay aparcamiento gratuito.","Acceso a pisos superiores en ascensor, Inglés, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Entrada privada, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, TV, Prohibido fumar en todo el alojamiento, Minibar, Español, Sauna, Guardaequipaje, Canales vía satélite, Servicio de planchado, Ducha, Papel higiénico, Servicio de despertador / alarma, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Billar, Servicio de limpieza diario, Sala de juegos, Suelo de baldosa / mármol, Canales por cable, WC con barras de apoyo, Parking gratis, Baño privado, Parking en un garaje, Adaptado para sillas de ruedas, Zona de juegos interior, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Acceso a pisos superiores solo mediante escaleras, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/104152442.jpg?k=d118951c99eb1b8c3d4dedf7ea276b983a1191d7e10e137617618180bba59037&o=&hp=1,Uberaba,Brasil
Hotel Dan Inn Uberaba & Convenções,https://www.booking.com/hotel/br/shelton-inn-uberaba.es.html?aid=2410095,"Hotel Dan Inn Uberaba & Convenções offers air-conditioned accommodation, buffet breakfast, free Wi-Fi and a baby cot upon availability. Located at the entrance to Uberaba, close to the BR-050 highway, the hotel is ideal for your stay, whether for business or leisure.

Located amidst a vast green area, the hotel offers several leisure options for the whole family, including 2 swimming pools, football and volleyball courts, gym and playground. The rooms are equipped with a flat-screen TV with satellite channels, a minibar and a telephone, ensuring comfort and practicality. Cribs are available subject to availability.

Our restaurant opens from 12pm, serving delicious homemade pastries and typical dishes from the region. Additionally, we offer afternoon coffee from 2pm to 5pm. Guests can enjoy drinks by the pool or relax with a relaxed happy hour at the American Bar. For your convenience, room service is available 24 hours a day, with a special menu of broths, soups and snacks from 11pm to 3am.

The Hotel Dan Inn Uberaba & Convenções offers a delicious breakfast from 5am to 10am, from Monday to Sunday, including holidays. We are located 1 km from the Exhibition Park, 3 km from Uberaba Airport and 5 km from the center of Uberaba.

Your pet is warmly welcomed at Dan Inn Uberaba. We offer pet-friendly accommodation upon prior consultation and compliance with our internal rules. Extra costs may apply.

Come and enjoy a comfortable and unforgettable experience at the Hotel Dan Inn Uberaba & Convenções!","Tumbonas/sillas de playa, Inglés, Bar, Tarjeta de acceso, Abierta todo el año, Servicio de lavandería, Extintores, Restaurante, Sombrillas, Menús para dietas especiales (bajo petición), Adaptado personas de movilidad reducida, WiFi gratis, Happy hour, Parking privado, Baño de vapor, Piscina al aire libre, Fruta, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, Servicio de entrega de comestibles, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Menú para niños, Español, Caja fuerte, Sauna, Servicio de planchado, Salas de reuniones / banquetes, Servicio de limpieza diario, Gimnasio, Para todas las edades, Jardín, Proporciona factura, WC con barras de apoyo, Desayuno en la habitación, Seguridad 24 horas, Servicio de habitaciones, Cafetería en el alojamiento, Capilla, Vino / champán, Portugués, Adaptado para sillas de ruedas, Piscina infantil, Horario de apertura, Recepción 24 horas, Detectores de humo, Toallas de playa/piscina, Aire acondicionado, Zona de pícnic, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/382501331.jpg?k=23ad43bae17f41a588970e1f47b4879809a34299975287937912ca4044ad84df&o=&hp=1,Uberaba,Brasil
Hotel Jaguar,https://www.booking.com/hotel/br/jaguar.es.html?aid=2410095,"El Jaguar, situado a solo 3 km del centro comercial Uberaba, ofrece desayuno buffet, zona de jardín, instalaciones de negocios, recepción 24 horas y conexión Wi-Fi gratuita.

Las habitaciones presentan una decoración sencilla y disponen de aire acondicionado, TV por cable, minibar y baño privado con secador de pelo. Hay servicio de lavandería.

Todos los días se sirve un desayuno buffet que incluye especialidades regionales. El restaurante a la carta sirve cenas. Hay aparcamiento gratuito.

El Hotel Jaguar se encuentra a 7 km del centro de Uberaba y a solo 2 km del centro de exposiciones Expozebu/ABCZ. El aeropuerto Mário de Almeida Franco está a 5 km.","Acceso a pisos superiores en ascensor, Inglés, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Vistas al jardín, Escritorio, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Camas extralargas (más de 2 metros), Teléfono, Fax / fotocopiadora, Servicio de despertador, Parking adaptado para personas de movilidad reducida, TV, Prohibido fumar en todo el alojamiento, Minibar, Centro de negocios, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Buen desayuno, Artículos de aseo gratis, Servicio de limpieza diario, Jardín, Suelo de baldosa / mármol, Almuerzos para llevar, Canales por cable, WC con barras de apoyo, Servicio de habitaciones, Cafetería en el alojamiento, Capilla, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Adaptado para sillas de ruedas, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/54084874.jpg?k=4f80720854fd842aec2fba6b20e70394996531ae610566079cfc42f3cbd52b9d&o=&hp=1,Uberaba,Brasil
BOMBONATO HOTEL - Fácil Acesso ao Aeroporto e parque de Exposições ABCZ - By UP Hotel,https://www.booking.com/hotel/br/bombonato-palace-uberaba12.es.html?aid=2410095,"BOMBONATO HOTEL - Fácil Acesso ao Aeroporto e parque de Exposições ABCZ - By UP Hotel, que cuenta con salón de uso común, se encuentra en Uberaba. Este hotel de 3 estrellas ofrece centro de fitness y habitaciones con aire acondicionado, wifi gratis y baño privado. Hay un restaurante de cocina brasileña y parking privado gratis.

En el hotel, las habitaciones tienen armario. En BOMBONATO HOTEL - Fácil Acesso ao Aeroporto e parque de Exposições ABCZ - By UP Hotel, todas las habitaciones están equipadas con escritorio y TV de pantalla plana, y algunas también ofrecen balcón. En el alojamiento, todas las habitaciones cuentan con ropa de cama y toallas.

En BOMBONATO HOTEL - Fácil Acesso ao Aeroporto e parque de Exposições ABCZ - By UP Hotel se sirve todos los días un desayuno buffet.

El personal habla tanto inglés como portugués y estará encantado de dar información sobre la zona en recepción.

El aeropuerto más cercano (Aeropuerto de Uberaba) está a 3 km del alojamiento.","Inglés, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Restaurante, Ropa de cama, Productos de limpieza, Escritorio, Reloj despertador, Adaptado personas de movilidad reducida, WiFi gratis, Teléfono, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Muy buen desayuno, WC elevado, TV, Prohibido fumar en todo el alojamiento, Minibar, Guardaequipaje, Servicio de planchado, Ducha, Papel higiénico, Salas de reuniones / banquetes, Servicio de despertador / alarma, Armario, Toallas, Gimnasio, Artículos de aseo gratis, Servicio de aparcacoches, Servicio de limpieza diario, Suelo de baldosa / mármol, Proporciona factura, Canales por cable, WC con barras de apoyo, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Portugués, Adaptado para sillas de ruedas, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/332470984.jpg?k=94b9ca8e8a22c1ce2224cdb53130b564fbbebc69cf6b730b46215ea685ae94e3&o=&hp=1,Uberaba,Brasil
VILLA NOMAD HOTEL,https://www.booking.com/hotel/br/villa-nomad-uberaba.es.html?aid=2410095,"VILLA NOMAD HOTEL está en Uberaba. Este hotel de 3 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. Las habitaciones están equipadas con TV de pantalla plana con canales por cable.

En el hotel, cada habitación cuenta con armario. El baño privado está equipado con ducha, artículos de aseo gratuitos y secador de pelo. Las unidades de este alojamiento disponen de aire acondicionado y escritorio.

El aeropuerto más cercano (Aeropuerto de Uberaba) está a 3 km.","TV de pantalla plana, Extintores, Escritorio, Zona de comedor, Plancha para ropa, Perchero, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Registro de entrada / salida privado, Servicio de despertador, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, TV, Minibar, Bañera o ducha, Ducha, Armario, Vistas, Mesa de comedor, Artículos de aseo gratis, Suelo de baldosa / mármol, Proporciona factura, Canales por cable, Seguridad 24 horas, Servicio de habitaciones, Parking gratis, Baño privado, Secador de pelo, Recepción 24 horas, WC, Aire acondicionado, Habitaciones familiares, Portugués, Tendedero, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/329103566.jpg?k=fa5242dce32fe3898f1913f6c5e8f0d82fe4e1ff10d8d669386f838efc3f68f5&o=&hp=1,Uberaba,Brasil
Tamareiras Prime Hotel,https://www.booking.com/hotel/br/tamareiras-prime.es.html?aid=2410095,"Tamareiras Prime Hotel dispone de piscina al aire libre, salón de uso común, restaurante y bar en Uberaba. El hotel ofrece sauna y servicio de habitaciones.

Todas las habitaciones tienen baño privado, caja fuerte y wifi gratis, y algunas también ofrecen balcón (en algunos casos, con vistas a la ciudad ). Todas las unidades de este alojamiento disponen de aire acondicionado y armario.

El personal de recepción habla inglés, español y portugués, y estará encantado de ayudar en cualquier momento.

El aeropuerto más cercano (Aeropuerto de Uberaba) está a 4 km.","Inglés, Bar, Abierta todo el año, Servicio de lavandería, Desayuno fabuloso, Restaurante, WiFi gratis, Piscina al aire libre, Español, Caja fuerte, Sauna, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Armario, Toallas, Gimnasio, Billar, Servicio de aparcacoches, Servicio de limpieza diario, Sala de juegos, Suelo de baldosa / mármol, Servicio de habitaciones, Parking gratis, Baño privado, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/100534829.jpg?k=0fd0b3a31ca4c201bc286739a348aa5fa42f7099e6e59ed58bb3b7b29edc0a99&o=&hp=1,Uberaba,Brasil
ibis Uberaba,https://www.booking.com/hotel/br/ibis-uberaba.es.html?aid=2410095,"Ibis Uberaba dispone de jardín, salón de uso común, restaurante y bar en Uberaba. Este hotel de 3 estrellas tiene wifi gratis, recepción 24 horas y guardaequipaje. El hotel tiene habitaciones familiares.

El hotel ofrece habitaciones con aire acondicionado, escritorio, caja fuerte, TV de pantalla plana y baño privado con ducha. En ibis Uberaba, cada habitación incluye ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Uberaba) está a 2 km del alojamiento.","Inglés, Bar, TV de pantalla plana, Servicio de lavandería, Restaurante, Ropa de cama, Escritorio, Reloj despertador, Adaptado personas de movilidad reducida, WiFi gratis, Teléfono, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Minibar, Caja fuerte, Guardaequipaje, Ducha, Armario, Toallas, Buen desayuno, Jardín, Parking gratis, Baño privado, Portugués, Secador de pelo, Radio, Zona de juegos interior, Recepción 24 horas, Ascensor, Zona TV / salón de uso compartido, WC, Aire acondicionado, Habitaciones familiares, Taquillas, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/367998077.jpg?k=3effc9feb3a05aaeb6c596632c5e691a4d67290612788b1327581f4a7f5c2d0c&o=&hp=1,Uberaba,Brasil
Pousada uberaba,https://www.booking.com/hotel/br/pensionato-do-alan-uberaba.es.html?aid=2410095,"Pousada uberaba ofrece alojamiento en Uberaba. El hostal o pensión también ofrece wifi gratis y parking privado gratis.

El aeropuerto (Aeropuerto de Uberaba) está a 4 km.","Servicio de lavandería, Wifi buena gratis (24 Mbps), Extintores, Llave de acceso, Zona de fumadores, Cocina compartida, Registro de entrada / salida privado, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Servicio de planchado, Servicio de limpieza diario, Buen desayuno, Seguridad 24 horas, Parking gratis, Parking en un garaje, Portugués, Habitaciones familiares, Taquillas, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585539481.jpg?k=a955bce2bda65f7f0662ff1d014a757c148cf6cd71f7b2a648bbb6eb1b832904&o=&hp=1,Uberaba,Brasil
Quarto Casal Bem Localizado,https://www.booking.com/hotel/br/quarto-casal-bem-localizado.es.html?aid=2410095,"Quarto Casal Bem Localizado se encuentra en Uberaba. Hay wifi gratis y parking privado en el propio alojamiento.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y cocina.

El aeropuerto más cercano (Aeropuerto de Uberaba) está a 2 km.","Parking gratis, Portugués, Prohibido fumar en todo el alojamiento, TV de pantalla plana, Cocina, WiFi gratis, Lavadora, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577787841.jpg?k=b6687154549fddcbb7bb4e1cf39745f1607c1ee98f511620c5c49ceed86a1727&o=&hp=1,Uberaba,Brasil
Ibiza Inn Uberaba,https://www.booking.com/hotel/br/suite-queen-aconchegante-ate-3-pessoas.es.html?aid=2410095,"Ibiza Inn Uberaba está en Uberaba, en la región de Minas Gerais, y ofrece alojamiento con wifi gratis y parking privado gratis.

Todas las unidades tienen baño privado totalmente equipado con ducha y secador de pelo.

También hay un jardín ideal para relajarse.

El aeropuerto más cercano (Aeropuerto de Uberaba) está a 7 km.","Inglés, Ropa de cama, Plancha para ropa, WiFi gratis, Enchufe cerca de la cama, Ventilador, Parking adaptado para personas de movilidad reducida, Prohibido fumar en todo el alojamiento, Minibar, Bañera o ducha, Francés, Ducha, Toallas, Jardín, Proporciona factura, Suelo de baldosa / mármol, Parking gratis, Baño privado, Parking en un garaje, Secador de pelo, WC, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/270148769.jpg?k=0485e0556fd73555591ee24f2f01e7127aff97c03dcad435f7e0a5a9f9153438&o=&hp=1,Uberaba,Brasil
Quarto em Apto Bem Localizado,https://www.booking.com/hotel/br/apto-bem-localizado-uberaba.es.html?aid=2410095,"Quarto em Apto Bem Localizado está en Uberaba. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, las habitaciones están equipadas con armario y TV de pantalla plana. Las unidades disponen de ropa de cama.

El aeropuerto más cercano (Aeropuerto de Uberaba) está a 2 km.","Parking gratis, Vistas a la ciudad, Terraza, Tendedero, Ducha, Prohibido fumar en todo el alojamiento, Portugués, TV de pantalla plana, Armario, Vistas, Ropa de cama, WC, Perchero, Habitaciones familiares, WiFi gratis, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/577791621.jpg?k=a1bb0290afb3f0ce1a6d27218ffac42afe8c61148a6c5a74f263c689dba936df&o=&hp=1,Uberaba,Brasil
Espaço Aconchego,https://www.booking.com/hotel/br/aconchego-uberaba.es.html?aid=2410095,"Espaço Aconchego se encuentra en Uberaba y ofrece wifi gratis, jardín, salón de uso común y terraza.

Cada unidad está equipada con aire acondicionado, baño privado y cocina con nevera, horno, microondas y fogones.

El aeropuerto más cercano (Aeropuerto de Uberaba) está a 5 km del alojamiento.","Terraza, Inglés, Extintores, Llave de acceso, Ropa de cama, Productos de limpieza, Vistas al jardín, Zona de comedor, Zona de fumadores, Plancha para ropa, Utensilios de planchado, Cocina compartida, WiFi gratis, Enchufe cerca de la cama, Tendedero, Servicio de streaming (como Netflix), Registro de entrada / salida privado, Fogones, Ventilador, Entrada privada, Suelo de madera o parquet, Horno, Desayuno fantástico, Español, Taquillas, Bañera o ducha, Microondas, Utensilios de cocina, Ducha, Vistas a un patio interior, Papel higiénico, Secadora de ropa, Armario, Mesa de comedor, Toallas, Artículos de aseo gratis, Cafetera, Jardín, Proporciona factura, Acceso al salón executive, Nevera, Capilla, Parking gratis, Baño privado, Portugués, Secador de pelo, Toda la unidad en la planta baja, Zona TV / salón de uso compartido, WC, Aire acondicionado, Accesible para personas sordas, Zona de comedor exterior, Cocina, Lavadora, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/492600966.jpg?k=27c043e57e74383163e2b4254a01079fe87c8d8c7517e526465949180edbd75e&o=&hp=1,Uberaba,Brasil
