hotel,hotel_url,description,popular_facilities,highres_url,city,country
Íbis Budget Uberlândia,https://www.booking.com/hotel/br/ibis-budget-uberlandia.es.html?aid=2410095,"El Íbis Budget Uberlândia se encuentra en Uberlândia, a 4,4 km de la estación de autobuses de Uberlandia. Todas las habitaciones cuentan con TV de pantalla plana con canales por cable y baño privado. El estadio municipal de Sabiá se encuentra a 3,8 km.

Todas las mañanas se sirve un desayuno buffet.

La recepción está abierta las 24 horas.

El aeropuerto más cercano es el de Uberlandia, ubicado a 6 km.","Acceso a pisos superiores en ascensor, Inglés, Tarjeta de acceso, Snack-bar, TV de pantalla plana, Extintores, Llave de acceso, Insonorización, Restaurante, Ropa de cama, Toda la unidad accesible en silla de ruedas, Perchero, Desayuno, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Hipoalergénico, Alarma de seguridad, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Suelo de madera o parquet, TV, Prohibido fumar en todo el alojamiento, Habitaciones hipoalergénicas, Habitaciones insonorizadas, Español, Centro de negocios, Apoyo visual: braille, Guardaequipaje, Vistas a la ciudad, Supermercado pequeño en el alojamiento, Cochecitos de bebé, Ducha, Papel higiénico, Toallas, Servicio de limpieza diario, Proporciona factura, Apoyo visual: carteles táctiles, Canales por cable, WC con barras de apoyo, Baño privado, Adaptado para sillas de ruedas, Recepción 24 horas, Detectores de humo, Ascensor, Guiado auditivo, WC, Aire acondicionado, Lavamanos más bajo, Habitaciones familiares, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Vistas",https://cf.bstatic.com/xdata/images/hotel/max1024x768/244053927.jpg?k=6794b4052caeac7b98db98c92df845826bb50a84c95f159ea2cbac191aa31c03&o=&hp=1,Uberlândia,Brasil
Flats Uberlândia,https://www.booking.com/hotel/br/studios-duque.es.html?aid=2410095,"Flats Uberlândia se encuentra en Uberlândia, a 5 min a pie de Rondon Pacheco Theater y a 2,5 km de Estación de autobús, y ofrece wifi gratis y aire acondicionado.

El apartamento dispone de 1 dormitorio, TV de pantalla plana con canales vía satélite, una zona de cocina equipada con microondas y minibar, lavadora y 1 baño con ducha. Hay toallas y ropa de cama en el apartamento.

En el apartamento se sirve todas las mañanas un desayuno continental.

El aeropuerto más cercano (Aeropuerto de Uberlandia) está a 10 km.","Acceso a pisos superiores en ascensor, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Detector de monóxido de carbono, Escritorio, Zona de comedor, Plancha para ropa, Utensilios de planchado, Perchero, Desayuno, WiFi gratis, Enchufe cerca de la cama, Servicio de streaming (como Netflix), Registro de entrada y salida exprés, Fogones, Cámaras de seguridad en las zonas comunitarias, Apartamento privado en edificio, TV, Prohibido fumar en todo el alojamiento, Minibar, Independiente, Microondas, Guardaequipaje, Utensilios de cocina, Canales vía satélite, Ducha, Secadora de ropa, Armario, Toallas, Canales de pago, Solo para adultos, Cafetera, Cámaras de seguridad fuera del alojamiento, Suelo de baldosa / mármol, Canales por cable, Desayuno en la habitación, Parking gratis, Baño privado, Toallas / sábanas (por un suplemento), Ascensor, WC, Aire acondicionado, Portugués, Lavadora, Habitaciones sin humo, Zona de cocina, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/505640065.jpg?k=a63f7deef80e23a72b9e62377155d12e33ac4fd62df468f4327538bcdb881565&o=&hp=1,Uberlândia,Brasil
Hotel Golden Park Uberlandia,https://www.booking.com/hotel/br/comfort-uberlandia.es.html?aid=2410095,"El Golden Park Hotel está situado en la avenida principal de Uberlândia, a 4,9 km del aeropuerto y a 5 minutos en coche del centro comercial y del centro de convenciones de la ciudad. El establecimiento cuenta con zona de ocio amueblada y piscina al aire libre.

Hay aparcamiento cubierto disponible por un suplemento por noche.

Los alojamientos del Golden Park Uberlândia incluyen escritorio, TV por cable, minibar, caja fuerte, aire acondicionado y teléfono. El servicio de habitaciones está disponible todos los días hasta las 03:00, con opciones limitadas de 23:00 a 03:00. Las cunas están sujetas a disponibilidad.

Los huéspedes pueden hacer uso gratuito de un gimnasio asociado, situado a 400 metros del hotel. El hotel ofrece servicio de lavandería y centro de negocios por un suplemento.

El restaurante sirve lo mejor de la cocina de Minas Gerais y cervezas y cócteles nacionales, como caipirinha. El desayuno se sirve de 05:00 a 10:00 de lunes a viernes y de 05:00 a 11:00 los sábados, domingos y festivos.

El restaurante y el servicio de habitaciones están abiertos para el almuerzo de 12:00 a 14:00 de lunes a viernes y para la cena de 18:00 a 22:00 todos los días. De lunes a sábado, el servicio de habitaciones ofrece un menú limitado de 23:00 a 02:00.

Su mascota es bienvenida en el Golden Park Uberlândia (se aplican las reglas internas y los costos). Para más información, consulte la sección Detalles.

¡Ven y disfruta de una estancia cómoda e inolvidable en el Hotel Golden Park Uberlândia!","Tarjeta de acceso, Abierta todo el año, Extintores, Información turística, Adaptado personas de movilidad reducida, Registro de entrada / salida privado, Piscina al aire libre, Teléfono, Alarma de seguridad, TV, Habitaciones insonorizadas, Caja fuerte, Salas de reuniones / banquetes, Para todas las edades, Jardín, Recepción 24 horas, Habitaciones familiares, Portugués, Vistas, Tumbonas/sillas de playa, Restaurante, Escritorio, Zona de comedor, Vistas a un lugar de interés, Camas extralargas (más de 2 metros), Cámaras de seguridad en las zonas comunitarias, Servicio de despertador, Minibar, Ducha, Servicio de despertador / alarma, Artículos de aseo gratis, Caja fuerte para ordenador portátil, Horario de apertura, Habitaciones comunicadas disponibles, TV de pantalla plana, Ropa de cama, Zona de fumadores, Perchero, Enchufe cerca de la cama, Hipoalergénico, Menú para niños, Español, Vistas a la ciudad, Servicio de planchado, Secadora de ropa, Armario, Toallas, Gimnasio, Apoyo visual: carteles táctiles, Canales por cable, Servicio de limpieza en seco, WC con barras de apoyo, Servicio de habitaciones, Baño privado, Adaptado para sillas de ruedas, Detectores de humo, Ascensor, WC, Taquillas, Cámaras de seguridad fuera del alojamiento, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Servicio de lavandería, Llave de acceso, Insonorización, Sombrillas, WiFi gratis, Registro de entrada y salida exprés, Parking privado, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, Muy buen desayuno, WC elevado, Habitaciones hipoalergénicas, 2 restaurantes, Centro de negocios, Apoyo visual: braille, Guardaequipaje, Vistas a un patio interior, Servicio de limpieza diario, Seguridad 24 horas, Vino / champán, Secador de pelo, Toallas / sábanas (por un suplemento), Aire acondicionado, Lavamanos más bajo, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/490847555.jpg?k=b6570881608c7f4495d110ff37690e144f52e195a23ae840feb446efda6ae3c3&o=&hp=1,Uberlândia,Brasil
Nobile Suítes Uberlândia,https://www.booking.com/hotel/br/san-diego-uberlandia.es.html?aid=2410095,"This hotel offers modern accommodation near Center Shopping. It features an outdoor pool and a sauna. Uberlandia Airport is a 15-minute drive away.

All rooms at Nobile Suítes Uberlândia are decorated in soft colors and fitted with TV and a minibar. Each soundproofed room has an en suite bathroom.

International cuisine and local specialties are served at the on-site restaurant. Tropical drinks and warm beverages are offered at the bar.

Nobile Suítes Uberlândia is a short walk away from the shops and restaurants of Uberlandia city centre.","Abierta todo el año, Extintores, Adaptado personas de movilidad reducida, Vistas a la piscina, Piscina al aire libre, Teléfono, Fruta, TV, Habitaciones insonorizadas, Caja fuerte, Sauna, Salas de reuniones / banquetes, Mesa de comedor, Servicio de aparcacoches, Jardín, Taquillas en el gimnasio / spa, Recepción 24 horas, Habitaciones familiares, Portugués, Zona de cocina, Vistas, Tumbonas/sillas de playa, Restaurante, Vistas al jardín, Zona de comedor, Escritorio, Toda la unidad accesible en silla de ruedas, Cámaras de seguridad en las zonas comunitarias, Minibar, Ducha, Servicio de despertador / alarma, Artículos de aseo gratis, Horario de apertura, TV de pantalla plana, Ropa de cama, Zona de fumadores, Enchufe cerca de la cama, Baño de vapor, Menú para niños, Vistas a la ciudad, Servicio de planchado, Armario, Toallas, Gimnasio, Canales por cable, Servicio de limpieza en seco, WC con barras de apoyo, Servicio de habitaciones, Baño privado, Adaptado para sillas de ruedas, Ascensor, Toallas de playa/piscina, WC, Taquillas, Cámaras de seguridad fuera del alojamiento, Papel higiénico, Acceso a pisos superiores en ascensor, Inglés, Bar, Servicio de lavandería, Insonorización, Desayuno fabuloso, Menús para dietas especiales (bajo petición), Sofá, WiFi gratis, Parking privado, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Suelo de madera o parquet, WC elevado, Terraza / solárium, Guardaequipaje, Servicio de limpieza diario, Solo para adultos, Squash, Desayuno en la habitación, Vino / champán, Secador de pelo, Aire acondicionado, Lavamanos más bajo, Zona de spa / relajación, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/348119132.jpg?k=93e73e212cd4c51fa4de6d95a7863c6a1d4bb56f489a5c056384026a46fbed40&o=&hp=1,Uberlândia,Brasil
Mercure Uberlândia Plaza Shopping,https://www.booking.com/hotel/br/plaza-shopping.es.html?aid=2410095,"El Mercure Uberlândia Plaza Shopping se encuentra a 3 km del centro de Uberlandia y junto a un centro comercial, un centro de convenciones, una torre de negocios y una piscina exterior. Hay aparcamiento y WiFi gratuita en todas las instalaciones.

Las habitaciones son modernas y tienen aire acondicionado, minibar, TV por cable de pantalla plana y caja fuerte. Hay baño privado con secador de pelo.

Hay servicio de habitaciones 24 horas, centro de fitness equipado, instalaciones de negocios y bar.

La estación de autobuses de Uberlandia está a solo 4 km del Mercure Uberlândia Plaza Shopping y el aeropuerto de Uberlandia se encuentra a 6,5 ​​km.","Tumbonas/sillas de playa, Inglés, Bar, Tarjeta de acceso, Abierta todo el año, TV de pantalla plana, Servicio de lavandería, Extintores, Boles para mascotas, Restaurante, Ropa de cama, Zona de fumadores, Plancha para pantalones, Adaptado personas de movilidad reducida, WiFi gratis, Piscina climatizada, Parking privado, Baño de vapor, Piscina al aire libre, Teléfono, Fruta, Fax / fotocopiadora, Cámaras de seguridad en las zonas comunitarias, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, Desayuno fantástico, Piscina infinita, Habitaciones insonorizadas, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones hipoalergénicas, Centro de negocios, Piscina con vistas, Caja fuerte, Sauna, Guardaequipaje, Servicio de planchado, Ducha, Salas de reuniones / banquetes, Toallas, Gimnasio, Servicio de aparcacoches, Para todas las edades, Taquillas en el gimnasio / spa, Canales por cable, Desayuno en la habitación, Seguridad 24 horas, Servicio de habitaciones, Parking en un garaje, Baño privado, Vino / champán, Adaptado para sillas de ruedas, Secador de pelo, Horario de apertura, Recepción 24 horas, Detectores de humo, Ascensor, Toallas de playa/piscina, WC, Aire acondicionado, Zona de spa / relajación, Portugués, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/574986650.jpg?k=84137cfbba36cbd80948370c0a7bb85ba97a130f191f06790527e7e5b364d4ab&o=&hp=1,Uberlândia,Brasil
Sara Palace Hotel,https://www.booking.com/hotel/br/sara-palace.es.html?aid=2410095,"El Sara Palace Hotel se encuentra a 5 minutos en coche del parque Sabia y ofrece aire acondicionado y conexión Wi-Fi gratuita. El establecimiento ofrece aparcamiento gratuito.

Las habitaciones son de estilo clásico y cuentan con TV por cable y minibar. El baño es privado e incluye ducha.

El desayuno se sirve todos los días en la sala de desayunos.

El Hotel Sara Palace se encuentra a 10 minutos en coche del centro de Uberlandia y a 20 minutos en coche del aeropuerto de Uberlandia. La estación de autobuses de Uberlandia está a 25 minutos en coche.","Acceso a pisos superiores en ascensor, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Llave de acceso, Ropa de cama, Zona de fumadores, Escritorio, Toda la unidad accesible en silla de ruedas, Adaptado personas de movilidad reducida, WiFi gratis, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Teléfono, Muy buen desayuno, TV, Minibar, Bañera o ducha, Servicio de planchado, Ducha, Armario, Vistas, Toallas, Artículos de aseo gratis, Servicio de limpieza diario, Suelo de baldosa / mármol, Proporciona factura, Servicio de limpieza en seco, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Portugués, Recepción 24 horas, Máquina expendedora (bebidas), Ascensor, WC, Aire acondicionado, Toda la unidad en la planta baja, Habitaciones familiares, Taquillas, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/21484825.jpg?k=a7e2980b035ef2d7a0611dfe6983d5c4d82c99476a592eed670e082719377033&o=&hp=1,Uberlândia,Brasil
NANO Suítes,https://www.booking.com/hotel/br/nano-suites-uberlandia.es.html?aid=2410095,"NANO Suítes, que está a 7,8 km de Rondon Pacheco Theater y a 8 km de Estación de autobús, ofrece habitaciones con aire acondicionado y baño privado en Uberlândia. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

En el hotel, las habitaciones tienen escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todas las habitaciones tienen armario.

El aeropuerto (Aeropuerto de Uberlandia) está a pocos pasos.","Tarjeta de acceso, TV de pantalla plana, Extintores, Ropa de cama, Escritorio, Enchufe cerca de la cama, TV, Prohibido fumar en todo el alojamiento, Bañera o ducha, Ducha, Armario, Toallas, Suelo de baldosa / mármol, Servicio de habitaciones, Parking gratis, Baño privado, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, WC, Aire acondicionado, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/441775922.jpg?k=205b63ea22250ab5d6f367f31d8a9ca3cc4ed128509b6389c8c76647561c7483&o=&hp=1,Uberlândia,Brasil
NANO Suítes,https://www.booking.com/hotel/br/nano-suites.es.html?aid=2410095,"NANO Suítes, que está a 7,8 km de Rondon Pacheco Theater y a 8 km de Estación de autobús, ofrece habitaciones con aire acondicionado y baño privado en Uberlândia.

En el hotel, cada habitación cuenta con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Uberlandia) está a pocos pasos.","Parking gratis, Baño privado, TV de pantalla plana, Armario, Toallas, Artículos de aseo gratis, Ropa de cama, Entrada privada, Acceso a pisos superiores solo mediante escaleras, Aire acondicionado, Servicio de habitaciones, Perchero, Portugués, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/441769827.jpg?k=05763f99bbee0f089f9a2212c2d2d744480c14ad9b88a580edad956fdfb7979f&o=&hp=1,Uberlândia,Brasil
ibis Uberlandia,https://www.booking.com/hotel/br/ibis-uberlandia.es.html?aid=2410095,"Ibis Uberlandia está en Uberlândia, a 3,1 km de Rondon Pacheco Theater, y dispone de alojamiento con restaurante, parking privado gratis y bar. Este hotel de 3 estrellas tiene habitaciones con aire acondicionado, baño privado y wifi gratis. El alojamiento ofrece recepción 24 horas y guardaequipaje.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el hotel, las habitaciones cuentan con ropa de cama y toallas.

Ibis Uberlandia ofrece desayuno buffet o continental.

Puedes jugar al billar y al ping-pong en el alojamiento.

Estación de autobús está a 3,6 km del alojamiento. El aeropuerto (Aeropuerto de Uberlandia) está a 7 km.","Acceso a pisos superiores en ascensor, Bar, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Extintores, Insonorización, Restaurante, Ropa de cama, Ping pong, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Enchufe cerca de la cama, Teléfono, Alarma de seguridad, Fax / fotocopiadora, Servicio de despertador, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Mobiliario exterior, TV, Prohibido fumar en todo el alojamiento, Minibar, Habitaciones insonorizadas, Guardaequipaje, Servicio de planchado, Ducha, Toallas, Buen desayuno, Billar, Servicio de limpieza diario, Proporciona factura, Canales por cable, WC con barras de apoyo, Seguridad 24 horas, Parking gratis, Baño privado, Parking en un garaje, Vino / champán, Portugués, Adaptado para sillas de ruedas, Secador de pelo, Recepción 24 horas, Detectores de humo, Ascensor, WC, Aire acondicionado, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/249929199.jpg?k=0cc0816a13640fd92e955709ffa29a28ddcefa505603337261dece4f0cb20a43&o=&hp=1,Uberlândia,Brasil
JVA Fenix Hotel,https://www.booking.com/hotel/br/jva-park.es.html?aid=2410095,"El JVA Fenix Hotel goza de una ubicación céntrica, a 2 km del centro de Uberlândia y a solo 700 metros del centro comercial Center Shopping. Este establecimiento ofrece habitaciones con aire acondicionado y conexión Wi-Fi gratuita en las zonas comunes.

El JVA Fenix Hotel ofrece habitaciones con TV LCD de 32 pulgadas por cable, minibar y conexión a internet por cable gratuita. Presentan una decoración sencilla y cuentan con ropa de cama luminosa, escritorio y baño privado. Hay secador de pelo disponible bajo petición.

El restaurante del hotel sirve un desayuno buffet con fruta, cereales, pan, té, café y zumos. Para el almuerzo y la cena se ofrece una variedad de especialidades frías y calientes.

El establecimiento alberga un gimnasio, un centro de negocios y una recepción abierta las 24 horas. El parque de Sabiá está a 3 km y la estación de autobuses más cercana, a 15 minutos en coche.","Inglés, Tarjeta de acceso, Snack-bar, Servicio de lavandería, Extintores, Restaurante, Parking en el alojamiento, WiFi gratis, Fruta, Cámaras de seguridad en las zonas comunitarias, Parking adaptado para personas de movilidad reducida, Muy buen desayuno, Prohibido fumar en todo el alojamiento, Menú para niños, Centro de negocios, Caja fuerte, Buffet para niños, Guardaequipaje, Salas de reuniones / banquetes, Servicio de aparcacoches, Gimnasio, Servicio de limpieza diario, Jardín, Proporciona factura, Taquillas en el gimnasio / spa, Desayuno en la habitación, Servicio de habitaciones, Cafetería en el alojamiento, Parking en un garaje, Portugués, Recepción 24 horas, Detectores de humo, Ascensor, Zona TV / salón de uso compartido, Aire acondicionado, Habitaciones familiares, Taquillas, Cámaras de seguridad fuera del alojamiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/79292944.jpg?k=34eff39245bcf6880926e2e89a58ba6966ff7f0d2cfc3fdf8ed6fedbe77fb135&o=&hp=1,Uberlândia,Brasil
Sanare Hotel,https://www.booking.com/hotel/br/sanare.es.html?aid=2410095,"El Sanare Hotel está situado en Uberlândia, a 2 km del centro de la ciudad, y ofrece habitaciones cómodas con conexión Wi-Fi gratuita. El campus de Santa Mónica de la Universidad de Uberlândia está a solo 100 metros. Además, hay aparcamiento gratuito disponible.

Las habitaciones cuentan con aire acondicionado, TV por cable y baño privado con ducha.

El Hotel Sanare alberga un bar y un centro de fitness. Además, hay un centro comercial a 800 metros. El establecimiento ofrece servicio de lavandería y de planchado, y está a 3 km del estadio João Havelange.

La estación de autobuses de Uberlândia se halla 3,5 km del hotel y el aeropuerto Tenente Coronel Aviador Cesar Bombonato, a 8 km.","Bar, Tarjeta de acceso, TV de pantalla plana, Servicio de lavandería, Desayuno fabuloso, Ropa de cama, Escritorio, Perchero, Adaptado personas de movilidad reducida, WiFi gratis, Teléfono, Servicio de despertador, TV, Minibar, Servicio de planchado, Ducha, Servicio de despertador / alarma, Armario, Vistas, Toallas, Suelo de baldosa / mármol, Servicio de habitaciones, Parking gratis, Baño privado, Parking en un garaje, Recepción 24 horas, Ascensor, Toda la unidad en la planta baja, WC, Aire acondicionado, Habitaciones familiares, Portugués, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/106488235.jpg?k=bc0e557138cf7925503d120d4fe742f3422c796cbe1298e80d1706af1c4f6e73&o=&hp=1,Uberlândia,Brasil
