hotel,hotel_url,description,popular_facilities,highres_url,city,country
Coral View Beach Resort,https://www.booking.com/hotel/hn/coral-view-beach-resort.es.html?aid=2410095,"El Coral View Beach Resort está situado en la isla tropical de Utila, rodeado de una gran variedad de arrecifes de coral y aguas caribeñas, y ofrece centro de buceo, escuela, restaurante (Shell Del Mar), bar frente al mar (Reef Bar), 2 piscinas, tienda de buceo y conexión WiFi gratuita.

Las habitaciones incluyen baño privado y ducha de agua caliente, así como el uso de nuestro equipo de snorkel y kayak.

El establecimiento ofrece servicio de traslado gratuito. En los alrededores se pueden practicar diversas actividades, como equitación y snorkel.

Se puede llegar al Coral View Beach Resort desde el muelle municipal de Utila, girar a la izquierda (este) a lo largo de la calle principal y es un paseo rápido de 8 minutos en tuk-tuk (taxi) o unos 20 minutos a pie.","Fax / fotocopiadora, Baño privado, Registro de entrada / salida privado, Salas de reuniones / banquetes, Playa, Bar, Ruta de bares, Mobiliario exterior, Piscina de agua salada, Tour o clase sobre cultura local, Piscina al aire libre, WiFi gratis, Submarinismo, Terraza / solárium, Traslado aeropuerto (gratis), Proporciona factura, Papel higiénico, Ropa de cama, Servicio de despertador, Habitaciones sin humo, Desayuno en la habitación, WC, Servicio de traslado, Senderismo, Servicio de conserjería, Almuerzos para llevar, Enchufe cerca de la cama, Suelo de madera o parquet, Ducha, Parking adaptado para personas de movilidad reducida, Situado frente a la playa, Zona TV / salón de uso compartido, Zona de pícnic, Clases de cocina, Servicio de limpieza diario, Información turística, Fruta, Tumbonas/sillas de playa, Menú para niños, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Parking gratis, Traslado aeropuerto, Piscina con vistas, Seguridad 24 horas, Cámaras de seguridad en las zonas comunitarias, Guardaequipaje, Servicio de lavandería, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Zona privada de playa, Boles para mascotas, Extintores, Alquiler de coches, Registro de entrada y salida exprés, Habitaciones familiares, Desayuno, Español, Alarma de seguridad, Juegos de mesa / puzles, Menús para dietas especiales (bajo petición), Toallas, Bañera o ducha, Snorkel, Restaurante, Abierta todo el año, Tours a pie, Servicio de planchado, Cambio de moneda, Pista de tenis, Happy hour, Equitación, Clases de yoga, Para todas las edades, Instalaciones para deportes acuáticos en el alojamiento, Ciclismo, Armario, Bar en la piscina, Inglés",https://cf.bstatic.com/xdata/images/hotel/max1024x768/383105358.jpg?k=c48845002d2ee7883475d2ca8dbcc1e22da03f948476d7a37e5c5e95e809d0d4&o=&hp=1,Utila,Honduras
MANURII Garden,https://www.booking.com/hotel/hn/colibri-hill.es.html?aid=2410095,"El MANURII Garden dispone de 8 habitaciones y 2 apartamentos. Cuenta con piscina, bar, restaurante, un impresionante jardín tropical y habitaciones con aire acondicionado y baño privado.

Algunas habitaciones tienen balcón con vistas al mar. Este hotel de propiedad familiar combina la cultura honduresa con la cultura alemana.

El MANURII Garden se encuentra en un oasis verde, a solo unos pasos de la concurrida calle principal, con sus animados bares y restaurantes. El MANURII Garden es la eponym del hotel y ofrece la diversidad de colibríes todos los días.

El MANURII Garden se encuentra en Utila, la más pequeña de las islas Bay, en el Caribe. Es famoso por su buceo en el segundo arrecife más grande del mundo. La Ceiba está a 40 km del hotel.

El hotel está a solo 600 metros de la terraza principal del ferry.","Papel higiénico, Ropa de cama, Vistas al jardín, Fax / fotocopiadora, Baño privado, Cámaras de seguridad fuera del alojamiento, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Salas de reuniones / banquetes, Juegos de mesa / puzles, Seguridad 24 horas, Vistas, Chimenea exterior, Horario de apertura, Toallas, Bañera o ducha, WC, Masajes, Bar, Zona de fumadores, Servicio de conserjería, Enchufe cerca de la cama, Terraza, Ducha, Suelo de madera o parquet, Abierta todo el año, Jardín, Llave de acceso, Mobiliario exterior, Zona de pícnic, Parking en la calle, Acceso a pisos superiores solo mediante escaleras, Piscina pequeña, Clases de yoga, Alemán, Boles para mascotas, Información turística, Extintores, Piscina al aire libre, Solo para adultos, WiFi gratis, Ventilador, Perchero, Productos de limpieza, Terraza / solárium, Piscina infinita, Armario, Bar en la piscina, Inglés, Balcón, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/370721964.jpg?k=9e0d1823540018bb102913b2585233c24f66188fcc981d15c53231782d7eab76&o=&hp=1,Utila,Honduras
Moon Apartments,https://www.booking.com/hotel/hn/moon-apartments.es.html?aid=2410095,"Moon Apartments está en Útila, a 8 min a pie de Playa Bando y a 1,5 km de Playa de Chepes, y ofrece alojamiento con wifi gratis, aire acondicionado, piscina al aire libre y terraza.

También hay una cocina equipada con fogones en algunas unidades.

El aeropuerto (Aeropuerto de Utila) está a pocos pasos.","Ropa de cama, Papel higiénico, Baño privado, Aire acondicionado, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Canales por cable, Cámaras de seguridad en las zonas comunitarias, Toallas, WC, Nevera, Terraza, Abierta todo el año, Suelo de madera o parquet, Ducha, Prohibido fumar en todo el alojamiento, Piscina pequeña, Microondas, Para todas las edades, Piscina al aire libre, Extintores, WiFi gratis, Tetera / cafetera, TV, Inglés, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/357614487.jpg?k=a6ea976357857620b84aaa7d54255a60588f68b02f2804ad4f0751b989c45a2f&o=&hp=1,Utila,Honduras
Sea Eye Hotel - Tropical Building,https://www.booking.com/hotel/hn/sea-eye-i.es.html?aid=2410095,"El Sea Eye I está situado en Utila, a solo 10 minutos a pie de Zona Viva, y ofrece zona de playa privada y vistas a la laguna. Hay conexión WiFi gratuita.

Las habitaciones disponen de TV por cable, aire acondicionado y baño privado con bañera o ducha y artículos de aseo gratuitos. Además, tienen vistas al jardín. Incluyen ropa de cama y ventilador.

El Sea Eye I cuenta con jardín y terraza. En el alojamiento y sus alrededores se pueden practicar diversas actividades, como golf, ciclismo y equitación. También tiene aparcamiento gratuito.

El establecimiento se encuentra a solo 3 minutos a pie de la playa de Bando y a 5 minutos en coche del aeropuerto de Utila.","Papel higiénico, Ropa de cama, Vistas al jardín, Inglés, Baño privado, Vino / champán, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Suelo de baldosa / mármol, Traslado aeropuerto, Campo de golf (a menos de 3 km), Noches de cine, Sombrillas, Seguridad 24 horas, TV de pantalla plana, Canales por cable, Playa, Toallas, Bañera o ducha, WC, Bar, Guardaequipaje, Nevera, Restaurante, Servicio de conserjería, Ruta de bares, Terraza, Artículos de aseo gratis, Ducha, Situado frente a la playa, Jardín, Mobiliario exterior, Happy hour, Zona privada de playa, Equitación, Menú para niños, Zona de pícnic, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Tour o clase sobre cultura local, Desayuno fabuloso, WiFi gratis, Música / espectáculos en directo, Submarinismo, Ciclismo, Ventilador, Toallas / sábanas (por un suplemento), Terraza / solárium, Tumbonas/sillas de playa, Traslado aeropuerto (gratis), Armario, Habitaciones familiares, Pesca, TV, Balcón, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/441901224.jpg?k=3a2e1e135ecaae90f04686e2c9005b3c6d24d64181ad15d32eed3b756a2e66fe&o=&hp=1,Utila,Honduras
Eastern Harbor Resort,https://www.booking.com/hotel/hn/eastern-harbor-resort.es.html?aid=2410095,"Eastern Harbor Resort está en Útila, a 9 min a pie de Playa Bando, y dispone de alojamiento con jardín, parking privado gratis y terraza. Este alojamiento libre de humo se encuentra a 17 min a pie de Playa de Chepes.

Las unidades de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También cuentan con wifi gratis, y algunas de las habitaciones ofrecen vistas al mar. En el resort, cada habitación cuenta con ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de Utila) está a pocos pasos.","Papel higiénico, Ropa de cama, Vistas al jardín, Baño privado, Aire acondicionado, Parking gratis, Habitaciones sin humo, Vistas a un patio interior, Secador de pelo, TV de pantalla plana, Toallas, WC, Terraza, Ducha, Artículos de aseo gratis, Jardín, Prohibido fumar en todo el alojamiento, WiFi gratis, Ventilador, TV, Habitaciones familiares, Inglés, Español",Error al acceder a la página del hotel.,Utila,Honduras
Sea Eye Hotel - Laguna Building,https://www.booking.com/hotel/hn/sea-eye-ii.es.html?aid=2410095,"El Sea Eye II se encuentra en Útila y ofrece vistas al océano y a la laguna. Hay conexión WiFi y aparcamiento privado, ambos gratuitos.

Todas las habitaciones gozan de vistas al jardín e incluyen TV por cable, aire acondicionado, ropa de cama, ventilador, así como baño privado con ducha y artículos de aseo gratuitos.

El Sea Eye II dispone de jardín y terraza. Tanto en el alojamiento como en sus alrededores es posible practicar diversas actividades, como golf, ciclismo y equitación.

La Zona Viva está a 10 minutos a pie, mientras que la playa de Bando se ubica a solo 3 minutos a pie. El aeropuerto de Útila se halla a 5 minutos en coche.","Papel higiénico, Ropa de cama, Vistas al jardín, Inglés, Baño privado, Vino / champán, Aire acondicionado, Registro de entrada / salida privado, Habitaciones sin humo, Suelo de baldosa / mármol, Patio, Campo de golf (a menos de 3 km), Sombrillas, Seguridad 24 horas, Canales por cable, Playa, Toallas, Bañera o ducha, Snorkel, WC, Bar, Nevera, Restaurante, Servicio de conserjería, Terraza, Ducha, Artículos de aseo gratis, Alquiler de bicicletas, Jardín, Mobiliario exterior, Prohibido fumar en todo el alojamiento, Zona privada de playa, Equitación, Zona de pícnic, Servicio de limpieza diario, Información turística, Fruta, Alquiler de coches, Extintores, Discoteca / DJ, WiFi gratis, Submarinismo, Ciclismo, Toallas / sábanas (por un suplemento), Terraza / solárium, Tumbonas/sillas de playa, Armario, Habitaciones familiares, Pesca, TV, Menú para niños, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/29965957.jpg?k=cf1544e15d56cb1174625a74a4bcbeb57c16663d2d194d99f9105d10ce6ffc40&o=&hp=1,Utila,Honduras
Fenix Hotel & Hostel,https://www.booking.com/hotel/hn/fenix-amp-hostel.es.html?aid=2410095,"Fenix Hotel & Hostel está en Útila, a 16 min a pie de Playa de Chepes, y dispone de alojamiento con wifi gratis y parking privado gratis. El alojamiento ofrece cocina compartida y servicio de organización de tours.

Playa Bando está a 19 min a pie del alojamiento. El aeropuerto más cercano (Aeropuerto de Utila) está a pocos pasos.","Papel higiénico, WC, Cocina compartida, Servicio de traslado, Parking gratis, Servicio de limpieza diario, Información turística, Alquiler de coches, Extintores, Inglés, Ducha, Alquiler de bicicletas, Español, WiFi gratis",https://cf.bstatic.com/xdata/images/hotel/max1024x768/583631182.jpg?k=9915e6d5d97c142f7d6e3b6ce2b791052066d7b927b024d772993310491b6164&o=&hp=1,Utila,Honduras
Mango Inn Resort,https://www.booking.com/hotel/hn/mango-inn.es.html?aid=2410095,"El Hotel Mango Inn cuenta con piscina al aire libre y restaurante y se encuentra en Utila, a solo 500 metros de la playa de la playa Chepes. Ofrece conexión Wi-Fi gratuita y mostrador de información turística que puede organizar actividades de buceo y senderismo.

Las habitaciones están equipadas con aire acondicionado, TV por cable, balcón y baño privado con artículos de aseo gratuitos. La mayoría tienen vistas a los jardines.

El Hotel Mango Inn dispone de servicio de enlace con el aeropuerto, jardín, bar y mostrador de información turística, entre otras instalaciones. En el establecimiento y sus alrededores pueden practicarse varias actividades, como ciclismo.

El centro de la ciudad está a solo 5 minutos a pie, mientras que el aeropuerto de Utila se encuentra a 5 minutos en coche. Se ofrece aparcamiento.","Papel higiénico, Ropa de cama, Vistas al jardín, Inglés, Baño privado, Aire acondicionado, Registro de entrada / salida privado, Parking gratis, Habitaciones sin humo, Traslado aeropuerto, Juegos de mesa / puzles, Secador de pelo, Seguridad 24 horas, Canales por cable, Vistas, Toallas, Snorkel, WC, Bar, Restaurante, Buen desayuno, Terraza, Ducha, Artículos de aseo gratis, Suelo de madera o parquet, Parking adaptado para personas de movilidad reducida, Abierta todo el año, Jardín, Mosquitera, Equitación, Servicio de limpieza diario, Información turística, Para todas las edades, Piscina al aire libre, Servicio de habitaciones, WiFi gratis, Submarinismo, Ciclismo, Perchero, Toallas / sábanas (por un suplemento), Armario, Habitaciones familiares, TV, Balcón, Proporciona factura, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/430903066.jpg?k=7873f10adb28182f3bd54178941bd6db31d025197a5f22c3abea065ec5ea8b20&o=&hp=1,Utila,Honduras
Utila Lodge,https://www.booking.com/hotel/hn/utila-lodge.es.html?aid=2410095,"Utila Lodge se encuentra en Útila, a 8 min a pie de Playa de Chepes y a 1,5 km de Playa Bando, y ofrece wifi gratis en todo el alojamiento. El hotel tiene terraza, vistas al mar, restaurante y bar.

Todas las unidades en el hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana con canales por cable, caja fuerte y baño privado con ducha.

Puedes jugar al billar en Utila Lodge.

El aeropuerto más cercano (Aeropuerto de Utila) está a pocos pasos del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Buffet para niños, Servicio de despertador / alarma, Papel higiénico, Caja fuerte, Servicio de despertador, Inglés, Baño privado, Solárium, Vino / champán, Aire acondicionado, Parking gratis, Habitaciones sin humo, Zona de comedor exterior, Traslado aeropuerto, Juegos de mesa / puzles, Sala de juegos, Patio, Adaptado para sillas de ruedas, TV de pantalla plana, Canales por cable, Vistas, Snorkel, WC, Bar, Entrada privada, Senderismo, Restaurante, Enchufe cerca de la cama, Servicio de lavandería, Terraza, Ducha, Suelo de madera o parquet, Vistas al mar, Lavadora, Zona de comedor, Cambio de moneda, Mobiliario exterior, Happy hour, Mesa de comedor, Equitación, Menú para niños, Zona de pícnic, Parking en la calle, Acceso a pisos superiores solo mediante escaleras, Servicio de limpieza diario, Adaptado personas de movilidad reducida, WiFi gratis, Tendedero, Submarinismo, Ventilador, Perchero, Billar, Productos de limpieza, Terraza / solárium, Zona de estar, Tumbonas/sillas de playa, TV, Pesca, Balcón, Desayuno, Español",https://cf.bstatic.com/xdata/images/hotel/max1024x768/98887019.jpg?k=39b6e05709029cb87fe30b1ac3034804bba8ee05662e0ee3c0b7787336116b74&o=&hp=1,Utila,Honduras
Serenity Beach Cottages,https://www.booking.com/hotel/hn/serenity-beach-cottages.es.html?aid=2410095,"El Serenity Beach Cottages se encuentra en Útila, a 37 km de La Ceiba, y cuenta con aire acondicionado. El establecimiento proporciona WiFi gratuita en todas las instalaciones.

Los alojamientos disponen de toallas, ropa de cama, zona de estar con TV de pantalla plana, zona de comedor y/o terraza, cocina con lavavajillas, horno, microondas, tostadora, cafetera y hervidor de agua y baño privado con artículos de aseo gratuitos y secador de pelo.

El Serenity Beach Cottages también tiene barbacoa y servicio de reparto de productos de alimentación.

El establecimiento ofrece servicio de alquiler de bicicletas, zona de playa privada, instalaciones para deportes acuáticos y aparcamiento privado gratuito. En las inmediaciones se puede hacer snorkel y montar a caballo. Además, hay servicio gratuito de enlace con el aeropuerto internacional Golosón, situado a 38 km del Serenity Beach Cottages.

El aeropuerto de Útila, el más cercano, queda a 3 km.","Baño privado, Registro de entrada / salida privado, Detectores de humo, Playa, Masajes, Hipoalergénico, Zona de fumadores, Nevera, Ruta de bares, Mobiliario exterior, Tostadora, WiFi gratis, Tendedero, Submarinismo, Terraza / solárium, TV, Proporciona factura, Ropa de cama, Papel higiénico, Vistas al jardín, Habitaciones sin humo, Teléfono, Secador de pelo, Vistas, WC, Servicio de traslado, Senderismo, Servicio de conserjería, Sofá, Enchufe cerca de la cama, Utensilios de cocina, Ducha, Suelo de madera o parquet, Situado frente a la playa, Zona de pícnic, Información turística, Perchero, Tumbonas/sillas de playa, Tetera / cafetera, Vistas a la montaña, Servicio de streaming (como Netflix), Aire acondicionado, Traslado aeropuerto, Patio, Lavavajillas, Servicio de lavandería, Terraza, Artículos de aseo gratis, Alquiler de bicicletas, Zona de comedor, Jardín, Cafetera, Zona privada de playa, Mesa de comedor, Servicio de entrega de comestibles, Horno, Caja fuerte para ordenador portátil, Microondas, Extintores, Cocina, Secadora de ropa, Fogones, Zona de estar, Habitaciones familiares, Caja fuerte, Inglés, Zona de comedor exterior, Vistas a un patio interior, Juegos de mesa / puzles, TV de pantalla plana, Sofá cama, Toallas, Hervidor eléctrico, Bañera o ducha, Snorkel, Barbacoa, Entrada privada, Pesca, Tours a pie, Vistas al mar, Lavadora, Llave de acceso, Prohibido fumar en todo el alojamiento, Equitación, Piragüismo, Instalaciones para deportes acuáticos en el alojamiento, Ciclismo, Ventilador, Armario, Independiente",https://cf.bstatic.com/xdata/images/hotel/max1024x768/87752275.jpg?k=04193c6e71c20d8894fa990c452c09fac3caed42ad925d302f908069ddd9fb01&o=&hp=1,Utila,Honduras
