hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel La Cumbrecita,https://www.booking.com/hotel/ar/la-cumbrecita.es.html?aid=2410095,"El Hotel La Cumbrecita se encuentra a 200 metros del centro de La Cumbrecita. Ofrece habitaciones y cabañas con conexión de wifi gratis y balcón privado, y dispone de un jardín con pileta y zona de parrilla, un restaurante y una cancha de tenis.

Las habitaciones del Hotel La Cumbrecita son amplias y luminosas y disponen de mesillas de noche y baño privado. Las cabañas también cuentan con minibar, microondas y reproductor de DVD.

Todos los días se sirve un desayuno buffet en el edificio principal. Los huéspedes también podrán usar la zona de parrilla de uso común o disfrutar de platos internacionales en el restaurante del alojamiento.

Hay una sala de juegos, pistas de tenis y pádel, un centro de fitness y una biblioteca.

El Hotel La Cumbrecita se encuentra a 400 metros de la parada de colectivo de La Cumbrecita y a 120 km del aeropuerto de Córdoba. Hay estacionamiento cubierto gratuito, sujeto a disponibilidad.","Seguridad las 24 horas, Valla alrededor de la pileta, Muy buen desayuno, Calefacción, Cámaras de seguridad en exterior del alojamiento, Mobiliario exterior, Bar en la pileta, Ciclismo, Mesa de pool, Zona TV/salón compartidos, Zona de juegos interior, Extintores, Sala de juegos, Equipamiento de tenis, Parrilla, Estacionamiento en un garaje, Bar, Cámaras de seguridad en áreas comunes, Solárium, Juegos de mesa/puzzles, Por temporada, Habitaciones familiares, Pesca, Check-in/check-out privado, Fax/fotocopiadora, Sillas y reposeras, Español, 2 piletas, Gimnasio, Caja fuerte, Inglés, Senderismo, Wifi gratis, Chimenea exterior, Cancha de tenis, Pileta/toallones, Ping pong, Sombrillas, Estacionamiento gratuito, Terraza/solárium, Jardín, Servicio de conserjería, Pileta con vistas, Entretenimiento nocturno, Habitaciones para no fumadores, Servicio diario de limpieza, Baño público, Salas de reuniones/banquetes, Guardaequipaje, Información turística, Para todas las edades, Prohibido fumar en todo el establecimiento, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/481394129.jpg?k=235352b86d7d3220bac5063a452dc8fa58ad71648c4bd7d8900f0eb1c805af55&o=&hp=1,Valle de la Pascua,Venezuela
Aires Serranos - Suites,https://www.booking.com/hotel/ar/aires-serranos-suites.es.html?aid=2410095,"El alojamiento Aires Serranos - Suites está ubicado en La Cumbrecita y ofrece alojamiento solo para adultos, jardín, zona de parrilla y terraza. Cada alojamiento de este hotel de 4 estrellas tiene wifi gratis y vistas a la pileta. Hay recepción 24 horas, room service y servicio de cambio de divisa.

Las habitaciones del hotel disponen de aire acondicionado, armario, hervidor de agua, microondas, heladera, caja fuerte, TV de pantalla plana, balcón y baño privado con bañera de hidromasaje. Algunas habitaciones tienen cocina con fogones. Todas las habitaciones del alojamiento Aires Serranos - Suites incluyen toallas y ropa de cama.

Se sirve un desayuno continental a diario.

El alojamiento Aires Serranos - Suites cuenta con bañera de hidromasaje. Los huéspedes del hotel pueden practicar varias actividades tanto en La Cumbrecita como en los alrededores, entre ellas senderismo.

El alojamiento Aires Serranos - Suites se encuentra a 39 km de Villa General Belgrano y a 43 km de Alta Gracia. El aeropuerto más cercano, Ingeniero Aeronáutico Ambrosio L. V. Taravella (aeropuerto internacional), está a 84 km. Se proporciona un servicio de link con el aeropuerto por un adicional.","Baño privado, Insonorización, Traslados (aeropuerto), Zona de fumadores, Proporciona factura, Heladera, Estacionamiento en un garaje, Servicio de transfer, Check-in/check-out privado, Vista al jardín, Entrada privada, Masaje de espalda, Bidé, TV, Wifi gratis, Masaje de cuello, Bañera, Terraza/solárium, Almuerzos para llevar, Masaje en pareja, Guardaequipaje, Balcón, Solo para adultos, Seguridad las 24 horas, Muy buen desayuno, Fruta, Cafetería en la propiedad, Secador de pelo, Toda la unidad está situada en planta baja, Pileta al aire libre, Aire acondicionado, Masajes, Ducha, Español, Mesa de comedor, Mosquitero, Artículos de tocador gratuitos, Senderismo, Vista, Estacionamiento gratuito, Jardín, Alarma de seguridad, Ropa de cama, Vista a la pileta, Terraza, TV de pantalla plana, Calefacción, Mobiliario exterior, Utensilios de cocina, Vista a la montaña, Productos de limpieza, Masaje de pies, Servicio de delivery de alimentos, Perchero de barral, Extintores, Enchufe cerca de la cama, Hidromasaje, Vino/Champán, Solárium, Pesca, Radio, Caja fuerte, Bañera o ducha, Sombrillas, Papel higiénico, Servicio de conserjería, Toallas, Desayuno en la habitación, Información turística, Hidromasaje/jacuzzi, Servicio a la habitación, Silla de masajes, Canales vía satélite, Pava eléctrica, Equitación, Cambio de moneda, Acceso con llave, Parrilla, Por temporada, Sillas y reposeras, Pileta/toallones, Baño, Armario, Microondas, Pileta con vistas, Habitaciones para no fumadores, Servicio diario de limpieza, Minibar, Zona de comedor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/92420620.jpg?k=1044a98d7ba1b99b807ac6d3e605137b533878366cda03419486aa246b90659a&o=&hp=1,Valle de la Pascua,Venezuela
Hotel Las Cascadas,https://www.booking.com/hotel/ar/las-cascadas.es.html?aid=2410095,"El Hotel Las Cascadas, que alberga una pileta al aire libre y un restaurante, está situado en La Cumbrecita, a 1 km de varias rutas de trekking. El restaurante ofrece cocina europea y un desayuno buffet. Además, la conexión Wi-Fi es gratuita y es posible acceder directamente al río.

Los baños son privados y cuentan con ducha y bañera. Algunas habitaciones tienen vistas a las montañas y al jardín. También se proporcionan cajas fuertes.

El Hotel Las Cascadas cuenta con jardín, bar y recepción abierta las 24 horas. Además, las instalaciones comprenden un salón de uso común con chimenea y una consigna de equipaje.

Villa General Belgrano se encuentra a 20 km de Las Cascadas.","Servicio de planchado, Calefacción, Mobiliario exterior, Zona TV/salón compartidos, Equitación, Buen desayuno, Secador de pelo, Pileta al aire libre, Por temporada, Habitaciones familiares, Ducha, Pesca, Español, Caja fuerte, Servicio de lavandería, Artículos de tocador gratuitos, Senderismo, Wifi gratis, Papel higiénico, Estacionamiento gratuito, Baño, Jardín, Acceso con tarjeta, Baño público, Servicio diario de limpieza, Toallas, Guardaequipaje, Información turística, Acceso a pisos superiores solo por escalera, Para todas las edades, Prohibido fumar en todo el establecimiento, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/51101885.jpg?k=9dbe05bffd00d7eca2549c6818ae55ac2b885ca4d8078fcaf52521953eac4646&o=&hp=1,Valle de la Pascua,Venezuela
Casa Raíz Cumbrecita,https://www.booking.com/hotel/ar/casa-raiz-cumbrecita.es.html?aid=2410095,"Casa Raíz Cumbrecita, que cuenta con terraza, dispone de alojamiento en La Cumbrecita con wifi gratis y vistas al jardín. El alojamiento, que se encuentra a 39 km de Brewer Park Villa General Belgrano, ofrece jardín y estacionamiento privado gratis.

El bed and breakfast cuenta con TV de pantalla plana. Hay toallas y ropa de cama en el bed and breakfast.","Baño privado, Calefacción, Portugués, Lockers, Mobiliario exterior, Zona de fumadores, Zona TV/salón compartidos, Servicio de delivery de alimentos, Proporciona factura, Extintores, Desayuno, Cambio de moneda, Acceso con llave, Parrilla, Servicio de transfer, Tours a pie, Pesca, Español, Servicio de lavandería, Senderismo, Wifi gratis, Cancha de tenis, Estacionamiento gratuito, Jardín, Habitaciones para no fumadores, Habitaciones insonorizadas, Salas de reuniones/banquetes, Guardaequipaje, Información turística, Prohibido fumar en todo el establecimiento, Terraza, Solo para adultos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/555816278.jpg?k=58bc2b6e20041bceef09c11a9eb4336eea452fd30c697f14c06618a21d6dfdc6&o=&hp=1,Valle de la Pascua,Venezuela
Cucu Haus Hostel,https://www.booking.com/hotel/ar/cucu-haus-hostel.es.html?aid=2410095,"El Cucu Haus Hostel se encuentra en La Cumbrecita y alberga un jardín. El alojamiento cuenta con cocina compartida y salón compartido.

Las habitaciones del hostel están equipadas con baño privado y ropa de cama.

El Cucu Haus Hostel sirve un desayuno continental todas las mañanas.

Villa General Belgrano se encuentra a 23 km del alojamiento, mientras que Santa Rosa de Calamuchita está a 30 km. El aeropuerto más cercano es el aeropuerto internacional Ingeniero Aeronáutico Ambrosio L.V. Taravella, ubicado a 84 km del Cucu Haus Hostel.","Calefacción, Lockers, Cámaras de seguridad en exterior del alojamiento, Zona TV/salón compartidos, Proporciona factura, Extintores, Enchufe cerca de la cama, Ventilador, Cámaras de seguridad en áreas comunes, Toallas/sábanas (cargos extra), Juegos de mesa/puzzles, Ducha, Español, Wifi gratis, Papel higiénico, Baño, Jardín, Ropa de cama, Cocina compartida",https://cf.bstatic.com/xdata/images/hotel/max1024x768/524366740.jpg?k=8c1b65312820887c237cf1506eeac9377c8f1deafb8a1666581561ecb9705a92&o=&hp=1,Valle de la Pascua,Venezuela
Balcones de La Cumbrecita,https://www.booking.com/hotel/ar/balcones-de-la-cumbrecita.es.html?aid=2410095,"El Balcones de La Cumbrecita se encuentra en La Cumbrecita, a 100 metros de la terminal de autobuses y a 200 metros del centro de la localidad. El alojamiento ofrece vistas panorámicas a las montañas.

Las habitaciones disponen de TV, aire acondicionado, minibar, cafetera y baño privado con bañera de hidromasaje. Además, incluyen reproductor de DVD y TV por cable.

El Balcones de La Cumbrecita ofrece una bañera de hidromasaje con vistas panorámicas, servicio de recepción 24 horas, jardín y mostrador de información turística.

El alojamiento cuenta con una casa club con zona de parrilla y una cafetería.

El aeropuerto de Córdoba se encuentra a 120 km.","Baño privado, Hidromasaje/jacuzzi, Calefacción, Canales por cable, Vista a la montaña, Pava eléctrica, Desayuno, Reproductor de DVD, Cafetera, Hidromasaje, Parrilla, Recepción 24 horas, Aire acondicionado, Español, TV, Caja fuerte, Mosquitero, Artículos de tocador gratuitos, Wifi gratis, Estacionamiento gratuito, Baño, Armario, Jardín, Habitaciones para no fumadores, Desayuno en la habitación, Minibar, Información turística, Balcón, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/21920671.jpg?k=667f34ecdfb77de883bab6a3bd890b7f4a73521ea6950ec8086add4b134507cc&o=&hp=1,Valle de la Pascua,Venezuela
Descanso el yacare,https://www.booking.com/hotel/ar/descanso-el-yacare.es.html?aid=2410095,"Descanso el yacare es un alojamiento con wifi gratis y vistas al jardín que está en La Cumbrecita. El departamento está a 38 km de Brewer Park Villa General Belgrano.

El departamento tiene balcón, 1 dormitorio, sala de estar y cocina bien equipada. Hay TV de pantalla plana.

El aeropuerto (Aeropuerto de Valle de Conlara) está a 135 km.","Independiente, Cocina, Calefacción, Utensilios de cocina, Zona de fumadores, Vista a la montaña, Productos de limpieza, Italiano, Fruta, Zona de estar, Horno, Desayuno, Ventilador, Acceso con llave, Heladera, Estacionamiento en un garaje, Patio, Juegos de mesa/puzzles, Muebles de exterior, Ducha, Vista al jardín, Sofá, Entrada privada, Español, Bidé, TV, Kitchenette, Mesa de comedor, Inglés, Juegos de mesa/rompecabezas, Servicio de streaming (ej.: Netflix), Artículos de tocador gratuitos, Wifi gratis, Chimenea exterior, Vista, Papel higiénico, Estacionamiento gratuito, Armario, Jardín, Vista a un patio interno, Habitaciones para no fumadores, Tostadora, Toallas, Desayuno en la habitación, Acceso a pisos superiores solo por escalera, Ropa de cama, Zona de comedor, Prohibido fumar en todo el establecimiento, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/576626359.jpg?k=d7e67165606eb19efb5ef0f2033588601f68daec2ffe725588d99203614c580f&o=&hp=1,Valle de la Pascua,Venezuela
Casa de Montaña Paradu,https://www.booking.com/hotel/ar/casa-de-montana-paradu.es.html?aid=2410095,"Casa de Montaña Paradu, que cuenta con vistas al jardín, se encuentra en La Cumbrecita, a 40 km de Brewer Park Villa General Belgrano. Este alojamiento ofrece pileta privada, wifi gratis y estacionamiento privado gratis.

El departamento dispone de terraza, 2 dormitorios, sala de estar y cocina bien equipada.

El aeropuerto más cercano (Aeropuerto de Valle de Conlara) está a 136 km.","Estacionamiento gratuito, Vista al jardín, Cocina, Prohibido fumar en todo el establecimiento, Calefacción, Español, Inglés, Parrilla, Wifi gratis, Vista, Chimenea, Pileta privada, Terraza, Pileta",https://cf.bstatic.com/xdata/images/hotel/max1024x768/579300343.jpg?k=d24763cf441c1e4d6d1e92d300eccd7f000446f7289f118f6dfd325930c19e95&o=&hp=1,Valle de la Pascua,Venezuela
Casa La Boticaria,https://www.booking.com/hotel/ar/casa-la-boticaria.es.html?aid=2410095,"Casa La Boticaria está en La Cumbrecita y ofrece alojamiento con balcón y wifi gratis. El alojamiento ofrece vistas al jardín y está a 39 km de Brewer Park Villa General Belgrano.

El departamento tiene terraza, 2 dormitorios, sala de estar y cocina bien equipada.

El aeropuerto (Aeropuerto de Valle de Conlara) está a 135 km.","Estacionamiento gratuito, Vista al jardín, Cocina, Calefacción, Español, Kitchenette, Inglés, Wifi gratis, Vista, Prohibido fumar en todo el establecimiento, Balcón, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528183852.jpg?k=667768588a6b31bc42fa80cefa194acb8e24af11594cdd3dbafa19dcfec8476b&o=&hp=1,Valle de la Pascua,Venezuela
Complejo Apus,https://www.booking.com/hotel/ar/complejo-apus.es.html?aid=2410095,"El Complejo Apus es un alojamiento con terraza situado en La Cumbrecita. Cuenta con habitaciones familiares y parrilla. También tiene pileta al aire libre, jardín y habitaciones con vistas a la pileta.

Las habitaciones del hotel disponen de balcón con vistas a la montaña. Todas las habitaciones del Complejo Apus incluyen aire acondicionado y TV de pantalla plana.

Villa General Belgrano está a 39 km y Alta Gracia, a 41 km. El aeropuerto internacional Ingeniero Aeronáutico Ambrosio L.V. Taravella, el más cercano, se encuentra a 83 km del Complejo Apus.","Baño privado, Seguridad las 24 horas, Vista a un punto turístico, Calefacción, Cámaras de seguridad en exterior del alojamiento, Tetera/cafetera en todas las habitaciones, Mobiliario exterior, Utensilios de cocina, Vista a la montaña, Canales por cable, Productos de limpieza, Canales vía satélite, Pava eléctrica, Perchero de barral, Tetera/Cafetera, Proporciona factura, Extintores, Piso de madera o parquet, Zona poco profunda, Desayuno, Enchufe cerca de la cama, Cambio de moneda, Heladera, Parrilla, Secador de pelo, Pileta al aire libre, Cámaras de seguridad en áreas comunes, Aire acondicionado, Por temporada, Habitaciones familiares, Ducha, Entrada privada, Sillas y reposeras, Español, Bidé, TV, Servicio de streaming (ej.: Netflix), Artículos de tocador gratuitos, Mosquitero, Bañera o ducha, Vista, Pileta/toallones, Sombrillas, Papel higiénico, Estacionamiento gratuito, Baño, Armario, Terraza/solárium, Jardín, Alarma de seguridad, Microondas, Pileta con vistas, Habitaciones para no fumadores, Detector de humo, Toallas, Información turística, Ropa de cama, Vista a la pileta, Para todas las edades, Prohibido fumar en todo el establecimiento, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/269882922.jpg?k=361e3b8baf1d1f3d94328f70474e7bbdd15f1fe9a45235b8ce73508bf5e3096e&o=&hp=1,Valle de la Pascua,Venezuela
