hotel,hotel_url,description,popular_facilities,highres_url,city,country
HOTEL REAL DEL VALLE,https://www.booking.com/hotel/co/real-del-valle.es.html?aid=2410095,"HOTEL REAL DEL VALLE está en Valledupar y ofrece alojamiento con aire acondicionado y wifi gratis, además de acceso a la terraza.

En el apartahotel se sirve cada mañana un desayuno continental.

El aeropuerto más cercano (Aeropuerto Alfonso López Pumarejo) está a 3 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Baños públicos, Habitaciones sin humo, Adaptado para sillas de ruedas, Recepción 24 horas, Cenas temáticas, Inglés, Baño privado, Solárium, Centro de negocios, Aire acondicionado, TV, Extintores, Armario, Traslado aeropuerto, Menú para niños, Información turística, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Parking en un garaje, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Detectores de humo, Proporciona factura, Música / espectáculos en directo, Zona de fumadores, Mobiliario exterior, Habitaciones insonorizadas, Habitaciones hipoalergénicas, Baño al aire libre, Servicio de lavandería, Salas de reuniones / banquetes, Máquina expendedora (bebidas), Terraza / solárium, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/561180494.jpg?k=e154888e691c62d795b318c7d7bc03c58023a6fde1c7e13644548580a9ed0512&o=&hp=1,Valledupar,Colombia
HOTEL NABU VALLEDUPAR,https://www.booking.com/hotel/co/nabu-valledupar.es.html?aid=2410095,"HOTEL NABU VALLEDUPAR se encuentra en Valledupar. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis. El hotel dispone de habitaciones familiares.

Todas las unidades del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones también tienen balcón.

En el hotel se sirve todos los días un desayuno americano.

HOTEL NABU VALLEDUPAR ofrece terraza solárium.

El aeropuerto más cercano (Aeropuerto Alfonso López Pumarejo) está a 4 km.","Bañera o ducha, Teléfono, Canales de pago, Recepción 24 horas, Baño privado, Aire acondicionado, TV, Información turística, Toda la unidad accesible en silla de ruedas, Registro de entrada / salida privado, Muy buen desayuno, Acceso a pisos superiores en ascensor, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Plancha para ropa, Guardaequipaje, Servicio de lavandería, Terraza / solárium, Restaurante, TV de pantalla plana, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/548591575.jpg?k=7a21eb9eab05c631ad82d4ebf1b142891d15f8349302566b1218634db8aec0a7&o=&hp=1,Valledupar,Colombia
Hotel La Leyenda Vallenata,https://www.booking.com/hotel/co/la-leyenda-valledupar1.es.html?aid=2410095,"Hotel La Leyenda Vallenata dispone de habitaciones con aire acondicionado en Valledupar. El alojamiento ofrece recepción 24 horas, servicio de traslado, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones están equipadas con escritorio y TV de pantalla plana. Las habitaciones incluyen baño privado con ducha y artículos de aseo gratuitos.

El aeropuerto más cercano (Aeropuerto Alfonso López Pumarejo) está a 3 km del alojamiento.","Prohibido fumar en todo el alojamiento, Baños públicos, Teléfono, Habitaciones sin humo, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Cenas temáticas, Ventilador, Baño privado, Aire acondicionado, Extintores, TV, Armario, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Servicio de conserjería, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Proporciona factura, Parking privado, Habitaciones insonorizadas, Desayuno en la habitación, Habitaciones hipoalergénicas, Escritorio, Guardaequipaje, Servicio de lavandería, WC, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/399670288.jpg?k=cab40b316793c4736c53588283191e483fffb07faae0a3c4194689192ae80d2d&o=&hp=1,Valledupar,Colombia
BOUTIQUE Hotel Balop,https://www.booking.com/hotel/co/hotel-balop.es.html?aid=2410095,"BOUTIQUE Hotel Balop se encuentra en Valledupar y ofrece jardín. Este alojamiento ofrece cocina compartida y salón de uso común, además de wifi gratis en todo el alojamiento. Hay un restaurante de cocina americana y parking privado gratis.

Las habitaciones incluyen aire acondicionado, TV de pantalla plana con canales por cable, nevera, cafetera, ducha, artículos de aseo gratuitos y escritorio. El hotel ofrece algunas habitaciones con vistas a la ciudad, y todas tienen baño privado y armario. En BOUTIQUE Hotel Balop, cada habitación está equipada con ropa de cama y toallas.

En el alojamiento se puede disfrutar de un desayuno americano.

El personal de recepción puede dar consejos sobre la zona.

El aeropuerto más cercano (Aeropuerto Alfonso López Pumarejo) está a 4 km del alojamiento.","Alarma de seguridad, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Baño privado, Jardín, Extintores, Parking gratis, Ropa de cama, Cocina compartida, Zona de cocina, Proporciona factura, Mobiliario exterior, Cama plegable, Utensilios de planchado, Zona de comedor exterior, Máquina expendedora (bebidas), Zona de comedor, Restaurante, Servicio de entrega de comestibles, Vestidor, Aire acondicionado, Cocina, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Capilla, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Canales por cable, Cafetera, Vistas a un patio interior, Zona de estar, Llave de acceso, Escritorio, Cámaras de seguridad fuera del alojamiento, Lavadora, Habitaciones familiares, Plancha para pantalones, Utensilios de cocina, Papel higiénico, Fax / fotocopiadora, Suelo de baldosa / mármol, Parking en la calle, TV, Armario, Tetera / cafetera, Baño adicional, Servicio de traslado, Seguridad 24 horas, Detectores de humo, Productos de limpieza, Servicio de planchado, Guardaequipaje, WC, Microondas, Tetera/cafetera en todas las habitaciones, TV de pantalla plana, Toallas, Tendedero, Español, Nevera, Zona de fumadores, Prohibido fumar en todo el alojamiento, Vistas, Recepción 24 horas, Ventilador, Información turística, Registro de entrada / salida privado, Entrada privada, Menús para dietas especiales (bajo petición), Desayuno excepcional, Ducha, Aseo adicional, Servicio de despertador, Servicio de lavandería, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/392841180.jpg?k=b3d0fcb940af256ccf269b92e9dbc88501fe36b362b6fd15cb3b62b819e578ab&o=&hp=1,Valledupar,Colombia
Aparta Hotel El Cacique Upar,https://www.booking.com/hotel/co/aparta-el-cacique-upar.es.html?aid=2410095,"El Aparta Hotel El Cacique Upar se encuentra en Valledupar. Cuenta con restaurante, recepción 24 horas, servicio de habitaciones y WiFi gratuita en todas las instalaciones. El hotel ofrece habitaciones familiares.

Los alojamientos incluyen baño privado con artículos de aseo gratuitos, TV de pantalla plana y aire acondicionado. Algunas habitaciones tienen zona de estar.

El Aparta Hotel El Cacique Upar sirve un desayuno americano. El desayuno no está incluido y debe abonarse por separado.

San Juan del Cesar está a 42 km. El aeropuerto Alfonso López Pumarejo es el más cercano y está a 5 km del Aparta Hotel El Cacique Upar.","Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Cafetería en el alojamiento, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Mobiliario exterior, Canales por cable, Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, Restaurante, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/328635306.jpg?k=7677bb49e6ed9c1197188b73bc104ccbd954a92431770aaabf4cea80fe57e02f&o=&hp=1,Valledupar,Colombia
Hotel Metropolitano Plaza,https://www.booking.com/hotel/co/mayales-plaza.es.html?aid=2410095,"El Sociedad Hotelera Mayales Plaza SAS - Hotel Metropolitano Plaza ofrece alojamiento con aire acondicionado en Valledupar. Hay restaurante, recepción 24 horas, servicio de habitaciones y WiFi gratuita en todas las zonas. El hotel tiene habitaciones familiares.

Las habitaciones de este hotel están equipadas con armario, TV de pantalla plana y baño privado.

El Sociedad Hotelera Mayales Plaza SAS sirve un desayuno americano por la mañana.

El alojamiento tiene terraza.

El Sociedad Hotelera Mayales Plaza SAS - Hotel Metropolitano Plaza se sitúa a 42 km de San Juan del Cesar y a 1,3 km de Bélgica. El aeropuerto Alfonso López Pumarejo es el más cercano y está a 4 km del hotel.","Secador de pelo, Terraza, Vestidor, Alarma de seguridad, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Minibar, Parking en la calle, Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Vino / champán, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Desayuno fabuloso, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Zona de fumadores, Mobiliario exterior, Canales por cable, Tarjeta de acceso, Desayuno en la habitación, Servicio de planchado, Servicio de despertador, Guardaequipaje, Servicio de lavandería, WC, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Canales vía satélite, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Vistas a la ciudad, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/218787718.jpg?k=4765a884c08c6fa4899ee65f6c2c3874d73e2eda3cce865e054a96984b946d26&o=&hp=1,Valledupar,Colombia
Sonesta Valledupar,https://www.booking.com/hotel/co/sonesta-valledupar.es.html?aid=2410095,"Este hotel moderno se encuentra a 4 km de la Plaza Alfonso López y cuenta con vistas panorámicas a la Sierra Nevada de Santa Marta. Hay WiFi gratuita y aparcamiento gratuito.

Las habitaciones del Sonesta Valledupar, de 5 estrellas, son amplias y tienen aire acondicionado, TV por cable, teléfono, minibar, tonos neutros, ventanas amplias y escritorio con silla ergonómica.

El restaurante Mamankana ofrece desayuno buffet y especialidades colombianas caribeñas a la carta en una sala luminosa con vistas al jardín y decoración típica de la zona. El bar Nabusimake prepara bebidas exóticas, como el martini de tamarindo, y tiene vistas a la Sierra Nevada de Santa Marta.

El Sonesta Valledupar cuenta con zona de fitness y recepción abierta las 24 horas.

El hotel se encuentra en el centro, dentro del centro comercial Guatapuri Plaza. El aeropuerto Alfonso López está a 15 minutos en coche.","Secador de pelo, Prohibido fumar en todo el alojamiento, Caja fuerte, Teléfono, Habitaciones sin humo, Minibar, Recepción 24 horas, Inglés, Baño privado, Centro de negocios, Aire acondicionado, TV, Parking gratis, Servicio de conserjería, Desayuno fabuloso, WiFi gratis, Ducha, Servicio de habitaciones, Plancha para ropa, Reloj despertador, Radio, Canales por cable, Piscina al aire libre, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, WC, Bar, Restaurante, Abierta todo el año, Adaptado personas de movilidad reducida, Español, Ascensor, Artículos de aseo gratis, Fax / fotocopiadora",https://cf.bstatic.com/xdata/images/hotel/max1024x768/252678295.jpg?k=bdd1f855f17fe4cabde648e06ae8314fbacd4eaf6e1dc057b02b60a4accab463&o=&hp=1,Valledupar,Colombia
Hotel Encanto Vallenato,https://www.booking.com/hotel/co/encanto-vallenato.es.html?aid=2410095,"Hotel Encanto Vallenato ofrece alojamiento en Valledupar. Hay un restaurante de cocina americana y parking privado gratis.

Todas las habitaciones de este alojamiento están equipadas con cafetera. Las habitaciones de este alojamiento disponen de wifi gratis y de baño privado equipado con bidet y artículos de aseo gratuitos. Algunas de las habitaciones cuentan con terraza. En el hotel, las habitaciones cuentan con ropa de cama y toallas.

En Hotel Encanto Vallenato se puede disfrutar de un desayuno a la carta.

En la recepción 24 horas, el personal habla inglés y español.

El aeropuerto (Aeropuerto Alfonso López Pumarejo) está a 2 km.","Desayuno, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Cafetería en el alojamiento, Muebles de exterior, Recepción 24 horas, Ventilador, Calefacción, Baño privado, Aire acondicionado, Extintores, Inglés, TV, Armario, Menú para niños, Perchero, Información turística, Servicio de limpieza en seco, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Ropa de cama, Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Cocina compartida, Servicio de habitaciones, Mesa de comedor, Zona de cocina, Proporciona factura, Barandillas protectoras para bebés, Zona de fumadores, Tours a pie, Cafetera, Bidet, Zona de estar, Servicio de lavandería, WC, Zona de comedor exterior, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Zona de comedor, Restaurante, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/575726582.jpg?k=cc43aff5a52e5f6c57a85cc2ae149bd74474b4fe99c91c2ac8f8661f55139af4&o=&hp=1,Valledupar,Colombia
Hotel Boutique Betania,https://www.booking.com/hotel/co/boutique-betania.es.html?aid=2410095,"Hotel Boutique Betania se encuentra en Valledupar. Este hotel de 3 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay terraza, wifi gratis y parking privado gratis.

El aeropuerto más cercano (Aeropuerto Alfonso López Pumarejo) está a 4 km del alojamiento.","Terraza, Prohibido fumar en todo el alojamiento, Parking gratis, Habitaciones sin humo, Habitaciones familiares, Español, Recepción 24 horas, WiFi gratis, Aire acondicionado, Servicio de habitaciones",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582112062.jpg?k=0a4e41bbc1e9becadf01d608632d4758da1b85529e7403875444371acc63d141&o=&hp=1,Valledupar,Colombia
Casa Valledupar,https://www.booking.com/hotel/co/casa-valledupar-valledupar2.es.html?aid=2410095,"Casa Valledupar dispone de alojamiento con aire acondicionado en Valledupar. Hay terraza, wifi gratis y parking privado gratis.

En el hostal o pensión, las habitaciones están equipadas con armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Las unidades cuentan con nevera.

El aeropuerto más cercano (Aeropuerto Alfonso López Pumarejo) está a 4 km.","Terraza, Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Cambio de moneda, Inglés, Baño privado, Aire acondicionado, Armario, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Ropa de cama, WiFi gratis, Ducha, Habitaciones insonorizadas, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Nevera, Utensilios de cocina, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/582058547.jpg?k=dae00944833101aedef2746a9752ada177b4e49619f36fc3febdc357132fcad8&o=&hp=1,Valledupar,Colombia
