hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Sunny,US$42,"9,3",Fantástico,9,https://cf.bstatic.com/xdata/images/hotel/max1024x768/515924474.webp?k=6bcc2bc7af8a5d30548d47ccdefac95972023bdfc6764401ba742fc04136535b&o=,https://www.booking.com/hotel/ar/sunny-villa-la-angostura1.es.html?aid=2410095,"Ping pong, Prohibido fumar en todo el establecimiento, Información turística, Habitaciones para no fumadores, Zona TV/salón compartidos, Acceso con llave, Calefacción, Inglés, Jardín, Español, Mesa de pool, Zona de pícnic, Zona de fumadores, Italiano, Guardaequipaje, Desayuno, Habitaciones familiares, Mobiliario exterior, Chimenea exterior, Noches de películas, Wifi gratis, Galerías de arte temporarias, Servicio de lavandería, Cocina compartida, Juegos de mesa/puzzles",Villa La Angostura,Argentina,"El Sunny se encuentra en Villa La Angostura, a 22 km de Isla Victoria y a 43 km del Paso Cardenal Samoré, y ofrece vistas al jardín. Hay estacionamiento privado y wifi gratis en todas las instalaciones. El alojamiento cuenta con cocina compartida, consigna de equipaje y servicio de organización de excursiones.

Este alojamiento es para no fumadores.

Este bed and breakfast cuenta con zonas de juegos cubiertas y al aire libre. Este bed and breakfast alberga una zona de picnic al aire libre.

El Sunny se encuentra a 8,1 km del parque nacional Los Arrayanes y a 10 km del cerro Bayo. El aeropuerto más cercano es el de San Carlos de Bariloche, ubicado a 81 km."
Acceso Bayo - ubicada en el acceso al cerro bayo 3km del centro,US$109,"8,8",Fabuloso,145,https://cf.bstatic.com/xdata/images/hotel/max1024x768/350301637.webp?k=10f8a781f66479e7b5573f1c572e386b97cb0769907ee371088d06ae32b0638f&o=,https://www.booking.com/hotel/ar/acceso-bayo.es.html?aid=2410095,"Ventilador, Artículos de tocador gratuitos, Jardín, Habitaciones para no fumadores, Perchero de barral, Español, Armario, Baño privado, Muebles de exterior, TV de pantalla plana, Desayuno excepcional, Estacionamiento gratuito, Piso de baldosa/mármol, Canales vía satélite, Calefacción, Bañera",Villa La Angostura,Argentina,"El Acceso Bayo está situado en Villa La Angostura, a 26 km del Paso Cardenal Samoré y a 30 km de la península de Huemul. Todas las habitaciones cuentan con TV de pantalla plana vía satélite y baño privado. El cerro Bayo está a 4,2 km.

Las habitaciones incluyen armario.

El Acceso Bayo sirve un desayuno continental.

El parque nacional Los Arrayanes está a 6 km. El aeropuerto más cercano es el de San Carlos de Bariloche, ubicado a 59 km del Acceso Bayo."
Hostería Epulén by Boutique Apartments VLA,US$69,"5,9",Puntuación,7,https://cf.bstatic.com/xdata/images/hotel/max1024x768/514792844.webp?k=e818c4f30df26fd0f2f8af0a3d10eebedc5cef0db2691ad3923cf93b675f8ed7&o=,https://www.booking.com/hotel/ar/hosteria-epulen-villa-la-angostura.es.html?aid=2410095,"Prohibido fumar en todo el establecimiento, Habitaciones para no fumadores, Armario, Baño privado, Secador de pelo, Inglés, Calefacción, Bidé, Artículos de tocador gratuitos, Español, Mosquitero, Bañera o ducha, Papel higiénico, Toallas, TV, Desayuno, Proporciona factura, Wifi gratis, Ducha, Baño, Bañera",Villa La Angostura,Argentina,"La Hostería Epulén by Boutique Apartments VLA ofrece alojamiento de 2 estrellas en Villa La Angostura, a 39 km del Paso Cardenal Samoré y a 12 km del parque nacional Los Arrayanes. El alojamiento es para no fumadores y se encuentra a 26 km de Isla Victoria.

Todas las habitaciones incluyen armario y TV de pantalla plana. Las habitaciones de la Hostería Epulén by Boutique Apartments VLA disponen de wifi gratis y baño privado con bidet y artículos de aseo gratuitos.

El cerro Bayo está a 14 km. El aeropuerto más cercano es el de San Carlos de Bariloche, ubicado a 85 km de la Hostería Epulén by Boutique Apartments VLA."
Hostería Las Cumbres,US$99,"8,7",Fabuloso,418,https://cf.bstatic.com/xdata/images/hotel/max1024x768/98750171.webp?k=b776b451857f27b607480c6eeb57bf212f327eaced8da6df949a9fcc7c83c3cb&o=,https://www.booking.com/hotel/ar/hosteraas-las-cumbres.es.html?aid=2410095,"Prohibido fumar en todo el establecimiento, Información turística, Habitaciones para no fumadores, Servicio de despertador, Caja fuerte, Baño privado, Secador de pelo, Zona TV/salón compartidos, Acceso con llave, Alarma de seguridad, Calefacción, Inglés, Buen desayuno, Jardín, Cafetería en la propiedad, Español, Terraza/solárium, Zona de fumadores, Papel higiénico, Detector de humo, Cambio de moneda, Vista al jardín, Alquiler de autos, Servicio a la habitación, Guardaequipaje, Habitaciones familiares, Mobiliario exterior, TV de pantalla plana, Extintores, Estacionamiento gratuito, Wifi gratis, Servicio diario de limpieza, Ducha, Terraza, Baño, Alemán, Canales por cable, Estacionamiento en un garaje",Villa La Angostura,Argentina,"La Hostería Las Cumbres se encuentra a 900 metros del centro comercial de Villa La Angostura. Ofrece sala de estar con chimenea y habitaciones acogedoras con vistas al jardín y a las montañas.

Las habitaciones de la Hostería Las Cumbres disponen de baño privado y TV por cable.

Las Cumbres sirve un desayuno continental que incluye mermeladas caseras. Proporciona wifi gratis, zona de parrilla, calefacción y servicio de alquiler de autos y bicicletas.

Ofrece información turística y está a 2 km del lago Correntoso y a 9 km del cerro Bayo. Facilita estacionamiento privado gratuito."
Hosteria ACA al Sur,US$116,"8,4",Muy bien,180,https://cf.bstatic.com/xdata/images/hotel/max1024x768/160521210.webp?k=3cb6d700aa111ffeb61c1170eee5a3dc56a87b39b4be9be8c52c8bcc312a143d&o=,https://www.booking.com/hotel/ar/hosteria-aca-al-sur.es.html?aid=2410095,"Prohibido fumar en todo el establecimiento, Información turística, Habitaciones para no fumadores, Restaurante, Armario, Servicio de despertador, Caja fuerte, Baño privado, Secador de pelo, Servicio de despertador/Reloj despertador, Zona de juegos interior, Escritorio, Zona TV/salón compartidos, Bidé, Calefacción, Canales vía satélite, Vista a la ciudad, Inglés, Buen desayuno, Artículos de tocador gratuitos, Español, Zona de fumadores, Bañera o ducha, Patio, Teléfono, Papel higiénico, Canales de pago, Ropa de cama, Vista al jardín, Entrada privada, Sauna, Recepción 24 horas, Perchero de barral, Plancha para ropa, Toallas, Zona de estar, TV, Guardaequipaje, Habitaciones familiares, Zona de comedor, TV de pantalla plana, Piso de baldosa/mármol, Estacionamiento gratuito, Pantuflas, Wifi gratis, Libros, DVD o música para niños, Juegos de mesa/rompecabezas, Vista a un patio interno, Zona de juegos para menores, Ducha, Vista, Baño, Galerías de arte temporarias, Caja fuerte con capacidad para notebook, Enchufe cerca de la cama, Servicio de conserjería, Canales por cable, Bañera, Juegos de mesa/puzzles",Villa La Angostura,Argentina,"La Hostería ACA al Sur ofrece desayuno gratuito y conexión wifi gratis en todas las instalaciones y se encuentra en la zona comercial principal de Villa La Angostura. La terminal de micros de Villa La Angostura se sitúa a solo 50 metros.

Las elegantes habitaciones están decoradas con toques de color y muebles de madera clara y disponen de baño privado, TV, calefacción, escritorio y caja fuerte.

El alojamiento se halla a 3 km del lago Nahuel Huapi, a 5 km del lago Correntoso y a 15 km de la estación de esquí de Cerro Bayo."
Hosteria Lekun Lekun,US$90,"7,8",Bien,229,https://cf.bstatic.com/xdata/images/hotel/max1024x768/17342242.webp?k=1db5dbe34c34a5876b650198a55be240ace310fa6e5a7a781498b86df765d6fb&o=,https://www.booking.com/hotel/ar/hosteria-lekun-lekun.es.html?aid=2410095,"Prohibido fumar en todo el establecimiento, Guardaesquíes, Habitaciones para no fumadores, Información turística, Servicio de streaming (ej.: Netflix), Armario, Caja fuerte, Baño privado, Secador de pelo, Senderismo, Zona de juegos interior, Escritorio, Zona TV/salón compartidos, Bidé, Calefacción, Buceo, Inglés, Equitación, Buen desayuno, Artículos de tocador gratuitos, Jardín, Español, Spa, Terraza/solárium, Mosquitero, Pesca, Bañera o ducha, Playa, Papel higiénico, Check-in/check-out privado, Ropa de cama, Vista al jardín, Sauna, Ciclismo, Esquí, Recepción 24 horas, Perchero de barral, Balcón, Kayaking, Toallas, TV, Guardaequipaje, TV de pantalla plana, Extintores, Estacionamiento gratuito, Wifi gratis, Servicio diario de limpieza, Campo de golf (a menos de 3 km), Ducha, Terraza, Vista, Baño, Servicio de transfer, Enchufe cerca de la cama, Servicio de conserjería, Canales por cable, Heladera, Juegos de mesa/puzzles",Villa La Angostura,Argentina,"Esta posada de estilo alpino está situada en la península de Puerto Manzano, en Villa La Angostura, y ofrece habitaciones con balcón privado y conexión de wifi gratis. El alojamiento ofrece zona de estar con chimenea y una bodega. El desayuno diario está incluido y dispone de estacionamiento público gratuito.

La Hosteria Lekun Lekun se encuentra a tan solo 7 km del centro de esquí de Cerro Bayo. Links Golf, un campo de golf de 9 hoyos con excelentes vistas, está a solo 10 minutos en auto. El personal de recepción está a disposición de los huéspedes, puede recomendarles excursiones por la zona y ofrecerles servicio de alquiler de autos o bicicletas.

Las habitaciones del Lekun Lekun presentan suelos de moqueta, mobiliario de madera, TV por cable y minibar. Todas disponen de baño privado. Algunas incluyen bañera.

El bar, con vistas al jardín y muebles de madera, sirve todos los días un desayuno típico de la Patagonia con cruasanes, mermeladas regionales, té, café y chocolate caliente.

El aeropuerto de Bariloche está a 53 km de la posada. La estación principal de autobuses de La Angostura queda a solo 6 km."
Hostería Bajo Cero,US$90,"8,3",Muy bien,115,https://cf.bstatic.com/xdata/images/hotel/max1024x768/285097235.webp?k=87082d2a259a5bb32bd17f1716dc8b7d2698406b1a0bcb5c4283567cfb8f121c&o=,https://www.booking.com/hotel/ar/hostel-bajo-cero.es.html?aid=2410095,"Tetera/Cafetera, Dardos, Guardaesquíes, Habitaciones para no fumadores, Información turística, Prohibido fumar en todo el establecimiento, Caja fuerte, Baño privado, Secador de pelo, Zona TV/salón compartidos, Calefacción, Inglés, Bidé, Estacionamiento en la calle, Artículos de tocador gratuitos, Jardín, Español, Zona de pícnic, Masajes, Alquiler de bicicletas, Bañera o ducha, Patio, Papel higiénico, Pava eléctrica, Cambio de moneda, Ropa de cama, Muebles de exterior, Vista a la montaña, Vista a un punto turístico, Esquí, Seguridad las 24 horas, Perchero de barral, Tetera/cafetera en todas las habitaciones, Servicio a la habitación, Toallas, TV, Habitaciones familiares, Proporciona factura, TV de pantalla plana, Extintores, Estacionamiento gratuito, Wifi gratis, Servicio diario de limpieza, Vista, Baño, Enchufe cerca de la cama, Canales por cable, Heladera, Productos de limpieza",Villa La Angostura,Argentina,"La Hostería Bajo Cero se encuentra en Villa La Angostura, a 24 km del paso Cardenal Samoré y a 32 km de la península Huemul. Esta posada de 1 estrella cuenta con conexión wifi gratis y jardín. El alojamiento se encuentra a 7 km del parque nacional Los Arrayanes.

Todos los alojamientos de la posada están equipados con TV de pantalla plana. Las habitaciones disponen de baño privado con artículos de aseo gratuitos y secador de pelo.

La Hostería Bajo Cero ofrece servicio de alquiler de bicicletas y la zona es ideal para practicar esquí.

El aeropuerto más cercano es el de San Carlos de Bariloche, ubicado a 61 km."
ALEHUE Casa de Montaña,US$120,"9,5",Excepcional,210,https://cf.bstatic.com/xdata/images/hotel/max1024x768/127869525.webp?k=36a4215a8ff807f1c40e49ee9c6267504c89506617134803422540bf9f487ff6&o=,https://www.booking.com/hotel/ar/alehue-casa-de-montana.es.html?aid=2410095,"Tetera/Cafetera, Prohibido fumar en todo el establecimiento, Guardaesquíes, Caja fuerte, Baño privado, Secador de pelo, Senderismo, Calefacción, Ambiente hipoalergénico, Jardín, Traslados (aeropuerto), Español, Mosquitero, Pesca, Bañera o ducha, Papel higiénico, Pava eléctrica, Vista a la montaña, Esquí, Vista al lago, Tetera/cafetera en todas las habitaciones, Balcón, Toallas, TV, Guardaequipaje, TV de pantalla plana, Solárium, Estacionamiento gratuito, Wifi gratis, Servicio diario de limpieza, Enchufe cerca de la cama, Desayuno fantástico",Villa La Angostura,Argentina,"El ALEHUE Casa de Montaña, situado a 37 km del Paso Cardenal Samoré, ofrece alojamiento con conexión wifi gratis y estacionamiento privado gratuito.

Este bed and breakfast sirve un desayuno continental todas las mañanas.

Los huéspedes del ALEHUE Casa de Montaña podrán esquiar en las inmediaciones o aprovechar al máximo el jardín.

El parque nacional Los Arrayanes se encuentra a 14 km del alojamiento, mientras que Cerro Bayo está a 17 km. El aeropuerto más cercano es el de San Carlos de Bariloche, ubicado a 64 km del ALEHUE Casa de Montaña. El alojamiento ofrece un servicio de link con el aeropuerto por un adicional."
Encanto del Rio,US$123,"8,9",Fabuloso,168,https://cf.bstatic.com/xdata/images/hotel/max1024x768/389494013.webp?k=5ed169de230df9874aa4ec805eb70a3b2e6ca24e5d7d2428913153de8c218496&o=,https://www.booking.com/hotel/ar/encanto-del-rio.es.html?aid=2410095,"Ping pong, Valet parking, Prohibido fumar en todo el establecimiento, Guardaesquíes, Habitaciones para no fumadores, Información turística, Armario, Servicio de despertador, Caja fuerte, Baño privado, Secador de pelo, Abierta todo el año, Adaptado para personas con movilidad reducida, Calefacción, Bidé, Inglés, Artículos de tocador gratuitos, Jardín, Español, Spa, Terraza/solárium, Mesa de pool, Masajes, Alquiler de bicicletas, Bañera o ducha, Papel higiénico, Cambio de moneda, Ropa de cama, Sala de juegos, Fax/fotocopiadora, Sauna, Esquí, Bar, Alquiler de autos, Servicio a la habitación, Toallas, Zona de estar, TV, Guardaequipaje, Habitaciones familiares, TV de pantalla plana, Estacionamiento gratuito, Pileta climatizada, Wifi gratis, Zona de juegos para menores, Campo de golf (a menos de 3 km), Ducha, Servicio de lavandería, Baño, Pileta/toallones, Pileta cubierta, Desayuno excepcional, Canales por cable",Villa La Angostura,Argentina,"Este hotel ocupa una encantadora casita de campo de estilo alpino rodeada de jardines y ofrece servicios de spa y pileta cubierta. Está a 1 km de la bahía de Manzano y dispone de conexión Wi-Fi y estacionamiento privado, ambos servicios gratuitos.

Las habitaciones del Encanto del Río tienen vistas al jardín y al río y cuentan con bañera de hidromasaje, TV de pantalla plana y reproductor de DVD. El alojamiento también ofrece cabañas y departamentos con cocina.

El Encanto está a 6 km del centro de esquí de Cerro Bayo y a 5 km del centro de Villa La Angostura. En el mostrador de información turística se ofrece servicio de alquiler de autos e información acerca de la zona.

La recepción está disponible las 24 horas y cuenta con servicio de cambio de divisa."
Alma Andina Hosteria,US$139,"9,2",Fantástico,223,https://cf.bstatic.com/xdata/images/hotel/max1024x768/19360121.webp?k=7a9635b5cf39400c026d08139d55ca34bb6e0f6567fdd007ccfcfd4bf7d96b74&o=,https://www.booking.com/hotel/ar/alma-andina-hosteria.es.html?aid=2410095,"Caja fuerte, Secador de pelo, Zona TV/salón compartidos, Inglés, Ambiente hipoalergénico, Vista a la ciudad, Jardín, Cafetería en la propiedad, Toallas/sábanas (cargos extra), Habitaciones insonorizadas, Alquiler de autos, TV de pantalla plana, Gimnasio, Estacionamiento adaptado para personas con movilidad reducida, Ventilador, Senderismo, Ascensor, Zona de juegos interior, Escritorio, Bidé, Piso de madera o parquet, Español, Bañera o ducha, Papel higiénico, Ropa de cama, Esquí, Habitaciones familiares, Extintores, Estacionamiento gratuito, Insonorización, Servicio diario de limpieza, Acceso con tarjeta, Juegos de mesa/puzzles, Habitaciones para no fumadores, Bata de baño, Armario, Servicio de despertador, Baño privado, Minibar, Canales vía satélite, Artículos de tocador gratuitos, Terraza/solárium, Zona de pícnic, Snack-bar, Portugués, Sala de juegos, Ciclismo, Perchero de barral, Servicio a la habitación, Toallas, TV, Wifi gratis, Libros, DVD o música para niños, Cámaras de seguridad en exterior del alojamiento, Juegos de mesa/rompecabezas, Acceso a pisos superiores mediante ascensor, Enchufe cerca de la cama, Toda la unidad es accesible mediante silla de ruedas, Servicio de conserjería, Adaptado para sillas de ruedas, Productos de limpieza, Prohibido fumar en todo el establecimiento, Guardaesquíes, Información turística, Habitaciones aptas para alérgicos, Adaptado para personas con movilidad reducida, Calefacción, Tours a pie, Tours en bici, Teléfono, Equipamiento de juegos para exterior, Detector de humo, Vista a la montaña, Desayuno fabuloso, Cámaras de seguridad en áreas comunes, Bar, Guardaequipaje, Mobiliario exterior, Vista",Villa La Angostura,Argentina,"El alojamiento Alma Andina Hostería está situado en Villa La Angostura, a 300 metros de la zona comercial, y ofrece vistas panorámicas a la cordillera de los Andes y conexión de wifi gratis. El alojamiento sirve el desayuno y alberga un jardín.

Las habitaciones del alojamiento Alma Andina Hostería son tranquilas y gozan de vistas panorámicas a las montañas. Además, disponen de baño privado y TV de pantalla LCD.

El alojamiento Alma Andina Hostería ofrece room service y consigna de equipaje. Además, el personal habla inglés y portugués.

El alojamiento Alma Andina Hostería se encuentra a 9 km de la estación de esquí del Cerro Bayo y a 80 km del aeropuerto internacional de San Carlos de Bariloche."
