hotel,hotel_url,description,popular_facilities,highres_url,city,country
Santo Cura Brochero zona centro,https://www.booking.com/hotel/ar/cura-brochero-centro.es.html?aid=2410095,"Cura Brochero centro está en Villa Cura Brochero. Este departamento dispone de estacionamiento privado gratis, recepción 24 horas y wifi gratis.

El alojamiento ofrece cocina.

El aeropuerto (Aeropuerto de Valle de Conlara) está a 92 km.","Cocina, Zona de fumadores, Ventilador, Cambio de moneda, Acceso con llave, Recepción 24 horas, Adaptado para personas con movilidad reducida, Ducha, Español, TV, Inglés, Wifi gratis, Papel higiénico, Estacionamiento gratuito, Armario, Habitaciones para no fumadores, Información turística, Ropa de cama, Prohibido fumar en todo el establecimiento",https://cf.bstatic.com/xdata/images/hotel/max1024x768/512067859.jpg?k=517c4038af51bd75ec776a3e0c80dee6e9a2e95e74f40c85294a9d794b236d0f&o=&hp=1,Villa de Cura,Venezuela
Los Nonos,https://www.booking.com/hotel/ar/los-nonos-villa-cura-brochero.es.html?aid=2410095,"Los Nonos está en Villa Cura Brochero y tiene jardín, salón de uso común y wifi gratis en todo el alojamiento.

El hostel ofrece habitaciones con aire acondicionado, escritorio, hervidor, caja fuerte, TV de pantalla plana y baño privado con bidet. En Los Nonos, las habitaciones cuentan con ropa de cama y toallas.

El aeropuerto (Aeropuerto de Valle de Conlara) está a 92 km.","Equipamiento de juegos para exterior, Baño privado, Servicio de planchado, Seguridad las 24 horas, Valla alrededor de la pileta, Calefacción, Mobiliario exterior, Canales por cable, Servicio de tintorería, Zona TV/salón compartidos, Pava eléctrica, Escritorio, Perchero de barral, Proporciona factura, Enchufe cerca de la cama, Ventilador, Abierta todo el año, Recepción 24 horas, Pileta al aire libre, Aire acondicionado, Toda la unidad está situada en planta baja, Habitaciones familiares, Ducha, Sillas y reposeras, Español, Bidé, TV, Caja fuerte, Servicio de lavandería, Artículos de tocador gratuitos, Wifi gratis, TV de pantalla plana, Papel higiénico, Estacionamiento gratuito, Baño, Armario, Jardín, Servicio diario de limpieza, Habitaciones insonorizadas, Toallas, Ropa de cama, Zona de comedor, Prohibido fumar en todo el establecimiento, Terraza, Zona de pícnic",https://cf.bstatic.com/xdata/images/hotel/max1024x768/516986725.jpg?k=bf4488c33abff5eaf975d4c6aa249998743f1e80deb0b075914047877d201ac0&o=&hp=1,Villa de Cura,Venezuela
Shekináh,https://www.booking.com/hotel/ar/shekinah.es.html?aid=2410095,"El Shekináh se encuentra en Villa Cura Brochero. Además, acepta mascotas y proporciona wifi gratis.

Las habitaciones de la posada están equipadas con baño privado y ropa de cama.

Mina Clavero se encuentra a 2,3 km del Shekináh, mientras que Nono está a 11 km. El aeropuerto internacional Ingeniero Aeronáutico Ambrosio L.V. Taravella, el aeropuerto más cercano, está a 88 km.","Baño privado, Ténder para la ropa, Calefacción, Hornalla, Mobiliario exterior, Enchufe cerca de la cama, Estacionamiento en un garaje, Toallas/sábanas (cargos extra), Habitaciones familiares, Ducha, Check-in/check-out privado, Español, Bidé, Mesa de comedor, Wifi gratis, Papel higiénico, Estacionamiento gratuito, Servicio de conserjería, Toallas, Información turística, Acceso a pisos superiores solo por escalera, Ropa de cama, Zona de comedor",https://cf.bstatic.com/xdata/images/hotel/max1024x768/63695080.jpg?k=027f3100d3425da036329d83896a19825fb5c173cb5c9b4b1e324cffc8f795ab&o=&hp=1,Villa de Cura,Venezuela
Departamentos SOFIA,https://www.booking.com/hotel/ar/departamentos-sofia-villa-cura-brochero-cordoba.es.html?aid=2410095,"Departamentos SOFIA se encuentra en Villa Cura Brochero. Este departamento dispone de jardín y estacionamiento privado gratis.

El departamento de 1 dormitorio tiene sala de estar con TV de pantalla plana, cocina totalmente equipada y 1 baño.","Estacionamiento gratuito, Baño privado, Cocina, Jardín, Calefacción, Español, Kitchenette, Wifi gratis, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/578979088.jpg?k=de50c9be9b4065c4447a3e5bdce7c94fd5a6504fe1c100e1fb95c458ea617abe&o=&hp=1,Villa de Cura,Venezuela
Casa Sol,https://www.booking.com/hotel/ar/casa-sol-villa-cura-brochero.es.html?aid=2410095,"La Casa Sol se encuentra en Villa Cura Brochero y ofrece alojamiento con aire acondicionado, balcón y wifi gratis. Este bed and breakfast cuenta con jardín y estacionamiento privado gratuito.

Este bed and breakfast proporciona toallas y ropa de cama.

Este bed and breakfast sirve un desayuno continental.

El aeropuerto más cercano es el aeropuerto internacional Ingeniero Aeronáutico Ambrosio L.V. Taravella, ubicado a 151 km de la Casa Sol.","Baño privado, Check-in/check-out exprés, Calefacción, Silla de masajes, Masaje de cabeza, Utensilios de cocina, Vista a la montaña, Pava eléctrica, Italiano, Pileta privada, Masaje de pies, Zona de estar, Perchero de barral, Tetera/Cafetera, Desayuno, Heladera, Snack-bar, Horarios, Secador de pelo, Abierta todo el año, Recepción 24 horas, Pileta al aire libre, Aire acondicionado, Masaje de manos, Masajes, Vino/Champán, Habitaciones familiares, Ducha, Check-in/check-out privado, Vista al jardín, Entrada privada, Barandas de seguridad para bebés, Masaje de espalda, Sillas y reposeras, Español, Bidé, Mesa de comedor, Inglés, Artículos de tocador gratuitos, Wifi gratis, Bañera o ducha, Vista, Para todas las edades, Masaje de cuello, Papel higiénico, Estacionamiento gratuito, Baño, Armario, Terraza/solárium, Jardín, Alarma de seguridad, Baño público, Habitaciones para no fumadores, Toallas, Desayuno en la habitación, Minibar, Ropa de cama, Vista a la pileta, Zona de comedor, Información turística, Balcón, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/447942957.jpg?k=f0d94b1e2337925d6872936108fbdeedb7a3c9f86ef8ff2eeb160cd0249e4cb2&o=&hp=1,Villa de Cura,Venezuela
Cañas Suites Villa Cura Brochero,https://www.booking.com/hotel/ar/canias-suites-villa-cura-brochero.es.html?aid=2410095,"El Cañias Suites Villa Cura Brochero se encuentra en Villa Cura Brochero y ofrece jardín, terraza y wifi gratis en todas las instalaciones.

El aeropuerto más cercano es el aeropuerto internacional Ingeniero Aeronáutico Ambrosio L.V. Taravella, ubicado a 151 km del hotel.","Hidromasaje/jacuzzi, Servicio a la habitación, Calefacción, Portugués, Proporciona factura, Desayuno, Acceso con llave, Pileta de inmersión, Horarios, Pileta al aire libre, Aire acondicionado, Por temporada, Español, Wifi gratis, Terraza/solárium, Jardín, Habitaciones para no fumadores, Servicio diario de limpieza, Prohibido fumar en todo el establecimiento, Terraza, Solo para adultos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/475392381.jpg?k=d87731b77e36951b9cd58b8cfb60c1f4963f45c2ad3fbe547c08adc74aebda3a&o=&hp=1,Villa de Cura,Venezuela
El Rincón de José,https://www.booking.com/hotel/ar/el-rincon-de-jose.es.html?aid=2410095,"El Rincón de José se encuentra en Villa Cura Brochero. Hay wifi gratis y estacionamiento privado.

El departamento dispone de aire acondicionado, 2 dormitorios, cocina y baño. Hay TV de pantalla plana.

El aeropuerto más cercano es el aeropuerto internacional Ingeniero Aeronáutico Ambrosio L.V. Taravella, ubicado a 152 km del departamento.","Baño privado, Habitaciones comunicadas disponibles, Cocina, Ténder para la ropa, Calefacción, Departamento privado en edificio, Utensilios de cocina, Canales vía satélite, Perchero de barral, Tetera/Cafetera, Horno, Enchufe cerca de la cama, Ventilador, Heladera, Aire acondicionado, Ducha, Vista al jardín, Español, Bidé, TV, Wifi gratis, Bañera o ducha, Papel higiénico, Estacionamiento gratuito, Armario, Canales de pago, Piso de baldosa/mármol, Acceso a pisos superiores solo por escalera, Ropa de cama, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/531192879.jpg?k=4ec23cc8b1c7f6cd330f79ac42c5ad4234b9af7bbc1bf2f8baeb1b645e6c633d&o=&hp=1,Villa de Cura,Venezuela
Tierra Santa Estadia 1,https://www.booking.com/hotel/ar/guillermo89.es.html?aid=2410095,"Tierra Santa Estadia se encuentra en Villa Cura Brochero. Hay estacionamiento privado en el propio alojamiento y wifi gratis.

El aeropuerto más cercano (Aeropuerto de Valle de Conlara) está a 92 km.","Baño privado, Cocina, Calefacción, Hornalla, Utensilios de cocina, Canales por cable, Vista a la montaña, Productos de limpieza, Pava eléctrica, Pileta privada, Escritorio, Zona de estar, Horno, Enchufe cerca de la cama, Ventilador, Heladera, Parrilla, Abierta todo el año, Toda la unidad está situada en planta baja, Pileta al aire libre, Patio, Habitaciones familiares, Vestidor, Ducha, Radio, Vista al jardín, Sofá, Entrada privada, Español, Bidé, TV, Mesa de comedor, Servicio de streaming (ej.: Netflix), Artículos de tocador gratuitos, Wifi gratis, Bañera o ducha, Sofá cama, Mosquitero, Toda la unidad es accesible mediante silla de ruedas, Vista, Papel higiénico, Estacionamiento gratuito, Baño, Alfombra, Jardín, Toallas, Ropa de cama, Vista a la pileta, Zona de comedor, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/537759292.jpg?k=10817262ad56433bce47bdc9153ff4a0410425f84097d69d34f82300b5ed6028&o=&hp=1,Villa de Cura,Venezuela
Tierra Santa Estadia 2,https://www.booking.com/hotel/ar/tierra-santa-estadia-2.es.html?aid=2410095,"Tierra Santa Estadia 2 está en Villa Cura Brochero y ofrece alojamiento con balcón y wifi gratis. Este departamento tiene pileta privada, jardín y estacionamiento privado gratis.

El departamento dispone de terraza, 1 dormitorio, sala de estar y cocina bien equipada. Hay TV de pantalla plana.","Cocina, Calefacción, Pileta privada, Abierta todo el año, Pileta al aire libre, Habitaciones familiares, Ducha, Vista al jardín, Español, Bidé, Kitchenette, Inglés, Artículos de tocador gratuitos, Wifi gratis, Bañera o ducha, Vista, Papel higiénico, Estacionamiento gratuito, Baño, Jardín, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/545250433.jpg?k=0c5827f2061769f29ab23c509c725e35510f7285a16a0671bda56fc84a22aeab&o=&hp=1,Villa de Cura,Venezuela
LUMALU Deptos,https://www.booking.com/hotel/ar/lumalu-deptos.es.html?aid=2410095,"El LUMALU Deptos ofrece jardín y alojamiento con cocina en Villa Cura Brochero.

El departamento tiene terraza.

El LUMALU Deptos está a 31 km de La Cumbrecita y a 1,6 km de Mina Clavero. El aeropuerto internacional Ingeniero Aeronáutico Ambrosio L.V. Taravella es el más cercano y queda a 88 km.","Estacionamiento gratuito, Habitaciones familiares, Baño privado, Aire acondicionado, Cocina, Ténder para la ropa, Jardín, Calefacción, Español, Ventilador, Kitchenette, Wifi gratis, Vista, Chimenea, Balcón, Terraza",https://cf.bstatic.com/xdata/images/hotel/max1024x768/329541778.jpg?k=9a47f98ceb2075ab823e4f95fe2b750446907d438bd4b078fad3e7f3441e3fa5&o=&hp=1,Villa de Cura,Venezuela
