hotel,hotel_url,description,popular_facilities,highres_url,city,country
Terraza Hotel Villavicencio,https://www.booking.com/hotel/co/terraza-villavicencio.es.html?aid=2410095,"Terraza Hotel Villavicencio se encuentra en Villavicencio y dispone de jardín, salón de uso común y wifi gratis en todo el alojamiento. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, cada habitación está equipada con aire acondicionado, escritorio, TV de pantalla plana, baño privado, ropa de cama, toallas y terraza con vistas a la ciudad. Las habitaciones incluyen armario.

El aeropuerto más cercano (Aeropuerto de La Vanguardia) está a 6 km del alojamiento.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Teléfono, Canales de pago, Suelo de moqueta, Vistas, Recepción 24 horas, Inglés, Baño privado, Jardín, Aire acondicionado, Armario, Información turística, Snack-bar, Toda la unidad accesible en silla de ruedas, Parking gratis, Registro de entrada / salida privado, Zona TV / salón de uso compartido, Muy buen desayuno, Ropa de cama, Acceso a pisos superiores en ascensor, WiFi gratis, Servicio de habitaciones, Plancha para ropa, Canales por cable, Vistas a la montaña, Secadora de ropa, Vistas al jardín, Servicio de despertador, Escritorio, Guardaequipaje, WC, Máquina expendedora (bebidas), TV de pantalla plana, Balcón, Adaptado personas de movilidad reducida, Toallas, Español, Vistas a la ciudad, Ascensor, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/81421060.jpg?k=14b4281a4a7f05f11729c372916b6398c9f6d9f8a30b6ac829195e40844c49ee&o=&hp=1,Villavicencio,Colombia
GHL Hotel Grand Villavicencio,https://www.booking.com/hotel/co/grand-villavicencio.es.html?aid=2410095,"El Grand Hotel Villavicencio ofrece habitaciones cómodas con una decoración elegante a 3 km del estadio Macal y a 7 km del Bioparque Los Ocarros. Facilita WiFi gratuita y sirve el desayuno todos los días.

El Grand Hotel Villavicencio dispone de habitaciones con aire acondicionado y minibar. Algunas habitaciones tienen escritorio y vistas a las colinas. Además, se ofrece servicio de lavandería.

El restaurante del establecimiento sirve platos regionales e internacionales.
La recepción está abierta las 24 horas. El aeropuerto Vanguardia se encuentra a 15 minutos en coche.","Piscina interior, Secador de pelo, Spa y centro de bienestar, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Caja fuerte, Bañera o ducha, Teléfono, Recepción 24 horas, Inglés, Baño privado, Centro de negocios, Hipoalergénico, Aire acondicionado, Instalaciones de spa, Armario, Masajes, Traslado aeropuerto, Perchero, Menú para niños, Información turística, Piscina en la azotea, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Parking en un garaje, Desayuno fabuloso, Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Sauna, Proporciona factura, Plancha para ropa, Zona de fumadores, Productos de limpieza, Buffet para niños, Habitaciones insonorizadas, Utensilios de planchado, Servicio de planchado, Escritorio, Servicio de lavandería, Salas de reuniones / banquetes, WC, Cámaras de seguridad fuera del alojamiento, Insonorización, Zona de spa / relajación, Bar, Restaurante, TV de pantalla plana, Plancha para pantalones, Habitaciones familiares, Zona poco profunda, Español, Ascensor, Happy hour, Minibar, Papel higiénico, Paquetes de spa / bienestar, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/160139774.jpg?k=0a16c9b710af96f7e5fd3183f40564f6ea2c47eeb1ac67c1496cd86a410bdb47&o=&hp=1,Villavicencio,Colombia
Estelar Villavicencio Hotel & Centro De Convenciones,https://www.booking.com/hotel/co/estelar-villavicencio-amp-centro-de-convenciones.es.html?aid=2410095,"El Estelar Villavicencio Hotel & Centro De Convenciones se encuentra en Villavicencio y cuenta con piscina al aire libre y restaurante. Además, el establecimiento ofrece conexión WiFi y aparcamiento privado, ambos gratuitos.

Las habitaciones están equipadas con TV por cable, aire acondicionado, minibar, soporte para iPod y baño privado con ducha y artículos de aseo gratuitos.

El Estelar Villavicencio Hotel & Centro De Convenciones también ofrece centro de fitness, instalaciones para reuniones, mostrador de información turística y servicio de planchado.

El restaurante del hotel sirve cocina gourmet a la carta con platos internacionales y colombianos.

El establecimiento está situado a unos 10 km de los parques de Las Malocas y de Los Fundadores y a solo 15 minutos en coche del bioparque Los Ocarros. El aeropuerto regional Vanguardia está a 6 km, mientras que el aeropuerto internacional de El Dorado, en Bogotá, se halla a 84 km.","Secador de pelo, Terraza, Spa y centro de bienestar, Horario de apertura, Alarma de seguridad, Teléfono, Habitaciones sin humo, Lavamanos más bajo, Baño privado, Jardín, Centro de negocios, Extintores, WC con barras de apoyo, Instalaciones de spa, Manicura, Hammam, Silla de masajes, Parking gratis, Servicio de habitaciones, Masaje de pies, Proporciona factura, Alquiler de coches, Zona de juegos interior, Alquiler de bicicletas, Peinado, Utensilios de planchado, Corte de pelo, Restaurante, Masaje de espalda, Tratamientos faciales, Sala de juegos, WC elevado, Aire acondicionado, Menú para niños, Cámaras de seguridad en las zonas comunitarias, Zona TV / salón de uso compartido, Desayuno fabuloso, WiFi gratis, Servicios de maquillaje, Canales por cable, Habitaciones insonorizadas, Piscina al aire libre, Tarjeta de acceso, Desayuno en la habitación, Zona de estar, Salas de reuniones / banquetes, Baño de vapor, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Masaje de cuello, Adaptado personas de movilidad reducida, Habitaciones familiares, Sombrillas, Fax / fotocopiadora, Almuerzos para llevar, Caja fuerte, Adaptado para sillas de ruedas, Masajes, Servicio de traslado, Seguridad 24 horas, Detectores de humo, Sauna, Bañera de hidromasaje / jacuzzi, Servicios de depilación, Servicio de planchado, Guardaequipaje, Exfoliación corporal, Terraza / solárium, Bar, TV de pantalla plana, Español, Zona de fumadores, Prohibido fumar en todo el alojamiento, Baños públicos, Servicios de belleza, Recepción 24 horas, Inglés, Calefacción, 2 restaurantes, Traslado aeropuerto, Vino / champán, Información turística, Snack-bar, Servicio de conserjería, Menús para dietas especiales (bajo petición), Fruta, Boles para mascotas, Ducha, Peluquería / salón de belleza, Radio, Gimnasio, Servicio de despertador, Para todas las edades, Servicio de lavandería, Abierta todo el año, Pedicura, Ascensor, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/56247140.jpg?k=fc65a1eef52cce9ad8c07b2eed3b1474b30fa136170f390abd48f095c01fc861&o=&hp=1,Villavicencio,Colombia
Hotel Villa Sofia,https://www.booking.com/hotel/co/villa-sofia-villavicencio1.es.html?aid=2410095,"Hotel Villa Sofia se encuentra en Villavicencio. Este hotel de 5 estrellas tiene wifi gratis, servicio de habitaciones y recepción 24 horas. El hotel dispone de habitaciones familiares.

En el hotel, todas las habitaciones cuentan con armario, TV de pantalla plana, baño privado, ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de La Vanguardia) está a 5 km.","Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Perchero, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Enchufe cerca de la cama, Proporciona factura, Plancha para ropa, Mobiliario exterior, Bidet, Llave de acceso, Servicio de despertador, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/536025213.jpg?k=0ad55bbbef0d48a50fa0a1294c787bfc685e9488e400d5731e9913ca4e3a799b&o=&hp=1,Villavicencio,Colombia
Hotel Ariari Azul,https://www.booking.com/hotel/co/ariari-azul.es.html?aid=2410095,"Hotel Ariari Azul ofrece alojamiento en Villavicencio. Este hotel de 3 estrellas tiene wifi gratis, recepción 24 horas y mostrador de información turística. El hotel tiene habitaciones familiares.

Todas las habitaciones de este alojamiento están equipadas con TV con canales vía satélite. En el hotel, las habitaciones cuentan con baño privado y ropa de cama.

El aeropuerto (Aeropuerto de La Vanguardia) está a 7 km.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Vistas, Recepción 24 horas, Baño privado, Aire acondicionado, TV, Información turística, Parking gratis, Registro de entrada / salida privado, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Servicio de planchado, Guardaequipaje, Servicio de lavandería, WC, Canales vía satélite, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/90013463.jpg?k=08f5effaf4a69d69399798aa56e9e0fe7b358eb3ec66efea9b938197d2dd66f4&o=&hp=1,Villavicencio,Colombia
Hotel del Llano,https://www.booking.com/hotel/co/del-llano.es.html?aid=2410095,"El Hotel del Llano alberga una piscina al aire libre, sauna y centro de fitness a 500 metros de la avenida principal. El centro de Villavicencio se encuentra a 5 minutos en coche.

Las habitaciones del Hotel del Llano cuentan con TV por cable y un baño privado con ducha. También se proporciona servicio de habitaciones.

Hay jardín, parque infantil y conexión WiFi gratuita en las habitaciones.

El Hotel del Llano está a 5 km del aeropuerto nacional de Vanguardia y a 15 minutos en coche del bioparque Los Ocarros. Se facilita aparcamiento privado gratuito.","Terraza, Horario de apertura, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Parking adaptado para personas de movilidad reducida, Caja fuerte, Cafetería en el alojamiento, Habitaciones sin humo, Recepción 24 horas, Cenas temáticas, Servicio de limpieza diario, Baño privado, Jardín, Centro de negocios, Extintores, Aire acondicionado, Solárium, Inglés, Vino / champán, Menú para niños, Información turística, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Servicio de conserjería, Zona TV / salón de uso compartido, Menús para dietas especiales (bajo petición), Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Buen desayuno, Detectores de humo, Servicio de habitaciones, Toallas de playa/piscina, Sauna, Proporciona factura, Zona de fumadores, Mobiliario exterior, Piscina al aire libre, Desayuno en la habitación, Llave de acceso, Gimnasio, Servicio de planchado, Para todas las edades, Guardaequipaje, Baño al aire libre, Servicio de lavandería, Salas de reuniones / banquetes, Terraza / solárium, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Abierta todo el año, Tumbonas/sillas de playa, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Zona poco profunda, Sombrillas, Fax / fotocopiadora, Sala de juegos",https://cf.bstatic.com/xdata/images/hotel/max1024x768/521534547.jpg?k=41b1581475674e75c0bdf9e2b223760b0a151e32d2ec3fa689f9e4e976f9a0c9&o=&hp=1,Villavicencio,Colombia
Hotel Boutique Villas de San Sebastián,https://www.booking.com/hotel/co/boutique-villas-de-san-sebastia-n.es.html?aid=2410095,"El Hotel Boutique Villas de San Sebastián ofrece un jardín con piscina y habitaciones con conexión Wi-Fi gratuita. Hay aparcamiento gratuito. El bioparque Los Ocarros está a 500 metros.

Las habitaciones del Hotel Boutique Villas de San Sebastián son amplias y luminosas y están equipadas con aire acondicionado. Algunas cuentan con bañera de hidromasaje.

Todos los días se sirve un desayuno continental gratuito.

El Hotel Boutique Villas. El San Sebastián se encuentra a 5 minutos a pie del monumento a las Arpas y a 10 minutos en coche del centro comercial Unicentro.

El aeropuerto La Vanguardia está a 2 km.","Terraza, Juegos de mesa / puzles, Sombrillas, Zona de juegos para niños, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Parking adaptado para personas de movilidad reducida, Bañera o ducha, Habitaciones sin humo, Entretenimiento nocturno, Recepción 24 horas, Ventilador, Inglés, Baño privado, Jardín, Extintores, Instalaciones de spa, TV, Vino / champán, Menú para niños, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Registro de entrada / salida privado, Servicio de conserjería, Bar en la piscina, Seguridad 24 horas, WiFi gratis, Ducha, Buen desayuno, Servicio de habitaciones, Proporciona factura, Zona de fumadores, Zona de juegos interior, Mobiliario exterior, Piscina al aire libre, Vistas a la montaña, Desayuno en la habitación, Equitación, Para todas las edades, Salas de reuniones / banquetes, WC, Terraza / solárium, Piscina infantil, Cámaras de seguridad fuera del alojamiento, Zona de spa / relajación, Bar, Abierta todo el año, TV de pantalla plana, Tumbonas/sillas de playa, Habitaciones familiares, Español, Happy hour, Artículos de aseo gratis, Papel higiénico, Paquetes de spa / bienestar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/46490839.jpg?k=14c533b990d7967f671025dbed989c887554a96516d9934d68730fcf495d14d0&o=&hp=1,Villavicencio,Colombia
Ayenda 1703 Gran Reserva,https://www.booking.com/hotel/co/gran-reserva.es.html?aid=2410095,"El Ayenda 1703 Gran Reserva se encuentra en el centro de Villavicencio, a 1 km del centro comercial Villa Centro. Ofrece conexión Wi-Fi gratuita y desayuno.

Las habitaciones del Ayenda 1703 Gran Reserva tienen aire acondicionado, baño privado con agua caliente, mesitas de noche, TV vía satélite y minibar. Hay servicio de habitaciones y de lavandería.

Ayenda 1703. El Gran Reserva está a 2 km de la zona de discotecas y restaurantes y a 8 km del aeropuerto Nacional Vanguardia.","Terraza, Prohibido fumar en todo el alojamiento, Almuerzos para llevar, Habitaciones sin humo, Recepción 24 horas, Centro de negocios, Aire acondicionado, Extintores, Información turística, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Servicio de conserjería, Zona TV / salón de uso compartido, Seguridad 24 horas, WiFi gratis, Buen desayuno, Llave de acceso, Guardaequipaje, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Habitaciones familiares, Español, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/259003020.jpg?k=9572778c79391f2fc3d78229e3b53ad69dd614605663cbb6a9eedc929badb7a9&o=&hp=1,Villavicencio,Colombia
HOTEL EBENEZER,https://www.booking.com/hotel/co/ebenezer-villavicencio2.es.html?aid=2410095,"HOTEL EBENEZER está en Villavicencio y ofrece jardín. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, todas las habitaciones tienen armario y TV de pantalla plana. Las habitaciones incluyen baño privado con ducha y artículos de aseo gratuitos, y algunas también ofrecen zona de cocina con nevera. En HOTEL EBENEZER, todas las habitaciones disponen de ropa de cama y toallas.

El personal de recepción puede ofrecer consejos sobre qué hacer por la zona.

El aeropuerto (Aeropuerto de La Vanguardia) está a 5 km.","Terraza, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Canales de pago, Recepción 24 horas, Baño privado, Jardín, Aire acondicionado, TV, Armario, Perchero, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Entrada privada, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Ducha, Enchufe cerca de la cama, Proporciona factura, Plancha para ropa, Utensilios de planchado, Servicio de lavandería, Zona de comedor exterior, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/550054665.jpg?k=00214b5c3c168218bce17a4679ce2293521452e01fbf2f92335b6054de952339&o=&hp=1,Villavicencio,Colombia
Confort Plaza Hotel,https://www.booking.com/hotel/co/confort-plaza.es.html?aid=2410095,"El Confort Plaza Hotel ofrece piscina exterior y se encuentra en Villavicencio. También proporciona WiFi gratuita y aparcamiento privado gratuito.

Las habitaciones están equipadas con TV por cable y aire acondicionado. El baño privado incluye bañera o ducha y artículos de aseo gratuitos. Las habitaciones gozan de vistas a la piscina.

El Confort Plaza Hotel cuenta con recepción 24 horas y bar.

El hotel está a 5 minutos en coche de la terminal de autobuses, a 9 km del aeropuerto regional de La Vanguardia y a 88 km del aeropuerto internacional de El Dorado.","Servicio de lavandería, Servicio de limpieza en seco, Prohibido fumar en todo el alojamiento, Parking gratis, Habitaciones sin humo, Piscina al aire libre, Zona TV / salón de uso compartido, Guardaequipaje, Habitaciones familiares, Español, Recepción 24 horas, WiFi gratis, Aire acondicionado, Servicio de planchado, Sauna, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/300809099.jpg?k=334e244972d8ad5d6cef48c2fb0d2b9d186d5979bb2ad6a4ed7c9e6241a4e0ba&o=&hp=1,Villavicencio,Colombia
