hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Manglar,US$54,"7,1",Bien,172,https://cf.bstatic.com/xdata/images/hotel/max1024x768/515105391.webp?k=01a94560af38245f1f69dd891383819d1f14ead3e2735d6fb4de0221c52902c0&o=,https://www.booking.com/hotel/cl/manglar.es.html?aid=2410095,"Inglés, TV de pantalla plana, Extintores, Servicio de despertador, Campo de golf (a menos de 3 km), Artículos de aseo gratis, Vino / champán, Vistas a un patio interior, WC, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Menús para dietas especiales (bajo petición), Ducha, Música / espectáculos en directo, Bar, Ropa de cama, Cafetería en el alojamiento, Perchero, Vistas a la ciudad, Desayuno, Baño privado, Proporciona factura, Recepción 24 horas, Toallas, Baños públicos, Salas de reuniones / banquetes, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Calefacción, Happy hour, Habitaciones sin humo, Restaurante, Vistas a un lugar de interés, Prohibido fumar en todo el alojamiento, Entretenimiento nocturno, Patio, Menú para niños, Español, Terraza, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, TV",Viña del Mar,Chile,"Hotel Manglar es un alojamiento de 3 estrellas que se encuentra en Viña del Mar, a menos de 1 km de Playa del Sol, y que dispone de terraza, restaurante y bar. El hotel tiene wifi gratis y está a unos 15 min a pie de Playa Blanca y a 2,2 km de Caleta Abarca. El alojamiento ofrece ocio nocturno y recepción 24 horas.

En el hotel, todas las habitaciones cuentan con patio. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también tienen vistas a la ciudad. En Hotel Manglar, todas las habitaciones incluyen ropa de cama y toallas.

Cerca del alojamiento hay puntos de interés como Terminal de Bus de Viña del Mar, Castillo Wulff y Valparaiso Sporting Club. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 116 km."
Sheraton Miramar Hotel & Convention Center,US$284,"8,8",Fabuloso,2.739,https://cf.bstatic.com/xdata/images/hotel/max1024x768/461652296.webp?k=a3ff23c666942257e79c0cde16248fb899482ce35176f984f0d37551f47c756c&o=,https://www.booking.com/hotel/cl/sheraton-miramar-convention-center.es.html?aid=2410095,"Buffet para niños, Inglés, Guardaequipaje, Habitaciones familiares, TV de pantalla plana, Extintores, Llave de acceso, Adaptado personas de movilidad reducida, Zona de juegos interior, Abierta todo el año, Campo de golf (a menos de 3 km), Vino / champán, Registro de entrada / salida privado, Portugués, Ascensor, Servicio de habitaciones, WiFi gratis, Desayuno fabuloso, 2 piscinas, Cámaras de seguridad fuera del alojamiento, De temporada, Gimnasio, Detectores de humo, Bar, Alquiler de bicicletas, Cafetería en el alojamiento, Mobiliario exterior, Servicio de aparcacoches, Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Situado frente a la playa, Servicio de planchado, Zona de fumadores, Recepción 24 horas, Servicio de limpieza en seco, Servicio de lavandería, Salas de reuniones / banquetes, Información turística, Cámaras de seguridad en las zonas comunitarias, Bañera de hidromasaje / jacuzzi, Desayuno en la habitación, Calefacción, Habitaciones sin humo, Caja fuerte, Parking privado, Fax / fotocopiadora, Restaurante, Cambio de moneda, Aire acondicionado, Alquiler de coches, Sauna, Traslado aeropuerto, Secador de pelo, Playa, Prohibido fumar en todo el alojamiento, Zona de juegos para niños, Snack-bar, Cajero automático en el hotel, Tarjeta de acceso, Para todas las edades, Club infantil, Servicio de conserjería, Menú para niños, Centro de negocios, Español, Spa y centro de bienestar, Terraza / solárium, Terraza, Alarma de seguridad, Sombrillas, Alemán, Seguridad 24 horas, Fruta, TV",Viña del Mar,Chile,"Este hotel de 5 estrellas tiene vistas a la bahía de Valparaíso y ofrece habitaciones de lujo con vistas panorámicas al océano Pacífico. Cuenta con WiFi gratuita y piscina al aire libre.

Las habitaciones del Sheraton Miramar Hotel & Convention Center disponen de TV LED, minibar y aire acondicionado.

El Sheraton Miramar Hotel & Convention Center alberga el Sheraton Fitness Spa, que cuenta con sauna y piscina cubierta climatizada. Los huéspedes pueden visitar las salas de tratamientos de masajes.

Los huéspedes pueden disfrutar de la cocina internacional en el restaurante Travesia. El bar Farewell organiza conciertos en directo y propone una carta con bebidas y aperitivos internacionales.

El Sheraton Miramar se encuentra a solo 10 minutos a pie del castillo Wulff y del casino de Viña del Mar."
Hostal Casamar-Viña,US$48,"8,4",Muy bien,990,https://cf.bstatic.com/xdata/images/hotel/max1024x768/89064649.webp?k=0343a60037261279ab0957473315796803d50929f633d48cff3cc7a27c12eb6a&o=,https://www.booking.com/hotel/cl/hostal-casamar-vina.es.html?aid=2410095,"TV de pantalla plana, Extintores, Llave de acceso, Registro de entrada / salida privado, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Ducha, Solo para adultos, Ropa de cama, Mobiliario exterior, Zona de fumadores, Proporciona factura, Toallas, Servicio de limpieza diario, Servicio de lavandería, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Fax / fotocopiadora, Secador de pelo, Tarjeta de acceso, Canales por cable, Español, Alarma de seguridad, Seguridad 24 horas",Viña del Mar,Chile,"Hostal Casamar-Viña cuenta con wifi gratis y habitaciones en Viña del Mar, a 18 min a pie de Playa del Sol y a 1,8 km de Playa Blanca. Este alojamiento se encuentra muy cerca de lugares de interés como Terminal de Bus de Viña del Mar, Valparaiso Sporting Club y Palacio Rioja. Playa Los Marineros está a 2,5 km del albergue y Castillo Wulff, a 2,4 km.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana con canales por cable. En el albergue, todas las habitaciones cuentan con ropa de cama y toallas.

Reloj de Flores está a 2,9 km del alojamiento, y Dunas de Arena está a 10 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 115 km del alojamiento."
Hotel Vista Hermosa 17,US$31,"8,5",Muy bien,1.227,https://cf.bstatic.com/xdata/images/hotel/max1024x768/228714784.webp?k=0b751fc87d5372a82362ee065538be50671e1f345e311249ed133e7c14a6c9a5&o=,https://www.booking.com/hotel/cl/vvistahermosa.es.html?aid=2410095,"Habitaciones familiares, TV de pantalla plana, Extintores, Parking gratis, Adaptado personas de movilidad reducida, Toallas / sábanas (por un suplemento), Servicio de despertador, Cocina compartida, Artículos de aseo gratis, WC, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Menús para dietas especiales (bajo petición), Adaptado para sillas de ruedas, Parking adaptado para personas de movilidad reducida, Ducha, Ropa de cama, Cafetería en el alojamiento, Accesible para personas sordas, Baño privado, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Toallas, Servicio de limpieza diario, Cámaras de seguridad en las zonas comunitarias, Información turística, Papel higiénico, Calefacción, Habitaciones sin humo, Secador de pelo, Bañera o ducha, Prohibido fumar en todo el alojamiento, Muy buen desayuno, Canales por cable, WC elevado, Español, Seguridad 24 horas, Armario, TV",Viña del Mar,Chile,"El VH Hostales ofrece apartamentos con TV por cable a solo 3 minutos en coche del centro de Viña del Mar. La conexión Wi-Fi es gratuita.

El VH Hostales 2 está a solo 1 km del pintoresco Reloj de Flores y de las famosas playas de Viña del Mar.

Las habitaciones del VH Hostales son muy luminosas y presentan paredes de color crema y suelo de parquet. Están equipadas con escritorio y calefacción.

Los huéspedes pueden disfrutar de un desayuno completo con zumos y mermeladas regionales.

La recepción está abierta las 24 horas. El aeropuerto internacional de Santiago está a aproximadamente 1 hora en coche."
Pullman Vina del Mar San Martin,US$169,"8,1",Muy bien,3.144,https://cf.bstatic.com/xdata/images/hotel/max1024x768/292477692.webp?k=14d1a94beb7543276ffb4603a2a6c326ca281509e9086f5f0cfe8c628284191e&o=,https://www.booking.com/hotel/cl/pullman-san-martin.es.html?aid=2410095,"Inglés, Guardaequipaje, Habitaciones familiares, TV de pantalla plana, Fruta, Extintores, Llave de acceso, Adaptado personas de movilidad reducida, Reloj despertador, Servicio de despertador, Campo de golf (a menos de 3 km), Artículos de aseo gratis, Vino / champán, Piscina al aire libre, Toda la unidad accesible en silla de ruedas, Acceso a pisos superiores en ascensor, Abierta todo el año, WC, Ascensor, Servicio de habitaciones, WiFi gratis, Ciclismo, Cámaras de seguridad fuera del alojamiento, Gimnasio, Detectores de humo, Ducha, Bar, Ropa de cama, Alquiler de bicicletas, Cafetería en el alojamiento, Plancha para pantalones, Mobiliario exterior, Perchero, Zona TV / salón de uso compartido, Registro de entrada y salida exprés, Baño privado, Enchufe cerca de la cama, Proporciona factura, Recepción 24 horas, Servicio de planchado, Zona de fumadores, Toallas, Servicio de streaming (como Netflix), Servicio de limpieza diario, Servicio de lavandería, Salas de reuniones / banquetes, Escritorio, Información turística, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador / alarma, Servicio de traslado, Papel higiénico, Desayuno en la habitación, Calefacción, Habitaciones sin humo, Caja fuerte, Minibar, Restaurante, Fax / fotocopiadora, Aire acondicionado, Traslado aeropuerto, Caja fuerte para ordenador portátil, Bañera o ducha, Prohibido fumar en todo el alojamiento, Detector de monóxido de carbono, Snack-bar, Servicio de conserjería, Menú para niños, Buen desayuno, Canales por cable, Terraza, Español, Alarma de seguridad, Seguridad 24 horas, Armario",Viña del Mar,Chile,"El Hotel Pullman Viña del Mar San Martín está situado frente al océano, a solo unos pasos de la playa Acapulco. Ofrece habitaciones modernas con wifi gratuita y azotea con piscina y vistas.

Las habitaciones disponen de aire acondicionado, minibar, escritorio y TV por cable.
Algunas habitaciones tienen vistas al mar, mientras que otras ofrecen vistas a la ciudad. El baño privado incluye artículos de aseo.

El Hotel Pullman Viña del Mar San Martín se halla a solo 10 minutos en coche del centro comercial Marina Arauco. Además, el mostrador de información turística ofrece servicio de organización de excursiones. En las inmediaciones hay varios restaurantes. 

El aeropuerto internacional de Santiago, el aeropuerto Arturo Merino Benítez, se encuentra a 110 km del Hotel Pullman Viña del Mar San Martín. El hotel presta un servicio de traslado por un suplemento. El Hotel Viña del Mar San Martin by Pullman forma parte de la cadena Aton Hotels desde febrero de 2018"
Hostal Residencia Blest Gana,US$36,"8,3",Muy bien,1.230,https://cf.bstatic.com/xdata/images/hotel/max1024x768/52687037.webp?k=427bf41f019ff38db6a86f819624ac6a7b4bf5ca1df630b3f765025361c6fcdd&o=,https://www.booking.com/hotel/cl/residencia-blestgana-cl.es.html?aid=2410095,"Inglés, Guardaequipaje, Habitaciones familiares, Extintores, Parking gratis, Adaptado personas de movilidad reducida, Artículos de aseo gratis, Registro de entrada / salida privado, WC, Servicio de habitaciones, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Adaptado para sillas de ruedas, Detectores de humo, Ducha, Zona de estar, Ropa de cama, Perchero, Servicio de aparcacoches, Registro de entrada y salida exprés, Baño privado, Canales vía satélite, Enchufe cerca de la cama, Proporciona factura, Recepción 24 horas, Zona de fumadores, Toallas, Jardín, Baños públicos, Cámaras de seguridad en las zonas comunitarias, Escritorio, Información turística, Papel higiénico, Desayuno en la habitación, Calefacción, Habitaciones sin humo, Fax / fotocopiadora, Secador de pelo, Bañera o ducha, Parking en un garaje, Suelo de madera o parquet, Muy buen desayuno, Servicio de conserjería, Canales por cable, Español, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, Armario, TV",Viña del Mar,Chile,"El Blest Gana, que ofrece habitaciones con WiFi gratuita, ocupa una casa con estilo arquitectónico del siglo XIX, ubicada a solo 20 minutos a pie de la playa. La estación principal de autobuses se halla a 5 minutos a pie.

Todos los días sirve un desayuno continental. Además, el establecimiento se encuentra a 300 metros de la gran variedad de cafeterías y restaurantes de la zona comercial de Viña. También hay mostrador de información turística.

El Hostal Residencia Blest Gana dispone de habitaciones con baño privado y TV. Hay aparcamiento privado disponible, que podrá solicitarse a la llegada.

El establecimiento también ofrece servicio de traslado por un suplemento.

También se facilitan servicios de recepción las 24 horas y de consigna de equipaje. El aeropuerto de Viña del Mar se encuentra a 1 hora en coche."
Hotel Ankara,US$95,"8,0",Muy bien,959,https://cf.bstatic.com/xdata/images/hotel/max1024x768/128709364.webp?k=b56c95c33cb79586c7961b86d52ab10326051f1b9285fdede77dc193113c5245&o=,https://www.booking.com/hotel/cl/ankara.es.html?aid=2410095,"Inglés, Guardaequipaje, Habitaciones familiares, TV de pantalla plana, Extintores, Parking gratis, Adaptado personas de movilidad reducida, Cenas temáticas, Llave de acceso, Servicio de despertador, Vino / champán, Habitaciones insonorizadas, Toda la unidad accesible en silla de ruedas, Acceso a pisos superiores en ascensor, Registro de entrada / salida privado, WC, Portugués, Ascensor, Servicio de habitaciones, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Adaptado para sillas de ruedas, Detectores de humo, Parking adaptado para personas de movilidad reducida, Música / espectáculos en directo, Bar, Ropa de cama, Cafetería en el alojamiento, WC con barras de apoyo, Perchero, Servicio de aparcacoches, Vistas a la ciudad, Baño privado, Enchufe cerca de la cama, Proporciona factura, Recepción 24 horas, Acceso a pisos superiores solo mediante escaleras, Toallas, Servicio de limpieza diario, Salas de reuniones / banquetes, Cámaras de seguridad en las zonas comunitarias, Servicio de despertador / alarma, Servicio de traslado, Papel higiénico, Desayuno en la habitación, Calefacción, Happy hour, Habitaciones sin humo, Caja fuerte, Fax / fotocopiadora, Restaurante, Aire acondicionado, Secador de pelo, Prohibido fumar en todo el alojamiento, Parking en un garaje, Tarjeta de acceso, Tour o clase sobre cultura local, Servicio de conserjería, Menú para niños, Centro de negocios, Buen desayuno, Canales por cable, Terraza, Teléfono, Insonorización, Alarma de seguridad, Español, Seguridad 24 horas, Armario, TV",Viña del Mar,Chile,"El Hotel Ankara ofrece habitaciones con WiFi gratuita y desayuno a solo 100 metros de la playa y el casino de Viña del Mar. El centro de la ciudad queda a 1 km. 


Las habitaciones están decoradas con muebles de madera y disponen de aire acondicionado y cómodas camas Rosen con somier. El Ankara cuenta con TV inteligente 4k y reproductor de CD. Todas incluyen minibar. Se facilita servicio de lavandería.

Cada mañana se sirve un desayuno con ensalada de frutas, yogur, cereales, huevos, queso, tostadas y bollería. El restaurante elabora una gran variedad de platos de fusión y platos tradicionales locales.

El Hotel Ankara está a 8 km de la estación de autobuses."
Hostal Recreo,US$50,"9,2",Fantástico,102,https://cf.bstatic.com/xdata/images/hotel/max1024x768/40150915.webp?k=40011b17409a74b2b1b1dddb3160cfb0c147918724a4d437c704559727380951&o=,https://www.booking.com/hotel/cl/hostal-recreo.es.html?aid=2410095,"Inglés, Guardaequipaje, Habitaciones familiares, TV de pantalla plana, Extintores, Hervidor eléctrico, Zona de cocina, Toallas / sábanas (por un suplemento), Vídeo, Juegos de mesa / puzles, Llave de acceso, Servicio de despertador, Artículos de aseo gratis, Cocina compartida, Portugués, WC, Utensilios de cocina, Vistas, Camas extralargas (más de 2 metros), Ducha, Ropa de cama, Mobiliario exterior, Perchero, Servicio de entrega de comestibles, Productos de limpieza, Zona TV / salón de uso compartido, Vistas a la ciudad, Baño privado, Canales vía satélite, Enchufe cerca de la cama, Proporciona factura, Zona de fumadores, Toallas, Jardín, Servicio de limpieza diario, Escritorio, Información turística, Servicio de traslado, Papel higiénico, Calefacción, Habitaciones sin humo, Parking privado, Wifi rápida gratis (92 Mbps), Traslado aeropuerto, Bañera o ducha, Tarjetas de transporte público, Prohibido fumar en todo el alojamiento, Zona de comedor, Zona de comedor exterior, Aseo adicional, Parking en un garaje, Suelo de madera o parquet, Pediluvio, Servicio de conserjería, Canales por cable, Terraza, Español, Acceso a pisos superiores solo mediante escaleras, Armario, TV",Viña del Mar,Chile,"El Hostal Recreo goza de una excelente ubicación en un barrio residencial de Viña del Mar y ofrece alojamientos con conexión WiFi gratuita.

Las habitaciones del Recreo están bien equipadas con calefacción, baño privado con artículos de aseo gratuitos y TV de pantalla plana con canales por cable. Se proporcionan toallas y ropa de cama.

El Hostal Recreo dispone de cocina compartida, jardín, salón compartido y consigna de equipaje. Hay aparcamiento gratuito.

El albergue está cerca del transporte público que conecta con los centros de Viña del Mar y Valparaíso. La terminal de autobuses de Viña del Mar está a 2,5 km. El aeropuerto internacional de Santiago está a 83 km. Se ofrece servicio de traslado por un suplemento."
Belle Epoque Hostal,US$69,"9,4",Fantástico,231,https://cf.bstatic.com/xdata/images/hotel/max1024x768/369032919.webp?k=425cdeec605d5ac2bcc147ec7abc37e99e21b10c1501647a48808e9f2e8d7343&o=,https://www.booking.com/hotel/cl/belle-epoque.es.html?aid=2410095,"Canales de pago, Inglés, Guardaequipaje, Habitaciones familiares, TV de pantalla plana, Extintores, Toallas / sábanas (por un suplemento), Wifi rápida gratis (324 Mbps), Artículos de aseo gratis, Registro de entrada / salida privado, WC, Vistas, Cámaras de seguridad fuera del alojamiento, Ducha, Ropa de cama, Mobiliario exterior, Perchero, Zona TV / salón de uso compartido, Baño privado, Enchufe cerca de la cama, Servicio de planchado, Proporciona factura, Zona de fumadores, Toallas, Jardín, Servicio de streaming (como Netflix), Servicio de lavandería, Cámaras de seguridad en las zonas comunitarias, Papel higiénico, Calefacción, Habitaciones sin humo, Secador de pelo, Bañera o ducha, Prohibido fumar en todo el alojamiento, Zona de comedor, Vistas al jardín, Patio, Suelo de madera o parquet, Canales por cable, Terraza, Español, Desayuno fantástico, Seguridad 24 horas, Armario, TV",Viña del Mar,Chile,"Belle Epoque Hostal se encuentra en Viña del Mar, a 18 min a pie de Caleta Abarca, y ofrece jardín, habitaciones libres de humo, wifi gratis en todo el alojamiento y salón de uso común. El alojamiento está a 2 km de Playa del Sol, a 2,5 km de Playa Blanca y a 12 min a pie de Terminal de Bus de Viña del Mar. Las habitaciones disponen de patio.

En el hostal o pensión, cada habitación tiene armario, TV de pantalla plana, baño privado, ropa de cama, toallas y una terraza con vistas al jardín.

En Belle Epoque Hostal se puede disfrutar de un desayuno buffet o continental.

Cerca del alojamiento hay puntos de interés como Reloj de Flores, Castillo Wulff y Valparaiso Sporting Club. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 115 km del alojamiento."
RUSTIKA Bed and breakfast,US$64,"8,4",Muy bien,630,https://cf.bstatic.com/xdata/images/hotel/max1024x768/482893942.webp?k=bc9a662b46abd9aba2e892e32135ccd6ca91a8a54c7b13f7e1ac2350e9b42e4f&o=,https://www.booking.com/hotel/cl/occidental-500.es.html?aid=2410095,"Inglés, Guardaequipaje, Habitaciones familiares, Extintores, Parking gratis, Toallas / sábanas (por un suplemento), Chimenea exterior, Juegos de mesa / puzles, Llave de acceso, Zona de pícnic, Artículos de aseo gratis, Registro de entrada / salida privado, WiFi gratis, Vistas, Cámaras de seguridad fuera del alojamiento, Detectores de humo, Ducha, Ropa de cama, Tours en bici, Cafetería en el alojamiento, Barbacoa, Mobiliario exterior, Perchero, Registro de entrada y salida exprés, Zona TV / salón de uso compartido, Baño privado, Zona de fumadores, Proporciona factura, Recepción 24 horas, Toallas, Jardín, Servicio de limpieza diario, Servicio de lavandería, Cámaras de seguridad en las zonas comunitarias, Información turística, Servicio de traslado, Papel higiénico, Calefacción, Habitaciones sin humo, Aire acondicionado, Traslado aeropuerto, Bañera o ducha, Prohibido fumar en todo el alojamiento, Snack-bar, Patio, Supermercado pequeño en el alojamiento, Muy buen desayuno, Español, Terraza, Insonorización, Alarma de seguridad, Seguridad 24 horas",Viña del Mar,Chile,"RUSTIKA Bed and breakfast se encuentra en Viña del Mar, a 1,7 km de Caleta Abarca, y ofrece alojamiento con jardín, parking privado gratis, salón de uso común y terraza. El alojamiento está cerca de varios lugares de interés destacados, a unos 1,7 km de Terminal de Bus de Viña del Mar, a 17 min a pie de Reloj de Flores y a 1,7 km de Castillo Wulff. Este alojamiento libre de humo está a 2,4 km de Playa del Sol.

En el hostal o pensión, todas las habitaciones cuentan con patio. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de wifi gratis. Algunas de las habitaciones también disponen de vistas al jardín. En RUSTIKA Bed and breakfast, todas las habitaciones tienen ropa de cama y toallas.

En la recepción 24 horas se habla inglés y español, y el personal está dispuesto a ayudar en cualquier momento.

Playa Blanca está a 2,9 km del alojamiento, y Valparaiso Sporting Club está a 4,1 km. El aeropuerto más cercano (Aeropuerto Arturo Merino Benítez) está a 113 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto."
