hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hospedaje Rampolla's,https://www.booking.com/hotel/pa/hospedaje-rampolla-39-s.es.html?aid=2410095,"Hospedaje Rampolla's se encuentra en Volcán y dispone de jardín. Hay terraza, wifi gratis y parking privado gratis.

En el hotel cápsula, todas las habitaciones cuentan con un patio con vistas a la montaña. Todas las unidades incluyen baño privado, artículos de aseo gratuitos y ropa de cama.

El personal de recepción siempre está dispuesto a ofrecer información.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 59 km del alojamiento.","Baño privado, Servicio de entrega de comestibles, WiFi gratis, Canales por cable, Canales vía satélite, Vistas a la montaña, Toallas / sábanas (por un suplemento), Vistas al jardín, Parking adaptado para personas de movilidad reducida, Artículos de aseo gratis, Perchero, Recepción 24 horas, Patio, Registro de entrada / salida privado, Habitaciones familiares, Entrada privada, Parking gratis, Español, TV, Suelo de baldosa / mármol, Servicio de lavandería, Toda la unidad accesible en silla de ruedas, Papel higiénico, Canales de pago, Jardín, Toda la unidad en la planta baja, Almuerzos para llevar, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Ropa de cama, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/442424288.jpg?k=e6c93b43ec014efc0cc9f0ba07edca00587d7213508617561eeb84ae51c9dfc9&o=&hp=1,Volcán,Panamá
Mia Volcan,https://www.booking.com/hotel/pa/mia-volcan.es.html?aid=2410095,"Mia Volcan, que tiene jardín, está en Volcán. Este alojamiento ofrece cocina compartida y salón de uso común, además de wifi gratis en todo el alojamiento. Algunas unidades del alojamiento disponen de un balcón con vistas a la montaña.

En el hostal o pensión, las habitaciones están equipadas con ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 60 km.","Habitaciones familiares, Zona TV / salón de uso compartido, Prohibido fumar en todo el alojamiento, Sala de juegos, Parking gratis, WiFi gratis, Jardín, Español, Juegos de mesa / puzles, Inglés, Toallas, Perchero, Ropa de cama, Cocina compartida, WC, Habitaciones sin humo, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/430070293.jpg?k=0568805bd75ec6d861fe7050c4cdd29daedaa5cd7b9ea24845ad24e728e54cc2&o=&hp=1,Volcán,Panamá
Hotel Dos Rios,https://www.booking.com/hotel/pa/dos-rios.es.html?aid=2410095,"Hotel Dos Rios se encuentra en Volcán y dispone de jardín, terraza, restaurante y wifi gratis en todo el alojamiento. El hotel tiene habitaciones familiares.

En el hotel se puede disfrutar de un desayuno a la carta o americano.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 61 km del alojamiento.","Habitaciones familiares, Restaurante, Masajes, Jardín, WiFi gratis, Desayuno, Inglés, Aire acondicionado, Terraza, Habitaciones sin humo, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/138291574.jpg?k=ee6d34dab36768a103aedc357c2dee06f3b9e7496a321c32817ebf42e0c4d18d&o=&hp=1,Volcán,Panamá
Los Brezos Hotel Boutique,https://www.booking.com/hotel/pa/los-brezos.es.html?aid=2410095,"Los Brezos Hotel Boutique se encuentra en Volcán y ofrece alojamiento de 4 estrellas con bar. Cuenta con restaurante, recepción 24 horas, servicio de habitaciones y WiFi gratuita en todas las instalaciones. El alojamiento ofrece entretenimiento nocturno y un salón compartido.

Las habitaciones disponen de aire acondicionado, escritorio, cafetera, minibar, caja fuerte, TV de pantalla plana y baño privado con ducha. Las habitaciones de Los Brezos Hotel Boutique incluyen ropa de cama y toallas.

El establecimiento sirve un desayuno americano o vegetariano.

Los Brezos Hotel Boutique se encuentra a 37 km de Aguas Claras y a 15 km de Cerro Punta. El aeropuerto más cercano es el aeropuerto internacional Enrique Malek, a 57 km del hotel.

Los niños de 0 a 10 años no pagan en una habitación compartida con sus padres. El desayuno infantil no está incluido.","Baño privado, Servicio de planchado, Servicio de entrega de comestibles, Zona TV / salón de uso compartido, Zona de fumadores, Menú para niños, Toallas / sábanas (por un suplemento), Proporciona factura, Cafetera, Registro de entrada / salida privado, Entrada privada, Plancha para ropa, TV, Inglés, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Vino / champán, Servicio de habitaciones, Almuerzos para llevar, Tours en bici, Guardaequipaje, Restaurante, Prohibido fumar en todo el alojamiento, Salas de reuniones / banquetes, Fruta, Fax / fotocopiadora, Caja fuerte para ordenador portátil, Secador de pelo, Aire acondicionado, Ducha, Sofá, Parking gratis, Español, Adaptado personas de movilidad reducida, Plancha para pantalones, Servicio de lavandería, Servicio de limpieza diario, Habitaciones insonorizadas, Ropa de cama, TV de pantalla plana, WiFi gratis, Mobiliario exterior, Canales por cable, Productos de limpieza, Escritorio, Servicio de limpieza en seco, Extintores, Enchufe cerca de la cama, Juegos de mesa / puzles, Buen desayuno, Ventilador, Teléfono, Seguridad 24 horas, Bar, Recepción 24 horas, Habitaciones familiares, Vestidor, Radio, Caja fuerte, Albornoz, Adaptado para sillas de ruedas, Bañera o ducha, Papel higiénico, Reloj despertador, Servicio de conserjería, Entretenimiento nocturno, Cafetería en el alojamiento, Toallas, Desayuno en la habitación, Información turística, Noches de cine, Cámaras de seguridad fuera del alojamiento, Servicio de traslado, Artículos de aseo gratis, Perchero, Centro de negocios, Armario, Happy hour, Minibar, WC",https://cf.bstatic.com/xdata/images/hotel/max1024x768/299665960.jpg?k=a5d089af5c6df6a0b2c8b966749457c7f97e6d2713dcb3b4032c65f6c64d6e09&o=&hp=1,Volcán,Panamá
cabanas las molas,https://www.booking.com/hotel/pa/cabanas-las-molas-volcan.es.html?aid=2410095,"Cabanas las molas está en Volcán y dispone de wifi gratis, jardín y terraza.

Todas las unidades disponen de TV de pantalla plana por cable, baño privado con ducha y cocina totalmente equipada.

El apartahotel ofrece zona de juegos infantil.

El aeropuerto (Aeropuerto internacional Enrique Malek) está a 57 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Equipamiento de juegos para exterior, Baño privado, Servicio de planchado, Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Utensilios de cocina, Canales por cable, Zona de fumadores, Servicio de traslado, Proporciona factura, Extintores, Enchufe cerca de la cama, Artículos de aseo gratis, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Entrada privada, Parking gratis, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Plancha para pantalones, Zona de juegos para niños, Servicio de lavandería, Inglés, Traslado aeropuerto, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Servicio de limpieza diario, Zona de pícnic, Toda la unidad en la planta baja, Jardín, Llave de acceso, Toallas, Información turística, Ropa de cama, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/526164231.jpg?k=f351250c71c7c64d584657845a3f5c270001d17712f388c431d162dc172c529d&o=&hp=1,Volcán,Panamá
Cabañas Mountain View,https://www.booking.com/hotel/pa/cabanas-mountain-view-volcan.es.html?aid=2410095,"Cabañas Mountain View se encuentra en Volcán y dispone de vistas al jardín, wifi gratis y parking privado gratis.

El apartamento ofrece terraza, vistas a la montaña, zona de estar, TV de pantalla plana, cocina totalmente equipada con nevera y fogones, y baño privado con ducha y artículos de aseo gratuitos.

Hay un jardín con barbacoa en este alojamiento, y en la zona se puede practicar senderismo.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 65 km del alojamiento.","Servicio de streaming (como Netflix), Baño privado, Equipamiento de juegos para exterior, Prohibido fumar en todo el alojamiento, Cocina, WiFi gratis, Vistas, Vistas a un patio interior, Mobiliario exterior, Utensilios de cocina, Zona de fumadores, Productos de limpieza, Servicio de traslado, Vistas a la montaña, Zona de estar, Servicio de limpieza en seco, Zona de comedor exterior, Barbacoa, Vistas al jardín, Enchufe cerca de la cama, Cafetera, Artículos de aseo gratis, Alemán, Perchero, Fogones, Patio, Registro de entrada / salida privado, Habitaciones familiares, Ducha, Entrada privada, Parking gratis, Terraza / solárium, Español, Adaptado personas de movilidad reducida, TV, Suelo de baldosa / mármol, Adaptado para sillas de ruedas, Mesa de comedor, Registro de entrada y salida exprés, Servicio de lavandería, Inglés, Senderismo, Chimenea exterior, Habitaciones sin humo, Papel higiénico, Zona de pícnic, Nevera, Jardín, Zona de cocina, Servicio de conserjería, Llave de acceso, Toallas, Información turística, Ropa de cama, Zona de comedor, WC, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/324895493.jpg?k=493c5535de97707ae9f3f618094068d0a0d8bdd7860042328ce55fd06f1a0fcf&o=&hp=1,Volcán,Panamá
La Cabaña de Bella,https://www.booking.com/hotel/pa/la-cabana-de-bella.es.html?aid=2410095,"La Cabaña de Bella se encuentra en Volcán y ofrece terraza. Este chalet de montaña dispone de jardín y parking privado gratis.

Este chalet de montaña tiene acceso directo a un balcón con vistas al jardín y cuenta con 1 dormitorio y cocina totalmente equipada. Se ofrece TV de pantalla plana.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 55 km del alojamiento.","Prohibido fumar en todo el alojamiento, Cocina, Portugués, WC, Barandillas de seguridad para bebés, Vistas al jardín, Ventilador, Perchero, Habitaciones familiares, Sofá, Parking gratis, Español, Inglés, Habitaciones sin humo, Papel higiénico, Jardín, Zona de cocina, Suelo de madera o parquet, Balcón, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/539303777.jpg?k=9e02183e11c27e967173551cdcd427685fb683b754d292260d3b183050fc21f6&o=&hp=1,Volcán,Panamá
Cozy Home,https://www.booking.com/hotel/pa/cozy-home-volcan.es.html?aid=2410095,"Cozy Home es un alojamiento con wifi gratis y vistas al jardín que está en Volcán. Esta casa o chalet dispone de jardín y parking privado gratis.

La casa o chalet cuenta con patio y vistas a la montaña, y tiene 3 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y fogones, y 1 baño con ducha. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 57 km.","Servicio de streaming (como Netflix), Baño privado, Prohibido fumar en todo el alojamiento, Independiente, Cocina, WiFi gratis, Calefacción, Vistas, Vistas a un patio interior, Cámaras de seguridad fuera del alojamiento, Mobiliario exterior, Utensilios de cocina, Vistas a la montaña, Zona de estar, Proporciona factura, Barbacoa, Vistas al jardín, Enchufe cerca de la cama, Ventilador, Juegos de mesa / puzles, Cafetera, Artículos de aseo gratis, Tetera / cafetera, Fogones, Patio, Registro de entrada / salida privado, Ducha, Sofá, Parking gratis, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Mesa de comedor, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Papel higiénico, Zona de pícnic, Nevera, Jardín, Zona de cocina, Llave de acceso, Tostadora, Toallas, Información turística, Ropa de cama, Zona de comedor, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/527680681.jpg?k=ed408df0cd1a798c7761664d37a13c6f5caccaacde98b261d99c89539b8da87c&o=&hp=1,Volcán,Panamá
Casa/cabaña de montaña con ambiente fresco,https://www.booking.com/hotel/pa/casa-cabana-de-montana-con-ambiente-fresco.es.html?aid=2410095,"Casa/cabaña de montaña con ambiente fresco está en Volcán. Este apartamento dispone de jardín y parking privado gratis.

El apartamento cuenta con balcón y vistas a la montaña, y tiene 4 dormitorios, una sala de estar, TV de pantalla plana, una cocina equipada con nevera y horno, y 2 baños con ducha.

El aeropuerto (Aeropuerto internacional Enrique Malek) está a 63 km.","Baño privado, Independiente, Cocina, Vistas, Tendedero, Utensilios de cocina, Productos de limpieza, Vistas a la montaña, Lavadora, Horno, Vistas al jardín, Enchufe cerca de la cama, Cafetera, Tetera / cafetera, Fogones, Habitaciones familiares, Ducha, Sofá, Plancha para ropa, Parking gratis, Español, TV, Suelo de baldosa / mármol, Detectores de humo, Mesa de comedor, Inglés, Secadora de ropa, Sofá cama, Bañera o ducha, Papel higiénico, Nevera, Jardín, Zona de cocina, Microondas, Ropa de cama, Vistas a un lugar de interés, Balcón, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/565840016.jpg?k=8f9f40bca49460270ec81b0e050633bd8acff69c5db6b217b5357734bb2b6f26&o=&hp=1,Volcán,Panamá
Don Chacon Fest,https://www.booking.com/hotel/pa/cabana-don-chacon-volcan.es.html?aid=2410095,"Don Chacon Fest se encuentra en Volcán. Este alojamiento ofrece parking privado gratis, wifi gratis y acceso a una terraza.

Este apartamento cuenta con 1 dormitorio, TV de pantalla plana y cocina.

El aeropuerto más cercano (Aeropuerto internacional Enrique Malek) está a 64 km.","Prohibido fumar en todo el alojamiento, Cocina, Parking gratis, WiFi gratis, Zona de cocina, Vistas al jardín, Español, Terraza, TV de pantalla plana",https://cf.bstatic.com/xdata/images/hotel/max1024x768/507091808.jpg?k=201c389bde85fe9e470b7e9efcdf8577b12f417d1d82f12b7beeb70d2c8111fc&o=&hp=1,Volcán,Panamá
