hotel,price,score,avg_review,reviews_count,image_links,hotel_url,popular_facilities,city,country,description
Hotel Amatista,US$72,"8,4",Muy bien,94,https://cf.bstatic.com/xdata/images/hotel/square600/206991190.webp?k=181b439417ab2c5e05dfb26179da6ba51bfc30643844352503bbbfe8dff018df&o=,https://www.booking.com/hotel/ar/amatista-wanda.es.html?aid=2410095,"Ducha, Productos de limpieza, Inodoro elevado, Desayuno, TV de pantalla plana, Jardín, Recepción 24 horas, Español, Abierta todo el año, Pileta/toallones, Inodoro con barras de apoyo, Papel higiénico, Bañera o ducha, Entrada privada, Escritorio, Baño compartido, Sombrillas, Lavamanos más bajo, Extintores, TV, Aire acondicionado, Estacionamiento en un garaje, Calefacción, Adaptado para sillas de ruedas, Horarios, Zona de comedor, Adaptado para personas con movilidad reducida, Zona TV/salón compartidos, Información turística, Acceso con llave, Wifi gratis, Zona de fumadores, Juguetes para la pileta, Patio, Alquiler de bicicletas, Estacionamiento gratuito, Restaurante, Portugués, Baño privado, Enchufe cerca de la cama, Para todas las edades, Toallas, Baño, Baño público, Servicio de conserjería, Armario, Canales por cable, Prohibido fumar en todo el establecimiento, Servicio de despertador/Reloj despertador, Bidé, Pileta al aire libre, Zona poco profunda, Artículos de tocador gratuitos, Detector de humo, Ropa de cama, Servicio de despertador",Wanda,Argentina,"El Hotel Amatista se encuentra en Wanda y cuenta con jardín. Cuenta con restaurante, recepción 24 horas, salón compartido y wifi gratis. Hay estacionamiento privado disponible por un adicional.

Todas las habitaciones están equipadas con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Todos los alojamientos del Hotel Amatista incluyen aire acondicionado y armario.

Todos los días se sirve un desayuno continental.

Puerto Iguazú se encuentra a 49 km del Hotel Amatista. El aeropuerto internacional Cataratas del Iguazú es el más cercano y queda a 29 km."
Hospedaje Los Laureles,US$23,"9,3",Fantástico,20,https://cf.bstatic.com/xdata/images/hotel/square600/428322157.webp?k=f831d97074ef73cdfbb433c1f941100154a35defdab18a53a5e473bc51de5c16&o=,https://www.booking.com/hotel/ar/hospedaje-los-laureles.es.html?aid=2410095,"Ducha, Pava eléctrica, Terraza, TV de pantalla plana, Balcón, Jardín, Manicura, Español, Cafetería en la propiedad, Tetera/Cafetera, Habitaciones para no fumadores, Servicio diario de limpieza, Papel higiénico, Peluquería/salón de belleza, Guardaequipaje, Zona de juegos interior, Alarma de seguridad, Sillas y reposeras, Servicio de lavandería, Servicios de belleza, Barandillas protectoras para bebés, Extintores, Calefacción, Aire acondicionado, Zona de comedor, Tetera/cafetera en todas las habitaciones, Zona TV/salón compartidos, Check-in/check-out privado, Información turística, Wifi gratis, Acceso con llave, Zona de fumadores, Cámaras de seguridad en áreas comunes, Estacionamiento gratuito, Mesa de comedor, Baño privado, Traslados (aeropuerto), Habitaciones familiares, Toallas, Parrilla, Inglés, Terraza/solárium, Utensilios de cocina, Servicio de transfer, Sala de juegos, Mobiliario exterior, Armario, Peinado, Plancha para pantalones, Servicio de delivery de alimentos, Prohibido fumar en todo el establecimiento, Cocina compartida, Cámaras de seguridad en exterior del alojamiento, Artículos de tocador gratuitos, Juegos de mesa/puzzles, Hidromasaje/jacuzzi, Heladera, Ropa de cama",Wanda,Argentina,"El Hospedaje Los Laureles se encuentra en Wanda, a 45 km de las cataratas del Iguazú, y ofrece alojamiento con jardín, estacionamiento privado gratuito, salón compartido y terraza. Ofrece habitaciones familiares y parrilla. El alojamiento cuenta con bañera de hidromasaje, cocina compartida y wifi gratis en todas las instalaciones.

Las habitaciones incluyen armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones incluyen heladera.

El Hospedaje Los Laureles se encuentra a 45 km del parque nacional de Iguazú y de las cataratas de Iguazú. El aeropuerto internacional de Cataratas del Iguazú, el más cercano, está a 46 km. Se proporciona servicio de link con el aeropuerto por un adicional."
Wanda Apart Hotel Las Palmas,US$45,"9,4",Fantástico,16,https://cf.bstatic.com/xdata/images/hotel/square600/164453463.webp?k=37339cf396072a27200f8a66dd0393f733b98caf8893e51393daf39810145f0c&o=,https://www.booking.com/hotel/ar/wanda-las-palmas-wanda.es.html?aid=2410095,"Zona de estar, Ducha, Productos de limpieza, Pava eléctrica, Perchero de barral, TV de pantalla plana, Jardín, Español, Tetera/Cafetera, Habitaciones para no fumadores, Abierta todo el año, Papel higiénico, Bañera o ducha, Vista, Kitchenette, Entrada privada, Sillas y reposeras, Secador de pelo, Sombrillas, Extintores, TV, Aire acondicionado, Cocina, Estacionamiento en un garaje, Proporciona factura, Vista al jardín, Juegos de mesa/rompecabezas, Calefacción, Zona de comedor, Tetera/cafetera en todas las habitaciones, Solárium, Información turística, Acceso con llave, Wifi gratis, Patio, Estacionamiento gratuito, Mesa de comedor, Baño privado, Enchufe cerca de la cama, Habitaciones familiares, Piso de baldosa/mármol, Toallas, Parrilla, Terraza/solárium, Utensilios de cocina, Hornalla, Ventilador, Mobiliario exterior, Armario, Canales por cable, Prohibido fumar en todo el establecimiento, Microondas, Bidé, Pileta al aire libre, Zona poco profunda, Horno, Artículos de tocador gratuitos, Juegos de mesa/puzzles, Heladera, Ropa de cama",Wanda,Argentina,"El Wanda Hotel Las Palmas se encuentra en Wanda y tiene jardín y zona de parrilla. Ofrece habitaciones familiares y solárium. Cuenta con pileta al aire libre abierta todo el año, wifi gratis y estacionamiento privado gratuito.

Las habitaciones del hotel están equipadas con aire acondicionado, zona de estar, TV de pantalla plana por cable, cocina, zona de comedor y baño privado con secador de pelo, bidet y ducha. Las habitaciones del Wanda Hotel Las Palmas están equipadas con ropa de cama y toallas.

El aeropuerto internacional Cataratas del Iguazú es el más cercano y queda a 28 km."
Cabaña La Perli,US$35,"9,4",Fantástico,27,https://cf.bstatic.com/xdata/images/hotel/square600/337343671.webp?k=327ef740da77b1741c64608a433537382e6ec658b303705334d5d9197a8aa4b8&o=,https://www.booking.com/hotel/ar/cabana-la-perli.es.html?aid=2410095,"Zona de estar, Perchero de barral, TV de pantalla plana, Jardín, Español, Lavarropas, Peluquería/salón de belleza, Bañera o ducha, Kitchenette, Ténder para la ropa, Entrada privada, Plancha para ropa, Calefacción, Canales de pago, Cocina, Parque acuático, Zona de comedor exterior, Chimenea, Vista al jardín, Aire acondicionado, Zona de fumadores, Patio, Mesa de comedor, Estacionamiento gratuito, Portugués, Enchufe cerca de la cama, Inglés, Toda la unidad está situada en planta baja, Utensilios de cocina, Hornalla, Ventilador, Mobiliario exterior, Casino, Sofá, Microondas, Bidé, Horno, Radio, Heladera, Toda la unidad es accesible mediante silla de ruedas",Wanda,Argentina,"La Cabaña La Perli se encuentra en Wanda, en la región de Misiones, y ofrece alojamiento con estacionamiento privado gratuito.

Todos los alojamientos cuentan con aire acondicionado y TV de pantalla plana.

El departamento está a 47 km de Foz do Iguaçu y a 41 km de Puerto Iguazú. El aeropuerto más cercano es el aeropuerto internacional Cataratas del Iguazú, ubicado a 28 km de la Cabaña La Perli."
Hospedaje Las Canelas,US$36,"9,3",Fantástico,7,https://cf.bstatic.com/xdata/images/hotel/square600/435691736.webp?k=912b7801e9e1da8de6359e87a391c411604d15ae8ad939fd7d3447dca70e210a&o=,https://www.booking.com/hotel/ar/hospedaje-las-canelas.es.html?aid=2410095,"Estacionamiento gratuito, Prohibido fumar en todo el establecimiento, Portugués, TV de pantalla plana, Español, Calefacción, Aire acondicionado, Cocina, Lavarropas, Vista al jardín, Wifi gratis, Vista",Wanda,Argentina,"El Hospedaje Las Canelas ofrece vistas al jardín y se encuentra en Wanda, a 47 km del parque nacional de Iguazú y de las cataratas de Iguazú. El alojamiento está a 47 km de las cataratas del Iguazú y cuenta con aire acondicionado, wifi gratis y estacionamiento privado.

Esta casa cuenta con 3 dormitorios, TV de pantalla plana y cocina.

El casino de Iguazú y la Garganta del Diablo se encuentran a 49 km de la casa. El aeropuerto más cercano es el aeropuerto internacional Cataratas del Iguazú, ubicado a 49 km del Hospedaje Las Canelas."
Joly,US$38,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/square600/520320545.webp?k=24d1053eee61bc7db128993be9a2e23dac277d9972ca2da3ee3c9e78b28933fd&o=,https://www.booking.com/hotel/ar/joly-wanda.es.html?aid=2410095,"Estacionamiento gratuito, Prohibido fumar en todo el establecimiento, Portugués, TV de pantalla plana, Balcón, Español, Aire acondicionado, Cocina, Alemán, Wifi gratis, Kitchenette",Wanda,Argentina,"El Joly se encuentra en Wanda, en la región de Misiones, y ofrece alojamiento con wifi gratis y estacionamiento privado gratuito.

Este alojamiento es para no fumadores."
Cabañas Ambarr,US$18,"4,0",Puntuación,4,https://cf.bstatic.com/xdata/images/hotel/square600/465321657.webp?k=13dc0115a76d740c5b1c3c060a5744dfe00ae1de679c0bae683e106358648261&o=,https://www.booking.com/hotel/ar/cabanas-ambarr.es.html?aid=2410095,"Ducha, Productos de limpieza, Pava eléctrica, TV de pantalla plana, Español, Bañera, Lavarropas, Abierta todo el año, Servicio diario de limpieza, Papel higiénico, Bañera o ducha, Vista, Toallas/sábanas (cargos extra), Entrada privada, Servicio de lavandería, Secadora de ropa, Plancha para ropa, Extintores, TV, Aire acondicionado, Calefacción, Horarios, Pileta de inmersión, Zona de comedor, Servicio de planchado, Check-in/check-out privado, Acceso con llave, Wifi gratis, Cámaras de seguridad en áreas comunes, Pileta privada, Estacionamiento gratuito, Mesa de comedor, Baño privado, Enchufe cerca de la cama, Protector de enchufes para menores, Habitaciones familiares, Baño, Parrilla, Seguridad las 24 horas, Utensilios de cocina, Armario, Plancha para pantalones, Instalaciones para planchar, Prohibido fumar en todo el establecimiento, Tobogán de agua, Baño adicional, Pileta al aire libre, Cámaras de seguridad en exterior del alojamiento, Centro de negocios, Artículos de tocador gratuitos, Servicio a la habitación, Heladera, Alarma de seguridad, Para todas las edades",Wanda,Argentina,"Las Cabañas Ambarr se encuentran en Wanda, a 46 km de las cataratas del Iguazú y del parque nacional de Iguazú, y ofrecen alojamiento con pileta al aire libre, wifi gratis en todas las instalaciones y estacionamiento privado gratuito. También cuenta con room service y parrilla. Este alojamiento para no fumadores se encuentra a 46 km de las cataratas del Iguazú.

Todas las habitaciones tienen armario. El baño es privado e incluye ducha y artículos de aseo gratuitos. Todas las habitaciones del Cabañas Ambarr están equipadas con aire acondicionado y TV de pantalla plana.

El casino Iguazú y la Garganta del Diablo se encuentran a 48 km. El aeropuerto más cercano es el aeropuerto internacional Cataratas del Iguazú, ubicado a 47 km de las Cabañas Ambarr."
Joly,US$40,"8,0",Muy bien,1,https://cf.bstatic.com/xdata/images/hotel/square600/520313448.webp?k=f964873d3b66667298b650173fa2ae3d2301479c9d5fcfc97c6cb6c09647de23&o=,https://www.booking.com/hotel/ar/joly.es.html?aid=2410095,"Estacionamiento gratuito, Prohibido fumar en todo el establecimiento, Portugués, TV de pantalla plana, Baño privado, Balcón, Español, Aire acondicionado, Cocina, Sofá cama, Alemán, Wifi gratis, Kitchenette",Wanda,Argentina,El Joly se encuentra en Wanda.
El Olimpo,US$62,"9,4",Fantástico,14,https://cf.bstatic.com/xdata/images/hotel/square600/240669996.webp?k=10dca0494f092650db9da8b06d2677b22ac6d7a1054722b7aa4060c0c5de31a9&o=,https://www.booking.com/hotel/ar/el-olimpo-colonia-wanda-iguazu-pcia-de-misiones.es.html?aid=2410095,"Zona de estar, Ducha, Productos de limpieza, Perchero de barral, TV de pantalla plana, Jardín, Senderismo, Bañera, Español, Tetera/Cafetera, Habitaciones para no fumadores, Abierta todo el año, Servicio diario de limpieza, Valla alrededor de la pileta, Papel higiénico, Chimenea exterior, Bañera o ducha, Alemán, Entrada privada, Vista, Sillas y reposeras, Vista a un patio interno, Calefacción, TV, Canales de pago, Estacionamiento en un garaje, Cocina, Parque acuático, Solárium, Vista a la pileta, Vista al jardín, Zona de comedor, Aire acondicionado, Extintores, Check-in/check-out privado, Información turística, Wifi gratis, Sofá cama, Zona de fumadores, Patio, Cámaras de seguridad en áreas comunes, Acceso con llave, Estacionamiento gratuito, Mesa de comedor, Baño privado, Enchufe cerca de la cama, Estacionamiento adaptado para personas con movilidad reducida, Habitaciones familiares, Piso de baldosa/mármol, Toallas, Baño, Parrilla, Inglés, Independiente, Toda la unidad está situada en planta baja, Seguridad las 24 horas, Utensilios de cocina, Hornalla, Ventilador, Servicio de conserjería, Armario, Canales por cable, Prohibido fumar en todo el establecimiento, Sofá, Bidé, Pileta al aire libre, Pesca, Horno, Habitaciones comunicadas disponibles, Mosquitero, Heladera, Toda la unidad es accesible mediante silla de ruedas, Alarma de seguridad, Para todas las edades",Wanda,Argentina,"El Olimpo se encuentra en Wanda. Se encuentra a 50 km de Puerto Iguazú y ofrece aire acondicionado, estacionamiento privado y wifi gratis.

El departamento cuenta con 2 dormitorios, 1 baño, ropa de cama, toallas, TV de pantalla plana con canales por cable, zona de comedor, cocina totalmente equipada y patio con vistas al jardín.

El alojamiento alberga un jardín con parrilla. En las inmediaciones se puede pescar.

El aeropuerto más cercano es el aeropuerto internacional Cataratas del Iguazú, a 30 km del departamento."
Los Zorzales,US$160,ver...,,ver...,https://cf.bstatic.com/xdata/images/hotel/square600/501902151.webp?k=80d8a525eb221f4a3d76d6ec8ad918c4ba185d89ce6af55f1a4fa5756819a8e9&o=,https://www.booking.com/hotel/ar/los-zorzales-wanda2.es.html?aid=2410095,"Estacionamiento gratuito, Portugués, TV de pantalla plana, Español, Calefacción, Aire acondicionado, Cocina, Vista al jardín, Wifi gratis, Vista, Kitchenette",Wanda,Argentina,"Los Zorzales se encuentra en Wanda, a solo 46 km de las cataratas del Iguazú, y ofrece alojamiento con vistas al jardín, wifi gratis y estacionamiento privado gratuito. Esta casa se encuentra a 49 km del casino Iguazú y de la Garganta del Diablo.

Esta casa cuenta con aire acondicionado, 4 dormitorios, TV de pantalla plana y cocina.

La casa se encuentra a 47 km del parque nacional de Iguazú y de las cataratas del Iguazú. El aeropuerto más cercano es el aeropuerto internacional Cataratas del Iguazú, ubicado a 48 km de Los Zorzales."
