hotel,hotel_url,description,popular_facilities,highres_url,city,country
GHL Style Yopal,https://www.booking.com/hotel/co/ghl-style-yopal.es.html?aid=2410095,"El GHL Style Yopal es un hotel de estilo moderno situado en el gran Plaza Mall Alcaravan, a 2,3 km del centro deportivo Yopal. Hay conexión WiFi gratuita en todas las instalaciones. Todos los días se sirve un desayuno buffet y hay WiFi gratuita en todas las instalaciones.

Las habitaciones del GHL Style Yopal tienen aire acondicionado, TV por cable, minibar y baño privado con ducha, secador de pelo y artículos de aseo gratuitos.

El GHL Style Yopal cuenta con recepción 24 horas y terraza. Los huéspedes pueden disfrutar del restaurante y del espectáculo Llanera que se celebra todos los jueves, previa reserva.

El aeropuerto de El Alcaravan está a 3 km del GHL Style Yopal. Se ofrece servicio de traslado por un suplemento.","Secador de pelo, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Teléfono, Minibar, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Cenas temáticas, WC elevado, Baño privado, Centro de negocios, Desayuno fantástico, Extintores, TV, Aire acondicionado, WC con barras de apoyo, Inglés, Armario, Masajes, Traslado aeropuerto, Vino / champán, Menú para niños, Información turística, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Zona TV / salón de uso compartido, Ping pong, Ropa de cama, Servicio de traslado, Fruta, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Proporciona factura, Plancha para ropa, Reloj despertador, Cuerda de emergencia en el baño, Radio, Canales por cable, Tarjeta de acceso, Cafetera, Desayuno en la habitación, Gimnasio, Servicio de planchado, Servicio de despertador, Escritorio, Servicio de lavandería, Salas de reuniones / banquetes, WC, Masaje corporal completo, Terraza / solárium, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, TV de pantalla plana, Adaptado personas de movilidad reducida, Toallas, Español, Ascensor, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/462902539.jpg?k=c64ccc90c2b1577bb23c7e1d43e1b4d3bfdc81251cd6fb32219b6a5d4a7aeb42&o=&hp=1,Yopal,Colombia
Hampton By Hilton Yopal,https://www.booking.com/hotel/co/hampton-by-hilton-yopal.es.html?aid=2410095,"El Hampton By Hilton Yopal incluye un centro de fitness, y está situado en la zona de Altos de Manare de Yopal. El establecimiento dispone de conexión WiFi y aparcamiento gratuitos.

Las habitaciones ofrecen vistas a la montaña y a la ciudad, y cuentan con aire acondicionado, bañera de hidromasaje, escritorio, caja fuerte y una nevera pequeña. Los alojamientos incluyen un baño privado con ducha y secador de pelo.

El Hampton By Hilton Yopal dispone de una terraza y una bañera de hidromasaje. La recepción está abierta las 24 horas. El centro de fitness está situado en la terraza, y ofrece vistas a la ciudad.

El centro comercial Alcaraván se encuentra a un paseo de 3 minutos. El aeropuerto Alcaraván queda a solo 2 km.","Servicio de entrega de comestibles, Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Caja fuerte, Cafetería en el alojamiento, Teléfono, Habitaciones sin humo, Almuerzos para llevar, Adaptado para sillas de ruedas, Lavamanos más bajo, Recepción 24 horas, Inglés, Calefacción, Centro de negocios, Aire acondicionado, Extintores, WC con barras de apoyo, Vino / champán, Menú para niños, Servicio de limpieza en seco, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Registro de entrada y salida exprés, Parking gratis, Zona TV / salón de uso compartido, Fruta, Seguridad 24 horas, WiFi gratis, Buen desayuno, Detectores de humo, Bañera de hidromasaje / jacuzzi, Proporciona factura, Zona de fumadores, Caja fuerte para ordenador portátil, Buffet para niños, Habitaciones insonorizadas, Tarjeta de acceso, Llave de acceso, Gimnasio, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Salas de reuniones / banquetes, Apoyo visual: braille, Cámaras de seguridad fuera del alojamiento, Bar, Restaurante, Tumbonas/sillas de playa, Adaptado personas de movilidad reducida, Habitaciones familiares, Español, Ascensor, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/486130677.jpg?k=0c1518aac3623454e89c166a852f786227b76faac01374dfd0a3be5305b4e61d&o=&hp=1,Yopal,Colombia
"Holiday Inn Express Yopal, an IHG Hotel",https://www.booking.com/hotel/co/holiday-inn-express-yopal-yopal.es.html?aid=2410095,"El Holiday Inn Express Yopal ofrece piscina al aire libre, conexión WiFi gratuita y centro de fitness y se encuentra en Yopal, Colombia. La Brigada XVI está a 8 minutos en coche.

Las habitaciones disponen de TV de pantalla plana, aire acondicionado, escritorio, caja fuerte, minibar y cafetera.

El Yopal Holiday Inn Express cuenta con recepción 24 horas, mostrador de información turística, consigna de equipaje y aparcamiento gratuito.

El hospital de Yopal se encuentra a 450 metros y el centro educativo Braulio González, a 500 metros. La alcaldía municipal está a 2,1 km.","Secador de pelo, Terraza, Horario de apertura, Supermercado pequeño en el alojamiento, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Teléfono, Senderismo, Suelo de madera o parquet, Lavamanos más bajo, Baño privado, Centro de negocios, Extintores, WC con barras de apoyo, Tour o clase sobre cultura local, Servicio de limpieza en seco, Parking gratis, Parking en un garaje, Tours en bici, Ropa de cama, Toallas de playa/piscina, Proporciona factura, Mobiliario exterior, Utensilios de planchado, Máquina expendedora (bebidas), Piscina con vistas, Cajero automático en el hotel, WC elevado, Aire acondicionado, Cámaras de seguridad en las zonas comunitarias, Muy buen desayuno, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Máquina expendedora (aperitivos), Enchufe cerca de la cama, Cuerda de emergencia en el baño, Pesca, Canales por cable, Piscina al aire libre, Tarjeta de acceso, Cafetera, Llave de acceso, Equitación, Escritorio, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, Adaptado personas de movilidad reducida, Plancha para pantalones, Habitaciones familiares, Servicio de despertador / alarma, Papel higiénico, Fax / fotocopiadora, Parking adaptado para personas de movilidad reducida, Caja fuerte, Adaptado para sillas de ruedas, TV, Ciclismo, Armario, Servicio de traslado, Acceso a pisos superiores en ascensor, Seguridad 24 horas, Detectores de humo, Reloj despertador, Tours a pie, Servicio de planchado, Guardaequipaje, Apoyo visual: braille, Terraza / solárium, TV de pantalla plana, Toallas, Español, Nevera, Zona de fumadores, Prohibido fumar en todo el alojamiento, Baños públicos, Vistas, Recepción 24 horas, Inglés, Traslado aeropuerto, Información turística, Registro de entrada / salida privado, Menús para dietas especiales (bajo petición), Ducha, Plancha para ropa, Radio, Gimnasio, Servicio de despertador, Para todas las edades, Servicio de lavandería, Abierta todo el año, Tumbonas/sillas de playa, Vistas a la ciudad, Ascensor, Zona poco profunda, Artículos de aseo gratis, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/584141094.jpg?k=d3489cf243802faa2d4b2fec2a28b51ef07f3907d45b5884f071c3b942e405ea&o=&hp=1,Yopal,Colombia
hotel villa morenta,https://www.booking.com/hotel/co/villa-morenta.es.html?aid=2410095,"Hotel villa morenta ofrece alojamiento en Yopal. El alojamiento dispone de recepción 24 horas.

En el hotel, cada habitación dispone de armario. Las habitaciones de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de wifi gratis. Algunas de las habitaciones incluyen vistas a la ciudad.

El aeropuerto (Aeropuerto de El Yopal) está a 4 km.","Armario, Perchero, Productos de limpieza, Baño privado, Toallas, Español, Recepción 24 horas, Aire acondicionado, Artículos de aseo gratis, WiFi gratis, Ducha, Papel higiénico, Enchufe cerca de la cama",https://cf.bstatic.com/xdata/images/hotel/max1024x768/320695566.jpg?k=6f98649f8af1c71bb76131b127821e4a8659ce615df41d45cc6819cf35d47799&o=&hp=1,Yopal,Colombia
Casa Cabieles Hostal,https://www.booking.com/hotel/co/casa-cabieles.es.html?aid=2410095,"Casa Cabieles Hostal, en Yopal, ofrece alojamiento con jardín y terraza. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, centro de negocios y wifi gratis en todo el alojamiento.

En el hostal o pensión, todas las habitaciones incluyen armario y TV de pantalla plana. En Casa Cabieles Hostal, las habitaciones disponen de ropa de cama y toallas.

El aeropuerto (Aeropuerto de El Yopal) está a 3 km.","Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Vistas, Recepción 24 horas, Inglés, Centro de negocios, Jardín, Armario, Traslado aeropuerto, Información turística, Servicio de limpieza en seco, Registro de entrada / salida privado, Servicio de conserjería, Ropa de cama, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Proporciona factura, Mobiliario exterior, Vistas al jardín, Servicio de planchado, Acceso al salón executive, Servicio de lavandería, Salas de reuniones / banquetes, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/576245950.jpg?k=eb1f53d8cfed36091e5f0fb07afafe511e793d8a071efe29eddec0a561ccf4fd&o=&hp=1,Yopal,Colombia
Hotel Canacabare Plaza,https://www.booking.com/hotel/co/canacabare-plaza.es.html?aid=2410095,"Hotel Canacabare Plaza se encuentra en Yopal. El alojamiento ofrece servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, cada habitación está equipada con escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones de este alojamiento incluyen aire acondicionado y armario.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 4 km del alojamiento.","Alarma de seguridad, Bañera o ducha, Teléfono, Toallas / sábanas (por un suplemento), Recepción 24 horas, Baño privado, Aire acondicionado, Extintores, TV, Armario, Información turística, Cámaras de seguridad en las zonas comunitarias, Ropa de cama, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, Servicio de habitaciones, Ruta de bares, Bañera, Vistas a un patio interior, Vistas a la montaña, Escritorio, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Nevera, Artículos de aseo gratis, Papel higiénico, Zona de fumadores",https://cf.bstatic.com/xdata/images/hotel/max1024x768/326350729.jpg?k=d46d8c6962dd277d637ec019f711b17dedaa0176096836dc89ea20783eb2bb8e&o=&hp=1,Yopal,Colombia
Hostal Esperanza & David House,https://www.booking.com/hotel/co/habitacion-privada-en-yopal.es.html?aid=2410095,"Hostal Esperanza & David House ofrece alojamiento en Yopal. El alojamiento dispone de servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hostal o pensión, cada habitación tiene armario. En Hostal Esperanza & David House, las habitaciones cuentan con aire acondicionado y TV de pantalla plana, y algunas también ofrecen vistas a la ciudad. En el alojamiento, todas las habitaciones cuentan con ropa de cama y toallas.

El aeropuerto (Aeropuerto de El Yopal) está a 3 km.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Aire acondicionado, Extintores, TV, Armario, Cámaras de seguridad en las zonas comunitarias, Registro de entrada / salida privado, Ropa de cama, Seguridad 24 horas, WiFi gratis, Ducha, Servicio de habitaciones, Llave de acceso, WC, Servicio de streaming (como Netflix), TV de pantalla plana, Toallas, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/452426366.jpg?k=12efefcbffd2e0189c87b8ec6e226c16d58db7b2741b0d1a8554eeacada08c4d&o=&hp=1,Yopal,Colombia
Hotel Sol de Piedemonte,https://www.booking.com/hotel/co/sol-de-piedemonte-yopal1.es.html?aid=2410095,"Hotel Sol de Piedemonte se encuentra en Yopal y dispone de centro de fitness, jardín y wifi gratis en todo el alojamiento. Hay parking privado gratis y hotel también ofrece alquiler de coches para descubrir los alrededores.

En el hotel, las habitaciones cuentan con escritorio. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas de las habitaciones tienen balcón. En Hotel Sol de Piedemonte, todas las habitaciones están equipadas con ropa de cama y toallas.

La recepción ofrece información sobre cómo y por dónde moverse en la zona.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 4 km del alojamiento.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Teléfono, Recepción 24 horas, Baño privado, Jardín, Extintores, Aire acondicionado, TV, Tarjetas de transporte público, Armario, Información turística, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Registro de entrada / salida privado, Desayuno fabuloso, Ropa de cama, Acceso a pisos superiores en ascensor, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Proporciona factura, Cesta para mascotas, Alquiler de coches, Productos de limpieza, Tarjeta de acceso, Llave de acceso, Gimnasio, Servicio de despertador, Escritorio, Guardaequipaje, Servicio de lavandería, WC, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Ascensor, Nevera, Artículos de aseo gratis, Papel higiénico, Fax / fotocopiadora, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/356604013.jpg?k=8a36dc402a0b497ba1f5121d25759c2a366275d67010feb3742ff4c142352715&o=&hp=1,Yopal,Colombia
Ayenda Vanguard,https://www.booking.com/hotel/co/ayenda-vanguard.es.html?aid=2410095,"Ayenda Vanguard se encuentra en Yopal. El alojamiento ofrece recepción 24 horas y servicio de organización de tours.

Las habitaciones de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones del alojamiento tienen wifi gratis y baño privado con ducha y artículos de aseo gratuitos. En el hotel, cada habitación tiene ropa de cama y toallas.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 4 km del alojamiento.","Prohibido fumar en todo el alojamiento, Habitaciones sin humo, Recepción 24 horas, Baño privado, TV, Información turística, Ropa de cama, WiFi gratis, Ducha, Enchufe cerca de la cama, Llave de acceso, Servicio de despertador, Servicio de lavandería, WC, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/349509901.jpg?k=5c998ff48e006e86d968bc3a91337c335703b5a1662fa512bec5eedda81136cd&o=&hp=1,Yopal,Colombia
Hotel Luna Roja del Llano,https://www.booking.com/hotel/co/luna-roja-del-llano.es.html?aid=2410095,"Hotel Luna Roja del Llano está en Yopal y tiene jardín. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, cada habitación está equipada con un balcón con vistas al jardín. Las habitaciones de este alojamiento tienen baño privado con bañera o ducha y artículos de aseo gratuitos, y también tienen vistas a la ciudad. En Hotel Luna Roja del Llano, las habitaciones están equipadas con aire acondicionado y TV de pantalla plana.

El personal de la recepción 24 horas puede dar consejos sobre la zona.

El aeropuerto más cercano (Aeropuerto de El Yopal) está a 4 km.","Terraza, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Teléfono, Minibar, Vistas, Recepción 24 horas, Baño privado, Jardín, Aire acondicionado, TV, Armario, Perchero, Parking gratis, Patio, Desayuno fabuloso, WiFi gratis, Servicio de habitaciones, Mesa de comedor, Enchufe cerca de la cama, Plancha para ropa, Canales por cable, Vistas al jardín, Zona de comedor, TV de pantalla plana, Balcón, Toallas, Habitaciones familiares, Tendedero, Vistas a la ciudad, Español, Artículos de aseo gratis, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/293683964.jpg?k=6e2781835a2484813477a26706bcaa92005913e70410e8ad59ab684f9e799253&o=&hp=1,Yopal,Colombia
