hotel,hotel_url,description,popular_facilities,highres_url,city,country
Tullpa Rumy,https://www.booking.com/hotel/pe/tullpa-rumy.es.html?aid=2410095,"Tullpa Rumy dispone de jardín, terraza, restaurante y bar en Yungay. Hay parking privado gratis y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.

Todas las unidades de este alojamiento están equipadas con TV de pantalla plana. Las habitaciones del alojamiento tienen baño privado con bidet y artículos de aseo gratuitos, y también tienen vistas a la montaña.

Hay opciones continentales o americanas de desayuno disponibles todas las mañanas en el hostal o pensión.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 44 km.","Parking en un garaje, Vistas al jardín, Desayuno, Parking gratis, Tours en bici, Traslado aeropuerto, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Servicio de entrega de comestibles, Bar, Mobiliario exterior, WiFi gratis, TV, Menú para niños, Vistas a un lugar de interés, WC, Servicio de traslado, Servicio de habitaciones, Toallas, Vino / champán, Jardín, Artículos de aseo gratis, Cafetería en el alojamiento, Vistas a la montaña, Tours a pie, Español, Baño privado, Habitaciones sin humo, Vistas, Restaurante, Zona de pícnic, TV de pantalla plana, Ducha, Desayuno en la habitación, Calefacción, Habitaciones familiares, Bidet",https://cf.bstatic.com/xdata/images/hotel/max1024x768/528056471.jpg?k=249573e6e2e647f78ebad2fdbe3fe9a6090f539b1392bb3f2d61e4ecc44cf705&o=&hp=1,Yungay,Perú
Alpamayo Casa Hotel - Restaurante,https://www.booking.com/hotel/pe/casa-hostal-alpamayo.es.html?aid=2410095,"Alpamayo Casa Hotel - Restaurante tiene centro de fitness, jardín, salón de uso común y terraza en Yungay. El alojamiento tiene un bar y un restaurante que sirve cocina peruana. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, cocina compartida y wifi gratis.

Las unidades están equipadas con TV de pantalla plana con canales por cable, hervidor, ducha, artículos de aseo gratuitos y armario. En el hotel, cada habitación cuenta con baño privado y bañera, y algunas también ofrecen patio.

Alpamayo Casa Hotel - Restaurante ofrece zona de juegos infantil. Se puede jugar a los dardos en el alojamiento, y también hay alquiler de bicicletas y alquiler de coches.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 31 km.","Sala de juegos, Parking en un garaje, Vistas al jardín, Plancha para pantalones, Masajes, Parking gratis, Perchero, Happy hour, Terraza, Bañera o ducha, Servicio de entrega de comestibles, Mobiliario exterior, WiFi gratis, Karaoke, Pesca, Canales por cable, Proporciona factura, Cenas temáticas, Zona de fumadores, Registro de entrada / salida privado, Jardín, Cafetería en el alojamiento, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Máquina expendedora (bebidas), Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Ruta de bares, TV de pantalla plana, Habitaciones familiares, Fruta, Desayuno, Traslado aeropuerto, Chimenea exterior, Buffet para niños, Tour o clase sobre cultura local, Armario, Masaje de cabeza, Equipamiento de tenis, Hervidor eléctrico, WC, Dardos, Vino / champán, Artículos de aseo gratis, Masaje de espalda, Fax / fotocopiadora, Habitaciones sin humo, Vistas, Spa y centro de bienestar, Parking adaptado para personas de movilidad reducida, Máquina expendedora (aperitivos), Barbacoa, Servicio de planchado, Tobogán de agua, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Cocina compartida, Servicio de lavandería, Alquiler de bicicletas, TV, Cámaras de seguridad fuera del alojamiento, Menú para niños, Snack-bar, Juegos de mesa / puzles, Tours a pie, Bañera, Clases de cocina, Baño privado, Ducha, Piragüismo, Entretenimiento nocturno, Zona de juegos interior, Menús para dietas especiales (bajo petición), Cambio de moneda, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Alquiler de coches, Gimnasio, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Toallas, Información turística, Cochecitos de bebé, Restaurante, Zona de juegos para niños, Zona de pícnic, Recepción 24 horas, Masaje de cuello, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/296611093.jpg?k=0b28195bb69a76fca3c060e47968a615cb135f1ebf750488e1f05235b38e8f77&o=&hp=1,Yungay,Perú
Almawasi Lodge,https://www.booking.com/hotel/pe/almawasi-lodge.es.html?aid=2410095,"Almawasi Lodge está en Yungay y tiene jardín, terraza, restaurante y wifi gratis en todo el alojamiento. Algunas habitaciones del alojamiento disponen de un balcón con vistas al jardín.

En el hostal o pensión, cada habitación está equipada con patio. Algunas unidades de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también tienen vistas a la montaña. En Almawasi Lodge, todas las habitaciones incluyen ropa de cama y toallas.

En recepción se habla inglés y español, y el personal estará encantado de ayudar en cualquier momento.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 32 km.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Desayuno, Zona de comedor, Parking gratis, Perchero, Terraza, Bañera o ducha, Vistas a un patio interior, Armario, Papel higiénico, WiFi gratis, Inglés, Vistas a un lugar de interés, WC, Toallas, Jardín, Artículos de aseo gratis, Español, Baño privado, Patio, Habitaciones sin humo, Vistas, Restaurante, Enchufe cerca de la cama, Recepción 24 horas, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/546715368.jpg?k=6caa0e613b9ddb56b49ac0f9638679cdc18c6ec4d0d51c4b95af0ac40b49209d&o=&hp=1,Yungay,Perú
SHUMAQ YUNGAY - Depas,https://www.booking.com/hotel/pe/shumaq-yungay-depas.es.html?aid=2410095,"SHUMAQ YUNGAY - Depas está en Yungay y ofrece vistas a la ciudad, jardín, terraza y bar. El apartahotel ofrece wifi y parking privado, ambos gratis.

Las unidades están equipadas con patio y disponen de TV de pantalla plana y baño privado con bañera.

En SHUMAQ YUNGAY - Depas se puede disfrutar de un desayuno continental o americano.

Se puede descubrir la zona practicando ciclismo en los alrededores y el alojamiento ofrece servicio de alquiler de coches.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 30 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Minibar, Prohibido fumar en todo el alojamiento, Desayuno, Parking gratis, Cambio de moneda, Traslado aeropuerto, Salas de reuniones / banquetes, Terraza, Caja fuerte, Zona de estar, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, Bar, Servicio de conserjería, WiFi gratis, TV, Alquiler de coches, Proporciona factura, Vino / champán, Toallas, Jardín, Cafetería en el alojamiento, Registro de entrada / salida privado, Información turística, Cajero automático en el hotel, Vistas a la montaña, Bañera, Español, Baño privado, Patio, Vistas a la ciudad, Habitaciones sin humo, Extintores, Guardaequipaje, TV de pantalla plana, Ciclismo, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/552094082.jpg?k=f48e922268548dd3f38bef13674cc880f348bc711d672804fcf55341ae5ed258&o=&hp=1,Yungay,Perú
"Casa acogedora en Mancos, Yungay",https://www.booking.com/hotel/pe/casa-acogedora-en-el-callejon-de-huaylas.es.html?aid=2410095,"Casa acogedora en Mancos, Yungay ofrece jardín y terraza, y está en Yungay, a 49 km de Estadio Rosas Pampa. Este alojamiento con vistas al jardín dispone de balcón.

Esta casa o chalet cuenta con 3 dormitorios, TV de pantalla plana y cocina con nevera. Hay toallas y ropa de cama en la casa o chalet.

El aeropuerto (Aeropuerto Comandante FAP Germán Arias Graziani) está a 25 km.","Jardín, Papel higiénico, Vistas, Prohibido fumar en todo el alojamiento, Vistas al jardín, Cocina, Zona de cocina, Inglés, TV de pantalla plana, Ropa de cama, Entrada privada, Nevera, Lavadora, Tetera / cafetera, Español, Terraza, Toallas, Balcón",https://cf.bstatic.com/xdata/images/hotel/max1024x768/549182647.jpg?k=412ec9c17ebe50690604ddadf0f4726b021f8c285207529c72844863524997da&o=&hp=1,Yungay,Perú
Huascarán Inn,https://www.booking.com/hotel/pe/huascaran-inn-mancos.es.html?aid=2410095,"Huascarán Inn se encuentra en Mancos y dispone de jardín, salón de uso común, terraza y wifi gratis en todo el alojamiento. Algunas unidades del alojamiento disponen de un balcón con vistas a la montaña.

En el hotel, todas las habitaciones tienen patio. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y algunas unidades también tienen vistas a la ciudad.

En recepción se habla inglés y español, y el personal está siempre dispuesto a echar una mano.

Estadio Rosas Pampa está a 49 km del alojamiento. El aeropuerto (Aeropuerto Comandante FAP Germán Arias Graziani) está a 24 km.","Prohibido fumar en todo el alojamiento, Desayuno, Perchero, Salas de reuniones / banquetes, Terraza, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Cama plegable, WiFi gratis, Inglés, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Terraza / solárium, Toallas, Información turística, Jardín, Artículos de aseo gratis, Taquillas, Bañera, Español, Baño privado, Patio, Habitaciones sin humo, Zona TV / salón de uso compartido, Extintores, Recepción 24 horas, Guardaequipaje, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/356334532.jpg?k=88270fc4f816e4db1c2854a0bc39e1ba1e01569032739c7dcaac864755443a30&o=&hp=1,Yungay,Perú
La Casita de mi Abuela,https://www.booking.com/hotel/pe/la-casita-de-mi-abuela-albergue.es.html?aid=2410095,"La Casita de mi Abuela dispone de jardín, salón de uso común, terraza y restaurante en Mancos. El alojamiento tiene bar, además de zona de barbacoa. El alojamiento ofrece servicio de habitaciones, servicio de conserjería y cambio de moneda.

En el albergue, todas las habitaciones cuentan con un patio con vistas a la montaña. En La Casita de mi Abuela, cada habitación incluye baño privado y ducha, y algunas también ofrecen balcón. En el alojamiento, las habitaciones cuentan con ropa de cama y toallas.

Hay opciones continentales o americanas de desayuno disponibles todos los días en La Casita de mi Abuela.

El albergue ofrece zona de juegos infantil. Se puede jugar a los dardos en La Casita de mi Abuela, y la zona es ideal para practicar ciclismo.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 25 km del alojamiento.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Vistas al jardín, Masajes, Parking gratis, Tours en bici, Perchero, Terraza, Servicio de entrega de comestibles, Mobiliario exterior, Masaje de pies, Pesca, Proporciona factura, Cenas temáticas, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Cafetería en el alojamiento, Centro de negocios, Vistas a la montaña, 2 restaurantes, Almuerzos para llevar, Español, Equipamiento de juegos para exterior, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, Ropa de cama, Ping pong, Habitaciones familiares, Fruta, Desayuno, Baño al aire libre, Entrenador personal, Comedia en vivo, Chimenea exterior, Tour o clase sobre cultura local, Masaje de cabeza, Alarma de seguridad, WC, Dardos, Vino / champán, Masaje de espalda, Galerías de arte temporales, Habitaciones sin humo, Vistas, Música / espectáculos en directo, Guardaequipaje, Entrada privada, Parking adaptado para personas de movilidad reducida, Registro de entrada y salida exprés, Barbacoa, Servicio de planchado, Masaje de manos, Servicio de limpieza diario, Salas de reuniones / banquetes, Habitaciones hipoalergénicas, Papel higiénico, Servicio de lavandería, Alquiler de bicicletas, Menú para niños, Masaje corporal completo, Snack-bar, Juegos de mesa / puzles, WiFi, Tours a pie, Clases de cocina, Baño privado, Patio, Equipamiento de bádminton, Francés, Ducha, Piragüismo, Capilla, Ciclismo, Utensilios de planchado, Zona de juegos interior, Clases de yoga, Menús para dietas especiales (bajo petición), Cambio de moneda, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Equitación, Servicio de traslado, Servicio de habitaciones, Toallas, Información turística, Restaurante, Zona de juegos para niños, Zona de pícnic, Tendedero, Masaje de cuello, Personal de animación, Desayuno en la habitación, Senderismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/390175767.jpg?k=17f45d380b6935cf6809cdaaf032f62bc731818e57a34ed109d17bf1d67e5fc9&o=&hp=1,Yungay,Perú
"Complejo Guitarreros, de Shupluy",https://www.booking.com/hotel/pe/complejo-guitarreros-de-shupluy.es.html?aid=2410095,"Complejo Guitarreros, de Shupluy está en Shupluy y ofrece restaurante y bar. El alojamiento, que se encuentra a 44 km de Estadio Rosas Pampa, ofrece jardín y parking privado gratis.

Este apartamento se compone de 1 dormitorio independiente, una cocina totalmente equipada y 1 baño.

Se puede practicar pesca en los alrededores.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 19 km del alojamiento.","Barbacoa, Tobogán de agua, Noches de cine, Parking gratis, Italiano, Bar, Cámaras de seguridad fuera del alojamiento, Menú para niños, Pesca, Alarma de seguridad, Tumbonas/sillas de playa, Zona de fumadores, Jardín, Español, Baño privado, Balcón, Vistas, Restaurante, Cocina, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/513834744.jpg?k=f9391c42704bc547c937e098cf452f0253e69c1e9e929e56217489dc478fc70f&o=&hp=1,Yungay,Perú
Hotel Cordillera Blanca,https://www.booking.com/hotel/pe/cordillera-blanca-caraz.es.html?aid=2410095,"Hotel Cordillera Blanca es un alojamiento de 2 estrellas que se encuentra en Caraz. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. Hay vistas a la montaña.

En el hotel, todas las habitaciones tienen armario y TV de pantalla plana. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también tienen vistas a la ciudad.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 44 km.","Parking en un garaje, Parking gratis, Llave de acceso, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Habitaciones hipoalergénicas, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, Vistas a un lugar de interés, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Zona de fumadores, Toallas, Artículos de aseo gratis, Vistas a la montaña, Español, Baño privado, Vistas a la ciudad, Habitaciones sin humo, Extintores, Restaurante, Recepción 24 horas, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/350967212.jpg?k=f9e2e55047cba238e1dc8ef02acc9955794316328b6e571e0b6ca934591f5c0e&o=&hp=1,Yungay,Perú
La Plaza Hospedaje,https://www.booking.com/hotel/pe/la-plaza-hospedaje.es.html?aid=2410095,"La Plaza Hospedaje se encuentra en Caraz. Este alojamiento ofrece restaurante, servicio de habitaciones y recepción 24 horas, además de wifi gratis en todo el alojamiento. El hotel dispone de habitaciones familiares.

El aeropuerto más cercano (Aeropuerto Comandante FAP Germán Arias Graziani) está a 44 km.","Prohibido fumar en todo el alojamiento, Recepción 24 horas, WiFi gratis, Español, Servicio de habitaciones, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/564315025.jpg?k=c257ec60393f92beb8dbdb5144e2c8f16302beb62ada5dc4cc6c6920b8eb35d4&o=&hp=1,Yungay,Perú
