hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Rio Huallaga,https://www.booking.com/hotel/pe/rio-huallaga.es.html?aid=2410095,"Hotel Rio Huallaga tiene jardín, salón de uso común, restaurante y bar en Yurimaguas. Todas las opciones de alojamiento de este hotel de 4 estrellas tienen vistas al jardín y piscina cubierta. El alojamiento dispone de recepción 24 horas, traslado para ir o volver del aeropuerto, servicio de habitaciones y wifi gratis en todo el alojamiento.

En el hotel, cada habitación cuenta con aire acondicionado, armario, terraza con vistas al lago, baño privado, TV de pantalla plana, ropa de cama y toallas. Hotel Rio Huallaga ofrece algunas unidades con vistas a la piscina, y todas cuentan con balcón.

El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 129 km.","Parking en un garaje, Vistas al jardín, Plancha para pantalones, Parking gratis, Happy hour, Terraza, Bañera o ducha, WiFi gratis, Para todas las edades, Pesca, Canales por cable, Cenas temáticas, Terraza / solárium, Registro de entrada / salida privado, Zona de fumadores, Jardín, Centro de negocios, Almuerzos para llevar, Español, Enchufe cerca de la cama, Extintores, Zona TV / salón de uso compartido, TV de pantalla plana, Ropa de cama, Horario de apertura, Habitaciones familiares, Fruta, Desayuno, Noches de cine, Traslado aeropuerto, Tour o clase sobre cultura local, Armario, Vistas a un lugar de interés, Vino / champán, Artículos de aseo gratis, Fax / fotocopiadora, Vistas, Guardaequipaje, Entrada privada, Parking adaptado para personas de movilidad reducida, Servicio de planchado, Servicio de limpieza diario, Salas de reuniones / banquetes, Papel higiénico, Servicio de lavandería, TV, Menú para niños, Snack-bar, Tours a pie, Abierta todo el año, Baño privado, Patio, Aire acondicionado, Balcón, Piscina interior, Vistas al lago, Ducha, Teléfono, Suelo de madera o parquet, Menús para dietas especiales (bajo petición), Llave de acceso, Servicio de despertador, Seguridad 24 horas, Bar, Servicio de conserjería, Inglés, Toallas / sábanas (por un suplemento), Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Información turística, Restaurante, Recepción 24 horas, Hipoalergénico, Desayuno en la habitación",https://cf.bstatic.com/xdata/images/hotel/max1024x768/155109697.jpg?k=6aa48c13f8446b8c342b893f2b56fb3cf2babdc590a54c8663c84ff082f1dba8&o=&hp=1,Yurimaguas,Perú
Hospedaje Moralillos,https://www.booking.com/hotel/pe/hospedaje-moralillos.es.html?aid=2410095,"Hospedaje Moralillos ofrece alojamiento en Yurimaguas. El hostal o pensión también dispone de wifi gratis y parking privado gratis.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana con canales por cable. Las habitaciones incluyen baño privado con ducha, algunas ofrecen balcón y otras también incluyen vistas a la ciudad. En el hostal o pensión, cada habitación está equipada con ropa de cama y toallas.

El personal de recepción puede ayudar con cualquier consulta.

El aeropuerto (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 129 km.","Parking en un garaje, Prohibido fumar en todo el alojamiento, Mesa de comedor, Parking gratis, Servicio de limpieza diario, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Papel higiénico, Servicio de lavandería, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, WC, Canales por cable, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, Registro de entrada / salida privado, Toallas, Fax / fotocopiadora, Bañera de hidromasaje / jacuzzi, Español, Baño privado, Aire acondicionado, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Guardaequipaje, TV de pantalla plana, Ropa de cama, Ducha, Ventilador",https://cf.bstatic.com/xdata/images/hotel/max1024x768/472335743.jpg?k=ee09f63b2cd947f7c232bcfcb2a3593f89d466c045d41b77bb5cb683be0c8abd&o=&hp=1,Yurimaguas,Perú
Villa Loretana,https://www.booking.com/hotel/pe/hospedaje-garcilazo-yurimaguas.es.html?aid=2410095,"Villa Loretana está en Yurimaguas y tiene jardín, salón de uso común, bar y wifi gratis en todo el alojamiento. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y servicio de organización de tours.

En el hotel, las habitaciones están equipadas con aire acondicionado, escritorio, terraza con vistas al jardín, baño privado, TV de pantalla plana, ropa de cama y toallas. Las unidades disponen de armario.

El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 129 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Vistas al jardín, Zona de comedor exterior, Mesa de comedor, Canales vía satélite, Plancha para pantalones, Servicio de planchado, Masaje de manos, Zona de comedor, Masajes, Sombrillas, Traslado aeropuerto, Servicio de limpieza diario, Perchero, Happy hour, Terraza, Salas de reuniones / banquetes, Boles para mascotas, Servicio de despertador, Zona de estar, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Masaje de cabeza, Bar, Mobiliario exterior, WiFi gratis, Cámaras de seguridad fuera del alojamiento, Inglés, Masaje de pies, Masaje corporal completo, WC, Canales por cable, Proporciona factura, Servicio de traslado, Cámaras de seguridad en las zonas comunitarias, Servicio de habitaciones, Zona de fumadores, Toallas, Snack-bar, Jardín, Artículos de aseo gratis, Información turística, Masaje de espalda, Juegos de mesa / puzles, Español, Baño privado, Patio, Aire acondicionado, Balcón, Zona TV / salón de uso compartido, Vistas, Extintores, Recepción 24 horas, Suelo de baldosa / mármol, Tendedero, Guardaequipaje, Escritorio, Ropa de cama, TV de pantalla plana, Entrada privada, Masaje en pareja, Masaje de cuello, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/362312236.jpg?k=569e43467f293b510cf57853b949c43d274237fed6cb632be5f0c656ceffe1a4&o=&hp=1,Yurimaguas,Perú
Hostal El Puerto,https://www.booking.com/hotel/pe/hostal-el-puerto-yurimaguas.es.html?aid=2410095,"Hostal El Puerto ofrece alojamiento en Yurimaguas. Este hotel de 2 estrellas ofrece servicio de habitaciones y recepción 24 horas. Hay terraza, wifi gratis y parking privado gratis.

En el hotel, todas las habitaciones están equipadas con escritorio. En Hostal El Puerto, las habitaciones cuentan con baño privado y ducha, y algunas también ofrecen balcón. En el alojamiento, todas las habitaciones disponen de ropa de cama y toallas.

El aeropuerto (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 129 km.","Prohibido fumar en todo el alojamiento, Parking gratis, Terraza, Bañera o ducha, Armario, Papel higiénico, WiFi gratis, Inglés, Toallas / sábanas (por un suplemento), WC, Vistas al río, Servicio de habitaciones, Toallas, Bañera de hidromasaje / jacuzzi, Español, Aire acondicionado, Baño privado, Vistas, Recepción 24 horas, Escritorio, Ropa de cama, Ducha, Ventilador, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/520165579.jpg?k=c7ea7b4a7608496f22f493610a03e05bcedcc02c483c4464b7569749266d2b30&o=&hp=1,Yurimaguas,Perú
Majestic Mical,https://www.booking.com/hotel/pe/majestic-mical.es.html?aid=2410095,"Majestic Mical está en Yurimaguas y tiene jardín. El hotel dispone de vistas a la ciudad, terraza, recepción 24 horas y wifi gratis en todo el alojamiento.

En el hotel, todas las habitaciones incluyen un patio con vistas al jardín. En Majestic Mical, las habitaciones cuentan con aire acondicionado, escritorio y TV de pantalla plana, y algunas también ofrecen balcón.

El aeropuerto (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 129 km.","Vistas al jardín, Terraza, Vistas a un patio interior, Papel higiénico, WiFi gratis, TV, Canales por cable, Servicio de habitaciones, Acceso a pisos superiores solo mediante escaleras, Toallas, Jardín, Artículos de aseo gratis, Bañera, Español, Aire acondicionado, Patio, Vistas a la ciudad, Habitaciones sin humo, Vistas, Recepción 24 horas, Escritorio, TV de pantalla plana, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/462317456.jpg?k=692c833c099551e88d37cb3eb04b4a987a5ae1d6a8b34e0a99a180d4f9b05515&o=&hp=1,Yurimaguas,Perú
HOTEL EL TREBOL,https://www.booking.com/hotel/pe/el-trebol.es.html?aid=2410095,"HOTEL EL TREBOL se encuentra en Yurimaguas. Hotel ofrece parking privado gratis y wifi gratis.

En la recepción 24 horas se hablan varios idiomas, como inglés y español.

El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 127 km del alojamiento.",Error al acceder a la página del hotel.,https://cf.bstatic.com/xdata/images/hotel/max1024x768/539682960.jpg?k=5785385f91ea842f5ccc5bd7b5deef57881fd9d554dcae463fa2077bf06bc948&o=&hp=1,Yurimaguas,Perú
Hotel El Encanto - Yurimaguas,https://www.booking.com/hotel/pe/el-encanto-yurimaguas.es.html?aid=2410095,"Hotel El Encanto - Yurimaguas ofrece alojamiento en Yurimaguas. Este hotel de 3 estrellas ofrece restaurante y habitaciones con aire acondicionado, wifi gratis y baño privado. El alojamiento dispone de servicio de habitaciones y recepción 24 horas.

En el hotel, las habitaciones tienen una terraza con vistas a la ciudad. En Hotel El Encanto - Yurimaguas, las habitaciones disponen de escritorio y TV de pantalla plana.

El alojamiento ofrece desayuno a la carta o americano.

El aeropuerto (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 130 km.","Prohibido fumar en todo el alojamiento, Mesa de comedor, Desayuno, Zona de comedor, Parking gratis, Terraza, Armario, Papel higiénico, WiFi gratis, Toallas / sábanas (por un suplemento), WC, Servicio de habitaciones, Toallas, Bañera, Español, Baño privado, Aire acondicionado, Vistas a la ciudad, Balcón, Habitaciones sin humo, Vistas, Recepción 24 horas, Escritorio, TV de pantalla plana, Ducha, Ventilador, Calefacción, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/573765891.jpg?k=6677256a7a297670bd5edec2f02e59d7dcce8c349d1da217bbb5819372fbddc7&o=&hp=1,Yurimaguas,Perú
HOSTAL AKEMI,https://www.booking.com/hotel/pe/hostal-akemi.es.html?aid=2410095,"HOSTAL AKEMI ofrece alojamiento en Yurimaguas. El alojamiento dispone de recepción 24 horas y mostrador de información turística.

En el hostal o pensión, cada habitación incluye armario. Las habitaciones del alojamiento tienen baño privado con ducha y artículos de aseo gratuitos. También cuentan con wifi gratis, y algunas habitaciones también cuentan con vistas a la ciudad. En HOSTAL AKEMI, las habitaciones disponen de aire acondicionado y TV de pantalla plana.

El aeropuerto (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 125 km.","Prohibido fumar en todo el alojamiento, Servicio de planchado, Parking gratis, Servicio de limpieza diario, Perchero, Servicio de despertador, Bañera o ducha, Seguridad 24 horas, Armario, Papel higiénico, Servicio de lavandería, Detectores de humo, WiFi gratis, TV, Cámaras de seguridad fuera del alojamiento, WC, Proporciona factura, Cámaras de seguridad en las zonas comunitarias, Información turística, Registro de entrada / salida privado, Toallas, Artículos de aseo gratis, Productos de limpieza, Español, Baño privado, Aire acondicionado, Extintores, Recepción 24 horas, TV de pantalla plana, Ducha, Ventilador",https://cf.bstatic.com/xdata/images/hotel/max1024x768/498750370.jpg?k=5622f8778a1d1aad7fd0907e1946af414bad4569bd9fca0379e567727f7da623&o=&hp=1,Yurimaguas,Perú
HOTEL EL TREBOL,https://www.booking.com/hotel/pe/el-trebol-yurimaguas.es.html?aid=2410095,"HOTEL EL TREBOL ofrece alojamiento en Yurimaguas. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

Todas las unidades del alojamiento tienen baño compartido con ducha y artículos de aseo gratuitos, además de TV de pantalla plana y aire acondicionado. Algunas habitaciones también disponen de balcón. En el hotel, todas las habitaciones tienen zona de estar.

El aeropuerto (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 127 km.","Prohibido fumar en todo el alojamiento, Plancha para ropa, Parking gratis, Aseo adicional, Perchero, Bañera o ducha, Zona de estar, Papel higiénico, Inglés, Servicio de habitaciones, Artículos de aseo gratis, Español, Aire acondicionado, Baño privado, Habitaciones sin humo, Recepción 24 horas, Tendedero, Baño compartido, TV de pantalla plana, Lavadora, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/541769126.jpg?k=74e164841bfb68c1db1923676a5f0a5e7c9e00c2e0a4ff1d757e2b3841b75713&o=&hp=1,Yurimaguas,Perú
Casitas Rurales Las Palmeras,https://www.booking.com/hotel/pe/casitas-rurales-las-palmeras.es.html?aid=2410095,"Casitas Rurales Las Palmeras está en Yurimaguas y ofrece terraza, wifi gratis, servicio de traslado gratuito y mostrador de información turística. Este apartamento tiene acceso a un patio.

El apartamento incluye 2 dormitorios, 1 baño, una zona de estar y una zona de cocina. Hay toallas y ropa de cama en el apartamento.

El aeropuerto más cercano (Aeropuerto Cadete FAP Guillermo del Castillo Paredes) está a 126 km.","Prohibido fumar en todo el alojamiento, Zona de cocina, Perchero, Terraza, Bañera o ducha, Zona de estar, Vistas a un patio interior, Papel higiénico, Toda la unidad en la planta baja, Servicio de lavandería, Mobiliario exterior, WiFi gratis, Mosquitera, WC, Servicio de traslado, Terraza / solárium, Toallas, Información turística, Independiente, Sofá, Español, Baño privado, Patio, Habitaciones sin humo, Enchufe cerca de la cama, Vistas, Entrada privada, Ropa de cama, Ducha, Habitaciones familiares",https://cf.bstatic.com/xdata/images/hotel/max1024x768/503885537.jpg?k=196a4ffffe1a8c1b35719e2cd84693bd91b72ff91123fbe5ca6611d406f6ad0b&o=&hp=1,Yurimaguas,Perú
