hotel,hotel_url,description,popular_facilities,highres_url,city,country
Hotel Estación Sabana,https://www.booking.com/hotel/co/estacion-sabana.es.html?aid=2410095,"El Hotel Estación Sabana, ubicado en Zipaquirá, a 10 minutos a pie de la Catedral de Sal de Zipaquirá, ofrece WiFi gratuita y desayuno. El aeropuerto El Dorado está a 1 hora en coche y la laguna de Gutavita se encuentra a 90 minutos en coche.

Las tranquilas habitaciones del Estación Sabana cuentan con baño privado, TV y minibar.

Hay servicio de habitaciones, así como servicio de lavandería disponible bajo petición. Además, se ofrece aparcamiento gratuito.

El Hotel Estación Sabana se encuentra a 2 horas y 30 minutos en coche de Villa de Leyva. Hay aparcamiento durante 12 horas incluido en el precio.","Juegos de mesa / puzles, Prohibido fumar en todo el alojamiento, Baños públicos, Habitaciones sin humo, Senderismo, Recepción 24 horas, Inglés, Extintores, Campo de golf (a menos de 3 km), Ciclismo, Traslado aeropuerto, Italiano, Información turística, Parking gratis, Zona TV / salón de uso compartido, Servicio de traslado, WiFi gratis, Buen desayuno, Máquina expendedora (aperitivos), Servicio de habitaciones, Bañera de hidromasaje / jacuzzi, Proporciona factura, Habitaciones insonorizadas, Alquiler de bicicletas, Desayuno en la habitación, Servicio de planchado, Guardaequipaje, Servicio de lavandería, Portugués, Máquina expendedora (bebidas), Bolos, Plancha para pantalones, Habitaciones familiares, Español, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/515330865.jpg?k=72f1c41be051aba2d6a5ea2687dc95809dad8a06214e99b72d9f87acbcd2bbf8&o=&hp=1,Zipaquirá,Colombia
Habitación Elegante - Zipaquirá,https://www.booking.com/hotel/co/habitacion-elegante.es.html?aid=2410095,"Habitación Elegante - Zipaquirá se encuentra en Zipaquirá, a 40 km de Centro Comercial Unicentro y a 47 km de Estadio El Campín. El alojamiento está a unos 13 km de Parque Jaime Duque, a 32 km de Parque Deportivo 222 y a 43 km de Parque de la 93. Hay wifi gratis y se ofrece parking privado por un suplemento.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 51 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Cámaras de seguridad en las zonas comunitarias, Habitaciones sin humo, Habitaciones familiares, Español, WiFi gratis, Detectores de humo, Extintores, Parking privado",https://cf.bstatic.com/xdata/images/hotel/max1024x768/538972541.jpg?k=78f0fb5c4936dbbc28022051912cad36e8e7bb383c9adde2c9ca45f32fda6d53&o=&hp=1,Zipaquirá,Colombia
La Puerta Rota,https://www.booking.com/hotel/co/la-puerta-rota.es.html?aid=2410095,"La Puerta Rota está en Zipaquirá, a 40 km de Centro Comercial Unicentro y a 46 km de Estadio El Campín. Ofrece alojamiento con terraza y wifi gratis, además de parking privado gratis. Este hotel de 4 estrellas ofrece servicio de conserjería y mostrador de información turística. El alojamiento dispone de servicio de habitaciones, recepción 24 horas y cambio de moneda.

Todas las habitaciones de este alojamiento están equipadas con TV de pantalla plana y zona de cocina. El hotel ofrece algunas habitaciones con vistas tienen, y todas tienen baño privado con ducha. Todas las unidades cuentan con nevera.

Parque Jaime Duque está a 12 km del alojamiento, y Parque Deportivo 222 está a 32 km. El aeropuerto (Aeropuerto internacional de El Dorado) está a 51 km, y el alojamiento ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Prohibido fumar en todo el alojamiento, Alarma de seguridad, Parking adaptado para personas de movilidad reducida, Baños públicos, Habitaciones sin humo, Estación de carga de vehículos eléctricos, Cambio de moneda, Vistas, Recepción 24 horas, Servicio de limpieza diario, Inglés, Baño privado, Extintores, TV, Traslado aeropuerto, Información turística, Servicio de limpieza en seco, Tetera / cafetera, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Fogones, Registro de entrada / salida privado, Servicio de conserjería, Parking en un garaje, Servicio de traslado, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Enchufe cerca de la cama, Bañera de hidromasaje / jacuzzi, Zona de cocina, Proporciona factura, Zona de fumadores, Mobiliario exterior, Habitaciones insonorizadas, Secadora de ropa, Llave de acceso, Habitaciones hipoalergénicas, Guardaequipaje, Servicio de lavandería, WC, Microondas, Tetera/cafetera en todas las habitaciones, Zona de comedor, TV de pantalla plana, Lavadora, Habitaciones familiares, Español, Nevera, Utensilios de cocina, Papel higiénico, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/375719623.jpg?k=7e0984faa6c3174a60fd142ca08829e8a5e9ab09344a45554dbe132144f65c92&o=&hp=1,Zipaquirá,Colombia
MACONDO apartamento turistico tematico,https://www.booking.com/hotel/co/macondo-apartamento-turistico-tematico.es.html?aid=2410095,"MACONDO apartamento turistico tematico es un alojamiento con wifi gratis y vistas a la ciudad que está en Zipaquirá. El apartamento ofrece parking privado y está a 40 km de Centro Comercial Unicentro.

Este apartamento consta de 2 dormitorios, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Estadio El Campín está a 46 km del alojamiento, y Parque Jaime Duque está a 12 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 51 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Juegos de mesa / puzles, Supermercado pequeño en el alojamiento, Parking adaptado para personas de movilidad reducida, Bañera o ducha, Habitaciones sin humo, Minibar, Vistas, Libros, DVD o música para niños, Baño privado, Apartamento privado en edificio, Extintores, Cocina, TV, Traslado aeropuerto, Información turística, Cámaras de seguridad en las zonas comunitarias, Ropa de cama, Servicio de traslado, Artículos de aseo gratis, WiFi gratis, Ducha, Detectores de humo, Seguridad 24 horas, Enchufe cerca de la cama, Vistas a un lugar de interés, Zona de cocina, Plancha para ropa, Zona de fumadores, Parking privado, Peluquería / salón de belleza, Productos de limpieza, Cafetera, Bañera, Sofá, Lavavajillas, Zona de estar, Llave de acceso, Escritorio, Tostadora, WC, Microondas, Cámaras de seguridad fuera del alojamiento, Zona de comedor, TV de pantalla plana, Habitaciones comunicadas disponibles, Toallas, Habitaciones familiares, Español, Vistas a la ciudad, Nevera, Utensilios de cocina, Papel higiénico, Servicio de limpieza diario, Suelo de baldosa / mármol",https://cf.bstatic.com/xdata/images/hotel/max1024x768/523480664.jpg?k=8320139eba38c868feac811f544eac5353d07f18cc15fddec41f0a5282a00f9c&o=&hp=1,Zipaquirá,Colombia
Donde Pepe Loft Apartasuite.,https://www.booking.com/hotel/co/donde-pepe-loft-apartasuite.es.html?aid=2410095,"Donde Pepe Loft Apartasuite., que cuenta con vistas a la montaña, ofrece alojamiento con terraza y hervidor a unos 40 km de Centro Comercial Unicentro. Dispone de jardín, bar, vistas a la ciudad y wifi gratis en todo el alojamiento.

Este apartamento con aire acondicionado consta de 1 dormitorio, una sala de estar, una cocina totalmente equipada con nevera y cafetera, y 1 baño con ducha y artículos de aseo gratuitos. Hay toallas y ropa de cama en el apartamento.

Estadio El Campín está a 46 km del alojamiento, y Parque Jaime Duque está a 12 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 51 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Terraza, Alarma de seguridad, Bañera o ducha, Habitaciones sin humo, Toallas / sábanas (por un suplemento), Canales de pago, Baño privado, Hipoalergénico, Jardín, Apartamento privado en edificio, Fogones, Ropa de cama, Mesa de comedor, Zona de cocina, Bañera, Lavavajillas, Utensilios de planchado, Sofá cama, Zona de comedor, Balcón, Horno, Servicio de entrega de comestibles, Vestidor, Cafetería en el alojamiento, Aire acondicionado, Cocina, Cámaras de seguridad en las zonas comunitarias, Acceso a pisos superiores solo mediante escaleras, WiFi gratis, Enchufe cerca de la cama, Canales por cable, Cafetera, Zona de estar, Llave de acceso, Habitaciones hipoalergénicas, Escritorio, Cámaras de seguridad fuera del alojamiento, Canales vía satélite, Plancha para pantalones, Habitaciones familiares, Utensilios de cocina, Papel higiénico, Parking privado, Suelo de baldosa / mármol, Juegos de mesa / puzles, Parking adaptado para personas de movilidad reducida, Caja fuerte, TV, Armario, Accesible para personas sordas, Tetera / cafetera, Servicio de traslado, Artículos de aseo gratis, Seguridad 24 horas, Vistas a un lugar de interés, Productos de limpieza, Hervidor eléctrico, Sofá, Vistas a la montaña, Vistas al jardín, Guardaequipaje, WC, Bar, TV de pantalla plana, Toallas, Español, Nevera, Independiente, Albornoz, Vistas, Inglés, Calefacción, Traslado aeropuerto, Perchero, Vino / champán, Información turística, Registro de entrada / salida privado, Entrada privada, Ducha, Plancha para ropa, Radio, Aseo adicional, Vistas a la ciudad, Minibar, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/505016035.jpg?k=7afcc9310d045ff3be1ea0cfcebde4870d40172d830b14332e9f5e1a7b99fd0a&o=&hp=1,Zipaquirá,Colombia
Family Haclams,https://www.booking.com/hotel/co/family-haclams.es.html?aid=2410095,"Family Haclams, que se encuentra a 39 km de Centro Comercial Unicentro y a 46 km de Estadio El Campín, ofrece habitaciones en Zipaquirá. El alojamiento está a 50 km de Centro Internacional de Negocios y Exposiciones - Corferias, a 11 km de Parque Jaime Duque y a 31 km de Parque Deportivo 222. El alojamiento ofrece recepción 24 horas y wifi gratis en todo el alojamiento.

En el hostal o pensión, todas las habitaciones disponen de armario, TV de pantalla plana, baño privado, ropa de cama y toallas. Algunas habitaciones disponen de zona de cocina con nevera.

Parque de la 93 está a 42 km del alojamiento. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 50 km.","Prohibido fumar en todo el alojamiento, Baños públicos, Habitaciones sin humo, Recepción 24 horas, Baño privado, Parking, Armario, Registro de entrada / salida privado, Ropa de cama, WiFi gratis, Ducha, Proporciona factura, WC, TV de pantalla plana, Toallas, Plancha para pantalones, Habitaciones familiares, Español, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/151436768.jpg?k=c67f2b4795fbb992b259d106eb9053e482e5bdddc85d6893ccac288975e04b17&o=&hp=1,Zipaquirá,Colombia
Hotel Salinero - Zipaquirá,https://www.booking.com/hotel/co/salinero.es.html?aid=2410095,"Hotel Salinero - Zipaquirá está en Zipaquirá, a 39 km de Centro Comercial Unicentro, y dispone de alojamiento con wifi gratis y parking privado gratis. El alojamiento está a unos 45 km de Estadio El Campín, a 50 km de Centro Internacional de Negocios y Exposiciones - Corferias y a 50 km de Plaza de Bolívar. El alojamiento ofrece servicio de habitaciones y recepción 24 horas.

Las unidades de este alojamiento están equipadas con zona de estar. Algunas unidades de este alojamiento tienen baño privado con ducha y artículos de aseo gratuitos, y también cuentan con vistas a la ciudad. En el hotel, cada habitación cuenta con armario y TV de pantalla plana.

Parque Jaime Duque está a 12 km del alojamiento, y Parque Deportivo 222 está a 31 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 50 km.","Prohibido fumar en todo el alojamiento, Alarma de seguridad, Habitaciones sin humo, Canales de pago, Recepción 24 horas, Baño privado, Extintores, TV, Armario, Perchero, Snack-bar, Cámaras de seguridad en las zonas comunitarias, Parking gratis, Entrada privada, Seguridad 24 horas, WiFi gratis, Ducha, Detectores de humo, Servicio de habitaciones, Mesa de comedor, Proporciona factura, Productos de limpieza, Zona de estar, Servicio de lavandería, Salas de reuniones / banquetes, Cámaras de seguridad fuera del alojamiento, TV de pantalla plana, Toallas, Habitaciones familiares, Español, Artículos de aseo gratis, Papel higiénico, Servicio de limpieza diario",https://cf.bstatic.com/xdata/images/hotel/max1024x768/338639828.jpg?k=31d163a00ce545583ba9f4a3f40e0145a56bf0b1ebaf81cc288bbd49f9982739&o=&hp=1,Zipaquirá,Colombia
Hostal Camino Salinero,https://www.booking.com/hotel/co/hospedaje-camino-salinero.es.html?aid=2410095,"Hostal Camino Salinero está en Zipaquirá y dispone de alojamiento con wifi gratis a 40 km de Centro Comercial Unicentro, a 46 km de Estadio El Campín y a 12 km de Parque Jaime Duque. Esta habitación en casa particular está a 31 km de Parque Deportivo 222 y a 42 km de Parque de la 93.

Hay toallas y ropa de cama en la habitación en casa particular.

El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 51 km.","WC, Prohibido fumar en todo el alojamiento, Bañera o ducha, Baño privado, Toallas, Sofá, Ropa de cama, Español, WiFi gratis, Ducha, Papel higiénico",https://cf.bstatic.com/xdata/images/hotel/max1024x768/585829740.jpg?k=feefc2560a5b0c7fe454c26e0822712d1e806a702667840ebcd59e67565ecaac&o=&hp=1,Zipaquirá,Colombia
Villa Antonio,https://www.booking.com/hotel/co/villa-antonio-zipaquira.es.html?aid=2410095,"Villa Antonio es un alojamiento con vistas a la ciudad que se encuentra en Zipaquirá, a 39 km de Centro Comercial Unicentro y a 45 km de Estadio El Campín. Este apartamento ofrece parking privado gratis, recepción 24 horas y wifi gratis.

El apartamento de 1 dormitorio cuenta con sala de estar con TV de pantalla plana, cocina totalmente equipada con horno y minibar, y 1 baño con ducha.

Centro Internacional de Negocios y Exposiciones - Corferias está a 50 km del alojamiento, y Plaza de Bolívar está a 50 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 50 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Adosado, Prohibido fumar en todo el alojamiento, Bañera o ducha, Habitaciones sin humo, Vistas, Recepción 24 horas, Inglés, Calefacción, Baño privado, Apartamento privado en edificio, Extintores, Cocina, TV, Armario, Traslado aeropuerto, Parking gratis, Registro de entrada / salida privado, Parking en un garaje, Entrada privada, Servicio de traslado, Acceso a pisos superiores solo mediante escaleras, Seguridad 24 horas, Ducha, Enchufe cerca de la cama, Vistas a un lugar de interés, Zona de cocina, Servicio de aparcacoches, Bañera, Sofá, Vistas a la montaña, Zona de estar, Escritorio, WC, Servicio de streaming (como Netflix), Sofá cama, Insonorización, TV de pantalla plana, Habitaciones comunicadas disponibles, Toallas, Habitaciones familiares, Wifi rápida gratis (93 Mbps), Vistas a la ciudad, Español, Minibar, Papel higiénico, Horno",https://cf.bstatic.com/xdata/images/hotel/max1024x768/519530921.jpg?k=27cc13b17314a36b7a3de3fc6a88789bae1150d10c6f6bafa09e4f8b47f62cde&o=&hp=1,Zipaquirá,Colombia
Hostal Casa del Arbol,https://www.booking.com/hotel/co/hostal-casa-del-arbol.es.html?aid=2410095,"Hostal Casa del Arbol se encuentra en Zipaquirá, a 39 km de Centro Comercial Unicentro y a 45 km de Estadio El Campín. Ofrece alojamiento con jardín y wifi gratis en todo el alojamiento. El alojamiento está a unos 50 km de Centro Internacional de Negocios y Exposiciones - Corferias, a 50 km de Plaza de Bolívar y a 11 km de Parque Jaime Duque. El hostal o pensión dispone de habitaciones familiares.

En el hostal o pensión, cada habitación está equipada con baño compartido.

La zona es ideal para practicar ciclismo, y en Hostal Casa del Arbol hay alquiler de bicicletas.

Parque Deportivo 222 está a 31 km del alojamiento, y Parque de la 93 está a 42 km. El aeropuerto más cercano (Aeropuerto internacional de El Dorado) está a 50 km del alojamiento, que ofrece servicio de traslado de pago para ir o volver del aeropuerto.","Desayuno, Proporciona factura, Jardín, Traslado aeropuerto, Habitaciones sin humo, Tours a pie, Senderismo, Habitaciones familiares, Tours en bici, Alquiler de bicicletas, Servicio de traslado, Español, WiFi gratis, Baño compartido, Ciclismo",https://cf.bstatic.com/xdata/images/hotel/max1024x768/270757919.jpg?k=9c423b7acea6e001c052095fba70250efe0576622849f7581a899f5c6c6071ff&o=&hp=1,Zipaquirá,Colombia
